number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
98,0.8170000000000001,2025-05-22 02:40:20.413237,2025-05-22 02:41:05.087013,0 days 00:00:44.673776,0.45000000000000007,0.973503340520632,COMPLETE
83,0.8170000000000001,2025-05-22 02:30:02.858738,2025-05-22 02:30:46.613567,0 days 00:00:43.754829,0.45000000000000007,0.9682007301756235,COMPLETE
55,0.8153333333333332,2025-05-22 02:11:07.057905,2025-05-22 02:11:49.025619,0 days 00:00:41.967714,0.75,0.9152862708346586,COMPLETE
64,0.8133333333333334,2025-05-22 02:17:14.516081,2025-05-22 02:17:56.348691,0 days 00:00:41.832610,0.65,0.9726003273156277,COMPLETE
22,0.8130000000000001,2025-05-22 01:48:44.046725,2025-05-22 01:49:27.497924,0 days 00:00:43.451199,0.1,2.8961035165764976e-05,COMPLETE
73,0.8130000000000001,2025-05-22 02:23:19.313291,2025-05-22 02:24:03.689920,0 days 00:00:44.376629,0.45000000000000007,0.41094070454317966,COMPLETE
44,0.8119999999999999,2025-05-22 02:03:40.630416,2025-05-22 02:04:22.476905,0 days 00:00:41.846489,0.55,0.39409727088231217,COMPLETE
99,0.8116666666666666,2025-05-22 02:41:05.126596,2025-05-22 02:41:46.739568,0 days 00:00:41.612972,0.45000000000000007,0.9399552526234962,COMPLETE
43,0.8113333333333334,2025-05-22 02:02:58.406425,2025-05-22 02:03:40.589360,0 days 00:00:42.182935,0.55,0.9342099145140639,COMPLETE
93,0.8096666666666668,2025-05-22 02:36:54.181310,2025-05-22 02:37:38.463180,0 days 00:00:44.281870,0.4,0.4732091071233411,COMPLETE
89,0.8096666666666668,2025-05-22 02:34:09.579120,2025-05-22 02:34:48.624192,0 days 00:00:39.045072,0.45000000000000007,0.7055840133376443,COMPLETE
60,0.8096666666666668,2025-05-22 02:14:28.885759,2025-05-22 02:15:13.133608,0 days 00:00:44.247849,0.7000000000000001,0.22810547756800506,COMPLETE
