number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
46,0.9549019607843138,2025-05-23 11:03:58.856057,2025-05-23 11:05:33.337219,0 days 00:01:34.481162,0.55,0.21066621578430714,COMPLETE
3,0.9542483660130718,2025-05-23 09:51:56.135489,2025-05-23 09:53:36.931598,0 days 00:01:40.796109,0.75,0.03245981775298111,COMPLETE
79,0.9542483660130718,2025-05-23 11:59:36.393487,2025-05-23 12:01:22.591779,0 days 00:01:46.198292,0.6,0.003959526097238656,COMPLETE
14,0.953921568627451,2025-05-23 10:10:18.701474,2025-05-23 10:11:59.517193,0 days 00:01:40.815719,0.8,1.0042943764018337e-06,COMPLETE
26,0.9539215686274509,2025-05-23 10:30:42.083158,2025-05-23 10:32:16.256665,0 days 00:01:34.173507,0.75,0.0017245212507276798,COMPLETE
80,0.9539215686274509,2025-05-23 12:01:22.632482,2025-05-23 12:03:06.074309,0 days 00:01:43.441827,0.55,0.005497846044646831,COMPLETE
5,0.95359477124183,2025-05-23 09:55:22.920242,2025-05-23 09:56:58.834096,0 days 00:01:35.913854,0.8,7.4584633084903916e-06,COMPLETE
1,0.9532679738562091,2025-05-23 09:48:33.075897,2025-05-23 09:50:11.750420,0 days 00:01:38.674523,0.4,3.218877613296719e-06,COMPLETE
83,0.9532679738562091,2025-05-23 12:06:39.288437,2025-05-23 12:08:24.969357,0 days 00:01:45.680920,0.55,0.003206449344298233,COMPLETE
24,0.9532679738562091,2025-05-23 10:27:28.700267,2025-05-23 10:29:05.414649,0 days 00:01:36.714382,0.9,2.7734196172918783e-05,COMPLETE
17,0.9529411764705882,2025-05-23 10:15:26.058908,2025-05-23 10:17:10.149796,0 days 00:01:44.090888,0.9,1.0546544293514022e-06,COMPLETE
23,0.9529411764705882,2025-05-23 10:25:43.548502,2025-05-23 10:27:28.660241,0 days 00:01:45.111739,0.8,8.129394698365566e-06,COMPLETE
10,0.9529411764705882,2025-05-23 10:03:42.027902,2025-05-23 10:05:16.548935,0 days 00:01:34.521033,0.85,0.48447706710886074,COMPLETE
0,0.9526143790849673,2025-05-23 09:46:46.954110,2025-05-23 09:48:33.031342,0 days 00:01:46.077232,0.1,5.792323757933515e-05,COMPLETE
93,0.9526143790849673,2025-05-23 12:23:38.207851,2025-05-23 12:25:14.010373,0 days 00:01:35.802522,0.45000000000000007,0.0034004177569944244,COMPLETE
