number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
17,0.8003333333333335,2025-05-22 13:39:24.575494,2025-05-22 13:40:17.754186,0 days 00:00:53.178692,0.7000000000000001,0.06530470671905798,COMPLETE
58,0.7976666666666667,2025-05-22 14:17:18.134961,2025-05-22 14:18:19.818388,0 days 00:01:01.683427,0.85,0.04166052851818447,COMPLETE
32,0.7973333333333334,2025-05-22 13:53:11.211388,2025-05-22 13:54:05.373471,0 days 00:00:54.162083,0.8,0.0028035901858791488,COMPLETE
54,0.7973333333333333,2025-05-22 14:13:29.301672,2025-05-22 14:14:25.563635,0 days 00:00:56.261963,0.8,0.035469787514589665,COMPLETE
33,0.7953333333333333,2025-05-22 13:54:05.411979,2025-05-22 13:55:04.206757,0 days 00:00:58.794778,0.8,0.06307066709491282,COMPLETE
44,0.7953333333333333,2025-05-22 14:04:13.077967,2025-05-22 14:05:08.875563,0 days 00:00:55.797596,0.85,0.003116011577693859,COMPLETE
28,0.7953333333333333,2025-05-22 13:49:27.670767,2025-05-22 13:50:24.070064,0 days 00:00:56.399297,0.8,0.0027816091273433945,COMPLETE
12,0.7949999999999999,2025-05-22 13:34:48.995887,2025-05-22 13:35:41.743902,0 days 00:00:52.748015,0.35,0.054937041222102655,COMPLETE
45,0.7943333333333333,2025-05-22 14:05:08.914932,2025-05-22 14:06:02.343868,0 days 00:00:53.428936,0.85,0.0031230978736250434,COMPLETE
91,0.7933333333333333,2025-05-22 14:47:42.005148,2025-05-22 14:48:37.198809,0 days 00:00:55.193661,0.85,0.0008660243307721303,COMPLETE
56,0.7930000000000001,2025-05-22 14:15:24.880790,2025-05-22 14:16:24.014273,0 days 00:00:59.133483,0.85,0.003283182963995471,COMPLETE
4,0.793,2025-05-22 13:27:25.883641,2025-05-22 13:28:22.869930,0 days 00:00:56.986289,0.65,0.00273731426285411,COMPLETE
49,0.7926666666666667,2025-05-22 14:08:45.515562,2025-05-22 14:09:42.668614,0 days 00:00:57.153052,0.9,0.004367672559361164,COMPLETE
96,0.7920000000000001,2025-05-22 14:52:20.157076,2025-05-22 14:53:18.874804,0 days 00:00:58.717728,0.85,0.0004235995717945623,COMPLETE
10,0.7916666666666666,2025-05-22 13:33:10.833962,2025-05-22 13:33:59.894378,0 days 00:00:49.060416,0.30000000000000004,0.6052620012984757,COMPLETE
81,0.7916666666666666,2025-05-22 14:38:28.664474,2025-05-22 14:39:19.802301,0 days 00:00:51.137827,0.85,0.0010745835418224808,COMPLETE
71,0.7906666666666667,2025-05-22 14:29:17.503987,2025-05-22 14:30:13.074894,0 days 00:00:55.570907,0.8,0.07065704279015102,COMPLETE
88,0.7906666666666666,2025-05-22 14:44:55.526239,2025-05-22 14:45:53.832005,0 days 00:00:58.305766,0.9,0.003104780492490026,COMPLETE
20,0.7906666666666666,2025-05-22 13:42:07.804450,2025-05-22 13:43:01.723356,0 days 00:00:53.918906,0.1,0.9930279668502126,COMPLETE
86,0.7903333333333334,2025-05-22 14:43:05.629571,2025-05-22 14:44:01.334942,0 days 00:00:55.705371,0.8,0.011322115438157697,COMPLETE
31,0.7903333333333333,2025-05-22 13:52:14.113743,2025-05-22 13:53:11.173387,0 days 00:00:57.059644,0.7000000000000001,0.0011545775234816176,COMPLETE
18,0.79,2025-05-22 13:40:17.795401,2025-05-22 13:41:09.985110,0 days 00:00:52.189709,0.75,0.0838197073616763,COMPLETE
30,0.79,2025-05-22 13:51:18.124609,2025-05-22 13:52:14.073120,0 days 00:00:55.948511,0.9,0.01377131486976192,COMPLETE
93,0.79,2025-05-22 14:49:32.821460,2025-05-22 14:50:27.079012,0 days 00:00:54.257552,0.8,0.0008597091108625247,COMPLETE
38,0.7896666666666667,2025-05-22 13:58:41.003199,2025-05-22 13:59:37.952775,0 days 00:00:56.949576,0.9,0.00012520600484121997,COMPLETE
13,0.7893333333333334,2025-05-22 13:35:41.784074,2025-05-22 13:36:37.528033,0 days 00:00:55.743959,0.4,0.03162629104669268,COMPLETE
98,0.7893333333333333,2025-05-22 14:54:15.451399,2025-05-22 14:55:10.568759,0 days 00:00:55.117360,0.6,0.03813168251610475,COMPLETE
