number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
45,0.6066666666666666,2025-05-22 12:22:13.049046,2025-05-22 12:22:35.749277,0 days 00:00:22.700231,0.85,0.04175725725594414,COMPLETE
59,0.6026666666666666,2025-05-22 12:28:02.238360,2025-05-22 12:28:27.555504,0 days 00:00:25.317144,0.85,1.0459777289526368e-05,COMPLETE
77,0.6023333333333333,2025-05-22 12:35:44.171281,2025-05-22 12:36:07.045312,0 days 00:00:22.874031,0.9,0.008758631329993985,COMPLETE
55,0.602,2025-05-22 12:26:18.735715,2025-05-22 12:26:44.049590,0 days 00:00:25.313875,0.9,6.088138194463083e-05,COMPLETE
17,0.6013333333333333,2025-05-22 12:10:41.868167,2025-05-22 12:11:07.924317,0 days 00:00:26.056150,0.7000000000000001,0.022289578862277983,COMPLETE
49,0.6006666666666667,2025-05-22 12:23:48.115147,2025-05-22 12:24:12.024494,0 days 00:00:23.909347,0.8,4.141636890448395e-06,COMPLETE
47,0.6003333333333334,2025-05-22 12:23:01.997382,2025-05-22 12:23:24.982695,0 days 00:00:22.985313,0.85,0.23271516774785928,COMPLETE
14,0.6,2025-05-22 12:09:21.148996,2025-05-22 12:09:46.393770,0 days 00:00:25.244774,0.9,0.010627581231216049,COMPLETE
84,0.5996666666666667,2025-05-22 12:38:37.719113,2025-05-22 12:39:02.784412,0 days 00:00:25.065299,0.85,0.0002953219811226303,COMPLETE
76,0.5996666666666667,2025-05-22 12:35:18.366882,2025-05-22 12:35:44.132287,0 days 00:00:25.765405,0.85,0.0004484032799719288,COMPLETE
64,0.599,2025-05-22 12:30:05.855468,2025-05-22 12:30:31.261175,0 days 00:00:25.405707,0.85,5.285128712926838e-05,COMPLETE
95,0.5986666666666667,2025-05-22 12:43:12.335003,2025-05-22 12:43:38.314082,0 days 00:00:25.979079,0.9,0.00019475281226318582,COMPLETE
28,0.5986666666666666,2025-05-22 12:15:09.387951,2025-05-22 12:15:33.385017,0 days 00:00:23.997066,0.85,0.04555057505021566,COMPLETE
78,0.5986666666666666,2025-05-22 12:36:07.085547,2025-05-22 12:36:31.718910,0 days 00:00:24.633363,0.9,0.004420598285454408,COMPLETE
51,0.5983333333333333,2025-05-22 12:24:38.207270,2025-05-22 12:25:04.305095,0 days 00:00:26.097825,0.8,9.866135575399148e-06,COMPLETE
98,0.598,2025-05-22 12:44:29.792432,2025-05-22 12:44:55.648481,0 days 00:00:25.856049,0.85,2.990971327533764e-05,COMPLETE
18,0.598,2025-05-22 12:11:07.962460,2025-05-22 12:11:31.438721,0 days 00:00:23.476261,0.7000000000000001,0.06515558270560831,COMPLETE
15,0.598,2025-05-22 12:09:46.433264,2025-05-22 12:10:12.591683,0 days 00:00:26.158419,0.9,0.01620339859808554,COMPLETE
52,0.598,2025-05-22 12:25:04.343335,2025-05-22 12:25:26.886503,0 days 00:00:22.543168,0.75,0.20289465449552962,COMPLETE
58,0.5976666666666667,2025-05-22 12:27:38.130503,2025-05-22 12:28:02.201461,0 days 00:00:24.070958,0.7000000000000001,0.0001343437497033383,COMPLETE
61,0.5976666666666666,2025-05-22 12:28:53.603292,2025-05-22 12:29:16.459097,0 days 00:00:22.855805,0.85,1.8349114515209843e-06,COMPLETE
82,0.5973333333333333,2025-05-22 12:37:46.503909,2025-05-22 12:38:12.761661,0 days 00:00:26.257752,0.8,0.000525756160370544,COMPLETE
94,0.597,2025-05-22 12:42:47.731789,2025-05-22 12:43:12.296979,0 days 00:00:24.565190,0.85,0.0003493616031973969,COMPLETE
3,0.597,2025-05-22 12:04:37.970270,2025-05-22 12:05:03.974460,0 days 00:00:26.004190,0.85,0.003455004748109418,COMPLETE
