number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
67,0.5916666666666667,2025-05-22 09:52:00.820423,2025-05-22 09:52:37.944511,0 days 00:00:37.124088,0.75,0.0877181417889797,COMPLETE
77,0.5896666666666667,2025-05-22 09:58:36.541829,2025-05-22 09:59:16.028424,0 days 00:00:39.486595,0.65,0.009288015372506885,COMPLETE
65,0.5893333333333334,2025-05-22 09:50:45.463194,2025-05-22 09:51:21.660433,0 days 00:00:36.197239,0.65,0.020750624440662568,COMPLETE
11,0.5876666666666667,2025-05-22 09:15:04.282004,2025-05-22 09:15:41.366918,0 days 00:00:37.084914,0.6,0.16022836367628623,COMPLETE
42,0.5870000000000001,2025-05-22 09:35:38.616997,2025-05-22 09:36:15.213873,0 days 00:00:36.596876,0.5,9.739784597025288e-05,COMPLETE
13,0.5853333333333333,2025-05-22 09:16:24.594562,2025-05-22 09:17:01.308159,0 days 00:00:36.713597,0.6,0.026040157816458392,COMPLETE
83,0.5853333333333333,2025-05-22 10:02:32.183606,2025-05-22 10:03:14.558551,0 days 00:00:42.374945,0.5,0.1493694122133992,COMPLETE
16,0.5813333333333334,2025-05-22 09:18:18.485293,2025-05-22 09:18:58.611557,0 days 00:00:40.126264,0.75,0.027848412825341628,COMPLETE
14,0.5813333333333333,2025-05-22 09:17:01.346926,2025-05-22 09:17:38.276936,0 days 00:00:36.930010,0.8,0.10771288595473975,COMPLETE
48,0.581,2025-05-22 09:39:36.979036,2025-05-22 09:40:13.526328,0 days 00:00:36.547292,0.55,2.454668367846856e-06,COMPLETE
30,0.58,2025-05-22 09:27:38.606691,2025-05-22 09:28:17.912538,0 days 00:00:39.305847,0.6,0.000883297144708205,COMPLETE
98,0.58,2025-05-22 10:12:26.908290,2025-05-22 10:13:03.886765,0 days 00:00:36.978475,0.55,0.44939225371966735,COMPLETE
72,0.58,2025-05-22 09:55:13.010155,2025-05-22 09:55:52.685987,0 days 00:00:39.675832,0.8,0.05881596062733631,COMPLETE
71,0.5790000000000001,2025-05-22 09:54:36.712832,2025-05-22 09:55:12.972251,0 days 00:00:36.259419,0.7000000000000001,0.025367618487568373,COMPLETE
78,0.5783333333333333,2025-05-22 09:59:16.067255,2025-05-22 09:59:55.813049,0 days 00:00:39.745794,0.75,0.9190510616869122,COMPLETE
25,0.5783333333333333,2025-05-22 09:24:14.466661,2025-05-22 09:24:57.527495,0 days 00:00:43.060834,0.8,0.28741297665481186,COMPLETE
82,0.5783333333333333,2025-05-22 10:01:55.017144,2025-05-22 10:02:32.145087,0 days 00:00:37.127943,0.6,0.07453276515316656,COMPLETE
