number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
71,0.8096666666666668,2025-05-22 06:39:35.713237,2025-05-22 06:40:15.540310,0 days 00:00:39.827073,0.8,0.3485405416507474,COMPLETE
35,0.806,2025-05-22 06:17:17.627372,2025-05-22 06:17:58.676440,0 days 00:00:41.049068,0.65,0.46432325027505367,COMPLETE
55,0.8053333333333333,2025-05-22 06:29:50.947080,2025-05-22 06:30:30.745842,0 days 00:00:39.798762,0.8,0.9391310976957962,COMPLETE
72,0.805,2025-05-22 06:40:15.576431,2025-05-22 06:40:54.410932,0 days 00:00:38.834501,0.85,0.3049938966712232,COMPLETE
54,0.8046666666666668,2025-05-22 06:29:13.266914,2025-05-22 06:29:50.905428,0 days 00:00:37.638514,0.8,0.26507766554184786,COMPLETE
74,0.8033333333333333,2025-05-22 06:41:32.753746,2025-05-22 06:42:06.351456,0 days 00:00:33.597710,0.85,0.1807027701681262,COMPLETE
95,0.8026666666666666,2025-05-22 06:55:00.443823,2025-05-22 06:55:37.715695,0 days 00:00:37.271872,0.7000000000000001,0.3020386809687786,COMPLETE
69,0.8023333333333333,2025-05-22 06:38:19.257821,2025-05-22 06:38:59.715932,0 days 00:00:40.458111,0.8,0.3353283932533089,COMPLETE
89,0.8023333333333333,2025-05-22 06:50:57.866594,2025-05-22 06:51:38.640076,0 days 00:00:40.773482,0.8,0.9939725080529447,COMPLETE
31,0.8023333333333333,2025-05-22 06:14:41.021007,2025-05-22 06:15:21.142287,0 days 00:00:40.121280,0.7000000000000001,0.3448088630896991,COMPLETE
32,0.802,2025-05-22 06:15:21.184182,2025-05-22 06:15:57.370515,0 days 00:00:36.186333,0.85,0.29780805492093715,COMPLETE
80,0.802,2025-05-22 06:45:15.668112,2025-05-22 06:45:52.793019,0 days 00:00:37.124907,0.55,0.3804267736503698,COMPLETE
91,0.8016666666666667,2025-05-22 06:52:19.639696,2025-05-22 06:53:00.917797,0 days 00:00:41.278101,0.75,0.47650617562517317,COMPLETE
61,0.8016666666666667,2025-05-22 06:33:36.511619,2025-05-22 06:34:13.621409,0 days 00:00:37.109790,0.8,0.529250583404859,COMPLETE
22,0.8016666666666667,2025-05-22 06:09:03.742672,2025-05-22 06:09:41.585481,0 days 00:00:37.842809,0.8,0.26829327527761676,COMPLETE
21,0.8013333333333333,2025-05-22 06:08:27.130660,2025-05-22 06:09:03.701170,0 days 00:00:36.570510,0.8,0.5462298640889689,COMPLETE
76,0.8013333333333333,2025-05-22 06:42:45.221383,2025-05-22 06:43:19.615167,0 days 00:00:34.393784,0.85,0.6227334385826464,COMPLETE
26,0.801,2025-05-22 06:11:33.133265,2025-05-22 06:12:08.870175,0 days 00:00:35.736910,0.85,0.28666840786736,COMPLETE
63,0.8006666666666667,2025-05-22 06:34:50.115806,2025-05-22 06:35:23.587522,0 days 00:00:33.471716,0.9,0.4491788629921921,COMPLETE
16,0.8003333333333335,2025-05-22 06:05:15.843858,2025-05-22 06:05:53.317235,0 days 00:00:37.473377,0.75,0.13588937651747623,COMPLETE
43,0.8003333333333335,2025-05-22 06:22:26.277571,2025-05-22 06:23:03.413219,0 days 00:00:37.135648,0.9,0.5571669590020353,COMPLETE
52,0.8003333333333335,2025-05-22 06:28:01.826428,2025-05-22 06:28:35.787041,0 days 00:00:33.960613,0.85,0.7453547165338145,COMPLETE
13,0.8003333333333335,2025-05-22 06:03:17.189909,2025-05-22 06:03:54.470685,0 days 00:00:37.280776,0.7000000000000001,0.9728238499641692,COMPLETE
12,0.8003333333333332,2025-05-22 06:02:38.825577,2025-05-22 06:03:17.151949,0 days 00:00:38.326372,0.75,0.8741020919144644,COMPLETE
45,0.7996666666666666,2025-05-22 06:23:41.788140,2025-05-22 06:24:18.642766,0 days 00:00:36.854626,0.65,0.2485780662730541,COMPLETE
87,0.7996666666666666,2025-05-22 06:49:44.180174,2025-05-22 06:50:20.916898,0 days 00:00:36.736724,0.85,0.7170798928861538,COMPLETE
86,0.7996666666666666,2025-05-22 06:49:06.883270,2025-05-22 06:49:44.141065,0 days 00:00:37.257795,0.8,0.3736491551681422,COMPLETE
96,0.7996666666666666,2025-05-22 06:55:37.754623,2025-05-22 06:56:16.244957,0 days 00:00:38.490334,0.7000000000000001,0.714042235871224,COMPLETE
82,0.7996666666666666,2025-05-22 06:46:32.695381,2025-05-22 06:47:10.379388,0 days 00:00:37.684007,0.8,0.6867350520201894,COMPLETE
42,0.7996666666666666,2025-05-22 06:21:49.893784,2025-05-22 06:22:26.239786,0 days 00:00:36.346002,0.75,0.1123390759430425,COMPLETE
25,0.7993333333333333,2025-05-22 06:10:55.146079,2025-05-22 06:11:33.092780,0 days 00:00:37.946701,0.65,0.45290883286704103,COMPLETE
49,0.799,2025-05-22 06:26:12.246447,2025-05-22 06:26:49.271001,0 days 00:00:37.024554,0.9,0.26024808189477483,COMPLETE
30,0.7986666666666667,2025-05-22 06:13:59.544616,2025-05-22 06:14:40.980642,0 days 00:00:41.436026,0.7000000000000001,0.19380547922332833,COMPLETE
75,0.7986666666666666,2025-05-22 06:42:06.391552,2025-05-22 06:42:45.180107,0 days 00:00:38.788555,0.75,0.15521490052649412,COMPLETE
14,0.798,2025-05-22 06:03:54.509097,2025-05-22 06:04:35.529252,0 days 00:00:41.020155,0.7000000000000001,0.20899669891598024,COMPLETE
23,0.7973333333333334,2025-05-22 06:09:41.623817,2025-05-22 06:10:21.598295,0 days 00:00:39.974478,0.8,0.3908264871421326,COMPLETE
73,0.7973333333333334,2025-05-22 06:40:54.449626,2025-05-22 06:41:32.713380,0 days 00:00:38.263754,0.9,0.315481187881591,COMPLETE
65,0.797,2025-05-22 06:35:54.911381,2025-05-22 06:36:32.863701,0 days 00:00:37.952320,0.85,0.18906259295633546,COMPLETE
41,0.797,2025-05-22 06:21:14.171444,2025-05-22 06:21:49.854039,0 days 00:00:35.682595,0.85,0.4138731004342316,COMPLETE
36,0.797,2025-05-22 06:17:58.716684,2025-05-22 06:18:33.676013,0 days 00:00:34.959329,0.65,0.09534312610043437,COMPLETE
33,0.797,2025-05-22 06:15:57.411380,2025-05-22 06:16:36.514503,0 days 00:00:39.103123,0.8,0.08055986403403306,COMPLETE
59,0.7960000000000002,2025-05-22 06:32:22.313190,2025-05-22 06:33:00.197769,0 days 00:00:37.884579,0.75,0.9920286526661986,COMPLETE
47,0.7959999999999999,2025-05-22 06:24:56.879480,2025-05-22 06:25:35.289674,0 days 00:00:38.410194,0.7000000000000001,0.6340445057743195,COMPLETE
62,0.7956666666666669,2025-05-22 06:34:13.659301,2025-05-22 06:34:50.071801,0 days 00:00:36.412500,0.8,0.2696444102859006,COMPLETE
10,0.7956666666666666,2025-05-22 06:01:26.369688,2025-05-22 06:02:00.285815,0 days 00:00:33.916127,0.9,0.9935881038128707,COMPLETE
84,0.7953333333333333,2025-05-22 06:47:51.612269,2025-05-22 06:48:28.449201,0 days 00:00:36.836932,0.9,0.2305396348487402,COMPLETE
78,0.7953333333333333,2025-05-22 06:43:57.173794,2025-05-22 06:44:38.100835,0 days 00:00:40.927041,0.7000000000000001,0.19795016070985788,COMPLETE
51,0.7953333333333333,2025-05-22 06:27:22.853117,2025-05-22 06:28:01.786583,0 days 00:00:38.933466,0.85,0.34392581473340544,COMPLETE
97,0.795,2025-05-22 06:56:16.283162,2025-05-22 06:56:53.381244,0 days 00:00:37.098082,0.6,0.35590552171614015,COMPLETE
93,0.795,2025-05-22 06:53:38.834844,2025-05-22 06:54:19.951799,0 days 00:00:41.116955,0.9,0.2281368088172997,COMPLETE
90,0.795,2025-05-22 06:51:38.680609,2025-05-22 06:52:19.598755,0 days 00:00:40.918146,0.8,0.9274702460738743,COMPLETE
37,0.7946666666666666,2025-05-22 06:18:33.716931,2025-05-22 06:19:13.603039,0 days 00:00:39.886108,0.55,0.40371034929697913,COMPLETE
11,0.794,2025-05-22 06:02:00.324589,2025-05-22 06:02:38.784466,0 days 00:00:38.459877,0.9,0.7808480220679187,COMPLETE
81,0.794,2025-05-22 06:45:52.832802,2025-05-22 06:46:32.656906,0 days 00:00:39.824104,0.85,0.31220329692440835,COMPLETE
58,0.7936666666666667,2025-05-22 06:31:47.647360,2025-05-22 06:32:22.274147,0 days 00:00:34.626787,0.8,0.13377629605462035,COMPLETE
53,0.7936666666666667,2025-05-22 06:28:35.824882,2025-05-22 06:29:13.225273,0 days 00:00:37.400391,0.75,0.17235221597094072,COMPLETE
88,0.7933333333333333,2025-05-22 06:50:20.956641,2025-05-22 06:50:57.826074,0 days 00:00:36.869433,0.85,0.062339697495804286,COMPLETE
27,0.7933333333333333,2025-05-22 06:12:08.911942,2025-05-22 06:12:45.813211,0 days 00:00:36.901269,0.85,0.023683047139274008,COMPLETE
46,0.793,2025-05-22 06:24:18.681286,2025-05-22 06:24:56.839603,0 days 00:00:38.158317,0.85,0.14017086339791793,COMPLETE
85,0.7920000000000001,2025-05-22 06:48:28.489033,2025-05-22 06:49:06.843537,0 days 00:00:38.354504,0.75,0.48940670217715243,COMPLETE
7,0.7916666666666666,2025-05-22 05:59:36.448644,2025-05-22 06:00:14.815282,0 days 00:00:38.366638,0.9,0.05983071932397071,COMPLETE
18,0.7916666666666666,2025-05-22 06:06:33.418848,2025-05-22 06:07:07.631730,0 days 00:00:34.212882,0.6,0.1967001195958414,COMPLETE
77,0.7916666666666666,2025-05-22 06:43:19.656793,2025-05-22 06:43:57.133095,0 days 00:00:37.476302,0.9,0.09934040071936844,COMPLETE
98,0.7913333333333333,2025-05-22 06:56:53.422039,2025-05-22 06:57:33.592552,0 days 00:00:40.170513,0.65,0.9958053476591373,COMPLETE
92,0.7906666666666667,2025-05-22 06:53:00.959797,2025-05-22 06:53:38.794916,0 days 00:00:37.835119,0.8,0.15907186972292692,COMPLETE
4,0.7906666666666666,2025-05-22 05:57:49.550172,2025-05-22 05:58:30.081683,0 days 00:00:40.531511,0.65,0.0015404990986682358,COMPLETE
83,0.7906666666666666,2025-05-22 06:47:10.420730,2025-05-22 06:47:51.572230,0 days 00:00:41.151500,0.85,0.11936308061181973,COMPLETE
66,0.7906666666666666,2025-05-22 06:36:32.904638,2025-05-22 06:37:10.241199,0 days 00:00:37.336561,0.75,0.6219851003922301,COMPLETE
34,0.7903333333333333,2025-05-22 06:16:36.553657,2025-05-22 06:17:17.585454,0 days 00:00:41.031797,0.75,0.029705085450830077,COMPLETE
60,0.7893333333333334,2025-05-22 06:33:00.236574,2025-05-22 06:33:36.468170,0 days 00:00:36.231596,0.6,0.020530398446514476,COMPLETE
24,0.7893333333333334,2025-05-22 06:10:21.637185,2025-05-22 06:10:55.105787,0 days 00:00:33.468602,0.8,0.048115145432090584,COMPLETE
40,0.789,2025-05-22 06:20:34.099431,2025-05-22 06:21:14.133635,0 days 00:00:40.034204,0.7000000000000001,0.0022641286194679338,COMPLETE
68,0.7886666666666667,2025-05-22 06:37:45.957159,2025-05-22 06:38:19.218940,0 days 00:00:33.261781,0.7000000000000001,0.08769813016009216,COMPLETE
94,0.7883333333333334,2025-05-22 06:54:19.992094,2025-05-22 06:55:00.403230,0 days 00:00:40.411136,0.85,0.00018982765132294783,COMPLETE
