number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
67,0.8895424836601307,2025-05-23 08:56:18.706367,2025-05-23 08:57:51.654488,0 days 00:01:32.948121,0.9,0.0003182835591167127,COMPLETE
16,0.8879084967320261,2025-05-23 07:39:41.846384,2025-05-23 07:41:17.253795,0 days 00:01:35.407411,0.75,3.0090303288600395e-05,COMPLETE
68,0.8869281045751634,2025-05-23 08:57:51.694821,2025-05-23 08:59:25.860849,0 days 00:01:34.166028,0.9,8.832023046499844e-05,COMPLETE
70,0.8866013071895424,2025-05-23 09:01:01.464139,2025-05-23 09:02:31.054167,0 days 00:01:29.590028,0.9,1.0834975242752196e-05,COMPLETE
93,0.8866013071895424,2025-05-23 09:35:55.556626,2025-05-23 09:37:26.663908,0 days 00:01:31.107282,0.9,2.552770119903241e-06,COMPLETE
35,0.8862745098039215,2025-05-23 08:08:28.149205,2025-05-23 08:09:57.156877,0 days 00:01:29.007672,0.85,0.0024600193623429585,COMPLETE
88,0.8859477124183006,2025-05-23 09:28:07.139981,2025-05-23 09:29:42.962596,0 days 00:01:35.822615,0.85,4.656002423790969e-06,COMPLETE
77,0.8859477124183006,2025-05-23 09:11:19.055327,2025-05-23 09:12:46.190418,0 days 00:01:27.135091,0.85,2.755420882364831e-06,COMPLETE
91,0.8856209150326797,2025-05-23 09:32:55.685480,2025-05-23 09:34:22.517303,0 days 00:01:26.831823,0.85,5.036576843663119e-06,COMPLETE
95,0.8856209150326797,2025-05-23 09:39:09.275492,2025-05-23 09:40:46.775234,0 days 00:01:37.499742,0.9,2.4341460251576893e-06,COMPLETE
23,0.8856209150326797,2025-05-23 07:50:17.814608,2025-05-23 07:51:52.352217,0 days 00:01:34.537609,0.9,6.306930557794582e-05,COMPLETE
69,0.8856209150326797,2025-05-23 08:59:25.901790,2025-05-23 09:01:01.420802,0 days 00:01:35.519012,0.9,1.1035456552726399e-05,COMPLETE
79,0.8852941176470588,2025-05-23 09:14:20.867496,2025-05-23 09:15:55.036330,0 days 00:01:34.168834,0.85,5.2396685998175885e-06,COMPLETE
89,0.8852941176470588,2025-05-23 09:29:43.003770,2025-05-23 09:31:18.956745,0 days 00:01:35.952975,0.8,1.2793012146218824e-05,COMPLETE
99,0.8849673202614379,2025-05-23 09:45:19.116370,2025-05-23 09:46:46.690891,0 days 00:01:27.574521,0.8,0.0001611394844674737,COMPLETE
14,0.8849673202614379,2025-05-23 07:36:43.126517,2025-05-23 07:38:23.184405,0 days 00:01:40.057888,0.7000000000000001,0.0008184263798416823,COMPLETE
84,0.884640522875817,2025-05-23 09:22:09.050632,2025-05-23 09:23:33.991994,0 days 00:01:24.941362,0.9,2.2142907715173828e-06,COMPLETE
28,0.8839869281045751,2025-05-23 07:58:00.855251,2025-05-23 07:59:38.494160,0 days 00:01:37.638909,0.65,0.00036754221767694136,COMPLETE
46,0.8839869281045751,2025-05-23 08:24:55.508454,2025-05-23 08:26:35.352367,0 days 00:01:39.843913,0.75,0.00022656181364435582,COMPLETE
73,0.8839869281045751,2025-05-23 09:05:31.962721,2025-05-23 09:06:55.681027,0 days 00:01:23.718306,0.85,2.4080923105146003e-05,COMPLETE
87,0.8839869281045751,2025-05-23 09:26:37.558837,2025-05-23 09:28:07.092948,0 days 00:01:29.534111,0.9,3.513038434995918e-05,COMPLETE
31,0.8836601307189542,2025-05-23 08:02:50.982950,2025-05-23 08:04:25.513182,0 days 00:01:34.530232,0.65,0.00038764782461681035,COMPLETE
39,0.8836601307189542,2025-05-23 08:14:35.601508,2025-05-23 08:16:00.978453,0 days 00:01:25.376945,0.75,9.392010514243509e-06,COMPLETE
47,0.8836601307189542,2025-05-23 08:26:35.392351,2025-05-23 08:28:16.946241,0 days 00:01:41.553890,0.8,0.003906519188561351,COMPLETE
72,0.8833333333333333,2025-05-23 09:03:58.493306,2025-05-23 09:05:31.921830,0 days 00:01:33.428524,0.9,1.33377505676109e-05,COMPLETE
82,0.8833333333333333,2025-05-23 09:19:01.366504,2025-05-23 09:20:42.239059,0 days 00:01:40.872555,0.85,7.532266061349428e-06,COMPLETE
27,0.8833333333333333,2025-05-23 07:56:26.106249,2025-05-23 07:58:00.815683,0 days 00:01:34.709434,0.9,0.00223797794592703,COMPLETE
59,0.8833333333333333,2025-05-23 08:44:40.544509,2025-05-23 08:46:17.089179,0 days 00:01:36.544670,0.8,0.0011040738907992173,COMPLETE
86,0.8833333333333333,2025-05-23 09:25:10.480443,2025-05-23 09:26:37.517056,0 days 00:01:27.036613,0.85,9.065612591466042e-06,COMPLETE
97,0.8833333333333333,2025-05-23 09:42:15.602166,2025-05-23 09:43:49.691506,0 days 00:01:34.089340,0.45000000000000007,7.897059354325443e-06,COMPLETE
65,0.8830065359477124,2025-05-23 08:53:19.570382,2025-05-23 08:54:52.804041,0 days 00:01:33.233659,0.65,0.0017259580040243964,COMPLETE
19,0.8830065359477124,2025-05-23 07:44:02.979138,2025-05-23 07:45:44.402619,0 days 00:01:41.423481,0.8,6.444421946774993e-05,COMPLETE
24,0.8830065359477124,2025-05-23 07:51:52.393362,2025-05-23 07:53:23.724154,0 days 00:01:31.330792,0.9,0.000250698009077075,COMPLETE
80,0.8830065359477124,2025-05-23 09:15:55.076730,2025-05-23 09:17:36.518153,0 days 00:01:41.441423,0.9,3.395061960897955e-06,COMPLETE
53,0.8826797385620915,2025-05-23 08:35:35.570816,2025-05-23 08:36:53.174294,0 days 00:01:17.603478,0.75,2.9149112498129652e-05,COMPLETE
20,0.8826797385620915,2025-05-23 07:45:44.447285,2025-05-23 07:47:26.233865,0 days 00:01:41.786580,0.45000000000000007,0.0008967502890598327,COMPLETE
57,0.8823529411764706,2025-05-23 08:41:27.826641,2025-05-23 08:43:09.740422,0 days 00:01:41.913781,0.9,0.00013061491367650737,COMPLETE
76,0.8823529411764706,2025-05-23 09:09:47.733152,2025-05-23 09:11:19.015036,0 days 00:01:31.281884,0.9,8.365913854291522e-05,COMPLETE
92,0.8823529411764706,2025-05-23 09:34:22.559809,2025-05-23 09:35:55.516646,0 days 00:01:32.956837,0.85,1.5137519807446596e-06,COMPLETE
13,0.8820261437908496,2025-05-23 07:35:15.299258,2025-05-23 07:36:43.086591,0 days 00:01:27.787333,0.7000000000000001,0.0010979854142423747,COMPLETE
10,0.8820261437908496,2025-05-23 07:30:39.850501,2025-05-23 07:32:21.770413,0 days 00:01:41.919912,0.6,0.006141606837430783,COMPLETE
38,0.8820261437908496,2025-05-23 08:13:06.598139,2025-05-23 08:14:35.561195,0 days 00:01:28.963056,0.9,3.1719567769243945e-05,COMPLETE
81,0.8820261437908496,2025-05-23 09:17:36.558862,2025-05-23 09:19:01.329995,0 days 00:01:24.771133,0.85,1.1284930860887519e-06,COMPLETE
32,0.8816993464052287,2025-05-23 08:04:25.550986,2025-05-23 08:05:58.120852,0 days 00:01:32.569866,0.65,0.00013219413802644615,COMPLETE
96,0.8816993464052287,2025-05-23 09:40:46.817239,2025-05-23 09:42:15.559072,0 days 00:01:28.741833,0.9,6.061568112481776e-05,COMPLETE
58,0.8816993464052287,2025-05-23 08:43:09.780279,2025-05-23 08:44:40.505095,0 days 00:01:30.724816,0.7000000000000001,4.946727655819337e-05,COMPLETE
60,0.8816993464052287,2025-05-23 08:46:17.134419,2025-05-23 08:47:48.075871,0 days 00:01:30.941452,0.85,0.00046235631729349744,COMPLETE
55,0.8813725490196078,2025-05-23 08:38:32.788179,2025-05-23 08:39:53.838018,0 days 00:01:21.049839,0.65,0.0002414729265169517,COMPLETE
4,0.8813725490196078,2025-05-23 07:21:17.140806,2025-05-23 07:22:53.106450,0 days 00:01:35.965644,0.65,0.0474110470512368,COMPLETE
17,0.8813725490196078,2025-05-23 07:41:17.294454,2025-05-23 07:42:44.000427,0 days 00:01:26.705973,0.75,1.3149070554869416e-06,COMPLETE
41,0.8813725490196078,2025-05-23 08:17:20.231054,2025-05-23 08:18:56.524186,0 days 00:01:36.293132,0.65,0.000388062654535216,COMPLETE
94,0.8810457516339869,2025-05-23 09:37:26.704290,2025-05-23 09:39:09.235768,0 days 00:01:42.531478,0.9,3.2342910865891726e-06,COMPLETE
36,0.8810457516339869,2025-05-23 08:09:57.190890,2025-05-23 08:11:31.445896,0 days 00:01:34.255006,0.85,0.0025598796439266374,COMPLETE
83,0.8810457516339869,2025-05-23 09:20:42.279006,2025-05-23 09:22:09.008300,0 days 00:01:26.729294,0.8,4.91843806788419e-06,COMPLETE
71,0.8810457516339869,2025-05-23 09:02:31.099515,2025-05-23 09:03:58.452893,0 days 00:01:27.353378,0.9,6.1039446290028944e-06,COMPLETE
78,0.880718954248366,2025-05-23 09:12:46.230813,2025-05-23 09:14:20.829153,0 days 00:01:34.598340,0.9,2.318533354402287e-06,COMPLETE
30,0.880718954248366,2025-05-23 08:01:14.619120,2025-05-23 08:02:50.944164,0 days 00:01:36.325044,0.75,1.7026188870430157e-06,COMPLETE
51,0.8803921568627451,2025-05-23 08:33:07.747949,2025-05-23 08:34:27.540022,0 days 00:01:19.792073,0.75,0.00026070489866213185,COMPLETE
45,0.8803921568627451,2025-05-23 08:23:19.333968,2025-05-23 08:24:55.468322,0 days 00:01:36.134354,0.6,9.615797144374169e-05,COMPLETE
85,0.8803921568627451,2025-05-23 09:23:34.032625,2025-05-23 09:25:10.440196,0 days 00:01:36.407571,0.8,1.9451168944512016e-05,COMPLETE
50,0.8803921568627451,2025-05-23 08:31:33.963529,2025-05-23 08:33:07.707532,0 days 00:01:33.744003,0.7000000000000001,0.001440759658989643,COMPLETE
21,0.8797385620915033,2025-05-23 07:47:26.274886,2025-05-23 07:48:50.614247,0 days 00:01:24.339361,0.8,5.842559361150998e-05,COMPLETE
34,0.8797385620915033,2025-05-23 08:06:52.602223,2025-05-23 08:08:28.106897,0 days 00:01:35.504674,0.8,0.00013472739614312304,COMPLETE
8,0.8797385620915033,2025-05-23 07:27:23.907020,2025-05-23 07:29:05.936344,0 days 00:01:42.029324,0.85,0.37016946138146556,COMPLETE
62,0.8797385620915033,2025-05-23 08:49:06.983410,2025-05-23 08:50:41.245446,0 days 00:01:34.262036,0.55,0.0007258634271093292,COMPLETE
3,0.8790849673202614,2025-05-23 07:19:35.283677,2025-05-23 07:21:17.100239,0 days 00:01:41.816562,0.5,0.2918797650240585,COMPLETE
56,0.8790849673202614,2025-05-23 08:39:53.877880,2025-05-23 08:41:27.784758,0 days 00:01:33.906878,0.1,3.2418435023124616e-06,COMPLETE
5,0.8784313725490196,2025-05-23 07:22:53.147152,2025-05-23 07:24:20.126011,0 days 00:01:26.978859,0.55,0.14315030044973429,COMPLETE
90,0.8784313725490196,2025-05-23 09:31:18.996878,2025-05-23 09:32:55.644640,0 days 00:01:36.647762,0.25,2.3068199655681392e-05,COMPLETE
49,0.8784313725490196,2025-05-23 08:29:58.714133,2025-05-23 08:31:33.920357,0 days 00:01:35.206224,0.6,0.10354675365676727,COMPLETE
43,0.8784313725490196,2025-05-23 08:20:33.358025,2025-05-23 08:22:01.802097,0 days 00:01:28.444072,0.55,7.505053733053565e-05,COMPLETE
66,0.8784313725490196,2025-05-23 08:54:52.849404,2025-05-23 08:56:18.663200,0 days 00:01:25.813796,0.7000000000000001,0.004555526960337152,COMPLETE
0,0.8781045751633987,2025-05-23 07:15:03.867080,2025-05-23 07:16:45.207229,0 days 00:01:41.340149,0.85,0.07028242954559487,COMPLETE
44,0.8781045751633987,2025-05-23 08:22:01.842674,2025-05-23 08:23:19.292534,0 days 00:01:17.449860,0.30000000000000004,0.0002077012540115397,COMPLETE
6,0.8774509803921569,2025-05-23 07:24:20.167157,2025-05-23 07:25:53.401828,0 days 00:01:33.234671,0.1,1.6724484090996548e-05,COMPLETE
1,0.8764705882352941,2025-05-23 07:16:45.249057,2025-05-23 07:18:14.681287,0 days 00:01:29.432230,0.15000000000000002,0.00021385045720031482,COMPLETE
42,0.8761437908496732,2025-05-23 08:18:56.559927,2025-05-23 08:20:33.319383,0 days 00:01:36.759456,0.7000000000000001,0.0005186444975846868,COMPLETE
2,0.8761437908496732,2025-05-23 07:18:14.723956,2025-05-23 07:19:35.243722,0 days 00:01:20.519766,0.25,0.009525439457991529,COMPLETE
12,0.8761437908496732,2025-05-23 07:33:39.638974,2025-05-23 07:35:15.260004,0 days 00:01:35.621030,0.4,0.006701506106087025,COMPLETE
22,0.8754901960784314,2025-05-23 07:48:50.656003,2025-05-23 07:50:17.774867,0 days 00:01:27.118864,0.7000000000000001,1.9358389520479057e-05,COMPLETE
48,0.8751633986928105,2025-05-23 08:28:16.986936,2025-05-23 08:29:58.673601,0 days 00:01:41.686665,0.5,0.7162019830772435,COMPLETE
37,0.8735294117647059,2025-05-23 08:11:31.486945,2025-05-23 08:13:06.556571,0 days 00:01:35.069626,0.85,0.02118534142954693,COMPLETE
74,0.8620915032679739,2025-05-23 09:06:55.724709,2025-05-23 09:08:29.654345,0 days 00:01:33.929636,0.9,1.0821723058999028e-05,COMPLETE
7,0.8607843137254902,2025-05-23 07:25:53.442180,2025-05-23 07:27:23.865636,0 days 00:01:30.423456,0.2,0.0001344187367679424,COMPLETE
25,0.8607843137254902,2025-05-23 07:53:23.763496,2025-05-23 07:54:58.414444,0 days 00:01:34.650948,0.8,6.584286874648886e-06,COMPLETE
29,0.8607843137254902,2025-05-23 07:59:38.534424,2025-05-23 08:01:14.578232,0 days 00:01:36.043808,0.85,0.02545383871603341,COMPLETE
98,0.8594771241830066,2025-05-23 09:43:49.732112,2025-05-23 09:45:19.073291,0 days 00:01:29.341179,0.85,1.931041912415447e-06,COMPLETE
26,0.8594771241830066,2025-05-23 07:54:58.456388,2025-05-23 07:56:26.067882,0 days 00:01:27.611494,0.7000000000000001,4.181581184071257e-05,COMPLETE
54,0.8575163398692811,2025-05-23 08:36:53.214874,2025-05-23 08:38:32.744415,0 days 00:01:39.529541,0.8,0.009293621858890936,COMPLETE
40,0.8575163398692811,2025-05-23 08:16:01.021382,2025-05-23 08:17:20.190426,0 days 00:01:19.169044,0.85,0.0030066262180655817,COMPLETE
11,0.8568627450980392,2025-05-23 07:32:21.810813,2025-05-23 07:33:39.597894,0 days 00:01:17.787081,0.6,0.006182186286430266,COMPLETE
