number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
91,0.7553333333333333,2025-05-22 22:01:49.883361,2025-05-22 22:02:23.924574,0 days 00:00:34.041213,0.6,0.00010436846887522669,COMPLETE
68,0.7543333333333333,2025-05-22 21:48:50.769778,2025-05-22 21:49:24.969010,0 days 00:00:34.199232,0.7000000000000001,0.0030189214772751794,COMPLETE
82,0.7536666666666667,2025-05-22 21:56:45.813698,2025-05-22 21:57:19.802724,0 days 00:00:33.989026,0.55,0.00012284376226788312,COMPLETE
45,0.7536666666666667,2025-05-22 21:35:48.748506,2025-05-22 21:36:22.824491,0 days 00:00:34.075985,0.6,0.02105206735604285,COMPLETE
25,0.7533333333333333,2025-05-22 21:24:35.481922,2025-05-22 21:25:09.310656,0 days 00:00:33.828734,0.5,5.656343531152163e-05,COMPLETE
43,0.7533333333333333,2025-05-22 21:34:40.054454,2025-05-22 21:35:14.184703,0 days 00:00:34.130249,0.6,0.02392643568013194,COMPLETE
92,0.7526666666666667,2025-05-22 22:02:23.963676,2025-05-22 22:02:57.762202,0 days 00:00:33.798526,0.6,0.00011175834700038385,COMPLETE
9,0.7526666666666667,2025-05-22 21:15:31.312219,2025-05-22 21:16:04.819664,0 days 00:00:33.507445,0.6,0.0011874690212017001,COMPLETE
13,0.7523333333333334,2025-05-22 21:17:47.378643,2025-05-22 21:18:21.382069,0 days 00:00:34.003426,0.75,6.88523711128644e-06,COMPLETE
58,0.7516666666666666,2025-05-22 21:43:09.483431,2025-05-22 21:43:43.786050,0 days 00:00:34.302619,0.7000000000000001,0.0011939115319414026,COMPLETE
80,0.7516666666666666,2025-05-22 21:55:38.474264,2025-05-22 21:56:11.880178,0 days 00:00:33.405914,0.55,0.00013709585494185071,COMPLETE
81,0.7516666666666666,2025-05-22 21:56:11.918380,2025-05-22 21:56:45.773948,0 days 00:00:33.855568,0.6,0.00014312836626932475,COMPLETE
90,0.7513333333333333,2025-05-22 22:01:15.712848,2025-05-22 22:01:49.839970,0 days 00:00:34.127122,0.7000000000000001,0.0009035806330908599,COMPLETE
