number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
26,0.9205137525748213,2025-06-05 03:15:12.395713,2025-06-05 03:17:20.701526,0 days 00:02:08.305813,0.7000000000000001,0.0038629550754626083,True,COMPLETE
94,0.9186962316733309,2025-06-05 05:38:48.914162,2025-06-05 05:40:55.885115,0 days 00:02:06.970953,0.85,0.0043921509489803605,True,COMPLETE
80,0.9185750636132316,2025-06-05 05:09:08.290907,2025-06-05 05:11:14.340038,0 days 00:02:06.049131,0.7000000000000001,0.2960895444297271,True,COMPLETE
66,0.9182115594329335,2025-06-05 04:39:36.271164,2025-06-05 04:41:45.204916,0 days 00:02:08.933752,0.8,0.0016684035818889686,True,COMPLETE
36,0.9179692233127348,2025-06-05 03:36:26.784601,2025-06-05 03:38:33.551534,0 days 00:02:06.766933,0.75,0.026183030873303873,False,COMPLETE
58,0.9178480552526352,2025-06-05 04:22:37.846923,2025-06-05 04:24:44.917588,0 days 00:02:07.070665,0.85,1.155539599952124e-06,True,COMPLETE
73,0.917726887192536,2025-06-05 04:54:25.716321,2025-06-05 04:56:33.721713,0 days 00:02:08.005392,0.8,0.0009785621372394493,True,COMPLETE
55,0.9176057191324367,2025-06-05 04:16:25.689254,2025-06-05 04:18:32.703398,0 days 00:02:07.014144,0.85,0.1859028355008612,True,COMPLETE
43,0.9174845510723374,2025-06-05 03:51:14.747211,2025-06-05 03:53:21.612167,0 days 00:02:06.864956,0.8,0.023087334930213182,False,COMPLETE
33,0.9173633830122379,2025-06-05 03:30:07.796168,2025-06-05 03:32:15.063668,0 days 00:02:07.267500,0.9,3.3777893787785074e-05,True,COMPLETE
22,0.9172422149521386,2025-06-05 03:06:39.412098,2025-06-05 03:08:47.989578,0 days 00:02:08.577480,0.65,0.00046741113154083957,True,COMPLETE
38,0.9172422149521386,2025-06-05 03:40:38.927793,2025-06-05 03:42:47.685979,0 days 00:02:08.758186,0.85,0.032258223497021385,False,COMPLETE
60,0.9171210468920393,2025-06-05 04:26:51.180966,2025-06-05 04:28:57.528686,0 days 00:02:06.347720,0.85,9.282220023741865e-06,True,COMPLETE
14,0.9171210468920393,2025-06-05 02:49:46.101294,2025-06-05 02:51:54.277743,0 days 00:02:08.176449,0.25,0.0007323334377849396,True,COMPLETE
54,0.9171210468920391,2025-06-05 04:14:18.485366,2025-06-05 04:16:25.652210,0 days 00:02:07.166844,0.8,0.003190416885936145,False,COMPLETE
15,0.9169998788319399,2025-06-05 02:51:54.316421,2025-06-05 02:54:01.949835,0 days 00:02:07.633414,0.2,0.00037380382187639786,True,COMPLETE
64,0.9167575427117413,2025-06-05 04:35:19.252583,2025-06-05 04:37:27.448101,0 days 00:02:08.195518,0.85,7.182446178158282e-06,True,COMPLETE
3,0.9167575427117413,2025-06-05 02:26:42.905583,2025-06-05 02:28:49.108712,0 days 00:02:06.203129,0.8,0.04576261742177714,True,COMPLETE
48,0.9167575427117413,2025-06-05 04:01:41.411991,2025-06-05 04:03:47.621255,0 days 00:02:06.209264,0.8,0.265783601123283,False,COMPLETE
84,0.9167575427117413,2025-06-05 05:17:34.364136,2025-06-05 05:19:40.853974,0 days 00:02:06.489838,0.85,0.10321604388453151,True,COMPLETE
77,0.9166363746516418,2025-06-05 05:02:56.597971,2025-06-05 05:05:04.849142,0 days 00:02:08.251171,0.75,0.003803053001685698,True,COMPLETE
65,0.9166363746516418,2025-06-05 04:37:27.485828,2025-06-05 04:39:36.234378,0 days 00:02:08.748550,0.9,0.0006039332193022704,True,COMPLETE
68,0.9166363746516417,2025-06-05 04:43:53.062423,2025-06-05 04:46:01.160732,0 days 00:02:08.098309,0.85,0.002308185601724501,True,COMPLETE
89,0.9165152065915425,2025-06-05 05:28:10.190970,2025-06-05 05:30:16.355311,0 days 00:02:06.164341,0.75,0.00011590918626116919,False,COMPLETE
46,0.9165152065915425,2025-06-05 03:57:31.621692,2025-06-05 03:59:36.081797,0 days 00:02:04.460105,0.9,0.08395723811001456,False,COMPLETE
41,0.9165152065915425,2025-06-05 03:47:03.346462,2025-06-05 03:49:08.281449,0 days 00:02:04.934987,0.85,0.03176351266670355,False,COMPLETE
62,0.9163940385314432,2025-06-05 04:31:03.819060,2025-06-05 04:33:11.258911,0 days 00:02:07.439851,0.7000000000000001,0.00011674574490738996,True,COMPLETE
40,0.916394038531443,2025-06-05 03:44:54.620536,2025-06-05 03:47:03.306314,0 days 00:02:08.685778,0.75,0.8916731820911493,False,COMPLETE
45,0.9162728704713438,2025-06-05 03:55:25.054799,2025-06-05 03:57:31.500883,0 days 00:02:06.446084,0.65,0.022688239044962272,False,COMPLETE
92,0.9161517024112443,2025-06-05 05:34:31.682273,2025-06-05 05:36:40.448978,0 days 00:02:08.766705,0.75,0.006216944457139369,True,COMPLETE
20,0.9161517024112443,2025-06-05 03:02:25.503278,2025-06-05 03:04:30.820674,0 days 00:02:05.317396,0.30000000000000004,1.7282770562790135e-05,True,COMPLETE
9,0.9160305343511451,2025-06-05 02:39:19.701536,2025-06-05 02:41:27.922546,0 days 00:02:08.221010,0.35,0.0026398700942847518,True,COMPLETE
21,0.9160305343511451,2025-06-05 03:04:30.861455,2025-06-05 03:06:39.373651,0 days 00:02:08.512196,0.5,0.010898793214208323,True,COMPLETE
27,0.9160305343511451,2025-06-05 03:17:20.739051,2025-06-05 03:19:29.574985,0 days 00:02:08.835934,0.7000000000000001,0.0042637813887221095,True,COMPLETE
75,0.9160305343511451,2025-06-05 04:58:41.638391,2025-06-05 05:00:49.132797,0 days 00:02:07.494406,0.8,0.0016582875224495325,True,COMPLETE
12,0.9159093662910457,2025-06-05 02:45:40.956199,2025-06-05 02:47:46.417440,0 days 00:02:05.461241,0.6,6.559380417038394e-05,True,COMPLETE
44,0.9159093662910456,2025-06-05 03:53:21.649479,2025-06-05 03:55:25.016748,0 days 00:02:03.367269,0.8,0.009184481502127492,False,COMPLETE
56,0.9159093662910456,2025-06-05 04:18:32.740439,2025-06-05 04:20:32.967568,0 days 00:02:00.227129,0.75,0.15155232376742012,True,COMPLETE
47,0.9159093662910456,2025-06-05 03:59:36.120309,2025-06-05 04:01:41.374235,0 days 00:02:05.253926,0.75,0.0025697356243229736,False,COMPLETE
86,0.9157881982309464,2025-06-05 05:21:47.879273,2025-06-05 05:23:56.233271,0 days 00:02:08.353998,0.65,0.6270012665792739,True,COMPLETE
83,0.915667030170847,2025-06-05 05:15:29.965632,2025-06-05 05:17:34.327398,0 days 00:02:04.361766,0.8,0.35522460530593297,True,COMPLETE
97,0.915667030170847,2025-06-05 05:45:11.208047,2025-06-05 05:47:20.495928,0 days 00:02:09.287881,0.8,0.073162836962917,True,COMPLETE
