number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
7,0.9472010178117048,2025-06-06 07:10:11.270430,2025-06-06 07:12:10.223598,0 days 00:01:58.953168,0.8,0.47142720211761724,True,COMPLETE
37,0.9462922573609598,2025-06-06 08:10:09.107485,2025-06-06 08:12:07.517700,0 days 00:01:58.410215,0.8,4.673984939347793e-05,True,COMPLETE
55,0.9459287531806616,2025-06-06 08:45:55.098646,2025-06-06 08:47:55.829800,0 days 00:02:00.731154,0.7000000000000001,0.13206818463511186,True,COMPLETE
28,0.9459287531806616,2025-06-06 07:52:11.604296,2025-06-06 07:54:10.161437,0 days 00:01:58.557141,0.7000000000000001,3.78157145936484e-05,True,COMPLETE
57,0.945837877135587,2025-06-06 08:49:55.183397,2025-06-06 08:51:53.617466,0 days 00:01:58.434069,0.7000000000000001,0.13906521442770942,True,COMPLETE
25,0.9457470010905125,2025-06-06 07:46:09.274562,2025-06-06 07:48:07.928378,0 days 00:01:58.653816,0.8,0.004092189458442754,True,COMPLETE
80,0.9456561250454381,2025-06-06 09:35:43.376442,2025-06-06 09:37:41.730360,0 days 00:01:58.353918,0.25,0.00017740411072629183,True,COMPLETE
92,0.9456561250454381,2025-06-06 09:59:41.144475,2025-06-06 10:01:39.697063,0 days 00:01:58.552588,0.65,2.0392422807025245e-05,True,COMPLETE
94,0.9455652490003637,2025-06-06 10:03:38.031796,2025-06-06 10:05:38.653993,0 days 00:02:00.622197,0.6,2.259835993630576e-05,True,COMPLETE
0,0.9455652490003635,2025-06-06 06:56:13.290896,2025-06-06 06:58:16.060705,0 days 00:02:02.769809,0.15000000000000002,0.007159705528550665,True,COMPLETE
27,0.9454743729552891,2025-06-06 07:50:07.988604,2025-06-06 07:52:11.565615,0 days 00:02:03.577011,0.55,0.0034050470075574052,True,COMPLETE
30,0.9454743729552891,2025-06-06 07:56:14.021275,2025-06-06 07:58:14.714551,0 days 00:02:00.693276,0.85,2.2102053933207648e-05,True,COMPLETE
61,0.9454743729552891,2025-06-06 08:57:54.299652,2025-06-06 08:59:59.718434,0 days 00:02:05.418782,0.8,0.4372358689171895,True,COMPLETE
85,0.9454743729552891,2025-06-06 09:45:39.363465,2025-06-06 09:47:39.784928,0 days 00:02:00.421463,0.30000000000000004,5.2910001631451186e-05,True,COMPLETE
87,0.9454743729552891,2025-06-06 09:49:37.955758,2025-06-06 09:51:38.446197,0 days 00:02:00.490439,0.75,0.0025970641231098965,True,COMPLETE
17,0.9454743729552889,2025-06-06 07:30:14.976329,2025-06-06 07:32:13.497112,0 days 00:01:58.520783,0.8,0.3124941869973405,True,COMPLETE
89,0.9454743729552889,2025-06-06 09:53:36.788033,2025-06-06 09:55:42.242297,0 days 00:02:05.454264,0.8,0.0003954711645784654,True,COMPLETE
98,0.9453834969102145,2025-06-06 10:11:39.895393,2025-06-06 10:13:40.660036,0 days 00:02:00.764643,0.7000000000000001,1.1459902689963022e-05,True,COMPLETE
95,0.9453834969102145,2025-06-06 10:05:38.692506,2025-06-06 10:07:39.435046,0 days 00:02:00.742540,0.6,2.353496500698774e-05,True,COMPLETE
60,0.9453834969102145,2025-06-06 08:55:53.305430,2025-06-06 08:57:54.256916,0 days 00:02:00.951486,0.65,0.1553034980485056,True,COMPLETE
34,0.94529262086514,2025-06-06 08:04:11.651107,2025-06-06 08:06:09.956401,0 days 00:01:58.305294,0.85,0.017284586062932296,True,COMPLETE
5,0.94529262086514,2025-06-06 07:06:11.522012,2025-06-06 07:08:11.625369,0 days 00:02:00.103357,0.85,0.07896280149876343,False,COMPLETE
12,0.9452017448200655,2025-06-06 07:20:08.930326,2025-06-06 07:22:09.382630,0 days 00:02:00.452304,0.9,0.0048300071088221794,True,COMPLETE
31,0.9452017448200655,2025-06-06 07:58:14.751469,2025-06-06 08:00:13.133493,0 days 00:01:58.382024,0.8,0.00027860333142714976,True,COMPLETE
53,0.9451108687749911,2025-06-06 08:41:55.937495,2025-06-06 08:43:56.347363,0 days 00:02:00.409868,0.55,0.0009526366076545327,True,COMPLETE
4,0.9451108687749911,2025-06-06 07:04:12.560407,2025-06-06 07:06:11.485350,0 days 00:01:58.924943,0.4,0.0006900153494933126,True,COMPLETE
40,0.9451108687749908,2025-06-06 08:16:08.031856,2025-06-06 08:18:09.009273,0 days 00:02:00.977417,0.65,1.3191702740619623e-06,True,COMPLETE
41,0.9451108687749908,2025-06-06 08:18:09.046382,2025-06-06 08:20:09.687938,0 days 00:02:00.641556,0.8,6.867346053467077e-05,True,COMPLETE
96,0.9451108687749908,2025-06-06 10:07:39.471880,2025-06-06 10:09:39.850847,0 days 00:02:00.378967,0.65,1.5176546198673027e-05,True,COMPLETE
73,0.9451108687749908,2025-06-06 09:21:48.246304,2025-06-06 09:23:48.705512,0 days 00:02:00.459208,0.65,0.008208951624419102,True,COMPLETE
81,0.9451108687749908,2025-06-06 09:37:41.769364,2025-06-06 09:39:42.360973,0 days 00:02:00.591609,0.2,3.676164240462921e-05,True,COMPLETE
86,0.9451108687749908,2025-06-06 09:47:39.821830,2025-06-06 09:49:37.915670,0 days 00:01:58.093840,0.1,1.840273595597106e-05,True,COMPLETE
83,0.9451108687749908,2025-06-06 09:41:41.004297,2025-06-06 09:43:41.078408,0 days 00:02:00.074111,0.2,8.675563075370914e-06,True,COMPLETE
38,0.9450199927299164,2025-06-06 08:12:07.558328,2025-06-06 08:14:07.774632,0 days 00:02:00.216304,0.9,3.286401059672024e-05,True,COMPLETE
64,0.9450199927299164,2025-06-06 09:04:00.640591,2025-06-06 09:05:58.955916,0 days 00:01:58.315325,0.75,0.0630481861516492,True,COMPLETE
91,0.9450199927299164,2025-06-06 09:57:40.526993,2025-06-06 09:59:41.107498,0 days 00:02:00.580505,0.8,6.510815600798581e-05,True,COMPLETE
42,0.9450199927299163,2025-06-06 08:20:09.729617,2025-06-06 08:22:08.011238,0 days 00:01:58.281621,0.75,0.005895286485642416,True,COMPLETE
72,0.9450199927299163,2025-06-06 09:19:50.193476,2025-06-06 09:21:48.209780,0 days 00:01:58.016304,0.55,0.005381058487581782,True,COMPLETE
1,0.9450199927299163,2025-06-06 06:58:16.098644,2025-06-06 07:00:15.816940,0 days 00:01:59.718296,0.15000000000000002,0.0001260023867030972,True,COMPLETE
82,0.9449291166848419,2025-06-06 09:39:42.398652,2025-06-06 09:41:40.963923,0 days 00:01:58.565271,0.15000000000000002,0.00018083688575175265,True,COMPLETE
51,0.9449291166848419,2025-06-06 08:37:59.500494,2025-06-06 08:39:57.417399,0 days 00:01:57.916905,0.5,0.0030520290014049633,True,COMPLETE
44,0.9449291166848419,2025-06-06 08:24:08.304997,2025-06-06 08:26:06.401014,0 days 00:01:58.096017,0.8,0.00021745745023461855,True,COMPLETE
14,0.9449291166848419,2025-06-06 07:24:09.991122,2025-06-06 07:26:10.391602,0 days 00:02:00.400480,0.7000000000000001,0.0012807170676770413,True,COMPLETE
46,0.9449291166848419,2025-06-06 08:28:04.777285,2025-06-06 08:30:04.648743,0 days 00:01:59.871458,0.85,0.0016506596117746189,False,COMPLETE
45,0.9449291166848419,2025-06-06 08:26:06.439970,2025-06-06 08:28:04.739028,0 days 00:01:58.299058,0.15000000000000002,0.000104869962900771,True,COMPLETE
70,0.9449291166848419,2025-06-06 09:15:51.704763,2025-06-06 09:17:51.948850,0 days 00:02:00.244087,0.9,3.489399119475598e-05,True,COMPLETE
48,0.9448382406397675,2025-06-06 08:32:05.205802,2025-06-06 08:34:03.105043,0 days 00:01:57.899241,0.75,2.9326587943501995e-06,True,COMPLETE
99,0.9448382406397675,2025-06-06 10:13:40.703215,2025-06-06 10:15:42.631831,0 days 00:02:01.928616,0.75,5.23656451438797e-05,True,COMPLETE
39,0.9448382406397675,2025-06-06 08:14:07.811842,2025-06-06 08:16:07.993423,0 days 00:02:00.181581,0.85,1.2152426087735192e-05,False,COMPLETE
32,0.9448382406397674,2025-06-06 08:00:13.172014,2025-06-06 08:02:13.703678,0 days 00:02:00.531664,0.7000000000000001,5.2166868014227574e-05,True,COMPLETE
52,0.9448382406397674,2025-06-06 08:39:57.460888,2025-06-06 08:41:55.900807,0 days 00:01:58.439919,0.4,0.002669600684879505,True,COMPLETE
63,0.9448382406397674,2025-06-06 09:02:00.202198,2025-06-06 09:04:00.601522,0 days 00:02:00.399324,0.7000000000000001,0.023722970745043745,True,COMPLETE
20,0.9447473645946928,2025-06-06 07:36:12.053532,2025-06-06 07:38:12.472863,0 days 00:02:00.419331,0.25,0.040057541498798706,True,COMPLETE
19,0.9447473645946928,2025-06-06 07:34:13.569244,2025-06-06 07:36:12.016159,0 days 00:01:58.446915,0.30000000000000004,0.000144741054993398,True,COMPLETE
22,0.9447473645946928,2025-06-06 07:40:10.982047,2025-06-06 07:42:09.387670,0 days 00:01:58.405623,0.9,0.22998802987996045,True,COMPLETE
23,0.9447473645946928,2025-06-06 07:42:09.426321,2025-06-06 07:44:07.864479,0 days 00:01:58.438158,0.75,0.2444360427338773,True,COMPLETE
58,0.9447473645946928,2025-06-06 08:51:53.656487,2025-06-06 08:53:54.196149,0 days 00:02:00.539662,0.7000000000000001,0.19063734264201085,True,COMPLETE
62,0.9447473645946928,2025-06-06 08:59:59.764418,2025-06-06 09:02:00.163801,0 days 00:02:00.399383,0.8,0.11939677636221196,True,COMPLETE
