number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
57,0.9697101449275363,2025-06-08 09:35:28.853891,2025-06-08 09:41:25.988170,0 days 00:05:57.134279,0.2,2.8214209093772568e-06,False,COMPLETE
55,0.9694202898550724,2025-06-08 09:23:33.800886,2025-06-08 09:29:31.677008,0 days 00:05:57.876122,0.30000000000000004,2.1503374981875863e-06,False,COMPLETE
62,0.9693236714975845,2025-06-08 10:04:48.141084,2025-06-08 10:10:43.871794,0 days 00:05:55.730710,0.30000000000000004,1.004761551123124e-06,False,COMPLETE
53,0.9693236714975845,2025-06-08 09:11:43.233367,2025-06-08 09:17:36.916345,0 days 00:05:53.682978,0.35,1.604505719040614e-05,False,COMPLETE
66,0.9693236714975845,2025-06-08 10:28:17.779947,2025-06-08 10:34:15.521867,0 days 00:05:57.741920,0.30000000000000004,2.917707653199384e-05,False,COMPLETE
19,0.9692753623188405,2025-06-08 05:54:01.266893,2025-06-08 06:00:01.640453,0 days 00:06:00.373560,0.45000000000000007,0.0007655104977278504,True,COMPLETE
74,0.9692753623188405,2025-06-08 11:14:53.203291,2025-06-08 11:20:50.085626,0 days 00:05:56.882335,0.4,5.09098858296713e-05,False,COMPLETE
14,0.9691787439613527,2025-06-08 05:25:18.418724,2025-06-08 05:31:20.254781,0 days 00:06:01.836057,0.75,0.0006467487303812326,True,COMPLETE
20,0.9691304347826087,2025-06-08 06:00:01.681701,2025-06-08 06:05:46.774338,0 days 00:05:45.092637,0.45000000000000007,0.000950102736028029,True,COMPLETE
54,0.9691304347826087,2025-06-08 09:17:36.956133,2025-06-08 09:23:33.763046,0 days 00:05:56.806913,0.30000000000000004,1.0144853717323993e-06,False,COMPLETE
73,0.9690821256038648,2025-06-08 11:09:03.543416,2025-06-08 11:14:53.164721,0 days 00:05:49.621305,0.55,3.1344559456624056e-06,False,COMPLETE
30,0.9690821256038648,2025-06-08 06:57:36.367294,2025-06-08 07:03:37.321306,0 days 00:06:00.954012,0.45000000000000007,0.001985236283755361,True,COMPLETE
68,0.9690338164251208,2025-06-08 10:39:56.845135,2025-06-08 10:45:53.922496,0 days 00:05:57.077361,0.25,7.212763840306133e-05,False,COMPLETE
56,0.9689855072463768,2025-06-08 09:29:31.714034,2025-06-08 09:35:28.812227,0 days 00:05:57.098193,0.30000000000000004,1.1279187172669861e-06,False,COMPLETE
52,0.9689855072463768,2025-06-08 09:05:47.797307,2025-06-08 09:11:43.195901,0 days 00:05:55.398594,0.35,6.442877229132253e-06,False,COMPLETE
60,0.9689371980676329,2025-06-08 09:52:56.025512,2025-06-08 09:58:52.801988,0 days 00:05:56.776476,0.25,1.1761917617389711e-05,False,COMPLETE
47,0.9689371980676329,2025-06-08 08:36:26.676280,2025-06-08 08:42:25.693645,0 days 00:05:59.017365,0.4,6.119970529814255e-06,False,COMPLETE
27,0.9689371980676329,2025-06-08 06:40:09.457605,2025-06-08 06:46:00.990249,0 days 00:05:51.532644,0.35,1.825138852422739e-05,True,COMPLETE
51,0.9688888888888889,2025-06-08 08:59:52.971187,2025-06-08 09:05:47.756872,0 days 00:05:54.785685,0.4,2.7982613700476454e-06,False,COMPLETE
0,0.9688888888888889,2025-06-08 04:03:50.041701,2025-06-08 04:09:55.905741,0 days 00:06:05.864040,0.65,0.0063504794896407915,True,COMPLETE
39,0.9688888888888889,2025-06-08 07:49:49.137097,2025-06-08 07:55:44.569848,0 days 00:05:55.432751,0.4,0.0009481994835830799,False,COMPLETE
11,0.9688888888888888,2025-06-08 05:07:45.827494,2025-06-08 05:13:33.943208,0 days 00:05:48.115714,0.9,0.9894374604793551,True,COMPLETE
10,0.9688405797101449,2025-06-08 05:01:56.799773,2025-06-08 05:07:45.789259,0 days 00:05:48.989486,0.9,0.6700246683534264,True,COMPLETE
12,0.9688405797101449,2025-06-08 05:13:33.980595,2025-06-08 05:19:27.177975,0 days 00:05:53.197380,0.9,0.8545604224691952,True,COMPLETE
61,0.9688405797101449,2025-06-08 09:58:52.844103,2025-06-08 10:04:48.103631,0 days 00:05:55.259528,0.25,1.7333541482081667e-06,False,COMPLETE
29,0.968743961352657,2025-06-08 06:51:48.018116,2025-06-08 06:57:36.330058,0 days 00:05:48.311942,0.6,0.0060129351009269244,True,COMPLETE
46,0.968743961352657,2025-06-08 08:30:43.736383,2025-06-08 08:36:26.637448,0 days 00:05:42.901065,0.15000000000000002,0.21187008593255754,True,COMPLETE
71,0.968743961352657,2025-06-08 10:57:19.711386,2025-06-08 11:03:16.581454,0 days 00:05:56.870068,0.35,0.00047995754750062387,False,COMPLETE
42,0.9686956521739131,2025-06-08 08:07:35.470227,2025-06-08 08:13:27.196341,0 days 00:05:51.726114,0.45000000000000007,8.353566686343827e-06,True,COMPLETE
23,0.9686956521739131,2025-06-08 06:17:18.602460,2025-06-08 06:23:07.179907,0 days 00:05:48.577447,0.4,4.0327890540592395e-05,True,COMPLETE
37,0.9686473429951691,2025-06-08 07:38:09.424155,2025-06-08 07:44:07.478683,0 days 00:05:58.054528,0.35,7.089365016506084e-05,False,COMPLETE
41,0.968647342995169,2025-06-08 08:01:34.764813,2025-06-08 08:07:35.431229,0 days 00:06:00.666416,0.35,1.36455894345641e-06,True,COMPLETE
28,0.9685990338164251,2025-06-08 06:46:01.028686,2025-06-08 06:51:47.980229,0 days 00:05:46.951543,0.2,0.04348385396936534,True,COMPLETE
6,0.9685024154589373,2025-06-08 04:39:01.162737,2025-06-08 04:44:43.088285,0 days 00:05:41.925548,0.30000000000000004,3.286091872920046e-06,False,COMPLETE
