number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
17,0.9667149758454107,2025-06-09 14:22:59.849109,2025-06-09 14:32:19.765595,0 days 00:09:19.916486,0.8,0.00017746991276849076,False,COMPLETE
30,0.9657971014492753,2025-06-09 16:23:59.942507,2025-06-09 16:33:34.864478,0 days 00:09:34.921971,0.65,1.6617127763934789e-06,False,COMPLETE
46,0.9655555555555555,2025-06-09 18:50:17.573135,2025-06-09 18:58:50.622644,0 days 00:08:33.049509,0.8,0.03597995197642484,True,COMPLETE
40,0.9655072463768116,2025-06-09 17:55:44.495099,2025-06-09 18:04:34.898672,0 days 00:08:50.403573,0.65,0.0016134131094728064,True,COMPLETE
26,0.9653623188405797,2025-06-09 15:45:03.566202,2025-06-09 15:54:48.226132,0 days 00:09:44.659930,0.65,6.689005301287987e-06,True,COMPLETE
8,0.9651690821256039,2025-06-09 12:59:06.319280,2025-06-09 13:08:19.679779,0 days 00:09:13.360499,0.7000000000000001,0.05009653536518046,False,COMPLETE
13,0.9651690821256039,2025-06-09 13:45:11.670158,2025-06-09 13:55:25.607357,0 days 00:10:13.937199,0.5,0.00022994527195279688,True,COMPLETE
41,0.9651207729468599,2025-06-09 18:04:34.936877,2025-06-09 18:13:56.083536,0 days 00:09:21.146659,0.65,0.001285150301072003,True,COMPLETE
21,0.964975845410628,2025-06-09 15:00:05.406945,2025-06-09 15:09:09.377905,0 days 00:09:03.970960,0.75,0.00029076361964629476,False,COMPLETE
3,0.9648792270531401,2025-06-09 12:12:37.644720,2025-06-09 12:22:41.009541,0 days 00:10:03.364821,0.7000000000000001,0.10164296571046282,True,COMPLETE
27,0.9648792270531401,2025-06-09 15:54:48.263216,2025-06-09 16:04:13.827049,0 days 00:09:25.563833,0.7000000000000001,8.097696392484183e-06,False,COMPLETE
47,0.9648792270531401,2025-06-09 18:58:50.661791,2025-06-09 19:07:40.197594,0 days 00:08:49.535803,0.8,0.004184606219485493,True,COMPLETE
6,0.9648309178743961,2025-06-09 12:40:57.452856,2025-06-09 12:49:57.090854,0 days 00:08:59.637998,0.25,0.0031616811700640735,True,COMPLETE
