number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
51,0.9315703380588877,2025-06-07 05:46:38.392163,2025-06-07 05:49:49.988757,0 days 00:03:11.596594,0.9,0.011366864519407755,False,COMPLETE
79,0.931479462013813,2025-06-07 07:14:37.046611,2025-06-07 07:17:48.940955,0 days 00:03:11.894344,0.9,6.381467795342801e-05,False,COMPLETE
17,0.9313885859687386,2025-06-07 03:59:49.857164,2025-06-07 04:02:58.828238,0 days 00:03:08.971074,0.9,5.9188982469280135e-05,False,COMPLETE
11,0.9310250817884406,2025-06-07 03:40:34.059389,2025-06-07 03:43:42.754379,0 days 00:03:08.694990,0.9,1.2309649864701702e-06,False,COMPLETE
0,0.930934205743366,2025-06-07 03:06:06.919116,2025-06-07 03:09:18.326904,0 days 00:03:11.407788,0.9,2.8737663686298637e-05,False,COMPLETE
62,0.930934205743366,2025-06-07 06:20:59.499413,2025-06-07 06:24:12.724953,0 days 00:03:13.225540,0.9,4.349620680463759e-06,False,COMPLETE
46,0.9308433296982915,2025-06-07 05:30:59.762628,2025-06-07 05:34:07.670996,0 days 00:03:07.908368,0.75,0.011632198766820126,False,COMPLETE
64,0.9308433296982915,2025-06-07 06:27:19.069488,2025-06-07 06:30:28.520822,0 days 00:03:09.451334,0.9,7.950145429656688e-06,False,COMPLETE
42,0.9308433296982915,2025-06-07 05:18:26.571988,2025-06-07 05:21:32.864685,0 days 00:03:06.292697,0.85,6.497539521518678e-06,False,COMPLETE
83,0.9308433296982915,2025-06-07 07:27:06.050559,2025-06-07 07:30:16.046660,0 days 00:03:09.996101,0.9,1.3374617740682846e-06,False,COMPLETE
71,0.9307524536532169,2025-06-07 06:49:22.088837,2025-06-07 06:52:33.684839,0 days 00:03:11.596002,0.9,8.744136378481233e-06,False,COMPLETE
70,0.9306615776081425,2025-06-07 06:46:13.019507,2025-06-07 06:49:22.049974,0 days 00:03:09.030467,0.85,4.530620322008363e-06,True,COMPLETE
33,0.9306615776081425,2025-06-07 04:50:13.688522,2025-06-07 04:53:20.171582,0 days 00:03:06.483060,0.9,6.539131429682502e-06,False,COMPLETE
98,0.9306615776081425,2025-06-07 08:14:02.601692,2025-06-07 08:17:16.848436,0 days 00:03:14.246744,0.9,1.1949196477605287e-05,True,COMPLETE
93,0.9306615776081425,2025-06-07 07:58:27.204552,2025-06-07 08:01:32.554055,0 days 00:03:05.349503,0.9,1.1547532512115597e-06,False,COMPLETE
10,0.9306615776081425,2025-06-07 03:37:26.917637,2025-06-07 03:40:34.022497,0 days 00:03:07.104860,0.9,1.1240415257178944e-06,False,COMPLETE
81,0.9306615776081424,2025-06-07 07:20:59.274350,2025-06-07 07:24:02.178986,0 days 00:03:02.904636,0.9,6.066868380808575e-05,False,COMPLETE
69,0.930570701563068,2025-06-07 06:43:06.484746,2025-06-07 06:46:12.981260,0 days 00:03:06.496514,0.9,3.05745757507263e-05,False,COMPLETE
53,0.930570701563068,2025-06-07 05:52:59.730980,2025-06-07 05:56:06.002834,0 days 00:03:06.271854,0.9,0.007609834981710561,False,COMPLETE
80,0.930570701563068,2025-06-07 07:17:48.982849,2025-06-07 07:20:59.232966,0 days 00:03:10.250117,0.85,4.5792125832605686e-05,True,COMPLETE
87,0.9304798255179935,2025-06-07 07:39:41.453967,2025-06-07 07:42:48.899353,0 days 00:03:07.445386,0.9,0.002473580651743694,False,COMPLETE
23,0.9304798255179935,2025-06-07 04:18:36.254212,2025-06-07 04:21:47.482729,0 days 00:03:11.228517,0.9,3.703202875663499e-05,False,COMPLETE
91,0.9304798255179935,2025-06-07 07:52:09.211903,2025-06-07 07:55:18.970059,0 days 00:03:09.758156,0.9,2.11645096799297e-06,False,COMPLETE
95,0.9304798255179935,2025-06-07 08:04:43.308100,2025-06-07 08:07:51.971615,0 days 00:03:08.663515,0.9,2.835728441417422e-06,False,COMPLETE
92,0.9303889494729191,2025-06-07 07:55:19.007504,2025-06-07 07:58:27.166101,0 days 00:03:08.158597,0.9,1.3502505339660974e-06,False,COMPLETE
84,0.9303889494729191,2025-06-07 07:30:16.084892,2025-06-07 07:33:24.573078,0 days 00:03:08.488186,0.85,1.5886525504304883e-05,False,COMPLETE
31,0.9303889494729191,2025-06-07 04:44:03.312499,2025-06-07 04:47:09.085058,0 days 00:03:05.772559,0.9,1.0320346220988253e-06,False,COMPLETE
40,0.9303889494729191,2025-06-07 05:12:13.324214,2025-06-07 05:15:18.988223,0 days 00:03:05.664009,0.9,0.0002214688488097974,True,COMPLETE
78,0.9303889494729188,2025-06-07 07:11:26.853812,2025-06-07 07:14:37.008682,0 days 00:03:10.154870,0.9,4.836938177279212e-06,False,COMPLETE
74,0.9302980734278444,2025-06-07 06:58:55.367979,2025-06-07 07:02:02.377678,0 days 00:03:07.009699,0.9,2.065523909851076e-06,False,COMPLETE
