number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
89,0.566,2025-06-02 15:54:31.354876,2025-06-02 15:54:56.306563,0 days 00:00:24.951687,0.9,0.7420810699599224,True,COMPLETE
10,0.5643333333333334,2025-06-02 15:10:00.163114,2025-06-02 15:10:37.640355,0 days 00:00:37.477241,0.9,0.6502159100922197,False,COMPLETE
83,0.5643333333333334,2025-06-02 15:51:51.711435,2025-06-02 15:52:16.523339,0 days 00:00:24.811904,0.85,0.7319135488018199,True,COMPLETE
99,0.5643333333333334,2025-06-02 15:59:10.437786,2025-06-02 15:59:37.362306,0 days 00:00:26.924520,0.9,0.9616405738247851,True,COMPLETE
71,0.5636666666666666,2025-06-02 15:46:16.883637,2025-06-02 15:46:41.774559,0 days 00:00:24.890922,0.75,0.9746253377641565,True,COMPLETE
93,0.563,2025-06-02 15:56:22.167480,2025-06-02 15:56:49.110390,0 days 00:00:26.942910,0.9,0.6129851349794789,True,COMPLETE
91,0.5623333333333334,2025-06-02 15:55:25.808238,2025-06-02 15:55:50.923468,0 days 00:00:25.115230,0.9,0.695708482286459,True,COMPLETE
12,0.5623333333333332,2025-06-02 15:11:21.882800,2025-06-02 15:12:00.822285,0 days 00:00:38.939485,0.9,0.603552174443429,False,COMPLETE
41,0.5619999999999999,2025-06-02 15:28:20.198958,2025-06-02 15:28:53.707671,0 days 00:00:33.508713,0.9,0.47207010954993706,False,COMPLETE
81,0.5613333333333334,2025-06-02 15:50:53.930141,2025-06-02 15:51:23.369146,0 days 00:00:29.439005,0.9,0.4254755108228639,True,COMPLETE
35,0.5596666666666666,2025-06-02 15:24:58.327278,2025-06-02 15:25:31.998493,0 days 00:00:33.671215,0.85,0.40361813315991807,False,COMPLETE
68,0.5596666666666666,2025-06-02 15:44:43.589385,2025-06-02 15:45:21.380852,0 days 00:00:37.791467,0.8,0.6860349170569489,True,COMPLETE
69,0.5583333333333332,2025-06-02 15:45:21.420514,2025-06-02 15:45:48.963635,0 days 00:00:27.543121,0.8,0.795491167245718,True,COMPLETE
32,0.558,2025-06-02 15:23:23.095351,2025-06-02 15:23:53.700582,0 days 00:00:30.605231,0.85,0.45703878455875485,False,COMPLETE
61,0.557,2025-06-02 15:39:48.531249,2025-06-02 15:40:26.634472,0 days 00:00:38.103223,0.9,0.5104949573312048,False,COMPLETE
31,0.5566666666666666,2025-06-02 15:22:49.639800,2025-06-02 15:23:23.053403,0 days 00:00:33.413603,0.9,0.41175468611891797,False,COMPLETE
62,0.5556666666666668,2025-06-02 15:40:26.682577,2025-06-02 15:41:06.746928,0 days 00:00:40.064351,0.85,0.9283434454922636,False,COMPLETE
51,0.5556666666666666,2025-06-02 15:34:07.266495,2025-06-02 15:34:38.943201,0 days 00:00:31.676706,0.9,0.5395401285573626,False,COMPLETE
26,0.555,2025-06-02 15:20:08.495085,2025-06-02 15:20:43.856926,0 days 00:00:35.361841,0.8,0.9341997907205304,False,COMPLETE
90,0.5546666666666668,2025-06-02 15:54:56.344821,2025-06-02 15:55:25.772414,0 days 00:00:29.427593,0.9,0.4427358916565622,True,COMPLETE
96,0.5540000000000002,2025-06-02 15:57:44.384720,2025-06-02 15:58:13.150273,0 days 00:00:28.765553,0.85,0.5503758942815135,True,COMPLETE
52,0.5539999999999999,2025-06-02 15:34:38.986349,2025-06-02 15:35:14.303517,0 days 00:00:35.317168,0.9,0.3427227484368327,False,COMPLETE
