number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
90,0.5513333333333333,2025-06-02 22:03:48.966869,2025-06-02 22:05:32.406395,0 days 00:01:43.439526,0.9,0.4953339334689364,True,COMPLETE
83,0.5426666666666667,2025-06-02 21:55:50.170665,2025-06-02 21:56:46.053706,0 days 00:00:55.883041,0.9,0.1266553656944235,False,COMPLETE
42,0.5423333333333333,2025-06-02 21:06:08.905852,2025-06-02 21:06:57.878850,0 days 00:00:48.972998,0.9,0.14548219626406284,False,COMPLETE
94,0.537,2025-06-02 22:09:42.686822,2025-06-02 22:11:02.304608,0 days 00:01:19.617786,0.9,0.0804576584864915,True,COMPLETE
70,0.537,2025-06-02 21:40:36.092232,2025-06-02 21:41:24.230638,0 days 00:00:48.138406,0.75,0.10215605045598676,False,COMPLETE
36,0.536,2025-06-02 21:01:36.546451,2025-06-02 21:02:19.343000,0 days 00:00:42.796549,0.9,0.029571536885281205,False,COMPLETE
66,0.535,2025-06-02 21:36:26.752305,2025-06-02 21:37:25.168920,0 days 00:00:58.416615,0.85,0.06243282842025567,False,COMPLETE
45,0.535,2025-06-02 21:09:18.788352,2025-06-02 21:10:21.779169,0 days 00:01:02.990817,0.8,0.01935281704761616,False,COMPLETE
95,0.5343333333333334,2025-06-02 22:11:02.355214,2025-06-02 22:12:33.404516,0 days 00:01:31.049302,0.9,0.07725160862051528,True,COMPLETE
65,0.5340000000000001,2025-06-02 21:35:36.106318,2025-06-02 21:36:26.706604,0 days 00:00:50.600286,0.8,0.05984835040576477,False,COMPLETE
25,0.5339999999999999,2025-06-02 20:52:45.572153,2025-06-02 20:53:36.008860,0 days 00:00:50.436707,0.9,0.054783254558520046,False,COMPLETE
97,0.533,2025-06-02 22:13:36.630889,2025-06-02 22:14:42.556293,0 days 00:01:05.925404,0.9,0.03536159999017706,True,COMPLETE
47,0.5326666666666667,2025-06-02 21:11:17.723183,2025-06-02 21:12:22.775484,0 days 00:01:05.052301,0.8,0.21870318793489105,False,COMPLETE
