number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
15,0.7823333333333333,2025-05-30 07:45:03.516992,2025-05-30 07:45:38.745444,0 days 00:00:35.228452,0.55,0.0004197612837282689,True,COMPLETE
26,0.782,2025-05-30 07:51:22.665331,2025-05-30 07:51:55.185875,0 days 00:00:32.520544,0.4,0.0832954385976587,True,COMPLETE
12,0.7756666666666666,2025-05-30 07:43:16.610036,2025-05-30 07:43:51.136618,0 days 00:00:34.526582,0.7000000000000001,0.01996572444066582,True,COMPLETE
33,0.7756666666666666,2025-05-30 07:55:35.053828,2025-05-30 07:56:13.581088,0 days 00:00:38.527260,0.4,0.0011446011016988324,True,COMPLETE
59,0.7753333333333333,2025-05-30 08:10:39.128534,2025-05-30 08:11:11.286777,0 days 00:00:32.158243,0.9,2.3057866495243856e-05,True,COMPLETE
19,0.7746666666666667,2025-05-30 07:47:23.335954,2025-05-30 07:47:58.294116,0 days 00:00:34.958162,0.25,1.0336427115319323e-05,True,COMPLETE
92,0.7746666666666666,2025-05-30 08:29:35.208250,2025-05-30 08:30:13.403505,0 days 00:00:38.195255,0.55,9.83998252253967e-05,True,COMPLETE
96,0.774,2025-05-30 08:32:02.191575,2025-05-30 08:32:36.590177,0 days 00:00:34.398602,0.75,1.611631597400648e-05,True,COMPLETE
97,0.7733333333333334,2025-05-30 08:32:36.630916,2025-05-30 08:33:10.506562,0 days 00:00:33.875646,0.7000000000000001,1.3735596232640764e-05,True,COMPLETE
45,0.773,2025-05-30 08:02:23.710921,2025-05-30 08:03:01.178253,0 days 00:00:37.467332,0.15000000000000002,0.45751406142263895,True,COMPLETE
81,0.7723333333333334,2025-05-30 08:23:16.837972,2025-05-30 08:23:49.839922,0 days 00:00:33.001950,0.55,0.00011888839787463731,True,COMPLETE
0,0.7716666666666666,2025-05-30 07:36:30.349838,2025-05-30 07:37:03.650233,0 days 00:00:33.300395,0.7000000000000001,8.959972022928892e-05,True,COMPLETE
74,0.7716666666666666,2025-05-30 08:19:10.484788,2025-05-30 08:19:48.009910,0 days 00:00:37.525122,0.55,0.00011872059602881593,True,COMPLETE
79,0.7706666666666666,2025-05-30 08:22:07.342729,2025-05-30 08:22:43.375212,0 days 00:00:36.032483,0.45000000000000007,2.45534284827343e-05,True,COMPLETE
10,0.7703333333333333,2025-05-30 07:42:04.875337,2025-05-30 07:42:42.495537,0 days 00:00:37.620200,0.1,0.09046379839778929,True,COMPLETE
63,0.77,2025-05-30 08:12:52.917629,2025-05-30 08:13:24.905841,0 days 00:00:31.988212,0.9,1.0228219222059195e-06,True,COMPLETE
94,0.77,2025-05-30 08:30:47.550031,2025-05-30 08:31:24.133664,0 days 00:00:36.583633,0.6,9.86328914069089e-05,True,COMPLETE
56,0.7696666666666667,2025-05-30 08:08:52.641632,2025-05-30 08:09:26.630129,0 days 00:00:33.988497,0.25,0.0003112093331102517,True,COMPLETE
89,0.7693333333333334,2025-05-30 08:27:54.473779,2025-05-30 08:28:25.839871,0 days 00:00:31.366092,0.5,5.745962162740248e-06,True,COMPLETE
62,0.7693333333333333,2025-05-30 08:12:20.450726,2025-05-30 08:12:52.877386,0 days 00:00:32.426660,0.75,4.855363153400145e-06,True,COMPLETE
80,0.7693333333333333,2025-05-30 08:22:43.417186,2025-05-30 08:23:16.800442,0 days 00:00:33.383256,0.65,0.32483438587856617,True,COMPLETE
22,0.769,2025-05-30 07:49:08.359521,2025-05-30 07:49:43.919857,0 days 00:00:35.560336,0.30000000000000004,9.346635234538323e-06,True,COMPLETE
13,0.7686666666666667,2025-05-30 07:43:51.177598,2025-05-30 07:44:26.475889,0 days 00:00:35.298291,0.7000000000000001,0.00021975350373399342,True,COMPLETE
53,0.7683333333333332,2025-05-30 08:07:06.897146,2025-05-30 08:07:44.662033,0 days 00:00:37.764887,0.15000000000000002,0.5019535467358388,True,COMPLETE
8,0.7683333333333332,2025-05-30 07:41:00.251344,2025-05-30 07:41:32.013972,0 days 00:00:31.762628,0.8,1.4160144538925489e-05,True,COMPLETE
21,0.7679999999999999,2025-05-30 07:48:33.832446,2025-05-30 07:49:08.321577,0 days 00:00:34.489131,0.25,3.7652090960296715e-06,True,COMPLETE
27,0.7676666666666666,2025-05-30 07:51:55.224337,2025-05-30 07:52:30.182236,0 days 00:00:34.957899,0.4,0.04072586706206305,True,COMPLETE
9,0.7673333333333333,2025-05-30 07:41:32.052834,2025-05-30 07:42:04.835887,0 days 00:00:32.783053,0.85,0.002700892542821366,True,COMPLETE
44,0.7666666666666666,2025-05-30 08:01:49.746704,2025-05-30 08:02:23.671852,0 days 00:00:33.925148,0.65,0.00622810617239969,True,COMPLETE
46,0.7663333333333333,2025-05-30 08:03:01.217295,2025-05-30 08:03:37.926328,0 days 00:00:36.709033,0.5,0.00018935490132508635,True,COMPLETE
61,0.7656666666666667,2025-05-30 08:11:47.441599,2025-05-30 08:12:20.412012,0 days 00:00:32.970413,0.85,9.073892383493856e-06,True,COMPLETE
5,0.7656666666666667,2025-05-30 07:39:18.880604,2025-05-30 07:39:52.731660,0 days 00:00:33.851056,0.65,1.6749668388347015e-06,False,COMPLETE
47,0.7656666666666666,2025-05-30 08:03:38.047597,2025-05-30 08:04:14.082892,0 days 00:00:36.035295,0.8,0.07861227759753528,False,COMPLETE
91,0.7646666666666667,2025-05-30 08:29:00.502303,2025-05-30 08:29:35.168804,0 days 00:00:34.666501,0.55,0.00012242221114624666,True,COMPLETE
29,0.7643333333333334,2025-05-30 07:53:08.017684,2025-05-30 07:53:45.773085,0 days 00:00:37.755401,0.75,0.13320989130925012,True,COMPLETE
55,0.7643333333333334,2025-05-30 08:08:17.708143,2025-05-30 08:08:52.602951,0 days 00:00:34.894808,0.6,7.174851708229863e-06,True,COMPLETE
95,0.7643333333333334,2025-05-30 08:31:24.173480,2025-05-30 08:32:02.151630,0 days 00:00:37.978150,0.6,6.051547092864664e-05,True,COMPLETE
60,0.7639999999999999,2025-05-30 08:11:11.325226,2025-05-30 08:11:47.402130,0 days 00:00:36.076904,0.85,2.1962476322712214e-05,True,COMPLETE
7,0.7636666666666668,2025-05-30 07:40:28.073763,2025-05-30 07:41:00.214610,0 days 00:00:32.140847,0.25,0.0033571990330450133,True,COMPLETE
18,0.7636666666666666,2025-05-30 07:46:50.422512,2025-05-30 07:47:23.296560,0 days 00:00:32.874048,0.55,0.013553388292605446,True,COMPLETE
64,0.7636666666666666,2025-05-30 08:13:24.945686,2025-05-30 08:14:02.312742,0 days 00:00:37.367056,0.8,0.18446318552016938,True,COMPLETE
69,0.7636666666666666,2025-05-30 08:16:20.772647,2025-05-30 08:16:53.369217,0 days 00:00:32.596570,0.35,1.5896095254263127e-05,True,COMPLETE
41,0.7633333333333333,2025-05-30 08:00:08.013012,2025-05-30 08:00:40.274982,0 days 00:00:32.261970,0.35,2.123879843082565e-05,True,COMPLETE
28,0.763,2025-05-30 07:52:30.219842,2025-05-30 07:53:07.978771,0 days 00:00:37.758929,0.5,0.29201007068998114,True,COMPLETE
66,0.7629999999999999,2025-05-30 08:14:37.594219,2025-05-30 08:15:10.823958,0 days 00:00:33.229739,0.5,0.010321799803568406,True,COMPLETE
70,0.7626666666666666,2025-05-30 08:16:53.407606,2025-05-30 08:17:28.210606,0 days 00:00:34.803000,0.1,0.001218498232961184,True,COMPLETE
73,0.7623333333333333,2025-05-30 08:18:39.615454,2025-05-30 08:19:10.445250,0 days 00:00:30.829796,0.9,3.4593990337961274e-05,True,COMPLETE
16,0.7623333333333333,2025-05-30 07:45:38.787132,2025-05-30 07:46:17.336979,0 days 00:00:38.549847,0.55,0.013520574768503539,True,COMPLETE
37,0.7623333333333333,2025-05-30 07:57:56.232138,2025-05-30 07:58:29.483639,0 days 00:00:33.251501,0.45000000000000007,5.5935429867259795e-05,False,COMPLETE
1,0.7613333333333333,2025-05-30 07:37:03.688677,2025-05-30 07:37:39.073709,0 days 00:00:35.385032,0.6,3.5805604271400645e-05,False,COMPLETE
25,0.7613333333333333,2025-05-30 07:50:51.021951,2025-05-30 07:51:22.626640,0 days 00:00:31.604689,0.65,0.004543630352166109,True,COMPLETE
6,0.7613333333333333,2025-05-30 07:39:52.769061,2025-05-30 07:40:28.036154,0 days 00:00:35.267093,0.45000000000000007,9.899642426421573e-05,False,COMPLETE
52,0.7610000000000001,2025-05-30 08:06:34.287602,2025-05-30 08:07:06.857649,0 days 00:00:32.570047,0.15000000000000002,0.17200450131792008,True,COMPLETE
72,0.7610000000000001,2025-05-30 08:18:03.488104,2025-05-30 08:18:39.574363,0 days 00:00:36.086259,0.7000000000000001,0.00011940434823551323,True,COMPLETE
84,0.761,2025-05-30 08:24:56.926427,2025-05-30 08:25:32.426605,0 days 00:00:35.500178,0.4,0.00035304329175327,True,COMPLETE
49,0.7603333333333334,2025-05-30 08:04:50.375842,2025-05-30 08:05:23.761606,0 days 00:00:33.385764,0.35,0.0023036756354438276,True,COMPLETE
90,0.7603333333333332,2025-05-30 08:28:25.878150,2025-05-30 08:29:00.462074,0 days 00:00:34.583924,0.15000000000000002,0.09125354219495727,True,COMPLETE
30,0.7600000000000001,2025-05-30 07:53:45.811222,2025-05-30 07:54:24.267461,0 days 00:00:38.456239,0.7000000000000001,0.9422736123491243,True,COMPLETE
40,0.7600000000000001,2025-05-30 07:59:35.343912,2025-05-30 08:00:07.973194,0 days 00:00:32.629282,0.4,0.11944738941294537,True,COMPLETE
76,0.7600000000000001,2025-05-30 08:20:26.241802,2025-05-30 08:20:59.482740,0 days 00:00:33.240938,0.25,0.03963725373406164,True,COMPLETE
78,0.7599999999999999,2025-05-30 08:21:32.391076,2025-05-30 08:22:07.304799,0 days 00:00:34.913723,0.5,0.0005783222818329961,True,COMPLETE
50,0.7599999999999999,2025-05-30 08:05:23.800969,2025-05-30 08:05:56.145203,0 days 00:00:32.344234,0.45000000000000007,0.0007817679448918277,True,COMPLETE
34,0.7596666666666666,2025-05-30 07:56:13.619341,2025-05-30 07:56:46.696019,0 days 00:00:33.076678,0.4,0.00116243275690036,False,COMPLETE
85,0.759,2025-05-30 08:25:32.465188,2025-05-30 08:26:06.169561,0 days 00:00:33.704373,0.55,4.6126690924485e-05,True,COMPLETE
82,0.7583333333333334,2025-05-30 08:23:49.879027,2025-05-30 08:24:24.150163,0 days 00:00:34.271136,0.55,0.00016763420927934746,True,COMPLETE
88,0.758,2025-05-30 08:27:16.720767,2025-05-30 08:27:54.434755,0 days 00:00:37.713988,0.45000000000000007,0.0008021869984652438,True,COMPLETE
87,0.7576666666666667,2025-05-30 08:26:41.565510,2025-05-30 08:27:16.682487,0 days 00:00:35.116977,0.65,0.0017839189509825778,False,COMPLETE
75,0.7576666666666666,2025-05-30 08:19:48.048096,2025-05-30 08:20:26.203385,0 days 00:00:38.155289,0.75,0.0003023039505151416,False,COMPLETE
86,0.7573333333333334,2025-05-30 08:26:06.207865,2025-05-30 08:26:41.527039,0 days 00:00:35.319174,0.8,0.0002263352436405763,True,COMPLETE
58,0.7573333333333334,2025-05-30 08:10:03.685600,2025-05-30 08:10:39.101231,0 days 00:00:35.415631,0.55,0.02359604206163516,True,COMPLETE
35,0.7566666666666667,2025-05-30 07:56:46.734335,2025-05-30 07:57:21.977211,0 days 00:00:35.242876,0.55,0.0070279810964466735,False,COMPLETE
32,0.7563333333333334,2025-05-30 07:54:59.265438,2025-05-30 07:55:35.015257,0 days 00:00:35.749819,0.2,0.027117370273998374,True,COMPLETE
42,0.7563333333333334,2025-05-30 08:00:40.313619,2025-05-30 08:01:13.749627,0 days 00:00:33.436008,0.2,8.40594015983368e-05,True,COMPLETE
77,0.7563333333333334,2025-05-30 08:20:59.520645,2025-05-30 08:21:32.355339,0 days 00:00:32.834694,0.6,1.2841097894710463e-05,True,COMPLETE
14,0.7556666666666666,2025-05-30 07:44:26.513490,2025-05-30 07:45:03.478152,0 days 00:00:36.964662,0.75,0.013693698505345473,True,COMPLETE
23,0.7556666666666666,2025-05-30 07:49:43.958834,2025-05-30 07:50:14.760083,0 days 00:00:30.801249,0.2,3.517972684414605e-05,True,COMPLETE
98,0.7543333333333333,2025-05-30 08:33:10.546588,2025-05-30 08:33:47.587168,0 days 00:00:37.040580,0.75,1.261225846951475e-05,True,COMPLETE
48,0.7533333333333333,2025-05-30 08:04:14.122325,2025-05-30 08:04:50.337104,0 days 00:00:36.214779,0.25,0.024403654389050556,True,COMPLETE
38,0.7530000000000001,2025-05-30 07:58:29.523510,2025-05-30 07:59:02.413854,0 days 00:00:32.890344,0.6,0.0017888769555209094,True,COMPLETE
71,0.7530000000000001,2025-05-30 08:17:28.249058,2025-05-30 08:18:03.448834,0 days 00:00:35.199776,0.65,7.02979183604387e-05,True,COMPLETE
93,0.753,2025-05-30 08:30:13.441738,2025-05-30 08:30:47.511287,0 days 00:00:34.069549,0.30000000000000004,2.9048277197531273e-05,True,COMPLETE
43,0.753,2025-05-30 08:01:13.789799,2025-05-30 08:01:49.708303,0 days 00:00:35.918504,0.30000000000000004,2.8834963026484507e-06,True,COMPLETE
57,0.753,2025-05-30 08:09:26.660605,2025-05-30 08:10:03.657633,0 days 00:00:36.997028,0.30000000000000004,0.5687260005391694,True,COMPLETE
4,0.753,2025-05-30 07:38:47.394110,2025-05-30 07:39:18.843046,0 days 00:00:31.448936,0.35,0.0015342096288697082,False,COMPLETE
65,0.753,2025-05-30 08:14:02.352654,2025-05-30 08:14:37.556186,0 days 00:00:35.203532,0.7000000000000001,4.1857991961258085e-05,True,COMPLETE
99,0.7523333333333334,2025-05-30 08:33:47.626121,2025-05-30 08:34:23.629856,0 days 00:00:36.003735,0.8,1.6445732344375327e-05,True,COMPLETE
31,0.7523333333333334,2025-05-30 07:54:24.306143,2025-05-30 07:54:59.227111,0 days 00:00:34.920968,0.30000000000000004,0.00017786953117634153,True,COMPLETE
68,0.7503333333333333,2025-05-30 08:15:46.853147,2025-05-30 08:16:20.734543,0 days 00:00:33.881396,0.4,2.418326385156751e-06,True,COMPLETE
17,0.7503333333333333,2025-05-30 07:46:17.376213,2025-05-30 07:46:50.383651,0 days 00:00:33.007438,0.9,0.00042096666233981363,True,COMPLETE
20,0.7503333333333333,2025-05-30 07:47:58.331769,2025-05-30 07:48:33.794606,0 days 00:00:35.462837,0.6,0.0006303621797193511,True,COMPLETE
36,0.7496666666666667,2025-05-30 07:57:22.015684,2025-05-30 07:57:56.193307,0 days 00:00:34.177623,0.35,0.30002186721822405,True,COMPLETE
54,0.7496666666666667,2025-05-30 08:07:44.701362,2025-05-30 08:08:17.669556,0 days 00:00:32.968194,0.1,0.05944803110873987,True,COMPLETE
83,0.749,2025-05-30 08:24:24.188306,2025-05-30 08:24:56.888369,0 days 00:00:32.700063,0.6,5.7786004844556524e-05,True,COMPLETE
2,0.749,2025-05-30 07:37:39.111148,2025-05-30 07:38:14.420776,0 days 00:00:35.309628,0.4,0.26319111605675743,False,COMPLETE
24,0.7486666666666667,2025-05-30 07:50:14.798837,2025-05-30 07:50:50.984050,0 days 00:00:36.185213,0.5,1.3729047377723472e-06,True,COMPLETE
3,0.7479999999999999,2025-05-30 07:38:14.458211,2025-05-30 07:38:47.356188,0 days 00:00:32.897977,0.45000000000000007,0.9249447472371214,False,COMPLETE
67,0.7466666666666667,2025-05-30 08:15:10.861818,2025-05-30 08:15:46.814390,0 days 00:00:35.952572,0.2,0.003915451617634407,False,COMPLETE
39,0.7446666666666667,2025-05-30 07:59:02.451926,2025-05-30 07:59:35.304630,0 days 00:00:32.852704,0.45000000000000007,0.00048125153249061674,False,COMPLETE
51,0.742,2025-05-30 08:05:56.184847,2025-05-30 08:06:34.248846,0 days 00:00:38.063999,0.15000000000000002,0.5336571206534624,True,COMPLETE
11,0.7416666666666667,2025-05-30 07:42:42.534672,2025-05-30 07:43:16.572017,0 days 00:00:34.037345,0.1,0.04939832770142955,True,COMPLETE
