number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
37,0.9309368191721132,2025-06-04 07:13:35.771489,2025-06-04 07:15:51.389241,0 days 00:02:15.617752,0.6,0.0037120407170619677,False,COMPLETE
44,0.9276688453159041,2025-06-04 07:26:51.003719,2025-06-04 07:29:07.095308,0 days 00:02:16.091589,0.45000000000000007,0.7708468288971783,False,COMPLETE
10,0.9274509803921568,2025-06-04 06:18:38.357872,2025-06-04 06:20:51.337709,0 days 00:02:12.979837,0.30000000000000004,0.00012908382142683424,False,COMPLETE
79,0.9272331154684096,2025-06-04 08:38:09.331255,2025-06-04 08:40:26.105093,0 days 00:02:16.773838,0.45000000000000007,0.0026991666844541633,True,COMPLETE
52,0.9265795206971678,2025-06-04 07:43:29.445961,2025-06-04 07:45:41.563182,0 days 00:02:12.117221,0.4,0.0002740391039030772,False,COMPLETE
55,0.9263616557734204,2025-06-04 07:49:09.175575,2025-06-04 07:51:22.991382,0 days 00:02:13.815807,0.5,0.013470695772074758,False,COMPLETE
90,0.9261437908496731,2025-06-04 09:00:50.169638,2025-06-04 09:03:05.615680,0 days 00:02:15.446042,0.35,0.0013565437685987738,False,COMPLETE
27,0.9254901960784313,2025-06-04 06:53:34.717911,2025-06-04 06:55:50.755454,0 days 00:02:16.037543,0.5,1.2397174391199306e-05,False,COMPLETE
24,0.9254901960784313,2025-06-04 06:47:04.833898,2025-06-04 06:49:15.589444,0 days 00:02:10.755546,0.35,0.002421345405883196,False,COMPLETE
64,0.9252723311546841,2025-06-04 08:07:20.005467,2025-06-04 08:09:33.085856,0 days 00:02:13.080389,0.45000000000000007,4.101695905594118e-05,False,COMPLETE
8,0.924400871459695,2025-06-04 06:14:17.979936,2025-06-04 06:16:29.110675,0 days 00:02:11.130739,0.45000000000000007,0.0003657007271252889,False,COMPLETE
33,0.9239651416122004,2025-06-04 07:05:52.379429,2025-06-04 07:08:08.038026,0 days 00:02:15.658597,0.6,2.9186020116606722e-06,False,COMPLETE
13,0.9237472766884531,2025-06-04 06:24:14.149807,2025-06-04 06:26:25.058370,0 days 00:02:10.908563,0.35,0.0022384943422105036,False,COMPLETE
60,0.9233115468409586,2025-06-04 07:58:58.691529,2025-06-04 08:01:10.946576,0 days 00:02:12.255047,0.4,0.014827254085790291,False,COMPLETE
9,0.922875816993464,2025-06-04 06:16:29.150259,2025-06-04 06:18:38.319679,0 days 00:02:09.169420,0.5,5.786260841022609e-06,False,COMPLETE
48,0.922875816993464,2025-06-04 07:34:49.274054,2025-06-04 07:37:01.001124,0 days 00:02:11.727070,0.30000000000000004,3.1371496484257515e-06,False,COMPLETE
15,0.9226579520697168,2025-06-04 06:28:19.825778,2025-06-04 06:30:36.622496,0 days 00:02:16.796718,0.2,0.0002687499132072022,False,COMPLETE
23,0.9215686274509803,2025-06-04 06:44:49.046209,2025-06-04 06:47:04.796458,0 days 00:02:15.750249,0.4,0.007402191972274197,False,COMPLETE
81,0.9206971677559913,2025-06-04 08:42:17.743502,2025-06-04 08:44:26.004104,0 days 00:02:08.260602,0.45000000000000007,7.584255754638743e-05,True,COMPLETE
26,0.9193899782135077,2025-06-04 06:51:17.506621,2025-06-04 06:53:34.673936,0 days 00:02:17.167315,0.2,6.295522540471258e-05,True,COMPLETE
