number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
24,0.7839999999999999,2025-06-03 09:13:17.625381,2025-06-03 09:14:06.299126,0 days 00:00:48.673745,0.4,0.3553626109523226,True,COMPLETE
54,0.7826666666666666,2025-06-03 09:39:15.052712,2025-06-03 09:40:06.200062,0 days 00:00:51.147350,0.8,0.9865564099184985,False,COMPLETE
10,0.781,2025-06-03 09:01:19.535463,2025-06-03 09:02:08.658812,0 days 00:00:49.123349,0.6,0.5995237993036089,True,COMPLETE
21,0.7806666666666667,2025-06-03 09:10:44.533060,2025-06-03 09:11:35.092890,0 days 00:00:50.559830,0.6,0.8654027608208542,True,COMPLETE
78,0.7803333333333334,2025-06-03 09:59:46.442396,2025-06-03 10:00:38.050096,0 days 00:00:51.607700,0.55,0.6891180854388422,True,COMPLETE
80,0.7796666666666666,2025-06-03 10:01:32.204863,2025-06-03 10:02:25.910872,0 days 00:00:53.706009,0.5,0.7605831261121346,True,COMPLETE
92,0.7793333333333333,2025-06-03 10:12:03.057890,2025-06-03 10:12:51.762383,0 days 00:00:48.704493,0.85,0.49752916598717684,False,COMPLETE
52,0.779,2025-06-03 09:37:31.600463,2025-06-03 09:38:23.987655,0 days 00:00:52.387192,0.85,0.993020836538524,False,COMPLETE
44,0.779,2025-06-03 09:30:34.084529,2025-06-03 09:31:23.902709,0 days 00:00:49.818180,0.7000000000000001,0.48064471953120214,False,COMPLETE
55,0.7783333333333333,2025-06-03 09:40:06.239937,2025-06-03 09:40:56.803036,0 days 00:00:50.563099,0.65,0.5209879584073324,False,COMPLETE
45,0.7783333333333333,2025-06-03 09:31:23.943896,2025-06-03 09:32:18.484409,0 days 00:00:54.540513,0.8,0.9879145623492324,False,COMPLETE
64,0.7773333333333334,2025-06-03 09:47:46.822047,2025-06-03 09:48:40.898104,0 days 00:00:54.076057,0.7000000000000001,0.9909045681351095,False,COMPLETE
68,0.777,2025-06-03 09:51:19.452835,2025-06-03 09:52:08.968693,0 days 00:00:49.515858,0.8,0.6104892233813964,False,COMPLETE
51,0.777,2025-06-03 09:36:41.021104,2025-06-03 09:37:31.562862,0 days 00:00:50.541758,0.75,0.9143457150892129,False,COMPLETE
41,0.7760000000000001,2025-06-03 09:27:50.990407,2025-06-03 09:28:45.131815,0 days 00:00:54.141408,0.7000000000000001,0.46933905363088735,False,COMPLETE
40,0.7760000000000001,2025-06-03 09:26:57.711308,2025-06-03 09:27:50.951982,0 days 00:00:53.240674,0.7000000000000001,0.5271495485122829,False,COMPLETE
31,0.7753333333333333,2025-06-03 09:19:10.689564,2025-06-03 09:20:02.751838,0 days 00:00:52.062274,0.55,0.863113112473915,True,COMPLETE
13,0.7753333333333333,2025-06-03 09:03:48.078838,2025-06-03 09:04:41.238237,0 days 00:00:53.159399,0.55,0.8489377047214277,True,COMPLETE
