number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
23,0.8656246213498121,2025-06-04 23:52:05.808243,2025-06-04 23:54:07.947713,0 days 00:02:02.139470,0.75,0.9315227044183594,True,COMPLETE
28,0.8647764449291166,2025-06-05 00:01:15.009276,2025-06-05 00:03:17.316264,0 days 00:02:02.306988,0.75,0.9259846481127585,True,COMPLETE
52,0.8645341088089179,2025-06-05 00:46:37.499247,2025-06-05 00:48:39.428846,0 days 00:02:01.929599,0.65,0.9128024720543618,True,COMPLETE
64,0.8639282685084212,2025-06-05 01:09:48.995960,2025-06-05 01:11:50.966511,0 days 00:02:01.970551,0.75,0.5602246950673686,True,COMPLETE
93,0.8635647643281231,2025-06-05 02:06:24.804461,2025-06-05 02:08:27.409929,0 days 00:02:02.605468,0.75,0.9939766660500414,True,COMPLETE
98,0.8633224282079244,2025-06-05 02:16:18.129794,2025-06-05 02:18:20.427781,0 days 00:02:02.297987,0.75,0.9477004053985392,True,COMPLETE
80,0.8630800920877256,2025-06-05 01:40:59.972825,2025-06-05 01:43:01.885810,0 days 00:02:01.912985,0.8,0.696102635702389,True,COMPLETE
78,0.8630800920877256,2025-06-05 01:37:06.758353,2025-06-05 01:39:09.143211,0 days 00:02:02.384858,0.7000000000000001,0.9756580596300131,True,COMPLETE
67,0.8629589240276263,2025-06-05 01:15:55.180651,2025-06-05 01:17:52.021202,0 days 00:01:56.840551,0.75,0.9895906880398867,True,COMPLETE
55,0.8629589240276263,2025-06-05 00:52:33.738924,2025-06-05 00:54:35.742622,0 days 00:02:02.003698,0.6,0.9945177976272772,True,COMPLETE
31,0.8629589240276263,2025-06-05 00:06:58.447212,2025-06-05 00:09:00.233882,0 days 00:02:01.786670,0.7000000000000001,0.8700959744721266,True,COMPLETE
36,0.8625954198473282,2025-06-05 00:16:23.022021,2025-06-05 00:18:25.174518,0 days 00:02:02.152497,0.6,0.9702442232455558,True,COMPLETE
81,0.8625954198473282,2025-06-05 01:43:01.927853,2025-06-05 01:45:03.126506,0 days 00:02:01.198653,0.8,0.6796682905839949,True,COMPLETE
84,0.8625954198473282,2025-06-05 01:48:56.194846,2025-06-05 01:50:58.110798,0 days 00:02:01.915952,0.7000000000000001,0.6965902966928772,True,COMPLETE
17,0.8622319156670302,2025-06-04 23:40:52.592362,2025-06-04 23:42:54.957920,0 days 00:02:02.365558,0.65,0.8302954731781003,True,COMPLETE
41,0.8619895795468314,2025-06-05 00:25:42.674318,2025-06-05 00:27:44.168956,0 days 00:02:01.494638,0.7000000000000001,0.7657940743005964,True,COMPLETE
86,0.8617472434266328,2025-06-05 01:52:42.046101,2025-06-05 01:54:44.360621,0 days 00:02:02.314520,0.85,0.9982116527650233,True,COMPLETE
