number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
42,0.6306666666666666,2025-05-30 04:56:53.157257,2025-05-30 04:57:19.542251,0 days 00:00:26.384994,0.45000000000000007,0.3073575979712244,False,COMPLETE
93,0.63,2025-05-30 05:20:26.093411,2025-05-30 05:20:57.384018,0 days 00:00:31.290607,0.35,0.31274769142524117,False,COMPLETE
74,0.6293333333333334,2025-05-30 05:11:40.732350,2025-05-30 05:12:09.642700,0 days 00:00:28.910350,0.30000000000000004,0.31401482640967066,False,COMPLETE
22,0.629,2025-05-30 04:47:24.817834,2025-05-30 04:47:54.241986,0 days 00:00:29.424152,0.30000000000000004,0.3028361095572366,False,COMPLETE
92,0.6256666666666667,2025-05-30 05:19:58.613457,2025-05-30 05:20:26.053222,0 days 00:00:27.439765,0.30000000000000004,0.3324370386090902,False,COMPLETE
8,0.6256666666666667,2025-05-30 04:40:52.475643,2025-05-30 04:41:20.710793,0 days 00:00:28.235150,0.4,0.5021509493543312,False,COMPLETE
34,0.6253333333333333,2025-05-30 04:53:01.541647,2025-05-30 04:53:31.568560,0 days 00:00:30.026913,0.55,0.3811746561906727,False,COMPLETE
94,0.6246666666666667,2025-05-30 05:20:57.424378,2025-05-30 05:21:26.951253,0 days 00:00:29.526875,0.30000000000000004,0.3349499090004676,False,COMPLETE
95,0.6243333333333334,2025-05-30 05:21:26.991694,2025-05-30 05:22:00.189580,0 days 00:00:33.197886,0.30000000000000004,0.30432094543466964,False,COMPLETE
19,0.624,2025-05-30 04:46:01.152675,2025-05-30 04:46:29.393268,0 days 00:00:28.240593,0.45000000000000007,0.2580373205957287,False,COMPLETE
27,0.6236666666666667,2025-05-30 04:49:42.734147,2025-05-30 04:50:11.277197,0 days 00:00:28.543050,0.4,0.2995228843728454,False,COMPLETE
41,0.6236666666666667,2025-05-30 04:56:18.891258,2025-05-30 04:56:53.119378,0 days 00:00:34.228120,0.4,0.18195140110063196,False,COMPLETE
64,0.6229999999999999,2025-05-30 05:07:05.977640,2025-05-30 05:07:32.535383,0 days 00:00:26.557743,0.4,0.11306091526162375,False,COMPLETE
14,0.6206666666666667,2025-05-30 04:43:40.752442,2025-05-30 04:44:06.480025,0 days 00:00:25.727583,0.30000000000000004,0.7653970181380589,False,COMPLETE
83,0.6206666666666667,2025-05-30 05:15:53.340320,2025-05-30 05:16:19.006581,0 days 00:00:25.666261,0.35,0.7348990562501595,False,COMPLETE
31,0.6196666666666667,2025-05-30 04:51:37.033234,2025-05-30 04:52:04.380675,0 days 00:00:27.347441,0.4,0.3425701252785433,False,COMPLETE
