number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
66,0.7336666666666667,2025-06-03 05:27:13.105701,2025-06-03 05:27:46.261376,0 days 00:00:33.155675,0.75,0.9623559462953629,True,COMPLETE
93,0.7333333333333334,2025-06-03 05:41:47.697541,2025-06-03 05:42:20.831857,0 days 00:00:33.134316,0.8,0.33311541288303265,True,COMPLETE
71,0.733,2025-06-03 05:29:55.917410,2025-06-03 05:30:28.989775,0 days 00:00:33.072365,0.85,0.6034208141532683,True,COMPLETE
73,0.7306666666666667,2025-06-03 05:31:00.428598,2025-06-03 05:31:33.191470,0 days 00:00:32.762872,0.9,0.6870360353809895,True,COMPLETE
63,0.7303333333333333,2025-06-03 05:25:35.222411,2025-06-03 05:26:07.673737,0 days 00:00:32.451326,0.85,0.5797425370272338,True,COMPLETE
83,0.73,2025-06-03 05:36:25.739050,2025-06-03 05:36:58.477052,0 days 00:00:32.738002,0.9,0.6877098585881363,True,COMPLETE
84,0.7296666666666667,2025-06-03 05:36:58.514986,2025-06-03 05:37:30.306941,0 days 00:00:31.791955,0.9,0.2910759490642363,True,COMPLETE
92,0.7296666666666667,2025-06-03 05:41:15.841831,2025-06-03 05:41:47.659472,0 days 00:00:31.817641,0.85,0.381547533164683,True,COMPLETE
17,0.729,2025-06-03 05:00:52.988948,2025-06-03 05:01:26.175465,0 days 00:00:33.186517,0.8,0.9729155012691075,False,COMPLETE
79,0.7283333333333334,2025-06-03 05:34:16.524083,2025-06-03 05:34:47.917942,0 days 00:00:31.393859,0.9,0.6779858433811673,True,COMPLETE
98,0.7283333333333334,2025-06-03 05:44:28.999960,2025-06-03 05:45:01.304567,0 days 00:00:32.304607,0.85,0.3877524445535635,True,COMPLETE
88,0.7283333333333332,2025-06-03 05:39:06.740889,2025-06-03 05:39:38.473667,0 days 00:00:31.732778,0.8,0.3234267795381625,True,COMPLETE
74,0.7280000000000001,2025-06-03 05:31:33.229608,2025-06-03 05:32:06.192346,0 days 00:00:32.962738,0.9,0.6720829617051074,True,COMPLETE
65,0.7273333333333333,2025-06-03 05:26:39.700070,2025-06-03 05:27:13.067964,0 days 00:00:33.367894,0.75,0.9087891353767519,True,COMPLETE
76,0.7273333333333333,2025-06-03 05:32:38.963817,2025-06-03 05:33:11.675386,0 days 00:00:32.711569,0.85,0.21859241729151666,True,COMPLETE
61,0.7273333333333333,2025-06-03 05:24:28.990465,2025-06-03 05:25:02.136185,0 days 00:00:33.145720,0.85,0.5403674137393017,True,COMPLETE
53,0.7273333333333333,2025-06-03 05:20:09.977024,2025-06-03 05:20:41.333670,0 days 00:00:31.356646,0.9,0.4263250614586461,False,COMPLETE
60,0.727,2025-06-03 05:23:56.067788,2025-06-03 05:24:28.951880,0 days 00:00:32.884092,0.85,0.5406050088835539,True,COMPLETE
38,0.727,2025-06-03 05:12:06.706295,2025-06-03 05:12:39.649342,0 days 00:00:32.943047,0.75,1.3272990896363633e-06,False,COMPLETE
97,0.7266666666666667,2025-06-03 05:43:56.493429,2025-06-03 05:44:28.960167,0 days 00:00:32.466738,0.85,0.4426806357300668,True,COMPLETE
64,0.7266666666666667,2025-06-03 05:26:07.712130,2025-06-03 05:26:39.661771,0 days 00:00:31.949641,0.8,0.6323214396245019,True,COMPLETE
77,0.7263333333333333,2025-06-03 05:33:11.713618,2025-06-03 05:33:43.347126,0 days 00:00:31.633508,0.9,0.39960957740575687,True,COMPLETE
62,0.7263333333333333,2025-06-03 05:25:02.173871,2025-06-03 05:25:35.183959,0 days 00:00:33.010088,0.85,0.5185553705949228,True,COMPLETE
55,0.7263333333333333,2025-06-03 05:21:13.651228,2025-06-03 05:21:46.146141,0 days 00:00:32.494913,0.8,0.47090821978313524,False,COMPLETE
81,0.726,2025-06-03 05:35:20.044484,2025-06-03 05:35:53.001312,0 days 00:00:32.956828,0.85,0.7110357640619435,True,COMPLETE
25,0.726,2025-06-03 05:05:12.861615,2025-06-03 05:05:43.933063,0 days 00:00:31.071448,0.85,0.2627858849756889,False,COMPLETE
80,0.726,2025-06-03 05:34:47.956608,2025-06-03 05:35:20.006409,0 days 00:00:32.049801,0.9,0.18756910287565706,True,COMPLETE
70,0.7256666666666667,2025-06-03 05:29:23.039832,2025-06-03 05:29:55.878734,0 days 00:00:32.838902,0.75,0.9365137549082283,True,COMPLETE
85,0.7256666666666666,2025-06-03 05:37:30.351952,2025-06-03 05:38:01.968840,0 days 00:00:31.616888,0.8,0.6831173283367288,True,COMPLETE
30,0.7253333333333334,2025-06-03 05:07:51.282747,2025-06-03 05:08:22.665803,0 days 00:00:31.383056,0.8,0.09173903729005645,False,COMPLETE
51,0.7253333333333333,2025-06-03 05:19:04.353057,2025-06-03 05:19:36.923801,0 days 00:00:32.570744,0.9,0.514261808565226,False,COMPLETE
99,0.725,2025-06-03 05:45:01.342057,2025-06-03 05:45:34.564590,0 days 00:00:33.222533,0.8,0.9253435998528514,True,COMPLETE
94,0.725,2025-06-03 05:42:20.869463,2025-06-03 05:42:52.781852,0 days 00:00:31.912389,0.85,0.22395578308630948,True,COMPLETE
52,0.725,2025-06-03 05:19:36.962759,2025-06-03 05:20:09.939713,0 days 00:00:32.976954,0.9,0.5126289458143496,False,COMPLETE
67,0.7246666666666667,2025-06-03 05:27:46.299293,2025-06-03 05:28:19.744040,0 days 00:00:33.444747,0.75,0.9889170550086644,True,COMPLETE
78,0.7246666666666667,2025-06-03 05:33:43.385391,2025-06-03 05:34:16.485479,0 days 00:00:33.100088,0.85,0.7553763254554984,True,COMPLETE
41,0.7236666666666666,2025-06-03 05:13:44.738156,2025-06-03 05:14:17.197367,0 days 00:00:32.459211,0.85,1.02381231454342e-05,False,COMPLETE
6,0.7233333333333333,2025-06-03 04:54:54.853557,2025-06-03 04:55:27.332211,0 days 00:00:32.478654,0.9,0.09859138917463776,False,COMPLETE
10,0.7233333333333333,2025-06-03 04:57:03.642343,2025-06-03 04:57:37.121788,0 days 00:00:33.479445,0.7000000000000001,0.9237880536435845,False,COMPLETE
45,0.7226666666666667,2025-06-03 05:15:52.958892,2025-06-03 05:16:24.084117,0 days 00:00:31.125225,0.75,0.00010262140024990617,False,COMPLETE
44,0.7226666666666666,2025-06-03 05:15:20.780385,2025-06-03 05:15:52.921448,0 days 00:00:32.141063,0.65,1.00075192852933e-06,False,COMPLETE
91,0.7223333333333333,2025-06-03 05:40:42.823638,2025-06-03 05:41:15.804052,0 days 00:00:32.980414,0.9,0.6560892131728285,True,COMPLETE
87,0.7223333333333333,2025-06-03 05:38:34.892694,2025-06-03 05:39:06.701115,0 days 00:00:31.808421,0.85,0.03231751088465991,True,COMPLETE
59,0.722,2025-06-03 05:23:23.129403,2025-06-03 05:23:56.027644,0 days 00:00:32.898241,0.7000000000000001,0.8957846843858163,False,COMPLETE
86,0.7216666666666667,2025-06-03 05:38:02.007984,2025-06-03 05:38:34.852434,0 days 00:00:32.844450,0.9,0.2584240483859517,True,COMPLETE
