number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
62,0.7128441936035573,2025-06-06 06:09:49.545587,2025-06-06 06:11:11.277963,0 days 00:01:21.732376,0.85,0.5093039481205116,False,COMPLETE
92,0.7096516732227353,2025-06-06 06:46:22.843604,2025-06-06 06:47:43.584514,0 days 00:01:20.740910,0.85,0.8173785169358945,False,COMPLETE
51,0.7086825152499857,2025-06-06 05:56:18.942402,2025-06-06 05:57:35.439981,0 days 00:01:16.497579,0.85,0.6105348531811574,False,COMPLETE
33,0.7083974687874123,2025-06-06 05:34:53.841369,2025-06-06 05:36:06.058686,0 days 00:01:12.217317,0.9,0.4528212530342051,False,COMPLETE
71,0.7080554130323243,2025-06-06 06:20:39.680145,2025-06-06 06:22:01.343427,0 days 00:01:21.663282,0.8,0.3660645363851662,False,COMPLETE
86,0.7080554130323242,2025-06-06 06:39:02.967607,2025-06-06 06:40:20.848509,0 days 00:01:17.880902,0.8,0.43599894401629785,False,COMPLETE
82,0.7078273758622654,2025-06-06 06:34:20.955058,2025-06-06 06:35:33.384614,0 days 00:01:12.429556,0.9,0.3675465464259735,False,COMPLETE
93,0.7075993386922068,2025-06-06 06:47:43.624619,2025-06-06 06:49:02.405575,0 days 00:01:18.780956,0.9,0.8737680969291609,False,COMPLETE
31,0.7074853201071775,2025-06-06 05:32:18.373522,2025-06-06 05:33:33.439575,0 days 00:01:15.066053,0.85,0.3041143246693967,False,COMPLETE
77,0.707200273644604,2025-06-06 06:28:17.142976,2025-06-06 06:29:30.872467,0 days 00:01:13.729491,0.9,0.4187283061976167,False,COMPLETE
22,0.7070292457670599,2025-06-06 05:21:05.604671,2025-06-06 05:22:18.431234,0 days 00:01:12.826563,0.85,0.41156085695241945,False,COMPLETE
45,0.7067441993044866,2025-06-06 05:49:12.918078,2025-06-06 05:50:29.107078,0 days 00:01:16.189000,0.85,0.49389196364948246,False,COMPLETE
44,0.7065731714269425,2025-06-06 05:48:11.862019,2025-06-06 05:49:12.876789,0 days 00:01:01.014770,0.85,0.6949271185894915,False,COMPLETE
60,0.7061741063793399,2025-06-06 06:07:21.574866,2025-06-06 06:08:34.354805,0 days 00:01:12.779939,0.8,0.3182446624176291,False,COMPLETE
91,0.7061741063793399,2025-06-06 06:45:14.082075,2025-06-06 06:46:22.803576,0 days 00:01:08.721501,0.85,0.5119256346437636,False,COMPLETE
61,0.7061170970868251,2025-06-06 06:08:34.391426,2025-06-06 06:09:49.509380,0 days 00:01:15.117954,0.8,0.29932710793609074,False,COMPLETE
41,0.7060600877943104,2025-06-06 05:44:41.583181,2025-06-06 05:45:53.281773,0 days 00:01:11.698592,0.9,0.6092256681015982,False,COMPLETE
10,0.7060030785017958,2025-06-06 05:06:19.646777,2025-06-06 05:07:34.025748,0 days 00:01:14.378971,0.9,0.8395241807436287,False,COMPLETE
55,0.7058320506242518,2025-06-06 06:01:13.761708,2025-06-06 06:02:22.672462,0 days 00:01:08.910754,0.85,0.7400676852732707,False,COMPLETE
52,0.7056040134541931,2025-06-06 05:57:35.478950,2025-06-06 05:58:50.174013,0 days 00:01:14.695063,0.85,0.28787022817958335,False,COMPLETE
81,0.7055470041616784,2025-06-06 06:33:10.478665,2025-06-06 06:34:20.916307,0 days 00:01:10.437642,0.85,0.6490721383167142,False,COMPLETE
70,0.7054329855766491,2025-06-06 06:19:28.050155,2025-06-06 06:20:39.642244,0 days 00:01:11.592089,0.8,0.6241445222739133,False,COMPLETE
63,0.7052619576991049,2025-06-06 06:11:11.318922,2025-06-06 06:12:18.621193,0 days 00:01:07.302271,0.85,0.6020222677422703,False,COMPLETE
78,0.7052049484065903,2025-06-06 06:29:30.913488,2025-06-06 06:30:36.475343,0 days 00:01:05.561855,0.9,0.42902578471581,False,COMPLETE
72,0.7052049484065903,2025-06-06 06:22:01.380461,2025-06-06 06:23:10.693966,0 days 00:01:09.313505,0.85,0.3871521635987393,False,COMPLETE
58,0.705090929821561,2025-06-06 06:04:51.130970,2025-06-06 06:06:11.357806,0 days 00:01:20.226836,0.75,0.5065235318619908,False,COMPLETE
34,0.7048058833589875,2025-06-06 05:36:06.097385,2025-06-06 05:37:05.773381,0 days 00:00:59.675996,0.9,0.4302324867269722,False,COMPLETE
84,0.7047488740664729,2025-06-06 06:36:43.557404,2025-06-06 06:37:56.248936,0 days 00:01:12.691532,0.9,0.24260579986825742,False,COMPLETE
94,0.7047488740664729,2025-06-06 06:49:02.444918,2025-06-06 06:50:11.978817,0 days 00:01:09.533899,0.9,0.7481458697989618,False,COMPLETE
97,0.7046918647739582,2025-06-06 06:52:33.599301,2025-06-06 06:53:43.729290,0 days 00:01:10.129989,0.9,0.9933880319537384,False,COMPLETE
42,0.7046918647739582,2025-06-06 05:45:53.319824,2025-06-06 05:46:59.712342,0 days 00:01:06.392518,0.9,0.46529547959928763,False,COMPLETE
95,0.7044638276038994,2025-06-06 06:50:12.019865,2025-06-06 06:51:21.261498,0 days 00:01:09.241633,0.9,0.8791174595345079,False,COMPLETE
0,0.7044068183113849,2025-06-06 04:53:24.857827,2025-06-06 04:54:39.519607,0 days 00:01:14.661780,0.65,0.8021364817783806,True,COMPLETE
66,0.7042927997263554,2025-06-06 06:14:47.293382,2025-06-06 06:15:59.069436,0 days 00:01:11.776054,0.7000000000000001,0.44498991525213616,False,COMPLETE
75,0.7042357904338408,2025-06-06 06:25:45.790195,2025-06-06 06:26:59.293710,0 days 00:01:13.503515,0.75,0.6292799415345904,False,COMPLETE
26,0.704007753263782,2025-06-06 05:25:56.186347,2025-06-06 05:27:08.320920,0 days 00:01:12.134573,0.85,0.34002855081499084,False,COMPLETE
96,0.7038937346787527,2025-06-06 06:51:21.299621,2025-06-06 06:52:33.558036,0 days 00:01:12.258415,0.85,0.2735605217733344,False,COMPLETE
89,0.7036086882161792,2025-06-06 06:42:47.354854,2025-06-06 06:43:53.185552,0 days 00:01:05.830698,0.9,0.3586585727762585,False,COMPLETE
11,0.7035516789236645,2025-06-06 05:07:34.067867,2025-06-06 05:08:44.170079,0 days 00:01:10.102212,0.9,0.9407879647719565,False,COMPLETE
74,0.7035516789236645,2025-06-06 06:24:31.723631,2025-06-06 06:25:45.752325,0 days 00:01:14.028694,0.8,0.27400455478163155,False,COMPLETE
21,0.7032666324610911,2025-06-06 05:19:57.652731,2025-06-06 05:21:05.566462,0 days 00:01:07.913731,0.9,0.956744892602882,False,COMPLETE
12,0.7030956045835471,2025-06-06 05:08:44.209094,2025-06-06 05:09:48.249527,0 days 00:01:04.040433,0.9,0.82491703680464,False,COMPLETE
83,0.703095604583547,2025-06-06 06:35:33.422986,2025-06-06 06:36:43.514447,0 days 00:01:10.091461,0.9,0.3574103102246594,False,COMPLETE
37,0.7025255116584003,2025-06-06 05:39:34.775274,2025-06-06 05:40:48.639411,0 days 00:01:13.864137,0.9,0.21031625868980167,False,COMPLETE
