number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
10,0.7163333333333334,2025-05-24 09:09:24.239062,2025-05-24 09:10:04.487939,0 days 00:00:40.248877,0.55,0.9605106479641785,False,COMPLETE
59,0.7159999999999999,2025-05-24 09:43:34.233940,2025-05-24 09:44:13.994347,0 days 00:00:39.760407,0.6,0.5022434817997521,False,COMPLETE
74,0.7153333333333333,2025-05-24 09:54:02.968536,2025-05-24 09:54:43.334804,0 days 00:00:40.366268,0.9,0.0013381513597990502,False,COMPLETE
35,0.7153333333333333,2025-05-24 09:26:59.757810,2025-05-24 09:27:40.573813,0 days 00:00:40.816003,0.8,0.00039174328818952146,False,COMPLETE
15,0.715,2025-05-24 09:12:55.478699,2025-05-24 09:13:35.785686,0 days 00:00:40.306987,0.65,0.9867441081234966,False,COMPLETE
8,0.7146666666666667,2025-05-24 09:08:02.422660,2025-05-24 09:08:43.498587,0 days 00:00:41.075927,0.9,0.02086443489931667,False,COMPLETE
52,0.713,2025-05-24 09:38:47.576977,2025-05-24 09:39:28.194019,0 days 00:00:40.617042,0.65,1.4497496677842357e-05,False,COMPLETE
54,0.7126666666666667,2025-05-24 09:40:08.479765,2025-05-24 09:40:48.625099,0 days 00:00:40.145334,0.5,0.018656349817877612,False,COMPLETE
43,0.7116666666666666,2025-05-24 09:32:32.372216,2025-05-24 09:33:13.481307,0 days 00:00:41.109091,0.8,0.0006573585261516887,False,COMPLETE
18,0.7113333333333333,2025-05-24 09:14:57.583096,2025-05-24 09:15:37.856590,0 days 00:00:40.273494,0.65,1.0850907304682422e-06,False,COMPLETE
40,0.711,2025-05-24 09:30:28.542361,2025-05-24 09:31:08.813294,0 days 00:00:40.270933,0.7000000000000001,0.002328473334624601,False,COMPLETE
41,0.71,2025-05-24 09:31:08.853276,2025-05-24 09:31:49.203378,0 days 00:00:40.350102,0.6,6.791293299567279e-06,False,COMPLETE
49,0.7093333333333334,2025-05-24 09:36:40.417217,2025-05-24 09:37:23.863518,0 days 00:00:43.446301,0.7000000000000001,0.4077972370151922,False,COMPLETE
69,0.7093333333333334,2025-05-24 09:50:27.832071,2025-05-24 09:51:10.657339,0 days 00:00:42.825268,0.65,0.3653670866612533,False,COMPLETE
83,0.7083333333333334,2025-05-24 10:00:18.153592,2025-05-24 10:00:59.761262,0 days 00:00:41.607670,0.9,0.0003740946365418285,False,COMPLETE
16,0.7076666666666666,2025-05-24 09:13:35.826652,2025-05-24 09:14:16.088867,0 days 00:00:40.262215,0.65,0.23591969487465128,False,COMPLETE
36,0.7073333333333333,2025-05-24 09:27:40.612204,2025-05-24 09:28:21.505185,0 days 00:00:40.892981,0.85,0.00024992617174769585,False,COMPLETE
66,0.7073333333333333,2025-05-24 09:48:26.233844,2025-05-24 09:49:06.019684,0 days 00:00:39.785840,0.7000000000000001,0.7314379743388874,False,COMPLETE
42,0.7069999999999999,2025-05-24 09:31:49.242505,2025-05-24 09:32:32.332333,0 days 00:00:43.089828,0.75,0.5728783039541727,False,COMPLETE
91,0.7066666666666667,2025-05-24 10:05:53.592520,2025-05-24 10:06:37.117543,0 days 00:00:43.525023,0.7000000000000001,4.106134307635005e-06,False,COMPLETE
26,0.7063333333333333,2025-05-24 09:20:40.239465,2025-05-24 09:21:23.689214,0 days 00:00:43.449749,0.75,0.004406268870495398,False,COMPLETE
87,0.7053333333333334,2025-05-24 10:03:05.928254,2025-05-24 10:03:47.175476,0 days 00:00:41.247222,0.9,0.001898912487742419,False,COMPLETE
3,0.705,2025-05-24 09:04:35.010092,2025-05-24 09:05:15.618504,0 days 00:00:40.608412,0.75,6.0463325667570355e-06,True,COMPLETE
62,0.7046666666666667,2025-05-24 09:45:39.023688,2025-05-24 09:46:22.038704,0 days 00:00:43.015016,0.6,0.9522668620604549,False,COMPLETE
95,0.7046666666666667,2025-05-24 10:08:43.265403,2025-05-24 10:09:23.693263,0 days 00:00:40.427860,0.2,0.2906380003728849,False,COMPLETE
96,0.7036666666666666,2025-05-24 10:09:23.731277,2025-05-24 10:10:04.870493,0 days 00:00:41.139216,0.75,2.3956173135222365e-06,False,COMPLETE
68,0.703,2025-05-24 09:49:46.485452,2025-05-24 09:50:27.793608,0 days 00:00:41.308156,0.5,0.0014043439086848836,False,COMPLETE
31,0.7026666666666666,2025-05-24 09:24:11.737005,2025-05-24 09:24:52.090251,0 days 00:00:40.353246,0.65,1.2742102641065637e-06,False,COMPLETE
76,0.7023333333333334,2025-05-24 09:55:30.434620,2025-05-24 09:56:12.441368,0 days 00:00:42.006748,0.9,1.9150034972448705e-05,False,COMPLETE
53,0.7023333333333333,2025-05-24 09:39:28.236753,2025-05-24 09:40:08.437633,0 days 00:00:40.200880,0.45000000000000007,1.6466410651861055e-05,False,COMPLETE
88,0.702,2025-05-24 10:03:47.217769,2025-05-24 10:04:28.487619,0 days 00:00:41.269850,0.55,0.00819779805307234,True,COMPLETE
14,0.7016666666666667,2025-05-24 09:12:15.333222,2025-05-24 09:12:55.438554,0 days 00:00:40.105332,0.35,0.06859373266523774,False,COMPLETE
73,0.7013333333333333,2025-05-24 09:53:19.233755,2025-05-24 09:54:02.930436,0 days 00:00:43.696681,0.55,0.0004772068111756558,False,COMPLETE
45,0.701,2025-05-24 09:33:54.236843,2025-05-24 09:34:34.653618,0 days 00:00:40.416775,0.8,0.0005794105466871664,False,COMPLETE
67,0.7006666666666667,2025-05-24 09:49:06.059525,2025-05-24 09:49:46.442517,0 days 00:00:40.382992,0.6,0.018594612979854354,True,COMPLETE
84,0.7006666666666667,2025-05-24 10:00:59.799132,2025-05-24 10:01:41.039570,0 days 00:00:41.240438,0.75,0.4547929872533737,False,COMPLETE
50,0.6999999999999998,2025-05-24 09:37:23.901387,2025-05-24 09:38:07.808273,0 days 00:00:43.906886,0.55,0.17197665402370885,False,COMPLETE
78,0.6996666666666668,2025-05-24 09:56:53.256764,2025-05-24 09:57:34.082184,0 days 00:00:40.825420,0.65,0.0011564768717542656,True,COMPLETE
55,0.6996666666666665,2025-05-24 09:40:48.664903,2025-05-24 09:41:29.656009,0 days 00:00:40.991106,0.5,0.06434585967275627,False,COMPLETE
2,0.6993333333333333,2025-05-24 09:03:53.820083,2025-05-24 09:04:34.972317,0 days 00:00:41.152234,0.8,0.0014586290551519866,False,COMPLETE
9,0.699,2025-05-24 09:08:43.540878,2025-05-24 09:09:24.201483,0 days 00:00:40.660605,0.8,3.743802114066585e-05,True,COMPLETE
63,0.699,2025-05-24 09:46:22.080221,2025-05-24 09:47:05.016575,0 days 00:00:42.936354,0.65,0.04600122962208714,False,COMPLETE
61,0.699,2025-05-24 09:44:55.859771,2025-05-24 09:45:38.985239,0 days 00:00:43.125468,0.5,0.23726616908972992,False,COMPLETE
17,0.699,2025-05-24 09:14:16.130059,2025-05-24 09:14:57.547559,0 days 00:00:41.417500,0.4,0.9754151062527975,False,COMPLETE
48,0.6989999999999998,2025-05-24 09:35:57.154200,2025-05-24 09:36:40.377084,0 days 00:00:43.222884,0.8,0.0004115949000681533,False,COMPLETE
65,0.6989999999999998,2025-05-24 09:47:45.653345,2025-05-24 09:48:26.191782,0 days 00:00:40.538437,0.4,0.26426514620936314,False,COMPLETE
86,0.6983333333333334,2025-05-24 10:02:22.727765,2025-05-24 10:03:05.886609,0 days 00:00:43.158844,0.8,0.9598653890146028,False,COMPLETE
39,0.6983333333333333,2025-05-24 09:29:47.425081,2025-05-24 09:30:28.503582,0 days 00:00:41.078501,0.8,9.682859532774603e-05,True,COMPLETE
58,0.6983333333333333,2025-05-24 09:42:53.288219,2025-05-24 09:43:34.192141,0 days 00:00:40.903922,0.65,0.01227699973008482,False,COMPLETE
51,0.6983333333333333,2025-05-24 09:38:07.845843,2025-05-24 09:38:47.538233,0 days 00:00:39.692390,0.6,4.981933300160048e-05,False,COMPLETE
