number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
36,0.8039450430420159,2025-05-27 08:49:14.903187,2025-05-27 08:50:16.661019,0 days 00:01:01.757832,0.25,0.03920140933516639,True,COMPLETE
54,0.8029188757767516,2025-05-27 09:06:31.658698,2025-05-27 09:07:36.709833,0 days 00:01:05.051135,0.9,0.15895233248200955,False,COMPLETE
95,0.8029188757767516,2025-05-27 09:46:16.346019,2025-05-27 09:47:22.690412,0 days 00:01:06.344393,0.85,0.06341634134057486,True,COMPLETE
15,0.802861866484237,2025-05-27 08:28:57.077039,2025-05-27 08:30:01.568285,0 days 00:01:04.491246,0.9,0.00012269568491909142,True,COMPLETE
56,0.8021207456815461,2025-05-27 09:08:42.493654,2025-05-27 09:09:44.029589,0 days 00:01:01.535935,0.8,0.26606954034863595,False,COMPLETE
16,0.8020637363890314,2025-05-27 08:30:01.607545,2025-05-27 08:31:01.885610,0 days 00:01:00.278065,0.9,0.00026031191151977394,True,COMPLETE
18,0.8018356992189727,2025-05-27 08:31:57.057264,2025-05-27 08:33:00.949955,0 days 00:01:03.892691,0.9,7.098614145293374e-06,True,COMPLETE
67,0.8015506527563994,2025-05-27 09:18:57.645501,2025-05-27 09:19:53.487406,0 days 00:00:55.841905,0.8,0.0012519716332609837,False,COMPLETE
17,0.8015506527563994,2025-05-27 08:31:01.925373,2025-05-27 08:31:57.019033,0 days 00:00:55.093660,0.9,0.00033362296038680887,True,COMPLETE
52,0.8014936434638846,2025-05-27 09:04:44.285417,2025-05-27 09:05:43.421724,0 days 00:00:59.136307,0.85,0.06909359007262758,False,COMPLETE
13,0.8014366341713699,2025-05-27 08:26:54.313110,2025-05-27 08:28:01.243603,0 days 00:01:06.930493,0.7000000000000001,0.007872180352153077,False,COMPLETE
50,0.8014366341713699,2025-05-27 09:02:48.187052,2025-05-27 09:03:47.556928,0 days 00:00:59.369876,0.65,0.005766153795103491,True,COMPLETE
19,0.8012656062938258,2025-05-27 08:33:00.993508,2025-05-27 08:34:04.272009,0 days 00:01:03.278501,0.8,0.0002978196706047933,True,COMPLETE
9,0.8011515877087966,2025-05-27 08:23:13.053007,2025-05-27 08:24:11.157034,0 days 00:00:58.104027,0.7000000000000001,4.174346813480779e-05,True,COMPLETE
14,0.801094578416282,2025-05-27 08:28:01.282994,2025-05-27 08:28:57.038887,0 days 00:00:55.755893,0.75,0.014026088987617561,False,COMPLETE
29,0.8010945784162818,2025-05-27 08:42:52.226600,2025-05-27 08:43:50.580057,0 days 00:00:58.353457,0.6,2.0374791652107744e-05,True,COMPLETE
2,0.8010945784162818,2025-05-27 08:16:11.358664,2025-05-27 08:17:12.702757,0 days 00:01:01.344093,0.55,0.10266454802173053,False,COMPLETE
49,0.8010375691237672,2025-05-27 09:01:51.670692,2025-05-27 09:02:48.144733,0 days 00:00:56.474041,0.75,0.00014079400667067318,True,COMPLETE
97,0.8007525226611939,2025-05-27 09:48:29.301089,2025-05-27 09:49:27.425745,0 days 00:00:58.124656,0.9,0.06966062949881335,True,COMPLETE
79,0.8007525226611939,2025-05-27 09:30:29.233411,2025-05-27 09:31:28.407964,0 days 00:00:59.174553,0.15000000000000002,0.0010003964433069948,True,COMPLETE
65,0.8006955133686792,2025-05-27 09:16:56.084724,2025-05-27 09:17:55.089022,0 days 00:00:59.004298,0.8,1.3003728761140432e-05,True,COMPLETE
37,0.8005244854911351,2025-05-27 08:50:16.699081,2025-05-27 08:51:19.705834,0 days 00:01:03.006753,0.25,0.035295291200981654,True,COMPLETE
59,0.8004674761986204,2025-05-27 09:11:33.008164,2025-05-27 09:12:25.673447,0 days 00:00:52.665283,0.9,0.16331444560556238,False,COMPLETE
80,0.8004104669061057,2025-05-27 09:31:28.450227,2025-05-27 09:32:28.382783,0 days 00:00:59.932556,0.7000000000000001,0.0023455026272292713,False,COMPLETE
12,0.8004104669061056,2025-05-27 08:26:01.181253,2025-05-27 08:26:54.273511,0 days 00:00:53.092258,0.65,7.528304351610239e-05,True,COMPLETE
22,0.800353457613591,2025-05-27 08:36:08.632088,2025-05-27 08:37:04.521062,0 days 00:00:55.888974,0.85,0.00017699551415775432,True,COMPLETE
55,0.8002394390285618,2025-05-27 09:07:36.750751,2025-05-27 09:08:42.454958,0 days 00:01:05.704207,0.9,0.9111597600267072,False,COMPLETE
73,0.8002394390285615,2025-05-27 09:24:39.940490,2025-05-27 09:25:32.002688,0 days 00:00:52.062198,0.5,0.11801220492168378,False,COMPLETE
24,0.8000684111510177,2025-05-27 08:38:05.913612,2025-05-27 08:39:02.453994,0 days 00:00:56.540382,0.65,0.0008852206924232543,True,COMPLETE
91,0.8000684111510177,2025-05-27 09:42:05.140892,2025-05-27 09:43:01.956748,0 days 00:00:56.815856,0.7000000000000001,0.009618449221053992,False,COMPLETE
33,0.800011401858503,2025-05-27 08:46:35.766881,2025-05-27 08:47:31.485491,0 days 00:00:55.718610,0.9,8.27000221489169e-05,True,COMPLETE
27,0.800011401858503,2025-05-27 08:40:54.603121,2025-05-27 08:41:55.529925,0 days 00:01:00.926804,0.85,2.738758859151707e-06,True,COMPLETE
99,0.800011401858503,2025-05-27 09:50:34.716237,2025-05-27 09:51:29.531512,0 days 00:00:54.815275,0.85,0.04547767669069314,True,COMPLETE
