number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
92,0.9543802253725918,2025-05-28 10:02:06.633167,2025-05-28 10:05:04.144402,0 days 00:02:57.511235,0.35,0.05304908531881988,True,COMPLETE
12,0.9540167211922936,2025-05-28 06:03:58.385264,2025-05-28 06:06:57.737874,0 days 00:02:59.352610,0.30000000000000004,0.00046817345328224974,True,COMPLETE
94,0.9539258451472192,2025-05-28 10:08:02.289004,2025-05-28 10:11:00.305198,0 days 00:02:58.016194,0.2,0.18476875458474543,True,COMPLETE
62,0.9538349691021447,2025-05-28 08:32:09.063682,2025-05-28 08:35:07.277427,0 days 00:02:58.213745,0.4,0.06448338228156296,True,COMPLETE
99,0.9537440930570701,2025-05-28 10:22:54.001736,2025-05-28 10:25:52.734545,0 days 00:02:58.732809,0.2,0.3425586590797331,True,COMPLETE
81,0.9536532170119956,2025-05-28 09:29:17.942448,2025-05-28 09:32:16.828214,0 days 00:02:58.885766,0.25,0.12357305009234487,True,COMPLETE
65,0.9535623409669212,2025-05-28 08:41:03.555464,2025-05-28 08:43:59.602713,0 days 00:02:56.047249,0.25,0.05924661508275546,True,COMPLETE
64,0.9535623409669212,2025-05-28 08:38:06.880614,2025-05-28 08:41:03.516568,0 days 00:02:56.635954,0.25,0.04840663260026324,True,COMPLETE
63,0.9535623409669212,2025-05-28 08:35:07.316386,2025-05-28 08:38:06.840872,0 days 00:02:59.524486,0.25,0.041740385471580835,True,COMPLETE
73,0.9535623409669212,2025-05-28 09:04:46.989829,2025-05-28 09:07:58.798178,0 days 00:03:11.808349,0.5,0.6751855313754156,True,COMPLETE
79,0.9535623409669212,2025-05-28 09:23:19.156676,2025-05-28 09:26:21.985472,0 days 00:03:02.828796,0.25,0.14900270929876883,True,COMPLETE
70,0.9534714649218466,2025-05-28 08:55:49.929563,2025-05-28 08:58:49.803128,0 days 00:02:59.873565,0.30000000000000004,0.280879931763228,True,COMPLETE
78,0.9534714649218466,2025-05-28 09:20:19.025563,2025-05-28 09:23:19.117669,0 days 00:03:00.092106,0.45000000000000007,0.041452991767292134,True,COMPLETE
91,0.9534714649218466,2025-05-28 09:59:07.984540,2025-05-28 10:02:06.593732,0 days 00:02:58.609192,0.30000000000000004,0.04317574623922069,True,COMPLETE
84,0.9534714649218466,2025-05-28 09:38:13.023135,2025-05-28 09:41:10.817461,0 days 00:02:57.794326,0.2,0.06218899112231673,True,COMPLETE
59,0.9534714649218466,2025-05-28 08:23:15.186526,2025-05-28 08:26:13.209980,0 days 00:02:58.023454,0.35,0.04714514947251508,True,COMPLETE
22,0.9534714649218466,2025-05-28 06:33:46.633546,2025-05-28 06:36:43.111234,0 days 00:02:56.477688,0.8,0.07776093849197929,False,COMPLETE
