number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
69,0.9509803921568626,2025-05-25 07:20:10.338251,2025-05-25 07:22:06.930616,0 days 00:01:56.592365,0.65,0.1733490666162524,False,COMPLETE
93,0.9509803921568626,2025-05-25 08:04:03.037475,2025-05-25 08:06:02.425317,0 days 00:01:59.387842,0.65,0.011511021375170823,False,COMPLETE
35,0.9507625272331155,2025-05-25 06:18:20.394551,2025-05-25 06:20:07.786906,0 days 00:01:47.392355,0.6,0.9544297818057293,False,COMPLETE
95,0.9507625272331155,2025-05-25 08:07:38.370282,2025-05-25 08:09:40.276143,0 days 00:02:01.905861,0.6,0.0037726452518813736,False,COMPLETE
43,0.9507625272331154,2025-05-25 06:33:08.090126,2025-05-25 06:35:00.493566,0 days 00:01:52.403440,0.65,0.000297366527892123,False,COMPLETE
24,0.9505446623093681,2025-05-25 05:58:43.575860,2025-05-25 06:00:35.716075,0 days 00:01:52.140215,0.5,0.25885424339856833,False,COMPLETE
39,0.9503267973856208,2025-05-25 06:25:15.259181,2025-05-25 06:27:12.727972,0 days 00:01:57.468791,0.6,0.4320379809374979,False,COMPLETE
59,0.9503267973856208,2025-05-25 07:02:00.821329,2025-05-25 07:04:01.123552,0 days 00:02:00.302223,0.85,0.009693185014445865,False,COMPLETE
33,0.9503267973856208,2025-05-25 06:14:41.534112,2025-05-25 06:16:44.259422,0 days 00:02:02.725310,0.45000000000000007,0.39068844939099956,False,COMPLETE
56,0.9498910675381262,2025-05-25 06:56:49.364189,2025-05-25 06:58:44.834066,0 days 00:01:55.469877,0.6,0.03759054871098928,False,COMPLETE
51,0.9494553376906317,2025-05-25 06:47:51.234318,2025-05-25 06:49:39.781826,0 days 00:01:48.547508,0.55,0.5138576268180425,False,COMPLETE
80,0.9494553376906317,2025-05-25 07:39:49.677210,2025-05-25 07:41:48.153110,0 days 00:01:58.475900,0.5,0.051726839836764155,False,COMPLETE
86,0.9494553376906317,2025-05-25 07:51:07.956614,2025-05-25 07:52:53.112504,0 days 00:01:45.155890,0.5,0.9223338007257604,False,COMPLETE
44,0.9494553376906317,2025-05-25 06:35:00.531521,2025-05-25 06:36:56.815538,0 days 00:01:56.284017,0.65,0.0002886241822971924,False,COMPLETE
66,0.9494553376906317,2025-05-25 07:14:50.583576,2025-05-25 07:16:49.253640,0 days 00:01:58.670064,0.5,0.05205950264182097,True,COMPLETE
13,0.9494553376906317,2025-05-25 05:39:15.857460,2025-05-25 05:41:07.260181,0 days 00:01:51.402721,0.35,0.7425306444099048,False,COMPLETE
21,0.9492374727668844,2025-05-25 05:52:47.559586,2025-05-25 05:54:52.053615,0 days 00:02:04.494029,0.4,0.7571730716017193,False,COMPLETE
41,0.9492374727668844,2025-05-25 06:29:03.321782,2025-05-25 06:31:04.009963,0 days 00:02:00.688181,0.6,0.4337427078235496,False,COMPLETE
