number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
29,0.6043333333333333,2025-05-24 15:13:18.794849,2025-05-24 15:13:42.066992,0 days 00:00:23.272143,0.85,0.0009455536326719,False,COMPLETE
87,0.6026666666666666,2025-05-24 15:36:47.831574,2025-05-24 15:37:09.725846,0 days 00:00:21.894272,0.45000000000000007,0.09908242671942863,False,COMPLETE
62,0.6023333333333333,2025-05-24 15:26:35.958337,2025-05-24 15:26:58.059400,0 days 00:00:22.101063,0.8,0.0004603185531564041,True,COMPLETE
85,0.6013333333333333,2025-05-24 15:36:00.184471,2025-05-24 15:36:22.552034,0 days 00:00:22.367563,0.4,0.11011326229216976,False,COMPLETE
46,0.5996666666666667,2025-05-24 15:20:04.778685,2025-05-24 15:20:28.540551,0 days 00:00:23.761866,0.45000000000000007,0.0002830057390645213,True,COMPLETE
9,0.5990000000000001,2025-05-24 15:05:15.468403,2025-05-24 15:05:37.360290,0 days 00:00:21.891887,0.85,0.07852634723225554,True,COMPLETE
13,0.599,2025-05-24 15:06:49.198887,2025-05-24 15:07:12.547293,0 days 00:00:23.348406,0.45000000000000007,3.948386549101557e-05,True,COMPLETE
80,0.599,2025-05-24 15:33:50.965459,2025-05-24 15:34:16.090431,0 days 00:00:25.124972,0.85,0.005517327131208182,False,COMPLETE
42,0.5983333333333333,2025-05-24 15:18:31.089125,2025-05-24 15:18:52.970277,0 days 00:00:21.881152,0.8,0.20103256103622635,True,COMPLETE
47,0.5983333333333333,2025-05-24 15:20:28.579641,2025-05-24 15:20:53.671897,0 days 00:00:25.092256,0.45000000000000007,0.0002799771303937901,True,COMPLETE
91,0.5983333333333333,2025-05-24 15:38:17.313110,2025-05-24 15:38:39.375780,0 days 00:00:22.062670,0.45000000000000007,0.16321999858395594,False,COMPLETE
45,0.598,2025-05-24 15:19:38.923225,2025-05-24 15:20:04.741433,0 days 00:00:25.818208,0.9,0.0005959237904086028,True,COMPLETE
44,0.5976666666666666,2025-05-24 15:19:16.111394,2025-05-24 15:19:38.826685,0 days 00:00:22.715291,0.9,0.0007110854383247261,True,COMPLETE
37,0.5973333333333333,2025-05-24 15:16:31.735022,2025-05-24 15:16:53.988878,0 days 00:00:22.253856,0.85,0.0023975684170177516,True,COMPLETE
94,0.5973333333333333,2025-05-24 15:39:25.807542,2025-05-24 15:39:47.763344,0 days 00:00:21.955802,0.4,0.1443331940415177,False,COMPLETE
73,0.5973333333333333,2025-05-24 15:31:00.691490,2025-05-24 15:31:24.166131,0 days 00:00:23.474641,0.9,0.0008804751956673964,True,COMPLETE
