number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
2,0.9331152308251545,2025-05-29 09:17:53.299789,2025-05-29 09:19:45.434882,0 days 00:01:52.135093,0.35,0.7560123761596782,True,COMPLETE
74,0.9327517266448564,2025-05-29 11:44:27.445574,2025-05-29 11:46:20.412398,0 days 00:01:52.966824,0.7000000000000001,0.002108092805348137,False,COMPLETE
77,0.9320247182842603,2025-05-29 11:49:58.940734,2025-05-29 11:51:45.024053,0 days 00:01:46.083319,0.7000000000000001,0.001491674495554925,False,COMPLETE
32,0.9320247182842603,2025-05-29 10:18:03.940475,2025-05-29 10:20:04.481032,0 days 00:02:00.540557,0.6,0.4237634032314347,True,COMPLETE
22,0.9318429661941113,2025-05-29 09:57:28.725617,2025-05-29 09:59:27.688794,0 days 00:01:58.963177,0.9,0.8036429408860765,True,COMPLETE
72,0.9316612141039622,2025-05-29 11:40:33.799593,2025-05-29 11:42:37.132369,0 days 00:02:03.332776,0.75,4.10193388158395e-06,False,COMPLETE
89,0.9312977099236641,2025-05-29 12:13:50.428005,2025-05-29 12:15:45.138741,0 days 00:01:54.710736,0.6,0.7058043980081355,True,COMPLETE
38,0.9312068338785896,2025-05-29 10:29:53.902674,2025-05-29 10:32:01.912514,0 days 00:02:08.009840,0.8,0.3980807327919262,True,COMPLETE
15,0.9311159578335152,2025-05-29 09:43:31.275833,2025-05-29 09:45:34.622107,0 days 00:02:03.346274,0.7000000000000001,0.00011742906507291649,True,COMPLETE
19,0.9310250817884406,2025-05-29 09:51:39.316650,2025-05-29 09:53:32.140522,0 days 00:01:52.823872,0.7000000000000001,0.1778684152131704,True,COMPLETE
41,0.9310250817884406,2025-05-29 10:36:09.229631,2025-05-29 10:38:13.668543,0 days 00:02:04.438912,0.8,0.3387255414588392,True,COMPLETE
30,0.930934205743366,2025-05-29 10:13:52.964364,2025-05-29 10:15:49.069863,0 days 00:01:56.105499,0.75,0.029329847375758968,True,COMPLETE
0,0.930934205743366,2025-05-29 09:13:48.981069,2025-05-29 09:15:42.632275,0 days 00:01:53.651206,0.8,3.7045986998713006e-06,False,COMPLETE
35,0.9307524536532171,2025-05-29 10:24:00.102396,2025-05-29 10:25:56.275989,0 days 00:01:56.173593,0.55,0.0005123424948324145,True,COMPLETE
64,0.9307524536532169,2025-05-29 11:24:18.095569,2025-05-29 11:26:27.465226,0 days 00:02:09.369657,0.6,0.9559205120849409,True,COMPLETE
78,0.9306615776081425,2025-05-29 11:51:45.061121,2025-05-29 11:53:34.276903,0 days 00:01:49.215782,0.6,0.0010097452708613926,False,COMPLETE
92,0.930570701563068,2025-05-29 12:20:01.327085,2025-05-29 12:22:00.620346,0 days 00:01:59.293261,0.7000000000000001,0.20433539392148684,True,COMPLETE
42,0.930570701563068,2025-05-29 10:38:13.706373,2025-05-29 10:40:21.421865,0 days 00:02:07.715492,0.75,0.8305314929974029,True,COMPLETE
76,0.930570701563068,2025-05-29 11:48:12.470985,2025-05-29 11:49:58.900428,0 days 00:01:46.429443,0.65,1.491090095986503e-06,False,COMPLETE
5,0.9304798255179935,2025-05-29 09:23:48.837823,2025-05-29 09:25:38.471036,0 days 00:01:49.633213,0.30000000000000004,3.1290217457424367e-06,True,COMPLETE
44,0.9304798255179935,2025-05-29 10:42:44.858344,2025-05-29 10:44:59.912266,0 days 00:02:15.053922,0.85,7.354421021256702e-05,True,COMPLETE
8,0.9302980734278444,2025-05-29 09:29:50.069056,2025-05-29 09:31:51.571236,0 days 00:02:01.502180,0.8,0.0011038434645201072,True,COMPLETE
