number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
37,0.8698655034532897,2025-05-27 06:09:18.909343,2025-05-27 06:11:23.940296,0 days 00:02:05.030953,0.8,0.00023308839074980141,False,COMPLETE
22,0.8697443353931903,2025-05-27 05:39:23.056316,2025-05-27 05:41:30.575609,0 days 00:02:07.519293,0.65,0.00029480074712765386,True,COMPLETE
24,0.8691384950926936,2025-05-27 05:43:33.517304,2025-05-27 05:45:40.371704,0 days 00:02:06.854400,0.65,3.250369099694317e-05,True,COMPLETE
15,0.8685326547921969,2025-05-27 05:25:05.571286,2025-05-27 05:27:15.631321,0 days 00:02:10.060035,0.65,0.00019707495376391785,True,COMPLETE
45,0.8685326547921967,2025-05-27 06:25:22.061399,2025-05-27 06:27:26.927161,0 days 00:02:04.865762,0.45000000000000007,0.0014110441988525368,True,COMPLETE
97,0.8682903186719981,2025-05-27 08:08:02.828048,2025-05-27 08:10:03.293127,0 days 00:02:00.465079,0.5,0.00010045787344159478,True,COMPLETE
70,0.8680479825517994,2025-05-27 07:14:42.744100,2025-05-27 07:16:47.357821,0 days 00:02:04.613721,0.4,2.9084990145634287e-05,True,COMPLETE
9,0.8680479825517994,2025-05-27 05:12:50.359721,2025-05-27 05:14:55.736775,0 days 00:02:05.377054,0.6,5.115651215517028e-05,True,COMPLETE
69,0.8680479825517993,2025-05-27 07:12:38.768249,2025-05-27 07:14:42.704684,0 days 00:02:03.936435,0.4,2.5688009024683977e-05,True,COMPLETE
23,0.8678056464316007,2025-05-27 05:41:30.613156,2025-05-27 05:43:33.480678,0 days 00:02:02.867522,0.55,0.0017566977368337646,True,COMPLETE
73,0.8674421422513025,2025-05-27 07:20:41.423585,2025-05-27 07:22:45.862821,0 days 00:02:04.439236,0.4,1.5194646679126078e-05,True,COMPLETE
61,0.8673209741912031,2025-05-27 06:57:01.115668,2025-05-27 06:59:05.966955,0 days 00:02:04.851287,0.6,0.0010046658464604842,True,COMPLETE
65,0.8668363019508057,2025-05-27 07:04:58.005514,2025-05-27 07:07:02.692134,0 days 00:02:04.686620,0.45000000000000007,1.142836522890257e-05,True,COMPLETE
89,0.8668363019508057,2025-05-27 07:52:13.857633,2025-05-27 07:54:18.654695,0 days 00:02:04.797062,0.6,0.13080308109335187,True,COMPLETE
63,0.8665939658306071,2025-05-27 07:01:05.464815,2025-05-27 07:03:04.235612,0 days 00:01:58.770797,0.55,0.0001516494003327128,True,COMPLETE
54,0.8664727977705077,2025-05-27 06:43:16.129629,2025-05-27 06:45:16.042312,0 days 00:01:59.912683,0.7000000000000001,0.0003217799176314532,True,COMPLETE
38,0.8662304616503089,2025-05-27 06:11:23.980128,2025-05-27 06:13:23.834531,0 days 00:01:59.854403,0.9,0.00020149431263968734,False,COMPLETE
16,0.8662304616503089,2025-05-27 05:27:15.672024,2025-05-27 05:29:19.720343,0 days 00:02:04.048319,0.65,0.0003052652065087919,True,COMPLETE
41,0.8661092935902096,2025-05-27 06:17:12.478549,2025-05-27 06:19:17.436037,0 days 00:02:04.957488,0.7000000000000001,0.00010876132091557192,False,COMPLETE
59,0.8659881255301102,2025-05-27 06:52:56.648531,2025-05-27 06:55:01.370258,0 days 00:02:04.721727,0.65,3.6587803670357897e-06,True,COMPLETE
