number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
85,0.758,2025-05-24 04:59:02.403588,2025-05-24 04:59:45.073352,0 days 00:00:42.669764,0.9,0.03965110387672393,True,COMPLETE
3,0.7576666666666667,2025-05-24 04:03:19.575302,2025-05-24 04:04:01.559561,0 days 00:00:41.984259,0.9,0.004988975689995807,True,COMPLETE
43,0.7563333333333334,2025-05-24 04:30:27.737857,2025-05-24 04:31:10.563623,0 days 00:00:42.825766,0.85,0.0764894622216745,True,COMPLETE
41,0.7560000000000001,2025-05-24 04:29:01.256089,2025-05-24 04:29:44.324852,0 days 00:00:43.068763,0.75,0.06892804331791269,True,COMPLETE
49,0.7559999999999999,2025-05-24 04:34:34.009490,2025-05-24 04:35:15.062390,0 days 00:00:41.052900,0.9,0.08532957364006234,True,COMPLETE
19,0.7559999999999999,2025-05-24 04:14:04.130955,2025-05-24 04:14:47.249562,0 days 00:00:43.118607,0.9,0.19455587776460087,True,COMPLETE
99,0.7559999999999999,2025-05-24 05:08:45.690946,2025-05-24 05:09:27.887627,0 days 00:00:42.196681,0.8,0.02304499253306328,True,COMPLETE
82,0.7556666666666666,2025-05-24 04:56:53.424211,2025-05-24 04:57:36.376504,0 days 00:00:42.952293,0.9,0.11231283233972311,True,COMPLETE
22,0.7553333333333333,2025-05-24 04:16:11.394676,2025-05-24 04:16:51.911533,0 days 00:00:40.516857,0.9,0.17098732479667617,True,COMPLETE
86,0.7553333333333333,2025-05-24 04:59:45.111796,2025-05-24 05:00:27.785656,0 days 00:00:42.673860,0.9,0.038621773549478336,True,COMPLETE
27,0.7553333333333333,2025-05-24 04:19:35.591934,2025-05-24 04:20:18.297605,0 days 00:00:42.705671,0.9,0.0004270142676940003,True,COMPLETE
37,0.755,2025-05-24 04:26:20.100956,2025-05-24 04:27:00.266181,0 days 00:00:40.165225,0.75,0.05751189562835629,True,COMPLETE
91,0.755,2025-05-24 05:03:10.267283,2025-05-24 05:03:53.268963,0 days 00:00:43.001680,0.9,0.041949832829192964,True,COMPLETE
44,0.755,2025-05-24 04:31:10.602007,2025-05-24 04:31:53.135993,0 days 00:00:42.533986,0.85,0.08761741285794986,True,COMPLETE
