number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
3,0.9499516908212561,2025-05-31 18:03:36.877361,2025-05-31 18:10:00.443543,0 days 00:06:23.566182,0.15000000000000002,1.4068939864075432e-06,True,COMPLETE
5,0.9495652173913044,2025-05-31 18:16:44.731687,2025-05-31 18:23:35.404350,0 days 00:06:50.672663,0.75,1.0615459177755486e-06,False,COMPLETE
42,0.9494685990338164,2025-05-31 22:23:03.717030,2025-05-31 22:29:10.802793,0 days 00:06:07.085763,0.30000000000000004,0.0019226162467489841,True,COMPLETE
12,0.9494202898550724,2025-05-31 18:59:38.396311,2025-05-31 19:05:29.539312,0 days 00:05:51.143001,0.8,1.1662798955818303e-06,False,COMPLETE
14,0.9494202898550724,2025-05-31 19:11:33.859848,2025-05-31 19:18:06.703156,0 days 00:06:32.843308,0.9,0.0002552114127715555,True,COMPLETE
17,0.9493719806763284,2025-05-31 19:30:27.318992,2025-05-31 19:37:10.094655,0 days 00:06:42.775663,0.30000000000000004,0.0003678203111234266,True,COMPLETE
65,0.9493236714975845,2025-06-01 01:06:46.566721,2025-06-01 01:14:22.346240,0 days 00:07:35.779519,0.7000000000000001,0.00011000865485335604,False,COMPLETE
67,0.9493236714975845,2025-06-01 01:21:54.888555,2025-06-01 01:29:22.259490,0 days 00:07:27.370935,0.55,1.0207906021326177e-06,True,COMPLETE
24,0.9492753623188407,2025-05-31 20:26:37.451326,2025-05-31 20:35:04.284647,0 days 00:08:26.833321,0.75,0.00022265521180840997,False,COMPLETE
33,0.9492270531400967,2025-05-31 21:28:21.714288,2025-05-31 21:34:28.617997,0 days 00:06:06.903709,0.9,0.00016189149848246388,True,COMPLETE
63,0.9491304347826087,2025-06-01 00:47:40.380667,2025-06-01 00:58:04.218606,0 days 00:10:23.837939,0.8,0.00019817956074012603,False,COMPLETE
21,0.9491304347826087,2025-05-31 20:01:11.298948,2025-05-31 20:10:03.513871,0 days 00:08:52.214923,0.8,1.1330069328360035e-06,False,COMPLETE
53,0.9491304347826087,2025-05-31 23:36:12.238962,2025-05-31 23:43:22.123103,0 days 00:07:09.884141,0.4,0.006750424153590279,True,COMPLETE
25,0.9491304347826087,2025-05-31 20:35:04.324335,2025-05-31 20:43:22.946547,0 days 00:08:18.622212,0.65,3.4059983890471815e-06,False,COMPLETE
41,0.9490821256038647,2025-05-31 22:16:44.501148,2025-05-31 22:23:03.677136,0 days 00:06:19.175988,0.25,0.00028130971709645577,True,COMPLETE
58,0.9490821256038647,2025-06-01 00:09:58.363437,2025-06-01 00:16:29.826611,0 days 00:06:31.463174,0.75,1.9369034422542006e-05,False,COMPLETE
36,0.9490821256038647,2025-05-31 21:46:56.964093,2025-05-31 21:53:13.998526,0 days 00:06:17.034433,0.85,0.0610878705209462,True,COMPLETE
57,0.9490338164251207,2025-06-01 00:03:03.353814,2025-06-01 00:09:58.320937,0 days 00:06:54.967123,0.30000000000000004,1.784970517842574e-06,True,COMPLETE
26,0.9490338164251207,2025-05-31 20:43:22.984683,2025-05-31 20:50:58.115192,0 days 00:07:35.130509,0.85,1.4947033589871081e-05,True,COMPLETE
59,0.9490338164251207,2025-06-01 00:16:29.868091,2025-06-01 00:23:09.585498,0 days 00:06:39.717407,0.65,4.103837129930233e-06,True,COMPLETE
44,0.9490338164251207,2025-05-31 22:35:15.149022,2025-05-31 22:41:35.620347,0 days 00:06:20.471325,0.15000000000000002,0.0015632843455573651,True,COMPLETE
74,0.9490338164251207,2025-06-01 02:10:39.022439,2025-06-01 02:17:37.680990,0 days 00:06:58.658551,0.6,3.084130262183995e-06,True,COMPLETE
38,0.9489855072463769,2025-05-31 21:59:06.779955,2025-05-31 22:05:24.407312,0 days 00:06:17.627357,0.7000000000000001,0.0007677113274685533,True,COMPLETE
7,0.9489371980676329,2025-05-31 18:29:17.194173,2025-05-31 18:35:20.157551,0 days 00:06:02.963378,0.2,0.039672055845583656,True,COMPLETE
27,0.9489371980676329,2025-05-31 20:50:58.155838,2025-05-31 20:57:39.575416,0 days 00:06:41.419578,0.8,0.0009645588147860691,False,COMPLETE
45,0.9489371980676329,2025-05-31 22:41:35.659004,2025-05-31 22:47:38.159801,0 days 00:06:02.500797,0.30000000000000004,0.004921192912964359,True,COMPLETE
34,0.9489371980676329,2025-05-31 21:34:28.657334,2025-05-31 21:40:49.093087,0 days 00:06:20.435753,0.8,7.2306751799137494e-06,True,COMPLETE
1,0.9488888888888889,2025-05-31 17:50:52.525445,2025-05-31 17:56:57.692794,0 days 00:06:05.167349,0.85,0.8244461968270337,True,COMPLETE
51,0.9488405797101449,2025-05-31 23:19:34.889868,2025-05-31 23:27:30.240130,0 days 00:07:55.350262,0.25,0.00040406909663169436,True,COMPLETE
11,0.9488405797101449,2025-05-31 18:53:20.335473,2025-05-31 18:59:38.356415,0 days 00:06:18.020942,0.65,1.7198979329019778e-06,False,COMPLETE
46,0.9488405797101449,2025-05-31 22:47:38.198419,2025-05-31 22:53:41.704459,0 days 00:06:03.506040,0.35,0.0018943799320925217,True,COMPLETE
28,0.9487922705314009,2025-05-31 20:57:39.819893,2025-05-31 21:04:03.957929,0 days 00:06:24.138036,0.4,2.5575622914684787e-06,True,COMPLETE
22,0.9487922705314009,2025-05-31 20:10:03.561283,2025-05-31 20:19:33.165793,0 days 00:09:29.604510,0.75,2.6491271649170657e-06,False,COMPLETE
64,0.9487922705314009,2025-06-01 00:58:04.263485,2025-06-01 01:06:46.522239,0 days 00:08:42.258754,0.85,0.0003689574478000316,False,COMPLETE
69,0.948743961352657,2025-06-01 01:36:23.937431,2025-06-01 01:42:44.470975,0 days 00:06:20.533544,0.45000000000000007,5.0777054272682e-06,True,COMPLETE
48,0.948743961352657,2025-05-31 23:00:18.475804,2025-05-31 23:07:00.282237,0 days 00:06:41.806433,0.4,0.0005402673091705859,True,COMPLETE
37,0.9487439613526569,2025-05-31 21:53:14.039740,2025-05-31 21:59:06.741440,0 days 00:05:52.701700,0.5,0.2301890566407206,True,COMPLETE
52,0.9487439613526569,2025-05-31 23:27:30.282507,2025-05-31 23:36:12.195825,0 days 00:08:41.913318,0.30000000000000004,5.585146998819885e-05,True,COMPLETE
72,0.9486473429951691,2025-06-01 01:55:37.872622,2025-06-01 02:03:22.859993,0 days 00:07:44.987371,0.65,2.1629506313060017e-06,True,COMPLETE
