number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
1,0.9468599033816426,2025-06-02 02:35:57.128377,2025-06-02 02:45:58.013422,0 days 00:10:00.885045,0.85,0.2915731034640438,True,COMPLETE
25,0.946231884057971,2025-06-02 06:15:02.952019,2025-06-02 06:25:26.058670,0 days 00:10:23.106651,0.8,0.14491489191663967,True,COMPLETE
19,0.9459420289855073,2025-06-02 05:22:12.279269,2025-06-02 05:32:44.046078,0 days 00:10:31.766809,0.4,0.22959318033362167,True,COMPLETE
36,0.9458454106280193,2025-06-02 07:51:08.120927,2025-06-02 08:01:40.618878,0 days 00:10:32.497951,0.85,0.44442577840930353,False,COMPLETE
11,0.9454106280193236,2025-06-02 04:13:59.677453,2025-06-02 04:22:39.565693,0 days 00:08:39.888240,0.9,0.8052589725037792,True,COMPLETE
26,0.9444927536231885,2025-06-02 06:25:26.097212,2025-06-02 06:33:42.978863,0 days 00:08:16.881651,0.6,0.13963533032952283,True,COMPLETE
8,0.9443961352657005,2025-06-02 03:49:32.582121,2025-06-02 03:57:58.470322,0 days 00:08:25.888201,0.5,0.42897855675485225,True,COMPLETE
46,0.9442995169082126,2025-06-02 09:23:25.819141,2025-06-02 09:30:59.290340,0 days 00:07:33.471199,0.7000000000000001,0.12838475775323535,False,COMPLETE
6,0.9442512077294686,2025-06-02 03:31:27.212143,2025-06-02 03:41:13.242238,0 days 00:09:46.030095,0.7000000000000001,0.0912219160967144,False,COMPLETE
31,0.9442028985507247,2025-06-02 07:08:05.039803,2025-06-02 07:16:39.759405,0 days 00:08:34.719602,0.85,0.416848652436627,True,COMPLETE
43,0.9440579710144927,2025-06-02 08:54:01.590090,2025-06-02 09:02:51.745250,0 days 00:08:50.155160,0.85,0.21658470761718462,False,COMPLETE
28,0.9440579710144927,2025-06-02 06:41:52.608504,2025-06-02 06:50:40.789551,0 days 00:08:48.181047,0.75,0.027193135777851762,True,COMPLETE
13,0.9439130434782609,2025-06-02 04:31:49.294552,2025-06-02 04:40:13.786617,0 days 00:08:24.492065,0.75,0.04379389974579878,True,COMPLETE
44,0.9439130434782609,2025-06-02 09:02:51.786858,2025-06-02 09:13:51.606200,0 days 00:10:59.819342,0.75,0.5021752078484518,True,COMPLETE
40,0.9438647342995169,2025-06-02 08:28:39.639892,2025-06-02 08:35:58.725131,0 days 00:07:19.085239,0.8,0.0007994071175058206,False,COMPLETE
7,0.9438647342995169,2025-06-02 03:41:13.279195,2025-06-02 03:49:32.541358,0 days 00:08:19.262163,0.55,0.0034637217841128345,False,COMPLETE
38,0.9436714975845412,2025-06-02 08:09:43.963472,2025-06-02 08:19:15.003289,0 days 00:09:31.039817,0.55,0.08349201448075447,False,COMPLETE
18,0.9436231884057972,2025-06-02 05:13:44.613898,2025-06-02 05:22:12.240710,0 days 00:08:27.626812,0.8,0.020549869392383232,True,COMPLETE
34,0.9432850241545894,2025-06-02 07:34:27.813779,2025-06-02 07:42:00.400842,0 days 00:07:32.587063,0.75,0.06890375781591397,True,COMPLETE
14,0.9432850241545894,2025-06-02 04:40:13.823672,2025-06-02 04:49:09.980034,0 days 00:08:56.156362,0.8,0.9256014360867113,True,COMPLETE
33,0.9430917874396135,2025-06-02 07:24:21.084492,2025-06-02 07:34:27.776421,0 days 00:10:06.691929,0.85,0.3479649212925331,True,COMPLETE
32,0.9430434782608695,2025-06-02 07:16:39.798088,2025-06-02 07:24:21.047218,0 days 00:07:41.249130,0.9,0.09984876050014159,True,COMPLETE
39,0.9429951690821256,2025-06-02 08:19:15.046923,2025-06-02 08:28:39.602029,0 days 00:09:24.555106,0.4,0.3096847121852705,False,COMPLETE
47,0.9429468599033816,2025-06-02 09:30:59.327963,2025-06-02 09:38:55.536043,0 days 00:07:56.208080,0.8,6.109881148538176e-05,True,COMPLETE
22,0.9428502415458938,2025-06-02 05:49:03.192917,2025-06-02 05:56:35.263588,0 days 00:07:32.070671,0.4,0.2781800676942646,True,COMPLETE
24,0.9428019323671498,2025-06-02 06:06:22.839318,2025-06-02 06:15:02.913244,0 days 00:08:40.073926,0.1,0.8953005130741595,True,COMPLETE
23,0.9427053140096618,2025-06-02 05:56:35.301906,2025-06-02 06:06:22.802438,0 days 00:09:47.500532,0.25,0.04083541188324649,True,COMPLETE
48,0.942608695652174,2025-06-02 09:38:55.575299,2025-06-02 09:47:15.770437,0 days 00:08:20.195138,0.45000000000000007,0.48602033918328835,True,COMPLETE
5,0.94256038647343,2025-06-02 03:22:22.302521,2025-06-02 03:31:27.167501,0 days 00:09:04.864980,0.7000000000000001,0.06896946834663475,False,COMPLETE
42,0.942512077294686,2025-06-02 08:46:08.586670,2025-06-02 08:54:01.553343,0 days 00:07:52.966673,0.85,0.9500253135808355,False,COMPLETE
21,0.942415458937198,2025-06-02 05:41:02.808822,2025-06-02 05:49:03.155374,0 days 00:08:00.346552,0.30000000000000004,0.18182281743413056,True,COMPLETE
12,0.9423188405797102,2025-06-02 04:22:39.603246,2025-06-02 04:31:49.249637,0 days 00:09:09.646391,0.9,0.008421242141740051,True,COMPLETE
3,0.9418840579710145,2025-06-02 02:57:25.656508,2025-06-02 03:10:59.875225,0 days 00:13:34.218717,0.15000000000000002,0.00024021829219001117,True,COMPLETE
30,0.9416908212560386,2025-06-02 06:58:37.809406,2025-06-02 07:08:05.002044,0 days 00:09:27.192638,0.45000000000000007,0.0035210369854566047,True,COMPLETE
37,0.9416425120772947,2025-06-02 08:01:40.657540,2025-06-02 08:09:43.928781,0 days 00:08:03.271241,0.65,0.008287227500444095,False,COMPLETE
29,0.9414009661835748,2025-06-02 06:50:40.827096,2025-06-02 06:58:37.771415,0 days 00:07:56.944319,0.25,8.276274059963984e-06,False,COMPLETE
41,0.9410628019323671,2025-06-02 08:35:58.762370,2025-06-02 08:46:08.547838,0 days 00:10:09.785468,0.9,0.5783224066301991,False,COMPLETE
4,0.9406763285024153,2025-06-02 03:10:59.916729,2025-06-02 03:22:22.260058,0 days 00:11:22.343329,0.35,4.00723929386448e-05,False,COMPLETE
2,0.9405797101449275,2025-06-02 02:45:58.052646,2025-06-02 02:57:25.617383,0 days 00:11:27.564737,0.5,0.00012434126473180327,True,COMPLETE
49,0.9405314009661835,2025-06-02 09:47:16.016022,2025-06-02 09:55:33.583987,0 days 00:08:17.567965,0.85,0.028160361676779433,True,COMPLETE
17,0.9401449275362319,2025-06-02 05:05:08.398092,2025-06-02 05:13:44.575599,0 days 00:08:36.177507,0.6,0.0009156619030957835,True,COMPLETE
9,0.9398067632850241,2025-06-02 03:57:58.508443,2025-06-02 04:05:50.112695,0 days 00:07:51.604252,0.45000000000000007,0.7420930681189104,False,COMPLETE
45,0.9393236714975846,2025-06-02 09:13:51.645112,2025-06-02 09:23:25.780820,0 days 00:09:34.135708,0.9,0.05395451505422348,True,COMPLETE
0,0.9389855072463767,2025-06-02 02:24:23.652559,2025-06-02 02:35:57.086206,0 days 00:11:33.433647,0.2,5.801364770331595e-05,False,COMPLETE
20,0.938647342995169,2025-06-02 05:32:44.083139,2025-06-02 05:41:02.769593,0 days 00:08:18.686454,0.35,0.0033857098083077703,True,COMPLETE
15,0.9381159420289854,2025-06-02 04:49:10.019294,2025-06-02 04:57:04.195487,0 days 00:07:54.176193,0.9,0.012989971289266256,True,COMPLETE
27,0.9380676328502416,2025-06-02 06:33:43.017621,2025-06-02 06:41:52.570840,0 days 00:08:09.553219,0.8,1.9984981601376205e-06,True,COMPLETE
16,0.9369082125603865,2025-06-02 04:57:04.230962,2025-06-02 05:05:08.360103,0 days 00:08:04.129141,0.65,0.18942528218902208,True,COMPLETE
10,0.9341545893719806,2025-06-02 04:05:50.151751,2025-06-02 04:13:59.639609,0 days 00:08:09.487858,0.85,1.4341777551918187e-06,True,COMPLETE
35,0.9330434782608696,2025-06-02 07:42:00.440796,2025-06-02 07:51:08.079846,0 days 00:09:07.639050,0.7000000000000001,0.0002482393158898953,True,COMPLETE
