number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
62,0.7573333333333334,2025-05-25 01:47:02.634850,2025-05-25 01:47:35.790795,0 days 00:00:33.155945,0.6,3.426709954932779e-05,True,COMPLETE
28,0.7566666666666667,2025-05-25 01:28:18.248791,2025-05-25 01:28:51.420515,0 days 00:00:33.171724,0.6,0.0002182982470607009,True,COMPLETE
89,0.7566666666666667,2025-05-25 02:01:42.858901,2025-05-25 02:02:16.169810,0 days 00:00:33.310909,0.6,1.0375500004627577e-06,True,COMPLETE
90,0.7553333333333333,2025-05-25 02:02:16.209131,2025-05-25 02:02:49.415587,0 days 00:00:33.206456,0.6,2.7757484216423167e-06,True,COMPLETE
81,0.7546666666666667,2025-05-25 01:57:23.368012,2025-05-25 01:57:56.077691,0 days 00:00:32.709679,0.65,4.134817812031587e-06,True,COMPLETE
33,0.7546666666666667,2025-05-25 01:31:02.355348,2025-05-25 01:31:36.662322,0 days 00:00:34.306974,0.6,2.71168254733719e-06,True,COMPLETE
6,0.7543333333333333,2025-05-25 01:16:10.071344,2025-05-25 01:16:43.003905,0 days 00:00:32.932561,0.5,1.9520394251994095e-05,False,COMPLETE
51,0.7543333333333333,2025-05-25 01:40:59.882047,2025-05-25 01:41:33.104339,0 days 00:00:33.222292,0.6,2.1920313860748376e-06,True,COMPLETE
72,0.754,2025-05-25 01:52:26.547403,2025-05-25 01:52:59.391266,0 days 00:00:32.843863,0.6,0.0005065632735149704,True,COMPLETE
82,0.754,2025-05-25 01:57:56.116800,2025-05-25 01:58:28.606738,0 days 00:00:32.489938,0.65,6.5220350988818e-06,True,COMPLETE
45,0.7536666666666667,2025-05-25 01:37:40.361111,2025-05-25 01:38:13.487327,0 days 00:00:33.126216,0.5,7.54727658997882e-05,True,COMPLETE
93,0.7536666666666667,2025-05-25 02:03:55.823293,2025-05-25 02:04:29.065760,0 days 00:00:33.242467,0.6,1.6827987074218606e-06,True,COMPLETE
80,0.7533333333333333,2025-05-25 01:56:50.358320,2025-05-25 01:57:23.328706,0 days 00:00:32.970386,0.65,4.292199848529581e-06,True,COMPLETE
76,0.7530000000000001,2025-05-25 01:54:38.056307,2025-05-25 01:55:11.011435,0 days 00:00:32.955128,0.7000000000000001,0.0002551387353070361,True,COMPLETE
26,0.7530000000000001,2025-05-25 01:27:11.542581,2025-05-25 01:27:44.516463,0 days 00:00:32.973882,0.6,3.547952671449385e-06,True,COMPLETE
64,0.753,2025-05-25 01:48:07.819100,2025-05-25 01:48:41.091487,0 days 00:00:33.272387,0.65,0.0003466349017965951,True,COMPLETE
54,0.7526666666666667,2025-05-25 01:42:38.986590,2025-05-25 01:43:12.017045,0 days 00:00:33.030455,0.6,4.41971557109121e-05,True,COMPLETE
67,0.7526666666666667,2025-05-25 01:49:44.220428,2025-05-25 01:50:17.011832,0 days 00:00:32.791404,0.6,1.3606649422429346e-06,False,COMPLETE
83,0.7523333333333334,2025-05-25 01:58:28.645109,2025-05-25 01:59:01.864816,0 days 00:00:33.219707,0.65,1.070815418826617e-05,True,COMPLETE
41,0.7523333333333334,2025-05-25 01:35:29.446058,2025-05-25 01:36:02.765657,0 days 00:00:33.319599,0.6,4.561626603938159e-06,True,COMPLETE
73,0.7523333333333334,2025-05-25 01:52:59.430509,2025-05-25 01:53:32.562313,0 days 00:00:33.131804,0.6,0.0038775654311216656,True,COMPLETE
35,0.7520000000000001,2025-05-25 01:32:10.570895,2025-05-25 01:32:43.494635,0 days 00:00:32.923740,0.6,4.624628804300638e-06,True,COMPLETE
99,0.7520000000000001,2025-05-25 02:07:12.720934,2025-05-25 02:07:45.838827,0 days 00:00:33.117893,0.65,1.5726388805385327e-06,True,COMPLETE
53,0.7520000000000001,2025-05-25 01:42:05.999695,2025-05-25 01:42:38.947044,0 days 00:00:32.947349,0.65,7.995098843800355e-06,True,COMPLETE
95,0.7519999999999999,2025-05-25 02:05:02.106521,2025-05-25 02:05:34.987285,0 days 00:00:32.880764,0.55,2.664853744533588e-06,True,COMPLETE
24,0.7519999999999999,2025-05-25 01:26:05.364328,2025-05-25 01:26:38.329706,0 days 00:00:32.965378,0.55,3.1559745676961564e-05,True,COMPLETE
61,0.7516666666666666,2025-05-25 01:46:29.492859,2025-05-25 01:47:02.596209,0 days 00:00:33.103350,0.6,4.923454563298071e-05,True,COMPLETE
10,0.7513333333333333,2025-05-25 01:18:22.196953,2025-05-25 01:18:55.889457,0 days 00:00:33.692504,0.65,1.3146859590586484e-06,False,COMPLETE
21,0.751,2025-05-25 01:24:25.359285,2025-05-25 01:24:58.538792,0 days 00:00:33.179507,0.2,5.628386768086396e-05,True,COMPLETE
4,0.751,2025-05-25 01:15:03.954136,2025-05-25 01:15:36.991259,0 days 00:00:33.037123,0.25,8.220051559557191e-05,True,COMPLETE
7,0.751,2025-05-25 01:16:43.043916,2025-05-25 01:17:16.108092,0 days 00:00:33.064176,0.5,0.0035829907345003957,False,COMPLETE
23,0.7506666666666667,2025-05-25 01:25:31.726636,2025-05-25 01:26:05.324873,0 days 00:00:33.598237,0.25,1.0102973335349884e-06,True,COMPLETE
91,0.7506666666666666,2025-05-25 02:02:49.453948,2025-05-25 02:03:22.642988,0 days 00:00:33.189040,0.6,1.1001369569072234e-06,True,COMPLETE
85,0.7503333333333334,2025-05-25 01:59:32.498540,2025-05-25 02:00:05.421391,0 days 00:00:32.922851,0.65,2.67661693492795e-05,True,COMPLETE
98,0.7503333333333333,2025-05-25 02:06:39.332894,2025-05-25 02:07:12.681731,0 days 00:00:33.348837,0.6,5.83034668475057e-06,True,COMPLETE
29,0.75,2025-05-25 01:28:51.458673,2025-05-25 01:29:24.365489,0 days 00:00:32.906816,0.6,0.00019594811638842482,True,COMPLETE
70,0.75,2025-05-25 01:51:20.624365,2025-05-25 01:51:53.332660,0 days 00:00:32.708295,0.45000000000000007,0.00011129991676980054,True,COMPLETE
59,0.75,2025-05-25 01:45:22.906233,2025-05-25 01:45:56.132250,0 days 00:00:33.226017,0.45000000000000007,1.3528261365003096e-05,False,COMPLETE
44,0.75,2025-05-25 01:37:07.390107,2025-05-25 01:37:40.322929,0 days 00:00:32.932822,0.4,5.410130349124308e-06,True,COMPLETE
94,0.75,2025-05-25 02:04:29.104143,2025-05-25 02:05:02.065415,0 days 00:00:32.961272,0.65,1.037982837985598e-06,True,COMPLETE
92,0.75,2025-05-25 02:03:22.685411,2025-05-25 02:03:55.783458,0 days 00:00:33.098047,0.65,2.2770887253301267e-06,True,COMPLETE
17,0.75,2025-05-25 01:22:13.217105,2025-05-25 01:22:46.205621,0 days 00:00:32.988516,0.45000000000000007,6.287068945788936e-06,False,COMPLETE
52,0.7496666666666667,2025-05-25 01:41:33.143277,2025-05-25 01:42:05.957253,0 days 00:00:32.813976,0.5,1.8035590106727165e-06,True,COMPLETE
8,0.7493333333333334,2025-05-25 01:17:16.146926,2025-05-25 01:17:48.922577,0 days 00:00:32.775651,0.35,0.023898465014924496,True,COMPLETE
30,0.749,2025-05-25 01:29:24.405328,2025-05-25 01:29:57.184010,0 days 00:00:32.778682,0.45000000000000007,1.0547412920279021e-05,True,COMPLETE
20,0.749,2025-05-25 01:23:52.207382,2025-05-25 01:24:25.320385,0 days 00:00:33.113003,0.75,0.000358989083546735,False,COMPLETE
71,0.749,2025-05-25 01:51:53.372250,2025-05-25 01:52:26.509074,0 days 00:00:33.136824,0.65,0.00037583810752389607,True,COMPLETE
87,0.749,2025-05-25 02:00:36.797864,2025-05-25 02:01:09.887189,0 days 00:00:33.089325,0.75,5.640293102460801e-06,False,COMPLETE
0,0.7483333333333334,2025-05-25 01:12:51.074258,2025-05-25 01:13:24.473406,0 days 00:00:33.399148,0.55,1.8953442286508734e-05,False,COMPLETE
22,0.7483333333333334,2025-05-25 01:24:58.576750,2025-05-25 01:25:31.688407,0 days 00:00:33.111657,0.1,5.5232778765440975e-06,True,COMPLETE
74,0.7479999999999999,2025-05-25 01:53:32.600027,2025-05-25 01:54:05.170322,0 days 00:00:32.570295,0.6,0.0005544059391760628,True,COMPLETE
75,0.7479999999999999,2025-05-25 01:54:05.208849,2025-05-25 01:54:38.017547,0 days 00:00:32.808698,0.55,3.0661240691299697e-06,True,COMPLETE
40,0.7479999999999999,2025-05-25 01:34:56.079829,2025-05-25 01:35:29.407075,0 days 00:00:33.327246,0.7000000000000001,0.0007822964423243691,True,COMPLETE
39,0.7476666666666666,2025-05-25 01:34:22.997102,2025-05-25 01:34:56.040686,0 days 00:00:33.043584,0.5,0.010929680453203212,True,COMPLETE
13,0.7473333333333333,2025-05-25 01:20:02.157057,2025-05-25 01:20:35.216846,0 days 00:00:33.059789,0.65,1.0976361015766415e-06,False,COMPLETE
