number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
86,0.7723333333333334,2025-05-24 22:08:07.741447,2025-05-24 22:09:05.470057,0 days 00:00:57.728610,0.30000000000000004,0.3025161919018301,False,COMPLETE
91,0.769,2025-05-24 22:12:40.346877,2025-05-24 22:13:40.169898,0 days 00:00:59.823021,0.4,0.4484243192013082,False,COMPLETE
51,0.7686666666666667,2025-05-24 21:35:16.622519,2025-05-24 21:36:15.253312,0 days 00:00:58.630793,0.45000000000000007,0.6071418172425976,True,COMPLETE
34,0.7676666666666666,2025-05-24 21:19:33.002612,2025-05-24 21:20:31.869119,0 days 00:00:58.866507,0.35,0.18479258216870298,False,COMPLETE
81,0.7676666666666666,2025-05-24 22:03:18.464707,2025-05-24 22:04:18.922482,0 days 00:01:00.457775,0.35,0.41177377448320046,False,COMPLETE
96,0.7676666666666666,2025-05-24 22:17:17.754737,2025-05-24 22:18:14.411221,0 days 00:00:56.656484,0.35,0.46718882280016416,False,COMPLETE
45,0.767,2025-05-24 21:29:40.703065,2025-05-24 21:30:39.710291,0 days 00:00:59.007226,0.45000000000000007,0.4954813593230544,False,COMPLETE
68,0.766,2025-05-24 21:50:54.663215,2025-05-24 21:51:56.512503,0 days 00:01:01.849288,0.45000000000000007,0.9898775076655678,True,COMPLETE
44,0.7646666666666667,2025-05-24 21:28:43.132005,2025-05-24 21:29:40.662881,0 days 00:00:57.530876,0.45000000000000007,0.5209169125693688,False,COMPLETE
85,0.7643333333333334,2025-05-24 22:07:10.274904,2025-05-24 22:08:07.700510,0 days 00:00:57.425606,0.35,0.28370845919889387,False,COMPLETE
47,0.7636666666666666,2025-05-24 21:31:35.379923,2025-05-24 21:32:32.324083,0 days 00:00:56.944160,0.45000000000000007,0.4668755673682841,True,COMPLETE
52,0.763,2025-05-24 21:36:15.294027,2025-05-24 21:37:10.540123,0 days 00:00:55.246096,0.45000000000000007,0.6152256739312926,True,COMPLETE
80,0.763,2025-05-24 22:02:21.088771,2025-05-24 22:03:18.422269,0 days 00:00:57.333498,0.35,0.9768995604068058,False,COMPLETE
46,0.7623333333333333,2025-05-24 21:30:39.749608,2025-05-24 21:31:35.341548,0 days 00:00:55.591940,0.45000000000000007,0.5288247544469472,True,COMPLETE
83,0.762,2025-05-24 22:05:19.026203,2025-05-24 22:06:17.073539,0 days 00:00:58.047336,0.30000000000000004,0.38295856639624737,False,COMPLETE
58,0.7616666666666667,2025-05-24 21:41:49.114943,2025-05-24 21:42:46.992312,0 days 00:00:57.877369,0.6,0.6450679981479962,True,COMPLETE
63,0.7616666666666667,2025-05-24 21:46:15.349288,2025-05-24 21:47:15.417291,0 days 00:01:00.068003,0.5,0.44714620903644875,True,COMPLETE
92,0.7616666666666667,2025-05-24 22:13:40.208989,2025-05-24 22:14:37.765209,0 days 00:00:57.556220,0.4,0.3974005333010227,False,COMPLETE
97,0.7616666666666667,2025-05-24 22:18:14.449936,2025-05-24 22:19:06.867517,0 days 00:00:52.417581,0.25,0.7372640171847806,False,COMPLETE
56,0.7613333333333333,2025-05-24 21:39:58.953907,2025-05-24 21:40:56.573438,0 days 00:00:57.619531,0.5,0.5063462903853757,True,COMPLETE
82,0.7613333333333333,2025-05-24 22:04:18.962303,2025-05-24 22:05:18.983148,0 days 00:01:00.020845,0.35,0.9751021872537439,False,COMPLETE
72,0.761,2025-05-24 21:54:48.406594,2025-05-24 21:55:44.073141,0 days 00:00:55.666547,0.45000000000000007,0.9696247206318124,True,COMPLETE
79,0.761,2025-05-24 22:01:23.014411,2025-05-24 22:02:21.044908,0 days 00:00:58.030497,0.5,0.6947208256951535,False,COMPLETE
98,0.761,2025-05-24 22:19:06.908525,2025-05-24 22:20:02.150133,0 days 00:00:55.241608,0.30000000000000004,0.28489946715734016,False,COMPLETE
71,0.7606666666666667,2025-05-24 21:53:48.743235,2025-05-24 21:54:48.365626,0 days 00:00:59.622391,0.45000000000000007,0.38384176625095745,True,COMPLETE
31,0.7606666666666667,2025-05-24 21:16:58.146232,2025-05-24 21:17:53.806283,0 days 00:00:55.660051,0.35,0.849669600953359,False,COMPLETE
33,0.7603333333333334,2025-05-24 21:18:42.013906,2025-05-24 21:19:32.961596,0 days 00:00:50.947690,0.35,0.2953562161680258,False,COMPLETE
39,0.7603333333333334,2025-05-24 21:24:09.341597,2025-05-24 21:25:08.149960,0 days 00:00:58.808363,0.15000000000000002,0.026772804800068224,False,COMPLETE
94,0.7600000000000001,2025-05-24 22:15:34.447354,2025-05-24 22:16:25.521303,0 days 00:00:51.073949,0.30000000000000004,0.21387161007517036,False,COMPLETE
37,0.7596666666666666,2025-05-24 21:22:23.166465,2025-05-24 21:23:16.556671,0 days 00:00:53.390206,0.45000000000000007,0.1717025433217489,False,COMPLETE
15,0.7596666666666666,2025-05-24 21:02:44.713039,2025-05-24 21:03:35.854384,0 days 00:00:51.141345,0.25,2.25239644229314e-05,False,COMPLETE
99,0.759,2025-05-24 22:20:02.189757,2025-05-24 22:20:55.059338,0 days 00:00:52.869581,0.35,0.09632270232214532,False,COMPLETE
87,0.7583333333333334,2025-05-24 22:09:05.507899,2025-05-24 22:09:57.494161,0 days 00:00:51.986262,0.30000000000000004,0.25234145162356314,False,COMPLETE
38,0.7583333333333333,2025-05-24 21:23:16.598578,2025-05-24 21:24:09.303662,0 days 00:00:52.705084,0.25,0.9655509878664187,True,COMPLETE
8,0.758,2025-05-24 20:56:21.739149,2025-05-24 20:57:18.314954,0 days 00:00:56.575805,0.55,2.21582424944471e-05,False,COMPLETE
2,0.758,2025-05-24 20:50:55.573599,2025-05-24 20:51:47.742978,0 days 00:00:52.169379,0.25,0.0013694608379762683,False,COMPLETE
28,0.7576666666666667,2025-05-24 21:14:16.774707,2025-05-24 21:15:12.798489,0 days 00:00:56.023782,0.45000000000000007,0.002624743009302002,False,COMPLETE
