number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_star,state
37,0.250042756969386,2025-05-27 22:42:12.945511,2025-05-27 22:43:15.407486,0 days 00:01:02.461975,0.15000000000000002,3.709022091410184e-06,False,COMPLETE
21,0.24838948748646028,2025-05-27 22:24:07.944705,2025-05-27 22:25:12.280893,0 days 00:01:04.336188,0.1,2.892301932537526e-06,False,COMPLETE
46,0.24120631662961065,2025-05-27 22:52:15.539943,2025-05-27 22:53:21.881220,0 days 00:01:06.341277,0.5,1.7364007337375948e-06,False,COMPLETE
43,0.24052220511943445,2025-05-27 22:48:47.079564,2025-05-27 22:49:55.273869,0 days 00:01:08.194305,0.5,7.501096857534222e-06,False,COMPLETE
53,0.24029416794937575,2025-05-27 23:00:03.076141,2025-05-27 23:01:13.560586,0 days 00:01:10.484445,0.65,2.2078925819538626e-06,False,COMPLETE
25,0.23510632233053988,2025-05-27 22:28:34.263754,2025-05-27 22:29:46.561274,0 days 00:01:12.297520,0.5,0.08644480628765429,False,COMPLETE
51,0.23288295992246735,2025-05-27 22:57:52.622627,2025-05-27 22:58:58.635498,0 days 00:01:06.012871,0.6,8.723204401686802e-06,False,COMPLETE
32,0.2325409041673793,2025-05-27 22:36:35.542039,2025-05-27 22:37:43.857009,0 days 00:01:08.314970,0.8,4.681259749582103e-06,False,COMPLETE
31,0.2319708112422325,2025-05-27 22:35:31.770205,2025-05-27 22:36:35.502687,0 days 00:01:03.732482,0.8,6.102797135290424e-06,False,COMPLETE
84,0.23071660680690953,2025-05-27 23:34:21.873360,2025-05-27 23:35:26.709092,0 days 00:01:04.835732,0.75,0.4701259691657711,False,COMPLETE
0,0.23031754175930677,2025-05-27 22:00:46.970852,2025-05-27 22:01:54.523999,0 days 00:01:07.553147,0.75,0.004160506595595586,True,COMPLETE
48,0.23014651388176274,2025-05-27 22:54:27.116300,2025-05-27 22:55:37.890962,0 days 00:01:10.774662,0.35,2.82150247574597e-05,False,COMPLETE
55,0.2291773559090132,2025-05-27 23:02:24.268730,2025-05-27 23:03:31.615832,0 days 00:01:07.347102,0.65,3.1666318614579417e-06,False,COMPLETE
66,0.2291773559090132,2025-05-27 23:14:46.521868,2025-05-27 23:15:50.186301,0 days 00:01:03.664433,0.6,1.557552740283493e-05,True,COMPLETE
52,0.2290633373239838,2025-05-27 22:58:58.675553,2025-05-27 23:00:03.037685,0 days 00:01:04.362132,0.6,8.288564175491742e-06,False,COMPLETE
47,0.2290633373239838,2025-05-27 22:53:21.920057,2025-05-27 22:54:27.077173,0 days 00:01:05.157116,0.55,1.5968721841426482e-06,False,COMPLETE
4,0.22900632803146914,2025-05-27 22:05:16.555409,2025-05-27 22:06:22.251015,0 days 00:01:05.695606,0.1,0.0137105465393673,False,COMPLETE
3,0.22900632803146914,2025-05-27 22:04:09.469451,2025-05-27 22:05:16.516838,0 days 00:01:07.047387,0.5,0.00014138471453172606,True,COMPLETE
1,0.22900632803146914,2025-05-27 22:01:54.565868,2025-05-27 22:03:02.010378,0 days 00:01:07.444510,0.7000000000000001,0.00020569775156631859,False,COMPLETE
2,0.22900632803146914,2025-05-27 22:03:02.054439,2025-05-27 22:04:09.429214,0 days 00:01:07.374775,0.15000000000000002,6.882398196620577e-06,False,COMPLETE
35,0.22900632803146914,2025-05-27 22:39:58.759678,2025-05-27 22:41:02.549510,0 days 00:01:03.789832,0.75,2.4450696862743998e-06,False,COMPLETE
27,0.22900632803146914,2025-05-27 22:30:51.917418,2025-05-27 22:32:05.038882,0 days 00:01:13.121464,0.45000000000000007,0.8725866048087761,False,COMPLETE
