number,value,datetime_start,datetime_complete,duration,params_reset,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
29,0.7599999999999999,2025-05-18 17:12:25.862600,2025-05-18 17:12:37.777296,0 days 00:00:11.914696,False,COMPLETE,0.5,0.8,0.8,0.00036820882082202886,0.0009684889339190811,0.7000000000000001,0.05,True,120.0,0.2
91,0.7583333333333333,2025-05-18 17:25:20.776826,2025-05-18 17:25:32.864329,0 days 00:00:12.087503,False,COMPLETE,0.5,0.9,0.9,0.0003168228586156595,0.0009111943466356538,0.8,0.15,False,,0.1
103,0.758,2025-05-18 17:27:50.275189,2025-05-18 17:28:01.926087,0 days 00:00:11.650898,False,COMPLETE,0.5,0.9,0.9,0.0002721815623042728,5.285122743263874e-05,0.8,0.15,False,,0.05
86,0.7576666666666667,2025-05-18 17:24:14.639713,2025-05-18 17:24:26.969259,0 days 00:00:12.329546,False,COMPLETE,0.5,0.9,0.9,0.00024153007569326202,9.513727438515581e-05,0.8,0.15,False,,0.1
89,0.7576666666666667,2025-05-18 17:24:57.205589,2025-05-18 17:25:09.047213,0 days 00:00:11.841624,False,COMPLETE,0.5,0.9,0.9,0.00029504145897424865,0.001011068956632412,0.8,0.15,False,,0.1
113,0.7576666666666667,2025-05-18 17:29:54.644979,2025-05-18 17:30:08.919676,0 days 00:00:14.274697,False,COMPLETE,0.5,0.9,0.9,0.0002916860287487157,0.00011424507446968366,0.8,0.15,False,,0.3
108,0.7576666666666667,2025-05-18 17:28:51.509381,2025-05-18 17:29:03.468616,0 days 00:00:11.959235,False,COMPLETE,0.5,0.9,0.9,0.00025763537099880913,3.785874737270092e-05,0.8,0.15,False,,0.1
107,0.7576666666666667,2025-05-18 17:28:39.495223,2025-05-18 17:28:51.472238,0 days 00:00:11.977015,False,COMPLETE,0.5,0.9,0.9,0.00023664399545152024,4.107343225528203e-05,0.8,0.15,False,,0.1
116,0.7576666666666667,2025-05-18 17:30:36.573719,2025-05-18 17:30:48.988383,0 days 00:00:12.414664,False,COMPLETE,0.5,0.9,0.9,0.0002725609748259773,5.8140172842932745e-05,0.8,0.15,False,,0.25
73,0.7576666666666666,2025-05-18 17:21:37.994679,2025-05-18 17:21:49.646730,0 days 00:00:11.652051,False,COMPLETE,0.5,0.8,0.8,0.00036832109721342043,5.208288309947145e-05,0.7000000000000001,0.15,False,,0.1
