number,value,datetime_start,datetime_complete,duration,params_reset,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
89,0.9197867442142251,2025-05-19 01:22:15.623319,2025-05-19 01:22:57.428522,0 days 00:00:41.805203,False,COMPLETE,0.6,0.99,0.99,0.0006045617733422346,2.6677993875877633e-05,0.6,0.1,True,150.0,0.0
66,0.9193020719738277,2025-05-19 01:04:13.351140,2025-05-19 01:05:03.283709,0 days 00:00:49.932569,False,COMPLETE,0.6,0.995,0.995,0.00038586979658185793,2.54132543536629e-05,0.7000000000000001,0.0,True,150.0,0.0
112,0.9193020719738277,2025-05-19 01:39:17.459402,2025-05-19 01:40:11.536315,0 days 00:00:54.076913,False,COMPLETE,0.6,0.99,0.99,0.00020681918577399809,2.088869460782025e-05,0.6,0.1,True,150.0,0.05
73,0.9191809039137283,2025-05-19 01:09:23.879185,2025-05-19 01:10:18.191646,0 days 00:00:54.312461,False,COMPLETE,0.6,0.995,0.995,0.0002548184869347856,5.1720268412751294e-05,0.6,0.0,True,150.0,0.0
57,0.9191809039137283,2025-05-19 00:58:18.358307,2025-05-19 00:58:55.453577,0 days 00:00:37.095270,False,COMPLETE,0.6,0.995,0.995,0.000956199688912055,1.0061179969355478e-05,0.6,0.1,True,150.0,0.0
68,0.9191809039137283,2025-05-19 01:05:16.214712,2025-05-19 01:06:06.834887,0 days 00:00:50.620175,False,COMPLETE,0.6,0.995,0.995,0.00038143244997809555,1.0013370442517873e-05,0.6,0.05,True,150.0,0.0
102,0.9191809039137283,2025-05-19 01:31:45.193849,2025-05-19 01:32:29.757316,0 days 00:00:44.563467,False,COMPLETE,0.6,0.99,0.99,0.0005136801190881736,1.577266593008002e-05,0.7000000000000001,0.15,True,150.0,0.0
121,0.9189385677935297,2025-05-19 01:46:59.464717,2025-05-19 01:47:47.876990,0 days 00:00:48.412273,False,COMPLETE,0.6,0.99,0.99,0.00032264185857240374,1.7627040441593453e-05,0.7000000000000001,0.1,True,150.0,0.0
55,0.9185750636132316,2025-05-19 00:56:52.406490,2025-05-19 00:57:37.950962,0 days 00:00:45.544472,False,COMPLETE,0.6,0.995,0.995,0.00038948429718790195,1.019023503079866e-05,0.7000000000000001,0.0,True,150.0,0.05
97,0.9182115594329335,2025-05-19 01:28:03.883318,2025-05-19 01:28:47.013555,0 days 00:00:43.130237,False,COMPLETE,0.6,0.99,0.99,0.0007199417101134282,1.4888482863943478e-05,0.7000000000000001,0.15,True,150.0,0.0
117,0.9182115594329335,2025-05-19 01:43:33.770006,2025-05-19 01:44:26.735495,0 days 00:00:52.965489,False,COMPLETE,0.6,0.99,0.99,0.00023179794668427953,1.5931798808893923e-05,0.7000000000000001,0.1,True,150.0,0.0
123,0.9180903913728341,2025-05-19 01:48:34.379573,2025-05-19 01:49:23.581525,0 days 00:00:49.201952,False,COMPLETE,0.6,0.99,0.99,0.00033810465468241726,2.246004153611732e-05,0.7000000000000001,0.1,True,150.0,0.0
82,0.9179692233127348,2025-05-19 01:16:36.053696,2025-05-19 01:17:28.357655,0 days 00:00:52.303959,False,COMPLETE,0.6,0.995,0.995,0.00035984646582011825,1.8937168470032838e-05,0.6,0.05,True,150.0,0.0
49,0.9178480552526355,2025-05-19 00:53:00.202110,2025-05-19 00:53:47.698302,0 days 00:00:47.496192,False,COMPLETE,0.6,0.995,0.995,0.00025963268076647806,1.7879016376933995e-05,0.6,0.1,False,,0.1
95,0.9178480552526352,2025-05-19 01:26:39.637685,2025-05-19 01:27:24.227036,0 days 00:00:44.589351,False,COMPLETE,0.6,0.99,0.99,0.0005383212518251913,1.0147861155878521e-05,0.7000000000000001,0.15,True,150.0,0.0
