number,value,datetime_start,datetime_complete,duration,params_reset,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
72,0.8793166121410395,2025-05-18 23:36:04.412446,2025-05-18 23:36:58.786806,0 days 00:00:54.374360,False,COMPLETE,0.5,0.9,0.9,0.003394343357409193,2.078636129998651e-05,0.8,0.1,True,30.0,0.15000000000000002
25,0.8787107718405428,2025-05-18 23:00:39.407914,2025-05-18 23:01:31.592081,0 days 00:00:52.184167,False,COMPLETE,0.5,0.9,0.9,0.0037881996407945315,1.1074946996527998e-05,0.8,0.1,True,30.0,0.15000000000000002
31,0.8774990912395492,2025-05-18 23:05:09.577035,2025-05-18 23:06:00.971169,0 days 00:00:51.394134,False,COMPLETE,0.5,0.9,0.9,0.00544573794092655,1.0263452065493268e-05,0.8,0.1,True,60.0,0.15000000000000002
118,0.8753180661577608,2025-05-19 00:12:58.187622,2025-05-19 00:13:56.098254,0 days 00:00:57.910632,False,COMPLETE,0.5,0.9,0.9,0.0021312706454146516,2.3258828707753512e-05,0.9,0.1,True,120.0,0.15000000000000002
63,0.8742275536168665,2025-05-18 23:29:34.976961,2025-05-18 23:30:27.464530,0 days 00:00:52.487569,False,COMPLETE,0.5,0.9,0.9,0.0027989561698394346,2.4967216076409393e-05,0.8,0.1,True,120.0,0.15000000000000002
62,0.8739852174966679,2025-05-18 23:28:44.845420,2025-05-18 23:29:34.935280,0 days 00:00:50.089860,False,COMPLETE,0.5,0.9,0.9,0.002651266538851556,1.621749676156867e-05,0.8,0.1,True,90.0,0.15000000000000002
83,0.8735005452562704,2025-05-18 23:44:38.884557,2025-05-18 23:45:30.641102,0 days 00:00:51.756545,False,COMPLETE,0.5,0.9,0.9,0.004445427636919463,1.855205761057775e-05,0.7000000000000001,0.1,True,90.0,0.15000000000000002
84,0.872652368835575,2025-05-18 23:45:30.686794,2025-05-18 23:46:21.739680,0 days 00:00:51.052886,False,COMPLETE,0.5,0.9,0.9,0.0030412913443269374,2.8557191076172867e-05,0.6,0.1,True,90.0,0.15000000000000002
55,0.8725312007754756,2025-05-18 23:23:12.165118,2025-05-18 23:24:03.317668,0 days 00:00:51.152550,False,COMPLETE,0.5,0.9,0.9,0.004390523365604661,1.4891913231997324e-05,0.7000000000000001,0.1,True,60.0,0.15000000000000002
112,0.8724100327153762,2025-05-19 00:08:10.204520,2025-05-19 00:09:04.300173,0 days 00:00:54.095653,False,COMPLETE,0.5,0.9,0.9,0.0036084339522679614,2.532413740795994e-05,0.8,0.1,True,30.0,0.15000000000000002
124,0.8720465285350781,2025-05-19 00:17:37.822226,2025-05-19 00:18:31.766573,0 days 00:00:53.944347,False,COMPLETE,0.5,0.9,0.9,0.0027133963947611655,2.349031372463998e-05,0.7000000000000001,0.1,True,30.0,0.15000000000000002
92,0.8715618562946807,2025-05-18 23:51:27.857517,2025-05-18 23:52:19.378903,0 days 00:00:51.521386,False,COMPLETE,0.5,0.9,0.9,0.00389759596093167,3.64253315027355e-05,0.8,0.1,True,30.0,0.15000000000000002
20,0.8711983521143827,2025-05-18 22:57:14.332034,2025-05-18 22:58:08.067316,0 days 00:00:53.735282,False,COMPLETE,0.5,0.9,0.9,0.004614571248286499,1.1997505361953924e-05,0.8,0.1,True,60.0,0.15000000000000002
100,0.8711983521143827,2025-05-18 23:57:53.227227,2025-05-18 23:58:47.527134,0 days 00:00:54.299907,False,COMPLETE,0.5,0.9,0.9,0.0015423847567131704,5.1867399598713903e-05,0.8,0.1,True,60.0,0.15000000000000002
23,0.8710771840542831,2025-05-18 22:59:42.784956,2025-05-18 23:00:26.039098,0 days 00:00:43.254142,False,COMPLETE,0.5,0.9,0.9,0.0026144558249721864,1.766285760931892e-05,0.8,0.1,True,30.0,0.15000000000000002
32,0.8709560159941839,2025-05-18 23:06:01.010137,2025-05-18 23:06:51.659902,0 days 00:00:50.649765,False,COMPLETE,0.5,0.9,0.9,0.0065138347324591684,1.0539789886275852e-05,0.8,0.1,True,60.0,0.15000000000000002
21,0.8707136798739853,2025-05-18 22:58:08.110136,2025-05-18 22:58:54.999927,0 days 00:00:46.889791,False,COMPLETE,0.5,0.9,0.9,0.004807831763722619,1.3158033030418614e-05,0.8,0.1,True,60.0,0.15000000000000002
119,0.8707136798739853,2025-05-19 00:13:56.137601,2025-05-19 00:14:49.109717,0 days 00:00:52.972116,True,COMPLETE,0.5,0.9,0.9,0.0019980845787247047,2.0513340801671807e-05,0.9,0.1,True,120.0,0.1
81,0.8707136798739853,2025-05-18 23:42:56.645457,2025-05-18 23:43:47.397535,0 days 00:00:50.752078,False,COMPLETE,0.5,0.9,0.9,0.006410194906694935,1.0150550972816895e-05,0.8,0.1,True,60.0,0.15000000000000002
82,0.8705925118138859,2025-05-18 23:43:47.440587,2025-05-18 23:44:38.845492,0 days 00:00:51.404905,False,COMPLETE,0.5,0.9,0.9,0.0053297612467442124,1.286044061159852e-05,0.8,0.1,True,60.0,0.15000000000000002
106,0.8705925118138859,2025-05-19 00:03:10.648111,2025-05-19 00:04:02.930568,0 days 00:00:52.282457,False,COMPLETE,0.5,0.9,0.9,0.005250720334314906,0.0001000444294749552,0.8,0.1,True,90.0,0.15000000000000002
43,0.8705925118138859,2025-05-18 23:14:03.517561,2025-05-18 23:14:55.542296,0 days 00:00:52.024735,False,COMPLETE,0.5,0.9,0.9,0.0016736628889803212,6.881437530347662e-05,0.8,0.1,True,30.0,0.15000000000000002
116,0.8703501756936872,2025-05-19 00:11:37.625100,2025-05-19 00:12:28.912407,0 days 00:00:51.287307,False,COMPLETE,0.5,0.9,0.9,0.003597016923741605,3.302975127818946e-05,0.8,0.1,True,60.0,0.15000000000000002
111,0.8703501756936872,2025-05-19 00:07:15.478630,2025-05-19 00:08:10.156661,0 days 00:00:54.678031,False,COMPLETE,0.5,0.9,0.9,0.0024987569568735426,1.855549644303823e-05,0.8,0.1,True,30.0,0.15000000000000002
73,0.870350175693687,2025-05-18 23:36:58.823993,2025-05-18 23:37:51.775639,0 days 00:00:52.951646,False,COMPLETE,0.5,0.9,0.9,0.001619786624077854,2.1678630627865257e-05,0.8,0.1,True,30.0,0.15000000000000002
121,0.8701078395734885,2025-05-19 00:15:04.334278,2025-05-19 00:15:56.609667,0 days 00:00:52.275389,False,COMPLETE,0.5,0.9,0.9,0.0030338836528397517,2.6993389861267527e-05,0.9,0.1,True,120.0,0.15000000000000002
102,0.8698655034532897,2025-05-18 23:59:40.456663,2025-05-19 00:00:34.602478,0 days 00:00:54.145815,False,COMPLETE,0.5,0.9,0.9,0.0022829201124734593,1.2213062359329195e-05,0.8,0.1,True,60.0,0.15000000000000002
22,0.8695019992729917,2025-05-18 22:58:55.041639,2025-05-18 22:59:42.743085,0 days 00:00:47.701446,False,COMPLETE,0.5,0.9,0.9,0.004567042295907417,1.1630193140357188e-05,0.9,0.1,True,60.0,0.15000000000000002
27,0.8693808312128922,2025-05-18 23:02:27.367079,2025-05-18 23:03:19.229661,0 days 00:00:51.862582,False,COMPLETE,0.5,0.99,0.99,0.001466949526102071,5.615897873202559e-05,0.8,0.1,True,30.0,0.15000000000000002
91,0.869259663152793,2025-05-18 23:50:38.043572,2025-05-18 23:51:27.817103,0 days 00:00:49.773531,False,COMPLETE,0.5,0.9,0.9,0.0026762284980621606,1.798364649228365e-05,0.7000000000000001,0.1,True,30.0,0.15000000000000002
