number,value,datetime_start,datetime_complete,duration,params_reset,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
96,0.856,2025-05-18 16:23:51.312489,2025-05-18 16:24:09.446156,0 days 00:00:18.133667,False,COMPLETE,0.6,0.8,0.8,0.0014267661817463707,0.029577928198818458,0.5,0.15,False,,0.15000000000000002
52,0.855,2025-05-18 16:12:39.355559,2025-05-18 16:12:59.915059,0 days 00:00:20.559500,False,COMPLETE,0.6,0.995,0.995,0.000452676739015478,0.07004169110528867,0.6,0.15,False,,0.25
41,0.8546666666666667,2025-05-18 16:09:35.002781,2025-05-18 16:09:48.496251,0 days 00:00:13.493470,False,COMPLETE,0.6,0.995,0.995,0.0009692937100474579,0.04112591750971831,0.5,0.1,False,,0.15000000000000002
118,0.8546666666666667,2025-05-18 16:28:55.445174,2025-05-18 16:29:07.430824,0 days 00:00:11.985650,False,COMPLETE,0.6,0.8,0.8,0.0006024759645195029,0.004609409392969841,0.6,0.15,True,30.0,0.15000000000000002
79,0.8543333333333334,2025-05-18 16:19:49.402672,2025-05-18 16:20:05.483430,0 days 00:00:16.080758,False,COMPLETE,0.6,0.8,0.8,0.0013957057943975778,0.008249701664908763,0.5,0.15,False,,0.1
46,0.854,2025-05-18 16:10:54.733337,2025-05-18 16:11:09.480738,0 days 00:00:14.747401,False,COMPLETE,0.6,0.995,0.995,0.00028971180111613714,0.04789127571851526,0.6,0.15,False,,0.2
92,0.8536666666666667,2025-05-18 16:22:53.974624,2025-05-18 16:23:06.973145,0 days 00:00:12.998521,False,COMPLETE,0.6,0.8,0.8,0.0008037600414645,0.011844756255186885,0.30000000000000004,0.15,False,,0.1
104,0.8533333333333334,2025-05-18 16:25:47.317351,2025-05-18 16:25:58.618910,0 days 00:00:11.301559,False,COMPLETE,0.6,0.8,0.8,0.001340417435830555,0.003698602467194686,0.5,0.15,False,,0.15000000000000002
67,0.8533333333333334,2025-05-18 16:16:45.277991,2025-05-18 16:17:01.881858,0 days 00:00:16.603867,False,COMPLETE,0.6,0.8,0.8,0.0012227617911734216,0.03542769962252008,0.6,0.15,False,,0.15000000000000002
120,0.8533333333333332,2025-05-18 16:29:22.694572,2025-05-18 16:29:34.584721,0 days 00:00:11.890149,False,COMPLETE,0.6,0.8,0.8,0.0004941553089664334,0.004707626922464599,0.6,0.1,True,60.0,0.15000000000000002
121,0.8529999999999999,2025-05-18 16:29:34.627084,2025-05-18 16:29:46.407019,0 days 00:00:11.779935,False,COMPLETE,0.6,0.8,0.8,0.0005006065796405595,0.004777807978892761,0.6,0.1,True,30.0,0.15000000000000002
43,0.8526666666666666,2025-05-18 16:10:01.908896,2025-05-18 16:10:20.396913,0 days 00:00:18.488017,False,COMPLETE,0.6,0.995,0.995,0.0005905397068121702,0.05012602636418226,0.6,0.1,False,,0.2
102,0.8526666666666666,2025-05-18 16:25:24.090501,2025-05-18 16:25:35.767558,0 days 00:00:11.677057,False,COMPLETE,0.6,0.8,0.8,0.0014145884913967191,0.005016840043513448,0.5,0.15,False,,0.15000000000000002
53,0.8523333333333333,2025-05-18 16:12:59.954577,2025-05-18 16:13:16.380122,0 days 00:00:16.425545,False,COMPLETE,0.6,0.995,0.995,0.0006530524484813865,0.04852740709362692,0.5,0.15,False,,0.2
73,0.8523333333333333,2025-05-18 16:18:15.076467,2025-05-18 16:18:33.002189,0 days 00:00:17.925722,False,COMPLETE,0.6,0.8,0.8,0.0006776073327217595,0.018635134625877826,0.4,0.15,False,,0.1
71,0.8523333333333333,2025-05-18 16:17:46.247299,2025-05-18 16:17:59.036940,0 days 00:00:12.789641,False,COMPLETE,0.6,0.8,0.8,0.0019331896891618728,0.020355219404091966,0.5,0.15,False,,0.1
15,0.8523333333333333,2025-05-18 16:03:20.688394,2025-05-18 16:03:32.946697,0 days 00:00:12.258303,False,COMPLETE,0.6,0.8,0.8,0.0006594172386666742,0.0023418924363072927,0.30000000000000004,0.05,True,120.0,0.1
74,0.8523333333333333,2025-05-18 16:18:33.042046,2025-05-18 16:18:46.146975,0 days 00:00:13.104929,False,COMPLETE,0.6,0.8,0.8,0.00042827911509998976,0.011658290685737357,0.6,0.15,False,,0.15000000000000002
82,0.852,2025-05-18 16:20:37.259247,2025-05-18 16:20:50.523931,0 days 00:00:13.264684,False,COMPLETE,0.6,0.8,0.8,0.001576834535046557,0.004512101991338245,0.5,0.15,False,,0.1
107,0.852,2025-05-18 16:26:21.245275,2025-05-18 16:26:32.696020,0 days 00:00:11.450745,False,COMPLETE,0.6,0.8,0.8,0.0012423220618407583,0.0037833787144072807,0.4,0.1,False,,0.15000000000000002
101,0.852,2025-05-18 16:25:10.436580,2025-05-18 16:25:24.052453,0 days 00:00:13.615873,False,COMPLETE,0.6,0.8,0.8,0.00190819254910019,0.020889020741580222,0.5,0.15,False,,0.1
61,0.8516666666666666,2025-05-18 16:15:22.767124,2025-05-18 16:15:35.136249,0 days 00:00:12.369125,False,COMPLETE,0.6,0.995,0.995,0.0006196063555006746,0.004554094178419505,0.5,0.1,False,,0.25
28,0.8516666666666666,2025-05-18 16:06:40.150766,2025-05-18 16:06:51.774196,0 days 00:00:11.623430,False,COMPLETE,0.6,0.995,0.995,0.002429101203089542,0.003025850150213533,0.5,0.1,True,90.0,0.05
44,0.8516666666666666,2025-05-18 16:10:20.438644,2025-05-18 16:10:39.413995,0 days 00:00:18.975351,False,COMPLETE,0.6,0.995,0.995,0.0002972560560639126,0.24729893355215532,0.6,0.15,False,,0.25
91,0.8513333333333334,2025-05-18 16:22:39.247780,2025-05-18 16:22:53.934350,0 days 00:00:14.686570,False,COMPLETE,0.6,0.8,0.8,0.0006489223362453782,0.017508817533163936,0.4,0.15,False,,0.1
111,0.8513333333333334,2025-05-18 16:27:15.593247,2025-05-18 16:27:27.522077,0 days 00:00:11.928830,False,COMPLETE,0.6,0.995,0.995,0.0005502709836513771,0.005468479537091855,0.5,0.15,False,,0.2
90,0.8513333333333333,2025-05-18 16:22:27.481510,2025-05-18 16:22:39.205414,0 days 00:00:11.723904,False,COMPLETE,0.6,0.8,0.8,0.0012405027142955263,0.006900617571539825,0.6,0.05,False,,0.2
25,0.8513333333333333,2025-05-18 16:05:55.774683,2025-05-18 16:06:07.982584,0 days 00:00:12.207901,False,COMPLETE,0.6,0.8,0.8,0.001024748631704125,7.781811980406672e-05,0.30000000000000004,0.1,True,150.0,0.05
40,0.8513333333333333,2025-05-18 16:09:17.741687,2025-05-18 16:09:34.965625,0 days 00:00:17.223938,False,COMPLETE,0.6,0.995,0.995,0.0009240172075347337,0.047430404351781384,0.5,0.1,False,,0.15000000000000002
84,0.8513333333333333,2025-05-18 16:21:02.937904,2025-05-18 16:21:17.503374,0 days 00:00:14.565470,False,COMPLETE,0.6,0.8,0.8,0.001823312548878093,0.04980525257887744,0.6,0.15,False,,0.1
