number,value,datetime_start,datetime_complete,duration,params_reset,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
82,0.8483333333333333,2025-05-18 15:45:06.200916,2025-05-18 15:45:23.850905,0 days 00:00:17.649989,True,COMPLETE,0.5,0.995,0.995,0.00042482862886341266,0.0004152472746411224,0.7000000000000001,0.05,False,,0.1
111,0.848,2025-05-18 15:54:35.849222,2025-05-18 15:54:54.101925,0 days 00:00:18.252703,True,COMPLETE,0.5,0.995,0.995,0.0003533568721946709,0.00036596496854566845,0.8,0.05,False,,0.2
67,0.8473333333333333,2025-05-18 15:40:41.149837,2025-05-18 15:41:00.515527,0 days 00:00:19.365690,True,COMPLETE,0.5,0.995,0.995,0.0005500823496819784,0.00035980166761347235,0.7000000000000001,0.05,True,30.0,0.15000000000000002
71,0.8466666666666667,2025-05-18 15:41:54.298591,2025-05-18 15:42:14.653400,0 days 00:00:20.354809,True,COMPLETE,0.5,0.995,0.995,0.0004688581056875127,0.00047935539512800144,0.8,0.05,True,30.0,0.15000000000000002
113,0.8466666666666667,2025-05-18 15:55:12.135787,2025-05-18 15:55:28.861461,0 days 00:00:16.725674,True,COMPLETE,0.5,0.9,0.9,0.00047623718828281763,0.0010416689363237526,0.8,0.05,False,,0.15000000000000002
98,0.8463333333333334,2025-05-18 15:50:30.713607,2025-05-18 15:50:48.259588,0 days 00:00:17.545981,True,COMPLETE,0.5,0.995,0.995,0.00044019048489562796,0.00048554113834629414,0.8,0.05,False,,0.2
124,0.846,2025-05-18 15:58:36.284680,2025-05-18 15:58:57.218129,0 days 00:00:20.933449,True,COMPLETE,0.5,0.995,0.995,0.0004959148040839714,0.0007050391636414445,0.8,0.05,True,60.0,0.2
66,0.8456666666666667,2025-05-18 15:40:23.351205,2025-05-18 15:40:41.112659,0 days 00:00:17.761454,True,COMPLETE,0.5,0.9,0.9,0.0005667194555744502,0.0002657732378266629,0.8,0.05,True,30.0,0.15000000000000002
105,0.8456666666666667,2025-05-18 15:52:37.787489,2025-05-18 15:52:55.249675,0 days 00:00:17.462186,True,COMPLETE,0.5,0.8,0.8,0.000326672634817533,0.0008415460757152873,0.9,0.05,False,,0.15000000000000002
91,0.8453333333333334,2025-05-18 15:48:12.251046,2025-05-18 15:48:31.677867,0 days 00:00:19.426821,True,COMPLETE,0.5,0.995,0.995,0.00029529383768532884,0.0007050796845493592,0.7000000000000001,0.05,False,,0.2
121,0.8453333333333334,2025-05-18 15:57:32.497947,2025-05-18 15:57:53.973796,0 days 00:00:21.475849,True,COMPLETE,0.5,0.8,0.8,0.00020554583660494318,0.0009299623546390073,0.8,0.05,True,60.0,0.25
95,0.8453333333333332,2025-05-18 15:49:32.851463,2025-05-18 15:49:53.729892,0 days 00:00:20.878429,True,COMPLETE,0.5,0.995,0.995,0.0003874861845348919,0.01385551524455064,0.8,0.05,False,,0.2
52,0.8453333333333332,2025-05-18 15:36:03.592466,2025-05-18 15:36:23.422977,0 days 00:00:19.830511,True,COMPLETE,0.5,0.9,0.9,0.0003835434643023828,0.005386979667719484,0.8,0.0,True,60.0,0.0
34,0.8450000000000001,2025-05-18 15:30:16.892566,2025-05-18 15:30:37.937568,0 days 00:00:21.045002,True,COMPLETE,0.5,0.8,0.8,0.0002777445577373263,0.000761408658055804,0.8,0.05,True,120.0,0.3
19,0.8450000000000001,2025-05-18 15:25:21.303076,2025-05-18 15:25:43.491190,0 days 00:00:22.188114,True,COMPLETE,0.5,0.8,0.8,0.00036976412742402675,0.004393975917818572,0.9,0.05,True,90.0,0.25
83,0.8450000000000001,2025-05-18 15:45:23.888345,2025-05-18 15:45:44.827410,0 days 00:00:20.939065,True,COMPLETE,0.5,0.995,0.995,0.00024340324662880082,0.0004036742485866548,0.7000000000000001,0.05,False,,0.2
85,0.8449999999999999,2025-05-18 15:46:05.849194,2025-05-18 15:46:27.155426,0 days 00:00:21.306232,True,COMPLETE,0.5,0.995,0.995,0.000143147224649298,0.0072192910125922155,0.8,0.05,False,,0.2
73,0.8446666666666666,2025-05-18 15:42:34.219436,2025-05-18 15:42:51.254414,0 days 00:00:17.034978,True,COMPLETE,0.5,0.995,0.995,0.0008360917503567231,0.00016680099113819567,0.7000000000000001,0.05,True,30.0,0.2
78,0.8443333333333333,2025-05-18 15:44:00.397861,2025-05-18 15:44:17.345507,0 days 00:00:16.947646,True,COMPLETE,0.5,0.995,0.995,0.0004198237807435106,0.0013807075126989006,0.7000000000000001,0.05,False,,0.1
37,0.8443333333333333,2025-05-18 15:31:18.617299,2025-05-18 15:31:35.080895,0 days 00:00:16.463596,True,COMPLETE,0.5,0.8,0.8,0.0005551236963015006,0.00018653264446997166,0.7000000000000001,0.05,False,,0.3
122,0.8443333333333333,2025-05-18 15:57:54.007235,2025-05-18 15:58:14.910520,0 days 00:00:20.903285,True,COMPLETE,0.5,0.9,0.9,0.00021139758839090416,0.00051242818765161,0.8,0.05,False,,0.25
120,0.8443333333333333,2025-05-18 15:57:13.782267,2025-05-18 15:57:32.456989,0 days 00:00:18.674722,True,COMPLETE,0.5,0.995,0.995,0.0003328812090903562,0.00026728985663735196,0.8,0.05,False,,0.15000000000000002
123,0.844,2025-05-18 15:58:14.952372,2025-05-18 15:58:36.246777,0 days 00:00:21.294405,True,COMPLETE,0.5,0.8,0.8,0.0002748356712283011,0.0008928986163846433,0.8,0.05,True,60.0,0.25
84,0.844,2025-05-18 15:45:44.866667,2025-05-18 15:46:05.808852,0 days 00:00:20.942185,True,COMPLETE,0.5,0.995,0.995,0.00026167477533143733,0.00042382787901345913,0.5,0.05,False,,0.2
94,0.844,2025-05-18 15:49:11.683120,2025-05-18 15:49:32.813174,0 days 00:00:21.130054,True,COMPLETE,0.5,0.995,0.995,0.00018964681577192746,0.00042965563092541806,0.6,0.05,False,,0.25
17,0.844,2025-05-18 15:24:41.630668,2025-05-18 15:24:59.787152,0 days 00:00:18.156484,False,COMPLETE,0.5,0.8,0.8,0.0004990747286074047,0.002044422189162274,0.8,0.05,True,60.0,0.25
79,0.8436666666666667,2025-05-18 15:44:17.384881,2025-05-18 15:44:34.623259,0 days 00:00:17.238378,True,COMPLETE,0.5,0.995,0.995,0.0007556206756095791,0.00018254855573456255,0.8,0.15,True,30.0,0.2
101,0.8436666666666666,2025-05-18 15:51:24.461787,2025-05-18 15:51:43.456885,0 days 00:00:18.995098,True,COMPLETE,0.5,0.995,0.995,0.00029285365808128774,0.0004660550255849358,0.8,0.05,False,,0.2
55,0.8433333333333334,2025-05-18 15:36:58.907815,2025-05-18 15:37:19.039483,0 days 00:00:20.131668,True,COMPLETE,0.5,0.9,0.9,0.00034136775804817694,0.0005208158774921264,0.8,0.0,True,30.0,0.0
117,0.8433333333333334,2025-05-18 15:56:21.820650,2025-05-18 15:56:36.355704,0 days 00:00:14.535054,True,COMPLETE,0.5,0.9,0.9,0.0010019495642501056,0.000510023199129737,0.8,0.05,False,,0.15000000000000002
102,0.8433333333333334,2025-05-18 15:51:43.496121,2025-05-18 15:52:01.655096,0 days 00:00:18.158975,True,COMPLETE,0.5,0.995,0.995,0.0003938831776025718,0.0003352899405550091,0.7000000000000001,0.05,False,,0.15000000000000002
103,0.8433333333333333,2025-05-18 15:52:01.693753,2025-05-18 15:52:17.710310,0 days 00:00:16.016557,True,COMPLETE,0.5,0.995,0.995,0.0005300276992514137,0.00177532184494721,0.8,0.05,False,,0.2
112,0.8433333333333333,2025-05-18 15:54:54.142403,2025-05-18 15:55:12.097326,0 days 00:00:17.954923,True,COMPLETE,0.5,0.8,0.8,0.0003860673884866616,0.00022546478443259484,0.8,0.05,False,,0.2
70,0.843,2025-05-18 15:41:34.623156,2025-05-18 15:41:54.260882,0 days 00:00:19.637726,True,COMPLETE,0.5,0.995,0.995,0.0005654713520532485,4.9970048544785336e-05,0.7000000000000001,0.05,True,30.0,0.15000000000000002
49,0.843,2025-05-18 15:35:06.214989,2025-05-18 15:35:26.212372,0 days 00:00:19.997383,True,COMPLETE,0.5,0.9,0.9,0.00033347703587436115,0.0009231723219857065,0.9,0.0,True,60.0,0.0
114,0.843,2025-05-18 15:55:28.901349,2025-05-18 15:55:45.483555,0 days 00:00:16.582206,True,COMPLETE,0.5,0.9,0.9,0.00047177458955523325,0.00105244303781583,0.9,0.05,False,,0.15000000000000002
110,0.843,2025-05-18 15:54:14.785065,2025-05-18 15:54:35.810318,0 days 00:00:21.025253,True,COMPLETE,0.5,0.8,0.8,0.00030844239191817914,0.0007279944756691147,0.8,0.05,True,90.0,0.25
99,0.8426666666666667,2025-05-18 15:50:48.299800,2025-05-18 15:51:04.949913,0 days 00:00:16.650113,True,COMPLETE,0.5,0.995,0.995,0.00044159065681757093,0.0006268766060498501,0.8,0.05,False,,0.25
107,0.8426666666666666,2025-05-18 15:53:14.890357,2025-05-18 15:53:34.927656,0 days 00:00:20.037299,True,COMPLETE,0.5,0.8,0.8,0.0004347042907863782,0.0005904049621139421,0.9,0.05,True,120.0,0.15000000000000002
93,0.8426666666666666,2025-05-18 15:48:52.120351,2025-05-18 15:49:11.644961,0 days 00:00:19.524610,True,COMPLETE,0.5,0.995,0.995,0.00029838021936971,0.0002504393200562255,0.7000000000000001,0.05,False,,0.2
21,0.8423333333333334,2025-05-18 15:26:02.415383,2025-05-18 15:26:23.771661,0 days 00:00:21.356278,True,COMPLETE,0.5,0.8,0.8,0.00042580993548418103,0.0026825837399818944,0.8,0.05,True,120.0,0.25
62,0.8423333333333334,2025-05-18 15:39:07.547699,2025-05-18 15:39:27.570569,0 days 00:00:20.022870,True,COMPLETE,0.5,0.9,0.9,0.00032538547903724984,0.001134446505591753,0.8,0.0,True,60.0,0.0
75,0.8423333333333333,2025-05-18 15:43:05.368553,2025-05-18 15:43:22.879547,0 days 00:00:17.510994,True,COMPLETE,0.5,0.995,0.995,0.0007042411759064499,0.00018783556614290355,0.7000000000000001,0.05,True,30.0,0.15000000000000002
63,0.8423333333333333,2025-05-18 15:39:27.611097,2025-05-18 15:39:47.741389,0 days 00:00:20.130292,True,COMPLETE,0.5,0.9,0.9,0.0002270849337263348,9.969177776417527e-05,0.9,0.0,True,60.0,0.0
38,0.8423333333333333,2025-05-18 15:31:35.118750,2025-05-18 15:31:51.985314,0 days 00:00:16.866564,False,COMPLETE,0.5,0.8,0.8,0.00014485787080652078,0.00015236186254821701,0.7000000000000001,0.05,False,,0.3
31,0.842,2025-05-18 15:29:23.154437,2025-05-18 15:29:39.034991,0 days 00:00:15.880554,True,COMPLETE,0.5,0.8,0.8,0.0014134956639860255,0.0014029441962030613,0.9,0.05,True,90.0,0.25
36,0.842,2025-05-18 15:30:59.596274,2025-05-18 15:31:18.578009,0 days 00:00:18.981735,True,COMPLETE,0.5,0.8,0.8,0.0006048612228934492,0.0008264783068216273,0.8,0.0,True,120.0,0.3
43,0.842,2025-05-18 15:33:07.812239,2025-05-18 15:33:27.415219,0 days 00:00:19.602980,True,COMPLETE,0.5,0.8,0.8,0.0002853123451779447,0.0010972385771597251,0.8,0.05,False,,0.3
54,0.842,2025-05-18 15:36:43.672498,2025-05-18 15:36:58.869281,0 days 00:00:15.196783,True,COMPLETE,0.5,0.9,0.9,0.00101678533001661,0.004128296724809747,0.8,0.0,True,60.0,0.05
41,0.8416666666666667,2025-05-18 15:32:34.071431,2025-05-18 15:32:50.136091,0 days 00:00:16.064660,True,COMPLETE,0.5,0.8,0.8,0.0005134849362227833,0.0005513088488516687,0.8,0.05,False,,0.3
74,0.8416666666666667,2025-05-18 15:42:51.291815,2025-05-18 15:43:05.328621,0 days 00:00:14.036806,True,COMPLETE,0.5,0.995,0.995,0.0018728064046000866,0.00011923693789112714,0.7000000000000001,0.05,True,30.0,0.2
