number,value,datetime_start,datetime_complete,duration,params_reset,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
87,0.9646492184660124,2025-05-19 08:47:08.511159,2025-05-19 08:47:42.701617,0 days 00:00:34.190458,True,COMPLETE,0.6,0.995,0.995,0.00048762986429121564,0.00021608649925206633,0.4,0.0,False,,0.15000000000000002
83,0.9643765903307888,2025-05-19 08:44:30.554409,2025-05-19 08:45:08.880652,0 days 00:00:38.326243,True,COMPLETE,0.6,0.995,0.995,0.00023661821121290891,0.0016994564068717139,0.30000000000000004,0.0,False,,0.05
105,0.9643765903307888,2025-05-19 08:58:47.733421,2025-05-19 08:59:28.654418,0 days 00:00:40.920997,True,COMPLETE,0.6,0.995,0.995,0.0001802926286379351,0.0039052647356344855,0.30000000000000004,0.0,False,,0.15000000000000002
104,0.9642857142857143,2025-05-19 08:58:06.957531,2025-05-19 08:58:47.693158,0 days 00:00:40.735627,True,COMPLETE,0.6,0.995,0.995,0.00018254746947702502,0.004177052642227356,0.30000000000000004,0.0,False,,0.15000000000000002
21,0.9642857142857143,2025-05-19 07:55:08.925862,2025-05-19 07:55:42.094150,0 days 00:00:33.168288,True,COMPLETE,0.7,0.995,0.995,0.0013069869309548354,0.0007488667167000437,0.4,0.15,True,90.0,0.2
113,0.9642857142857143,2025-05-19 09:04:35.006515,2025-05-19 09:05:13.237543,0 days 00:00:38.231028,True,COMPLETE,0.6,0.995,0.995,0.00025061399033664923,0.004101929652895958,0.30000000000000004,0.0,False,,0.15000000000000002
116,0.9642857142857143,2025-05-19 09:06:30.813730,2025-05-19 09:07:08.026999,0 days 00:00:37.213269,True,COMPLETE,0.6,0.995,0.995,0.0003497734395858687,0.0025315800104713277,0.2,0.0,False,,0.15000000000000002
121,0.9641948382406399,2025-05-19 09:10:20.185493,2025-05-19 09:10:56.644903,0 days 00:00:36.459410,True,COMPLETE,0.6,0.995,0.995,0.000326092819933263,0.002502255941992511,0.30000000000000004,0.0,False,,0.15000000000000002
72,0.9641948382406399,2025-05-19 08:37:46.884735,2025-05-19 08:38:26.369204,0 days 00:00:39.484469,True,COMPLETE,0.6,0.995,0.995,0.00021556222705319776,0.0014372436925764649,0.30000000000000004,0.0,False,,0.1
63,0.9641039621955653,2025-05-19 08:31:28.205244,2025-05-19 08:32:05.757811,0 days 00:00:37.552567,True,COMPLETE,0.6,0.995,0.995,0.00011902671120976209,0.004011558451407934,0.30000000000000004,0.05,False,,0.1
52,0.9640130861504908,2025-05-19 08:21:31.470061,2025-05-19 08:22:16.056075,0 days 00:00:44.586014,True,COMPLETE,0.6,0.995,0.995,4.917849094771305e-05,0.000683947721768983,0.30000000000000004,0.05,False,,0.1
71,0.9640130861504908,2025-05-19 08:37:06.447438,2025-05-19 08:37:46.843377,0 days 00:00:40.395939,True,COMPLETE,0.6,0.995,0.995,0.00020005577386113238,0.004575779117790876,0.30000000000000004,0.0,False,,0.1
115,0.9640130861504908,2025-05-19 09:05:54.184801,2025-05-19 09:06:30.774569,0 days 00:00:36.589768,True,COMPLETE,0.6,0.995,0.995,0.00032768225522810795,0.0025494783325954815,0.30000000000000004,0.0,False,,0.15000000000000002
82,0.9640130861504908,2025-05-19 08:43:51.163956,2025-05-19 08:44:30.514490,0 days 00:00:39.350534,True,COMPLETE,0.6,0.995,0.995,0.0002242416906526914,0.0016170400323621053,0.30000000000000004,0.0,False,,0.05
76,0.9639222101054162,2025-05-19 08:40:18.849169,2025-05-19 08:40:56.830901,0 days 00:00:37.981732,True,COMPLETE,0.6,0.8,0.8,0.00022156881527255382,0.0015713987563536456,0.4,0.0,False,,0.15000000000000002
94,0.9639222101054162,2025-05-19 08:51:30.758206,2025-05-19 08:52:07.766730,0 days 00:00:37.008524,True,COMPLETE,0.6,0.995,0.995,0.000252332747778021,0.006739075021497643,0.5,0.0,False,,0.05
114,0.9639222101054162,2025-05-19 09:05:13.277835,2025-05-19 09:05:54.145263,0 days 00:00:40.867428,True,COMPLETE,0.6,0.995,0.995,0.00018660139837099762,0.0039491182362357685,0.30000000000000004,0.0,False,,0.15000000000000002
122,0.9638313340603418,2025-05-19 09:10:56.684557,2025-05-19 09:11:34.015243,0 days 00:00:37.330686,True,COMPLETE,0.6,0.995,0.995,0.00027607200703941054,0.004099429477110341,0.30000000000000004,0.0,False,,0.15000000000000002
111,0.9638313340603416,2025-05-19 09:03:15.224021,2025-05-19 09:03:52.229435,0 days 00:00:37.005414,True,COMPLETE,0.6,0.995,0.995,0.00028549516954011196,0.006018182579565261,0.30000000000000004,0.0,False,,0.15000000000000002
73,0.9638313340603416,2025-05-19 08:38:26.410154,2025-05-19 08:39:05.992876,0 days 00:00:39.582722,True,COMPLETE,0.6,0.995,0.995,0.0002170330449651705,0.0014878988098746577,0.30000000000000004,0.0,False,,0.1
74,0.9638313340603416,2025-05-19 08:39:06.032985,2025-05-19 08:39:42.274138,0 days 00:00:36.241153,True,COMPLETE,0.6,0.995,0.995,0.00035989727605169797,0.0028387167214465056,0.30000000000000004,0.0,False,,0.05
62,0.9637404580152672,2025-05-19 08:30:51.219254,2025-05-19 08:31:28.164275,0 days 00:00:36.945021,True,COMPLETE,0.6,0.995,0.995,0.0001417876705318025,0.004871249308399919,0.30000000000000004,0.05,False,,0.1
102,0.9637404580152672,2025-05-19 08:56:36.207623,2025-05-19 08:57:16.140583,0 days 00:00:39.932960,True,COMPLETE,0.6,0.995,0.995,0.00020077793730738556,0.0008873627168052572,0.30000000000000004,0.0,False,,0.1
110,0.9637404580152672,2025-05-19 09:02:42.722968,2025-05-19 09:03:15.184267,0 days 00:00:32.461299,True,COMPLETE,0.6,0.995,0.995,0.0009763623701403888,0.0011380209998783245,0.30000000000000004,0.0,False,,0.2
91,0.9637404580152671,2025-05-19 08:49:31.934159,2025-05-19 08:50:08.581231,0 days 00:00:36.647072,True,COMPLETE,0.6,0.995,0.995,0.0003033699095622314,0.001718623570267419,0.30000000000000004,0.0,False,,0.15000000000000002
101,0.9637404580152671,2025-05-19 08:55:57.973200,2025-05-19 08:56:36.167251,0 days 00:00:38.194051,True,COMPLETE,0.6,0.995,0.995,0.00025652970767565627,0.0013196084124738833,0.30000000000000004,0.0,False,,0.1
51,0.9636495819701927,2025-05-19 08:20:47.347138,2025-05-19 08:21:31.431263,0 days 00:00:44.084125,True,COMPLETE,0.6,0.995,0.995,5.083876940114233e-05,0.0021332105570514956,0.30000000000000004,0.05,False,,0.1
84,0.9636495819701927,2025-05-19 08:45:08.922623,2025-05-19 08:45:47.328713,0 days 00:00:38.406090,True,COMPLETE,0.6,0.995,0.995,0.00022257263420152808,0.0005219459773168918,0.4,0.0,False,,0.05
64,0.9636495819701927,2025-05-19 08:32:05.797094,2025-05-19 08:32:43.553502,0 days 00:00:37.756408,True,COMPLETE,0.6,0.995,0.995,0.00012194986858636885,0.00492064101054747,0.30000000000000004,0.05,False,,0.1
112,0.9635587059251183,2025-05-19 09:03:52.268954,2025-05-19 09:04:34.967687,0 days 00:00:42.698733,True,COMPLETE,0.6,0.995,0.995,0.0001422099395355057,0.007775388794049604,0.4,0.0,False,,0.2
106,0.9635587059251183,2025-05-19 08:59:28.690898,2025-05-19 09:00:11.055384,0 days 00:00:42.364486,True,COMPLETE,0.6,0.995,0.995,0.00017338451215367568,0.0025263493827634978,0.30000000000000004,0.0,False,,0.15000000000000002
67,0.9635587059251182,2025-05-19 08:33:57.740531,2025-05-19 08:34:37.635158,0 days 00:00:39.894627,True,COMPLETE,0.6,0.995,0.995,0.0002056366612067971,0.00471243500005448,0.30000000000000004,0.0,False,,0.1
99,0.9635587059251182,2025-05-19 08:54:41.453690,2025-05-19 08:55:13.012744,0 days 00:00:31.559054,True,COMPLETE,0.6,0.995,0.995,0.002052430539702775,0.00013299910504024218,0.5,0.0,False,,0.2
36,0.9635587059251182,2025-05-19 08:08:42.380097,2025-05-19 08:10:07.162559,0 days 00:01:24.782462,True,COMPLETE,0.7,0.995,0.995,2.1654601785611116e-05,0.0008634018286265005,0.30000000000000004,0.1,True,90.0,0.1
88,0.9635587059251182,2025-05-19 08:47:42.739921,2025-05-19 08:48:16.924032,0 days 00:00:34.184111,True,COMPLETE,0.6,0.995,0.995,0.0004696185394143588,0.0002475635988862349,0.4,0.0,False,,0.2
85,0.9634678298800438,2025-05-19 08:45:47.368674,2025-05-19 08:46:30.723840,0 days 00:00:43.355166,True,COMPLETE,0.6,0.8,0.8,0.00018271613535298398,0.001611219181188118,0.2,0.0,False,,0.05
55,0.9634678298800438,2025-05-19 08:24:05.218391,2025-05-19 08:24:44.494065,0 days 00:00:39.275674,True,COMPLETE,0.6,0.995,0.995,8.635522549304464e-05,0.0007437095326429472,0.30000000000000004,0.05,False,,0.0
92,0.9634678298800438,2025-05-19 08:50:08.621783,2025-05-19 08:50:50.265170,0 days 00:00:41.643387,True,COMPLETE,0.6,0.995,0.995,0.00016898723256166475,0.0009224067903281837,0.30000000000000004,0.0,False,,0.1
77,0.9634678298800438,2025-05-19 08:40:56.870578,2025-05-19 08:41:34.565642,0 days 00:00:37.695064,True,COMPLETE,0.6,0.8,0.8,0.0002312924729209441,0.002946758915730145,0.4,0.0,False,,0.15000000000000002
124,0.9634678298800438,2025-05-19 09:12:10.429803,2025-05-19 09:12:54.960455,0 days 00:00:44.530652,True,COMPLETE,0.6,0.9,0.9,0.00016035187149126214,0.0024920699040316572,0.30000000000000004,0.0,False,,0.15000000000000002
10,0.9633769538349691,2025-05-19 07:48:43.918314,2025-05-19 07:49:15.570938,0 days 00:00:31.652624,True,COMPLETE,0.7,0.99,0.99,0.007385670968688345,1.00818351555911e-05,0.7000000000000001,0.05,False,,0.0
66,0.9633769538349691,2025-05-19 08:33:20.415745,2025-05-19 08:33:57.702772,0 days 00:00:37.287027,True,COMPLETE,0.6,0.995,0.995,0.0001245414133027756,0.007068100381131999,0.4,0.05,False,,0.1
46,0.9633769538349691,2025-05-19 08:17:30.483128,2025-05-19 08:18:10.719495,0 days 00:00:40.236367,True,COMPLETE,0.6,0.9,0.9,9.790710143602215e-05,0.0019057269080944787,0.2,0.05,False,,0.15000000000000002
75,0.9632860777898946,2025-05-19 08:39:42.314556,2025-05-19 08:40:18.808996,0 days 00:00:36.494440,True,COMPLETE,0.6,0.995,0.995,0.00041686187292380505,0.0012759922127425778,0.2,0.0,False,,0.05
89,0.9632860777898946,2025-05-19 08:48:16.963880,2025-05-19 08:48:59.010773,0 days 00:00:42.046893,True,COMPLETE,0.6,0.995,0.995,0.00016355694492237868,0.00019033774180528382,0.5,0.0,False,,0.15000000000000002
