number,value,datetime_start,datetime_complete,duration,params_reset,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
54,0.9662849872773537,2025-05-19 05:28:16.988611,2025-05-19 05:30:24.690959,0 days 00:02:07.702348,False,COMPLETE,0.5,0.8,0.8,2.2477623680037538e-05,0.03735106326370093,0.9,0.0,False,,0.15000000000000002
55,0.9662849872773537,2025-05-19 05:30:24.728513,2025-05-19 05:32:29.331116,0 days 00:02:04.602603,False,COMPLETE,0.5,0.9,0.9,2.1445850845601317e-05,0.031316130766811986,0.9,0.0,False,,0.15000000000000002
87,0.9661941112322792,2025-05-19 06:31:45.412590,2025-05-19 06:33:55.168704,0 days 00:02:09.756114,False,COMPLETE,0.5,0.9,0.9,2.63473349479422e-05,0.053340333470082206,0.9,0.0,False,,0.15000000000000002
83,0.9661941112322792,2025-05-19 06:23:37.466754,2025-05-19 06:25:30.925820,0 days 00:01:53.459066,False,COMPLETE,0.5,0.9,0.9,2.24182121228499e-05,0.02229032380562023,0.9,0.0,False,,0.15000000000000002
82,0.9661032351872046,2025-05-19 06:21:43.631710,2025-05-19 06:23:37.426750,0 days 00:01:53.795040,False,COMPLETE,0.5,0.9,0.9,2.346223115420801e-05,0.02602714356275131,0.9,0.0,False,,0.15000000000000002
119,0.9661032351872046,2025-05-19 07:29:42.224813,2025-05-19 07:31:54.598183,0 days 00:02:12.373370,False,COMPLETE,0.5,0.9,0.9,2.3117745553371487e-05,0.04447067380386092,0.9,0.0,False,,0.15000000000000002
123,0.9660123591421302,2025-05-19 07:37:27.036721,2025-05-19 07:40:01.029016,0 days 00:02:33.992295,False,COMPLETE,0.5,0.9,0.9,1.6018173262751268e-05,0.04060262463977173,0.9,0.0,False,,0.15000000000000002
114,0.96601235914213,2025-05-19 07:20:57.512922,2025-05-19 07:22:16.906313,0 days 00:01:19.393391,False,COMPLETE,0.5,0.9,0.9,4.665308354446747e-05,0.029240152357959872,0.9,0.0,False,,0.15000000000000002
89,0.96601235914213,2025-05-19 06:35:47.373482,2025-05-19 06:37:07.610473,0 days 00:01:20.236991,False,COMPLETE,0.5,0.9,0.9,1.556684659211177e-05,0.02529373784204881,0.9,0.05,False,,0.15000000000000002
67,0.96601235914213,2025-05-19 05:54:24.552977,2025-05-19 05:56:26.696852,0 days 00:02:02.143875,False,COMPLETE,0.5,0.9,0.9,2.375092207116019e-05,0.03783371506364954,0.9,0.0,False,,0.1
112,0.96601235914213,2025-05-19 07:17:58.118495,2025-05-19 07:19:46.054131,0 days 00:01:47.935636,False,COMPLETE,0.5,0.9,0.9,2.7659917061658448e-05,0.031328102541994196,0.9,0.0,False,,0.15000000000000002
61,0.9659214830970556,2025-05-19 05:43:15.093325,2025-05-19 05:45:32.272479,0 days 00:02:17.179154,False,COMPLETE,0.5,0.9,0.9,2.0429140020481907e-05,0.03745840339857436,0.9,0.0,False,,0.15000000000000002
72,0.9659214830970556,2025-05-19 06:04:06.331554,2025-05-19 06:05:30.327236,0 days 00:01:23.995682,False,COMPLETE,0.5,0.9,0.9,4.608923052691303e-05,0.0393639039247126,0.9,0.0,False,,0.15000000000000002
99,0.9658306070519811,2025-05-19 06:55:55.485432,2025-05-19 06:57:31.113650,0 days 00:01:35.628218,False,COMPLETE,0.5,0.9,0.9,3.267211756324452e-05,0.026192229012130808,0.8,0.0,False,,0.15000000000000002
102,0.9658306070519811,2025-05-19 07:01:19.441429,2025-05-19 07:02:59.672222,0 days 00:01:40.230793,False,COMPLETE,0.5,0.9,0.9,3.0300748348409877e-05,0.03422720727567119,0.9,0.0,False,,0.15000000000000002
79,0.9658306070519811,2025-05-19 06:14:27.106547,2025-05-19 06:16:50.752943,0 days 00:02:23.646396,False,COMPLETE,0.5,0.9,0.9,1.8882749074340225e-05,0.04436250062990048,0.9,0.0,False,,0.15000000000000002
91,0.9657397310069067,2025-05-19 06:38:55.814590,2025-05-19 06:40:26.496162,0 days 00:01:30.681572,False,COMPLETE,0.5,0.9,0.9,1.677298914299632e-05,0.05443025117467876,0.9,0.05,False,,0.15000000000000002
84,0.9657397310069066,2025-05-19 06:25:30.966143,2025-05-19 06:27:18.627353,0 days 00:01:47.661210,False,COMPLETE,0.5,0.9,0.9,2.1857251742489594e-05,0.016164509115130225,0.9,0.0,False,,0.15000000000000002
