number,value,datetime_start,datetime_complete,duration,params_reset,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
102,0.9610021786492374,2025-05-18 22:20:57.614001,2025-05-18 22:21:53.277675,0 days 00:00:55.663674,False,COMPLETE,0.5,0.8,0.8,0.000437342075138957,2.0453214472357783e-05,0.6,0.1,False,,0.25
121,0.9603485838779956,2025-05-18 22:39:24.193447,2025-05-18 22:40:19.382782,0 days 00:00:55.189335,False,COMPLETE,0.5,0.9,0.9,0.0005107100794109309,4.0018571895489457e-05,0.7000000000000001,0.1,False,,0.25
115,0.9601307189542484,2025-05-18 22:33:47.526512,2025-05-18 22:34:49.194137,0 days 00:01:01.667625,False,COMPLETE,0.5,0.9,0.9,0.0010424534760858067,1.360075139832974e-05,0.7000000000000001,0.1,False,,0.25
93,0.9599128540305011,2025-05-18 22:11:49.947455,2025-05-18 22:12:48.700946,0 days 00:00:58.753491,False,COMPLETE,0.5,0.8,0.8,0.0004708422987142306,2.4785974688138428e-05,0.6,0.1,False,,0.25
100,0.9599128540305011,2025-05-18 22:18:56.822123,2025-05-18 22:19:56.582799,0 days 00:00:59.760676,False,COMPLETE,0.5,0.8,0.8,0.000419945412551638,1.1016790127963963e-05,0.6,0.1,False,,0.25
113,0.9596949891067538,2025-05-18 22:31:53.555578,2025-05-18 22:32:47.271359,0 days 00:00:53.715781,False,COMPLETE,0.5,0.9,0.9,0.0006264895520995546,2.105494567896766e-05,0.7000000000000001,0.1,False,,0.25
122,0.9596949891067538,2025-05-18 22:40:19.422140,2025-05-18 22:41:19.797570,0 days 00:01:00.375430,False,COMPLETE,0.5,0.9,0.9,0.0005548797448303704,1.700991623036845e-05,0.7000000000000001,0.1,False,,0.25
81,0.9596949891067538,2025-05-18 22:00:22.899531,2025-05-18 22:01:19.533416,0 days 00:00:56.633885,False,COMPLETE,0.5,0.8,0.8,0.00037129827576144823,3.6377327327253634e-05,0.7000000000000001,0.1,False,,0.25
53,0.9594771241830066,2025-05-18 21:35:40.074543,2025-05-18 21:36:38.630842,0 days 00:00:58.556299,False,COMPLETE,0.5,0.8,0.8,0.0004083624559492414,0.00012622308175452233,0.7000000000000001,0.1,False,,0.25
51,0.9592592592592593,2025-05-18 21:33:54.013608,2025-05-18 21:34:51.910878,0 days 00:00:57.897270,False,COMPLETE,0.5,0.8,0.8,0.0003875840523558792,0.00015505362626485738,0.7000000000000001,0.1,False,,0.25
28,0.9592592592592593,2025-05-18 21:12:50.752144,2025-05-18 21:13:50.204660,0 days 00:00:59.452516,False,COMPLETE,0.5,0.995,0.995,0.0004394772913435932,0.00015447253529910578,0.8,0.1,False,,0.25
109,0.9592592592592593,2025-05-18 22:27:56.596505,2025-05-18 22:28:58.849407,0 days 00:01:02.252902,False,COMPLETE,0.5,0.9,0.9,0.0005577328975636569,1.0160900805063122e-05,0.5,0.1,False,,0.25
103,0.9590413943355119,2025-05-18 22:21:53.315908,2025-05-18 22:22:53.539131,0 days 00:01:00.223223,False,COMPLETE,0.5,0.8,0.8,0.0004319160556513167,2.3029909938540406e-05,0.5,0.1,False,,0.25
66,0.9588235294117647,2025-05-18 21:47:26.544059,2025-05-18 21:48:23.188971,0 days 00:00:56.644912,False,COMPLETE,0.5,0.8,0.8,0.0004496273389748127,3.796250295310151e-05,0.7000000000000001,0.1,False,,0.25
98,0.9588235294117647,2025-05-18 22:16:52.585173,2025-05-18 22:17:52.294024,0 days 00:00:59.708851,False,COMPLETE,0.5,0.8,0.8,0.000315845770326232,1.0895359375597748e-05,0.6,0.1,False,,0.25
124,0.9588235294117647,2025-05-18 22:42:19.030033,2025-05-18 22:43:20.655587,0 days 00:01:01.625554,False,COMPLETE,0.5,0.9,0.9,0.0005266387972555326,1.7438731270781496e-05,0.7000000000000001,0.1,False,,0.25
95,0.9588235294117647,2025-05-18 22:13:51.406647,2025-05-18 22:14:51.725481,0 days 00:01:00.318834,False,COMPLETE,0.5,0.8,0.8,0.0003664984913517624,2.8433401384665116e-05,0.6,0.1,False,,0.25
54,0.9588235294117647,2025-05-18 21:36:38.669669,2025-05-18 21:37:35.358895,0 days 00:00:56.689226,False,COMPLETE,0.5,0.8,0.8,0.00044698233028333146,4.14508526295794e-05,0.6,0.1,False,,0.25
69,0.9586056644880174,2025-05-18 21:49:46.237998,2025-05-18 21:50:46.011898,0 days 00:00:59.773900,False,COMPLETE,0.5,0.8,0.8,0.00029113409006165493,0.0001835998097118329,0.4,0.1,False,,0.25
