number,value,datetime_start,datetime_complete,duration,params_reset,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
110,0.9570806100217865,2025-05-18 20:38:58.037763,2025-05-18 20:40:00.184284,0 days 00:01:02.146521,True,COMPLETE,0.6,0.995,0.995,0.0013286793079658396,3.391405866601017e-05,0.7000000000000001,0.1,False,,0.05
112,0.9570806100217865,2025-05-18 20:40:58.905303,2025-05-18 20:42:01.621142,0 days 00:01:02.715839,True,COMPLETE,0.6,0.995,0.995,0.0013677759932079836,8.567697273967865e-05,0.7000000000000001,0.1,False,,0.05
105,0.9559912854030501,2025-05-18 20:34:46.257933,2025-05-18 20:35:46.138411,0 days 00:00:59.880478,True,COMPLETE,0.5,0.8,0.8,0.0012796936875970602,3.4010368018485364e-05,0.8,0.1,False,,0.05
42,0.9557734204793028,2025-05-18 19:39:05.986683,2025-05-18 19:40:06.036852,0 days 00:01:00.050169,True,COMPLETE,0.5,0.8,0.8,0.000849359015110225,1.8340405751722345e-05,0.7000000000000001,0.1,False,,0.15000000000000002
63,0.9553376906318083,2025-05-18 19:57:37.817729,2025-05-18 19:58:30.724767,0 days 00:00:52.907038,True,COMPLETE,0.5,0.8,0.8,0.0015565343939553178,0.00011405016354994362,0.8,0.1,False,,0.05
119,0.9553376906318083,2025-05-18 20:48:06.008650,2025-05-18 20:49:07.730317,0 days 00:01:01.721667,True,COMPLETE,0.6,0.995,0.995,0.001866070952738271,3.0036000852679457e-05,0.7000000000000001,0.1,False,,0.1
65,0.9549019607843138,2025-05-18 19:59:32.685552,2025-05-18 20:00:26.728138,0 days 00:00:54.042586,True,COMPLETE,0.5,0.995,0.995,0.0012477209998581031,2.3724023032301352e-05,0.6,0.1,False,,0.05
111,0.9546840958605665,2025-05-18 20:40:00.257256,2025-05-18 20:40:58.718631,0 days 00:00:58.461375,True,COMPLETE,0.6,0.995,0.995,0.0014282010303358406,3.454808054178046e-05,0.7000000000000001,0.1,False,,0.05
91,0.9546840958605665,2025-05-18 20:22:31.522270,2025-05-18 20:23:21.332679,0 days 00:00:49.810409,True,COMPLETE,0.5,0.8,0.8,0.0023154851253872266,1.2459521199554534e-05,0.8,0.1,False,,0.05
107,0.9546840958605665,2025-05-18 20:36:06.665000,2025-05-18 20:37:06.566029,0 days 00:00:59.901029,True,COMPLETE,0.5,0.995,0.995,0.001224359976144277,3.242116497941658e-05,0.8,0.1,False,,0.1
