number,value,datetime_start,datetime_complete,duration,params_reset,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
32,0.9728985507246377,2025-05-19 12:39:56.374086,2025-05-19 12:41:15.629443,0 days 00:01:19.255357,False,COMPLETE,0.5,0.995,0.995,0.0003892020486936614,0.0029170136031075725,0.4,0.15,True,60.0,0.3
109,0.9724154589371979,2025-05-19 14:43:09.681248,2025-05-19 14:44:16.815537,0 days 00:01:07.134289,False,COMPLETE,0.5,0.8,0.8,0.000527732617643731,0.0022120362757676046,0.5,0.1,False,,0.1
104,0.9723671497584542,2025-05-19 14:37:34.766137,2025-05-19 14:38:45.743882,0 days 00:01:10.977745,False,COMPLETE,0.5,0.8,0.8,0.0004790547980026942,0.002222236550847348,0.5,0.1,False,,0.25
31,0.9722222222222223,2025-05-19 12:38:42.578406,2025-05-19 12:39:56.334797,0 days 00:01:13.756391,False,COMPLETE,0.5,0.995,0.995,0.0003197133157081268,0.002269666609764953,0.5,0.1,True,60.0,0.3
66,0.9721739130434782,2025-05-19 13:35:10.128668,2025-05-19 13:37:24.944987,0 days 00:02:14.816319,False,COMPLETE,0.5,0.9,0.9,4.874350661479077e-05,0.007339496858254407,0.5,0.1,True,90.0,0.25
112,0.9721739130434782,2025-05-19 14:46:25.497522,2025-05-19 14:47:50.083384,0 days 00:01:24.585862,False,COMPLETE,0.5,0.8,0.8,0.00038999054937646207,0.003843227676204128,0.5,0.1,False,,0.05
80,0.9721256038647343,2025-05-19 13:58:32.780227,2025-05-19 14:00:21.534396,0 days 00:01:48.754169,False,COMPLETE,0.5,0.9,0.9,0.0002832834738513955,0.006473419643480895,0.5,0.1,False,,0.25
121,0.9719806763285025,2025-05-19 14:58:44.568969,2025-05-19 15:00:07.223111,0 days 00:01:22.654142,False,COMPLETE,0.5,0.8,0.8,0.0003954711135350202,0.0021648345318925157,0.5,0.1,False,,0.05
103,0.9719806763285024,2025-05-19 14:36:17.280241,2025-05-19 14:37:34.725962,0 days 00:01:17.445721,False,COMPLETE,0.5,0.8,0.8,0.00035884672494718666,0.0023080932787294265,0.5,0.1,False,,0.25
117,0.9719323671497584,2025-05-19 14:52:23.777221,2025-05-19 14:53:42.937846,0 days 00:01:19.160625,False,COMPLETE,0.5,0.8,0.8,0.0002747870319690784,0.0038574926123076136,0.5,0.1,False,,0.05
73,0.9718840579710145,2025-05-19 13:47:31.260068,2025-05-19 13:49:10.211817,0 days 00:01:38.951749,False,COMPLETE,0.5,0.9,0.9,7.721195801551783e-05,0.004719964936718536,0.5,0.1,False,,0.2
69,0.9718357487922705,2025-05-19 13:40:57.233912,2025-05-19 13:42:31.639255,0 days 00:01:34.405343,False,COMPLETE,0.5,0.9,0.9,0.0005034854941975884,0.013217040575051579,0.6,0.1,False,,0.25
87,0.9718357487922705,2025-05-19 14:08:41.215437,2025-05-19 14:10:21.374374,0 days 00:01:40.158937,False,COMPLETE,0.5,0.99,0.99,7.313034348456784e-05,0.0047764621026514945,0.4,0.1,False,,0.2
72,0.9717874396135265,2025-05-19 13:45:39.468914,2025-05-19 13:47:31.216662,0 days 00:01:51.747748,False,COMPLETE,0.5,0.9,0.9,8.850670280700572e-05,0.005270173734264558,0.5,0.1,False,,0.25
60,0.9717874396135265,2025-05-19 13:24:42.928045,2025-05-19 13:26:28.742777,0 days 00:01:45.814732,False,COMPLETE,0.5,0.995,0.995,9.990502603162988e-05,0.0029240263323432863,0.6,0.1,True,30.0,0.15000000000000002
94,0.9717391304347825,2025-05-19 14:21:42.145244,2025-05-19 14:23:22.011456,0 days 00:01:39.866212,False,COMPLETE,0.5,0.8,0.8,0.0003031457091202919,0.006695617087660111,0.5,0.1,False,,0.25
124,0.9717391304347825,2025-05-19 15:02:35.249257,2025-05-19 15:03:59.922692,0 days 00:01:24.673435,True,COMPLETE,0.5,0.8,0.8,0.00027266598358135846,0.0018437548090195937,0.5,0.1,False,,0.05
53,0.9717391304347825,2025-05-19 13:13:23.971615,2025-05-19 13:15:07.461871,0 days 00:01:43.490256,False,COMPLETE,0.5,0.995,0.995,5.758697319957753e-05,0.00198327431610355,0.6,0.1,True,90.0,0.25
82,0.9716908212560386,2025-05-19 14:02:10.426108,2025-05-19 14:03:24.359819,0 days 00:01:13.933711,False,COMPLETE,0.5,0.9,0.9,0.000311143556021743,0.004158402150806735,0.5,0.1,False,,0.25
43,0.9716908212560386,2025-05-19 12:54:52.185583,2025-05-19 12:56:59.759328,0 days 00:02:07.573745,False,COMPLETE,0.5,0.995,0.995,6.558512274910812e-05,0.004300199644041913,0.30000000000000004,0.1,True,60.0,0.25
120,0.9716425120772948,2025-05-19 14:57:09.536403,2025-05-19 14:58:44.527924,0 days 00:01:34.991521,False,COMPLETE,0.5,0.8,0.8,0.00022708837326170577,0.0037704699710501034,0.4,0.15,False,,0.05
41,0.9716425120772948,2025-05-19 12:51:46.491148,2025-05-19 12:53:39.511968,0 days 00:01:53.020820,False,COMPLETE,0.5,0.995,0.995,0.00017919847602931816,0.0023136356876947315,0.4,0.1,True,30.0,0.3
44,0.9716425120772948,2025-05-19 12:56:59.803007,2025-05-19 12:59:11.432801,0 days 00:02:11.629794,False,COMPLETE,0.5,0.995,0.995,5.354212583427389e-05,0.007979856832854619,0.30000000000000004,0.1,True,90.0,0.3
52,0.9716425120772948,2025-05-19 13:11:40.898554,2025-05-19 13:13:23.929161,0 days 00:01:43.030607,False,COMPLETE,0.5,0.995,0.995,6.536131231877773e-05,0.0018695097016550634,0.6,0.1,True,90.0,0.3
100,0.9715942028985508,2025-05-19 14:31:04.370343,2025-05-19 14:32:57.045979,0 days 00:01:52.675636,False,COMPLETE,0.5,0.9,0.9,6.219064953497326e-05,0.0005430547849131256,0.5,0.05,True,120.0,0.3
111,0.9715942028985506,2025-05-19 14:45:26.832073,2025-05-19 14:46:25.457034,0 days 00:00:58.624961,False,COMPLETE,0.5,0.8,0.8,0.0007358547363592243,0.0012076210363389387,0.5,0.1,False,,0.15000000000000002
59,0.9715458937198068,2025-05-19 13:23:11.471901,2025-05-19 13:24:42.888943,0 days 00:01:31.417042,False,COMPLETE,0.5,0.995,0.995,0.00016149592166793004,0.005719321360257279,0.8,0.1,True,120.0,0.2
