number,value,datetime_start,datetime_complete,duration,params_reset,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
109,0.9695652173913043,2025-05-19 11:29:37.735968,2025-05-19 11:31:05.898455,0 days 00:01:28.162487,False,COMPLETE,0.5,0.995,0.995,0.0004784521995429592,0.00035190683145945654,0.5,0.0,True,150.0,0.3
116,0.9691304347826087,2025-05-19 11:40:21.742967,2025-05-19 11:42:28.599364,0 days 00:02:06.856397,False,COMPLETE,0.5,0.995,0.995,0.00027791765883201274,0.002208642080173009,0.5,0.0,True,150.0,0.3
102,0.9690338164251209,2025-05-19 11:21:24.670186,2025-05-19 11:22:30.660858,0 days 00:01:05.990672,False,COMPLETE,0.5,0.995,0.995,0.0007455653345423356,0.0015703535244017087,0.5,0.0,True,120.0,0.2
57,0.9689855072463768,2025-05-19 10:22:46.283535,2025-05-19 10:23:52.338958,0 days 00:01:06.055423,False,COMPLETE,0.5,0.995,0.995,0.0020573072273704063,0.00012510506407945824,0.6,0.05,True,60.0,0.25
45,0.9688888888888889,2025-05-19 10:08:34.918465,2025-05-19 10:09:48.631564,0 days 00:01:13.713099,False,COMPLETE,0.5,0.99,0.99,0.0007512947016844689,0.0006818930262743261,0.5,0.0,True,120.0,0.3
111,0.9688888888888889,2025-05-19 11:32:49.591812,2025-05-19 11:34:00.974756,0 days 00:01:11.382944,False,COMPLETE,0.5,0.995,0.995,0.000810859708720282,0.0003693584869125121,0.5,0.0,True,150.0,0.3
114,0.9688405797101449,2025-05-19 11:36:37.176130,2025-05-19 11:38:22.698121,0 days 00:01:45.521991,False,COMPLETE,0.5,0.995,0.995,0.000300173794667997,0.0010930275103602713,0.5,0.0,True,150.0,0.3
42,0.9687922705314009,2025-05-19 10:05:20.609076,2025-05-19 10:06:34.531798,0 days 00:01:13.922722,False,COMPLETE,0.5,0.99,0.99,0.0008634508730949169,0.001423796416026809,0.5,0.0,True,150.0,0.3
78,0.968743961352657,2025-05-19 10:47:05.879893,2025-05-19 10:48:25.178564,0 days 00:01:19.298671,False,COMPLETE,0.5,0.99,0.99,0.00043866374080312343,0.0007567372419679301,0.5,0.0,True,120.0,0.25
41,0.9686473429951691,2025-05-19 10:04:10.745782,2025-05-19 10:05:20.570005,0 days 00:01:09.824223,False,COMPLETE,0.5,0.99,0.99,0.0009334870326539129,0.0014514363459791851,0.5,0.0,True,150.0,0.3
80,0.9686473429951691,2025-05-19 10:50:36.266476,2025-05-19 10:51:55.466311,0 days 00:01:19.199835,False,COMPLETE,0.5,0.99,0.99,0.00045647992228043576,0.001176976779144773,0.5,0.0,True,120.0,0.3
52,0.9686473429951691,2025-05-19 10:16:24.063932,2025-05-19 10:17:36.139951,0 days 00:01:12.076019,False,COMPLETE,0.5,0.995,0.995,0.0007192338379406806,0.00040441216206645844,0.4,0.0,True,150.0,0.2
113,0.968647342995169,2025-05-19 11:35:15.870323,2025-05-19 11:36:37.137864,0 days 00:01:21.267541,False,COMPLETE,0.5,0.995,0.995,0.0006170151900741958,0.001027512585028594,0.5,0.0,True,150.0,0.3
50,0.9685990338164251,2025-05-19 10:14:14.532639,2025-05-19 10:15:20.966549,0 days 00:01:06.433910,False,COMPLETE,0.5,0.995,0.995,0.0011765102157867918,0.0003817193608950596,0.4,0.0,True,150.0,0.2
38,0.9685990338164251,2025-05-19 10:00:45.171786,2025-05-19 10:01:54.680693,0 days 00:01:09.508907,False,COMPLETE,0.5,0.99,0.99,0.0009718489412219848,0.0016458646998801431,0.5,0.0,True,150.0,0.3
119,0.9685990338164251,2025-05-19 11:45:41.150868,2025-05-19 11:47:23.650568,0 days 00:01:42.499700,False,COMPLETE,0.5,0.995,0.995,0.00037348041879062076,0.0007221392555579245,0.6,0.0,True,120.0,0.3
63,0.9685990338164251,2025-05-19 10:29:13.062405,2025-05-19 10:30:20.889220,0 days 00:01:07.826815,False,COMPLETE,0.5,0.995,0.995,0.0011949533329798372,0.00018924238290493514,0.4,0.0,True,150.0,0.2
121,0.9685024154589371,2025-05-19 11:49:11.879200,2025-05-19 11:50:38.699328,0 days 00:01:26.820128,False,COMPLETE,0.5,0.995,0.995,0.000491094933129094,0.0010982205808016828,0.5,0.0,True,150.0,0.3
96,0.9685024154589371,2025-05-19 11:12:51.208988,2025-05-19 11:13:55.532589,0 days 00:01:04.323601,False,COMPLETE,0.5,0.995,0.995,0.0008707982978883972,0.002647598689154425,0.5,0.0,True,120.0,0.2
101,0.9684541062801933,2025-05-19 11:20:15.983967,2025-05-19 11:21:24.628980,0 days 00:01:08.645013,False,COMPLETE,0.5,0.995,0.995,0.0009021805665100982,0.0024875482253040064,0.5,0.0,True,120.0,0.2
112,0.9684541062801933,2025-05-19 11:34:01.013880,2025-05-19 11:35:15.827151,0 days 00:01:14.813271,False,COMPLETE,0.5,0.995,0.995,0.0007496683938437063,0.0003527597708876676,0.5,0.0,True,150.0,0.3
66,0.9683574879227054,2025-05-19 10:32:27.046021,2025-05-19 10:33:32.998426,0 days 00:01:05.952405,False,COMPLETE,0.5,0.99,0.99,0.001743860122921632,0.00022953048438608103,0.4,0.05,True,90.0,0.3
91,0.9683574879227054,2025-05-19 11:06:52.012795,2025-05-19 11:07:58.184724,0 days 00:01:06.171929,False,COMPLETE,0.5,0.995,0.995,0.001035614198765303,6.847578045372577e-05,0.4,0.0,True,150.0,0.2
55,0.9683091787439614,2025-05-19 10:20:35.231211,2025-05-19 10:21:46.628115,0 days 00:01:11.396904,False,COMPLETE,0.5,0.995,0.995,0.0007282808132053654,0.0009096264488625845,0.5,0.0,True,150.0,0.15000000000000002
104,0.9683091787439614,2025-05-19 11:23:42.488905,2025-05-19 11:25:14.378923,0 days 00:01:31.890018,False,COMPLETE,0.5,0.995,0.995,0.0004057601661112087,0.0006285823604524076,0.5,0.0,True,120.0,0.15000000000000002
90,0.9682608695652174,2025-05-19 11:05:37.715560,2025-05-19 11:06:51.973898,0 days 00:01:14.258338,False,COMPLETE,0.5,0.99,0.99,0.0007789562452300129,0.0005173635126517089,0.4,0.0,True,150.0,0.3
98,0.9681642512077294,2025-05-19 11:15:36.225555,2025-05-19 11:16:47.299771,0 days 00:01:11.074216,False,COMPLETE,0.5,0.99,0.99,0.0017706750944815172,0.000685739281521885,0.5,0.0,True,60.0,0.3
39,0.9681642512077294,2025-05-19 10:01:54.718447,2025-05-19 10:03:04.241945,0 days 00:01:09.523498,False,COMPLETE,0.5,0.99,0.99,0.0008930545023637977,0.0015501083163718629,0.5,0.0,True,150.0,0.3
