number,value,datetime_start,datetime_complete,duration,params_reset,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
81,0.8253333333333334,2025-05-18 18:08:15.708717,2025-05-18 18:08:44.780971,0 days 00:00:29.072254,True,COMPLETE,0.6,0.99,0.99,0.0001571014966842994,0.0009722881009984004,0.9,0.1,False,,0.3
82,0.8243333333333333,2025-05-18 18:08:44.822225,2025-05-18 18:09:13.963351,0 days 00:00:29.141126,True,COMPLETE,0.6,0.99,0.99,0.00013628083550238073,0.0008404026467424548,0.9,0.1,False,,0.3
108,0.8226666666666667,2025-05-18 18:20:18.106453,2025-05-18 18:20:48.775060,0 days 00:00:30.668607,True,COMPLETE,0.6,0.99,0.99,0.00014319493862729907,7.15346372805682e-05,0.9,0.1,False,,0.25
28,0.8223333333333334,2025-05-18 17:44:00.659750,2025-05-18 17:44:30.775581,0 days 00:00:30.115831,True,COMPLETE,0.6,0.995,0.995,9.628520538285262e-05,0.0005399769426787329,0.9,0.1,False,,0.25
112,0.8223333333333332,2025-05-18 18:22:17.009514,2025-05-18 18:22:45.091083,0 days 00:00:28.081569,True,COMPLETE,0.6,0.99,0.99,0.0004741344175460685,0.0004056790677480256,0.9,0.1,False,,0.25
57,0.8220000000000001,2025-05-18 17:57:18.382986,2025-05-18 17:57:46.965860,0 days 00:00:28.582874,True,COMPLETE,0.6,0.8,0.8,0.0001692696343540078,0.0016207086086537923,0.9,0.1,False,,0.3
113,0.8216666666666667,2025-05-18 18:22:45.132159,2025-05-18 18:23:09.324398,0 days 00:00:24.192239,True,COMPLETE,0.6,0.99,0.99,0.0009171921249039771,0.0006106082964432641,0.9,0.1,False,,0.25
94,0.8213333333333334,2025-05-18 18:14:31.863583,2025-05-18 18:14:55.783571,0 days 00:00:23.919988,True,COMPLETE,0.6,0.99,0.99,0.0005130261208323741,0.0002402958925070429,0.9,0.1,False,,0.3
122,0.8213333333333334,2025-05-18 18:26:49.914067,2025-05-18 18:27:19.483831,0 days 00:00:29.569764,True,COMPLETE,0.6,0.99,0.99,0.00015679980877599705,0.0006997058696794865,0.9,0.1,False,,0.25
103,0.8213333333333334,2025-05-18 18:18:06.718463,2025-05-18 18:18:31.055216,0 days 00:00:24.336753,True,COMPLETE,0.6,0.99,0.99,0.00034254925081218053,0.0005519196247351765,0.9,0.1,False,,0.3
