number,value,datetime_start,datetime_complete,duration,params_reset,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
121,0.8115272789464684,2025-05-19 04:21:10.400506,2025-05-19 04:21:52.223289,0 days 00:00:41.822783,False,COMPLETE,0.5,0.8,0.8,0.0014432454664282679,0.00010313476056744887,0.9,0.0,True,30.0,0.15000000000000002
99,0.8105581209737188,2025-05-19 04:07:24.122116,2025-05-19 04:08:02.056083,0 days 00:00:37.933967,False,COMPLETE,0.5,0.8,0.8,0.002892212479326041,0.00016133943168610226,0.9,0.0,True,30.0,0.1
103,0.8104441023886894,2025-05-19 04:09:49.372623,2025-05-19 04:10:26.397193,0 days 00:00:37.024570,False,COMPLETE,0.5,0.8,0.8,0.003023347402182593,8.173812969329293e-05,0.9,0.0,True,30.0,0.1
100,0.8102160652186307,2025-05-19 04:08:02.097497,2025-05-19 04:08:43.255256,0 days 00:00:41.157759,False,COMPLETE,0.5,0.8,0.8,0.003075084082563933,4.966484947250273e-05,0.9,0.0,True,30.0,0.1
120,0.8102160652186307,2025-05-19 04:20:28.508530,2025-05-19 04:21:10.360716,0 days 00:00:41.852186,False,COMPLETE,0.5,0.8,0.8,0.0017272438652194053,0.00010063643726659388,0.9,0.0,True,30.0,0.15000000000000002
124,0.8101590559261159,2025-05-19 04:23:14.870116,2025-05-19 04:23:56.095199,0 days 00:00:41.225083,False,COMPLETE,0.5,0.8,0.8,0.0013805827405589783,0.00010278241798733418,0.9,0.0,True,30.0,0.15000000000000002
123,0.8101590559261159,2025-05-19 04:22:35.550402,2025-05-19 04:23:14.826324,0 days 00:00:39.275922,False,COMPLETE,0.5,0.8,0.8,0.0014793165235328044,0.00010203338151780451,0.9,0.0,True,30.0,0.15000000000000002
94,0.8101020466336012,2025-05-19 04:04:29.546134,2025-05-19 04:05:06.215445,0 days 00:00:36.669311,False,COMPLETE,0.5,0.8,0.8,0.0073651301489074845,2.9285519122396455e-05,0.9,0.0,True,60.0,0.1
116,0.8100450373410867,2025-05-19 04:18:06.605022,2025-05-19 04:18:47.723830,0 days 00:00:41.118808,False,COMPLETE,0.5,0.8,0.8,0.0017214597245981868,9.382501497738284e-05,0.9,0.0,True,60.0,0.05
35,0.8097599908785132,2025-05-19 03:25:46.977633,2025-05-19 03:26:28.018988,0 days 00:00:41.041355,True,COMPLETE,0.5,0.995,0.995,0.001106026881653452,0.0005600017194491428,0.9,0.05,False,,0.25
122,0.8097599908785131,2025-05-19 04:21:52.261993,2025-05-19 04:22:35.509936,0 days 00:00:43.247943,False,COMPLETE,0.5,0.8,0.8,0.0015203122537760694,0.0001137385985615241,0.9,0.0,True,30.0,0.15000000000000002
109,0.8095889630009693,2025-05-19 04:13:38.835820,2025-05-19 04:14:16.611636,0 days 00:00:37.775816,False,COMPLETE,0.5,0.8,0.8,0.002434599240640641,0.0001876399578795267,0.9,0.0,True,60.0,0.1
104,0.8094749444159398,2025-05-19 04:10:26.435681,2025-05-19 04:11:06.249787,0 days 00:00:39.814106,False,COMPLETE,0.5,0.8,0.8,0.003081069308947871,9.30803268934764e-05,0.9,0.0,True,30.0,0.1
88,0.8093609258309105,2025-05-19 04:01:00.293522,2025-05-19 04:01:37.978982,0 days 00:00:37.685460,False,COMPLETE,0.5,0.8,0.8,0.005756964020177635,2.854947929367906e-05,0.9,0.0,False,,0.15000000000000002
69,0.8093609258309105,2025-05-19 03:48:55.787966,2025-05-19 03:49:39.236610,0 days 00:00:43.448644,True,COMPLETE,0.5,0.995,0.995,0.001701216702050534,4.7167388523192653e-05,0.8,0.0,False,,0.3
89,0.8091328886608516,2025-05-19 04:01:38.021374,2025-05-19 04:02:12.906432,0 days 00:00:34.885058,False,COMPLETE,0.5,0.8,0.8,0.006769529361889753,1.9022181398272503e-05,0.9,0.0,True,60.0,0.1
114,0.8090188700758224,2025-05-19 04:16:46.684471,2025-05-19 04:17:29.068321,0 days 00:00:42.383850,False,COMPLETE,0.5,0.8,0.8,0.0016376449274686023,5.8044513704979103e-05,0.9,0.0,True,60.0,0.05
96,0.8090188700758224,2025-05-19 04:05:43.801365,2025-05-19 04:06:18.932717,0 days 00:00:35.131352,False,COMPLETE,0.5,0.8,0.8,0.0041331411952336425,5.502319230245694e-05,0.9,0.0,True,30.0,0.1
97,0.8089618607833078,2025-05-19 04:06:18.971158,2025-05-19 04:06:51.468650,0 days 00:00:32.497492,False,COMPLETE,0.5,0.8,0.8,0.004003747292792431,5.88120107035298e-05,0.9,0.0,True,30.0,0.1
119,0.8087908329057636,2025-05-19 04:19:47.240874,2025-05-19 04:20:28.468750,0 days 00:00:41.227876,False,COMPLETE,0.5,0.8,0.8,0.0021313455609810023,7.563097035216135e-05,0.9,0.0,True,60.0,0.05
110,0.8087338236132489,2025-05-19 04:14:16.652528,2025-05-19 04:14:54.000970,0 days 00:00:37.348442,False,COMPLETE,0.5,0.8,0.8,0.0024569914290312753,0.0001832246004486871,0.9,0.0,True,60.0,0.15000000000000002
115,0.8086768143207342,2025-05-19 04:17:29.106786,2025-05-19 04:18:06.566140,0 days 00:00:37.459354,False,COMPLETE,0.5,0.99,0.99,0.002632653911365129,0.0003152728804210164,0.9,0.0,True,60.0,0.0
111,0.8086198050282197,2025-05-19 04:14:54.042646,2025-05-19 04:15:28.002073,0 days 00:00:33.959427,False,COMPLETE,0.5,0.8,0.8,0.00398059585651895,9.235584312156497e-05,0.9,0.0,True,60.0,0.1
108,0.8083917678581609,2025-05-19 04:12:59.576448,2025-05-19 04:13:38.795335,0 days 00:00:39.218887,False,COMPLETE,0.5,0.8,0.8,0.0030434434749899643,4.665405083376774e-05,0.9,0.0,True,30.0,0.1
90,0.8083917678581608,2025-05-19 04:02:12.946984,2025-05-19 04:02:49.468266,0 days 00:00:36.521282,False,COMPLETE,0.5,0.8,0.8,0.007819469202698884,3.066125580293124e-05,0.9,0.0,True,30.0,0.1
40,0.8083917678581608,2025-05-19 03:29:14.849434,2025-05-19 03:30:05.302279,0 days 00:00:50.452845,True,COMPLETE,0.5,0.995,0.995,0.0004828385751323515,0.0009040471645812495,0.7000000000000001,0.05,False,,0.3
43,0.8082207399806168,2025-05-19 03:31:37.922662,2025-05-19 03:32:25.217547,0 days 00:00:47.294885,True,COMPLETE,0.5,0.995,0.995,0.0004903739331312942,0.0008693385923585671,0.8,0.05,False,,0.3
91,0.8081637306881021,2025-05-19 04:02:49.507788,2025-05-19 04:03:18.120751,0 days 00:00:28.612963,False,COMPLETE,0.5,0.8,0.8,0.007582718984769028,3.163869173343516e-05,0.9,0.0,True,30.0,0.1
112,0.8081067213955876,2025-05-19 04:15:28.045404,2025-05-19 04:16:06.887603,0 days 00:00:38.842199,False,COMPLETE,0.5,0.8,0.8,0.0052706226931791165,0.00013685442639399298,0.9,0.0,True,30.0,0.1
87,0.8079356935180435,2025-05-19 04:00:34.043668,2025-05-19 04:01:00.253709,0 days 00:00:26.210041,False,COMPLETE,0.5,0.8,0.8,0.007340827614697222,2.3725400742221814e-05,0.9,0.0,False,,0.15000000000000002
106,0.8079356935180435,2025-05-19 04:11:43.560607,2025-05-19 04:12:16.640830,0 days 00:00:33.080223,False,COMPLETE,0.5,0.8,0.8,0.003910683556088544,8.080826093196862e-05,0.9,0.0,True,30.0,0.1
107,0.807821674933014,2025-05-19 04:12:16.679565,2025-05-19 04:12:59.536878,0 days 00:00:42.857313,False,COMPLETE,0.5,0.8,0.8,0.0021744764252537014,6.668181097177943e-05,0.9,0.0,True,30.0,0.05
101,0.8077646656404994,2025-05-19 04:08:43.295207,2025-05-19 04:09:13.248742,0 days 00:00:29.953535,False,COMPLETE,0.5,0.8,0.8,0.002848901625064375,0.00016498015066750905,0.9,0.0,True,30.0,0.1
113,0.8077646656404994,2025-05-19 04:16:06.930629,2025-05-19 04:16:46.646283,0 days 00:00:39.715654,False,COMPLETE,0.5,0.8,0.8,0.0021455662399919493,3.853598201434353e-05,0.9,0.0,True,30.0,0.1
105,0.8077076563479847,2025-05-19 04:11:06.288380,2025-05-19 04:11:43.521645,0 days 00:00:37.233265,False,COMPLETE,0.5,0.8,0.8,0.003239224097092351,0.00013136386423652475,0.9,0.0,True,30.0,0.1
118,0.80765064705547,2025-05-19 04:19:13.706880,2025-05-19 04:19:47.197823,0 days 00:00:33.490943,False,COMPLETE,0.5,0.8,0.8,0.004618471872064761,1.9560423582725853e-05,0.9,0.0,True,90.0,0.1
