number,value,datetime_start,datetime_complete,duration,params_reset,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
111,0.8014936434638846,2025-05-19 02:55:43.821186,2025-05-19 02:56:18.891819,0 days 00:00:35.070633,True,COMPLETE,0.5,0.995,0.995,0.0011747417076040747,0.00010309792373721189,0.9,0.1,False,,0.2
72,0.8010945784162818,2025-05-19 02:33:20.344558,2025-05-19 02:34:00.068148,0 days 00:00:39.723590,False,COMPLETE,0.5,0.995,0.995,0.0009879287765289042,0.00010966535201544032,0.9,0.1,False,,0.2
31,0.8006955133686792,2025-05-19 02:08:24.049729,2025-05-19 02:09:05.908153,0 days 00:00:41.858424,False,COMPLETE,0.5,0.995,0.995,0.00047317557690627665,0.0005080270442425505,0.9,0.1,False,,0.1
112,0.8001254204435323,2025-05-19 02:56:18.930731,2025-05-19 02:57:00.042368,0 days 00:00:41.111637,True,COMPLETE,0.5,0.995,0.995,0.002106592122897695,9.479390063941796e-05,0.9,0.1,False,,0.2
103,0.8001254204435323,2025-05-19 02:51:09.438755,2025-05-19 02:51:38.915584,0 days 00:00:29.476829,True,COMPLETE,0.5,0.995,0.995,0.002512583196224662,4.244091493677687e-05,0.9,0.1,False,,0.2
73,0.8000114018585028,2025-05-19 02:34:00.107778,2025-05-19 02:34:38.659960,0 days 00:00:38.552182,False,COMPLETE,0.5,0.995,0.995,0.0009791692390590226,8.637838840443587e-05,0.9,0.1,False,,0.15000000000000002
51,0.7998973832734736,2025-05-19 02:20:30.036192,2025-05-19 02:21:11.734313,0 days 00:00:41.698121,False,COMPLETE,0.5,0.995,0.995,0.0004716710094918405,0.0004487808096571474,0.9,0.1,False,,0.1
121,0.7998973832734736,2025-05-19 03:01:45.670663,2025-05-19 03:02:26.774719,0 days 00:00:41.104056,True,COMPLETE,0.5,0.995,0.995,0.0005938270699192413,7.421146672320338e-05,0.9,0.1,False,,0.15000000000000002
86,0.7997833646884441,2025-05-19 02:41:00.411493,2025-05-19 02:41:40.407147,0 days 00:00:39.995654,False,COMPLETE,0.5,0.995,0.995,0.0007082475965883172,0.00011297786146059649,0.9,0.1,False,,0.15000000000000002
123,0.7996693461034149,2025-05-19 03:03:05.455773,2025-05-19 03:03:38.756588,0 days 00:00:33.300815,True,COMPLETE,0.5,0.995,0.995,0.002630762028230458,1.3062391318903496e-05,0.9,0.1,False,,0.15000000000000002
93,0.7996693461034149,2025-05-19 02:45:16.720578,2025-05-19 02:45:56.052553,0 days 00:00:39.331975,True,COMPLETE,0.5,0.995,0.995,0.0007744180894158076,0.0001506519956572343,0.9,0.1,False,,0.2
96,0.7996123368109002,2025-05-19 02:47:07.985796,2025-05-19 02:47:51.467398,0 days 00:00:43.481602,True,COMPLETE,0.5,0.995,0.995,0.00176338747492001,2.083423618559642e-05,0.9,0.1,False,,0.2
94,0.7995553275183855,2025-05-19 02:45:56.096681,2025-05-19 02:46:32.089941,0 days 00:00:35.993260,True,COMPLETE,0.5,0.995,0.995,0.0007936290804819057,4.221736935748253e-05,0.9,0.1,False,,0.2
99,0.7994983182258708,2025-05-19 02:48:55.227164,2025-05-19 02:49:27.469506,0 days 00:00:32.242342,True,COMPLETE,0.5,0.995,0.995,0.002071840650642861,1.6573940309194446e-05,0.9,0.1,False,,0.15000000000000002
104,0.7994413089333561,2025-05-19 02:51:38.955364,2025-05-19 02:52:18.347639,0 days 00:00:39.392275,True,COMPLETE,0.5,0.995,0.995,0.0023465625300376574,6.285029131743923e-05,0.9,0.1,False,,0.15000000000000002
120,0.7994413089333561,2025-05-19 03:01:10.504903,2025-05-19 03:01:45.631424,0 days 00:00:35.126521,True,COMPLETE,0.5,0.99,0.99,0.0006929926996743731,0.00013152088465848155,0.9,0.1,False,,0.2
81,0.7994413089333561,2025-05-19 02:38:32.128862,2025-05-19 02:39:02.827465,0 days 00:00:30.698603,False,COMPLETE,0.5,0.8,0.8,0.000986915129451273,0.00032780573853587386,0.9,0.1,False,,0.2
71,0.7994413089333561,2025-05-19 02:32:46.861621,2025-05-19 02:33:20.304495,0 days 00:00:33.442874,False,COMPLETE,0.5,0.995,0.995,0.001503623909552436,0.00010951501912877622,0.9,0.1,False,,0.2
41,0.7994413089333561,2025-05-19 02:14:14.673956,2025-05-19 02:14:55.133014,0 days 00:00:40.459058,False,COMPLETE,0.5,0.995,0.995,0.0004674487104014007,0.0005627231897556298,0.9,0.1,False,,0.1
106,0.7993272903483267,2025-05-19 02:52:49.024453,2025-05-19 02:53:23.918349,0 days 00:00:34.893896,True,COMPLETE,0.5,0.995,0.995,0.0037147170133579525,2.0332818866411027e-05,0.9,0.1,False,,0.15000000000000002
122,0.7992702810558122,2025-05-19 03:02:26.813456,2025-05-19 03:03:05.416423,0 days 00:00:38.602967,True,COMPLETE,0.5,0.995,0.995,0.0006334288395293581,8.613130900998295e-05,0.9,0.1,False,,0.15000000000000002
90,0.799270281055812,2025-05-19 02:43:25.646627,2025-05-19 02:44:07.949476,0 days 00:00:42.302849,True,COMPLETE,0.5,0.995,0.995,0.0004622279989768572,0.00020876932094635807,0.9,0.1,False,,0.2
115,0.799270281055812,2025-05-19 02:58:19.172563,2025-05-19 02:58:50.614707,0 days 00:00:31.442144,True,COMPLETE,0.5,0.995,0.995,0.0011520053619952372,7.077732710234229e-05,0.9,0.1,False,,0.2
