number,value,datetime_start,datetime_complete,duration,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
95,0.7586666666666666,2025-05-19 18:38:13.461389,2025-05-19 18:38:36.773969,0 days 00:00:23.312580,True,1.75,COMPLETE,0.5,0.9,0.9,6.196393501412407e-05,0.01350822590403485,1.25,0.2,0.1,True,120.0,0.15000000000000002
72,0.7583333333333333,2025-05-19 18:30:22.391648,2025-05-19 18:30:45.481355,0 days 00:00:23.089707,True,2.25,COMPLETE,0.5,0.9,0.9,4.03449241634467e-05,0.0240780750513922,1.55,0.25,0.1,True,120.0,0.15000000000000002
109,0.758,2025-05-19 18:43:30.357777,2025-05-19 18:43:53.135502,0 days 00:00:22.777725,True,2.0,COMPLETE,0.5,0.9,0.9,3.340893843023609e-05,0.010656573649539331,1.3,0.2,0.1,True,120.0,0.2
123,0.758,2025-05-19 18:48:53.674549,2025-05-19 18:49:17.073120,0 days 00:00:23.398571,True,2.0,COMPLETE,0.5,0.9,0.9,3.851271663214537e-05,0.010793802724787289,1.25,0.2,0.1,True,120.0,0.15000000000000002
93,0.7576666666666667,2025-05-19 18:37:27.675103,2025-05-19 18:37:50.645540,0 days 00:00:22.970437,True,1.75,COMPLETE,0.5,0.9,0.9,5.1170626849054075e-05,0.013013266486575447,1.25,0.2,0.1,True,120.0,0.15000000000000002
113,0.7576666666666667,2025-05-19 18:45:01.695743,2025-05-19 18:45:24.616078,0 days 00:00:22.920335,True,2.0,COMPLETE,0.5,0.9,0.9,3.429822317295428e-05,0.01441078074238739,1.55,0.2,0.1,True,120.0,0.2
77,0.7573333333333334,2025-05-19 18:32:09.190387,2025-05-19 18:32:32.452342,0 days 00:00:23.261955,True,2.5,COMPLETE,0.5,0.99,0.99,6.052749983232618e-05,0.02556957123768572,1.7000000000000002,0.15000000000000002,0.1,True,90.0,0.1
60,0.7573333333333334,2025-05-19 18:25:39.018635,2025-05-19 18:26:02.612835,0 days 00:00:23.594200,True,2.25,COMPLETE,0.5,0.9,0.9,4.636258540862413e-05,0.006226659349367914,1.4,0.2,0.1,True,120.0,0.15000000000000002
119,0.7573333333333333,2025-05-19 18:47:20.582932,2025-05-19 18:47:43.967586,0 days 00:00:23.384654,True,2.0,COMPLETE,0.5,0.9,0.9,4.7292558803658755e-05,0.010228882975358929,1.25,0.15000000000000002,0.1,True,120.0,0.15000000000000002
41,0.7573333333333333,2025-05-19 18:19:41.346941,2025-05-19 18:20:04.491914,0 days 00:00:23.144973,True,2.25,COMPLETE,0.5,0.9,0.9,7.724432758633133e-05,0.01598439352498536,0.75,0.0,0.05,True,120.0,0.1
45,0.757,2025-05-19 18:20:49.496738,2025-05-19 18:21:05.614533,0 days 00:00:16.117795,True,3.5,COMPLETE,0.5,0.8,0.8,0.0002829162810940312,0.006703243444649575,1.25,0.0,0.1,True,90.0,0.1
51,0.757,2025-05-19 18:22:44.320899,2025-05-19 18:22:59.248991,0 days 00:00:14.928092,True,2.75,COMPLETE,0.5,0.8,0.8,0.00043577782725464005,0.0066880957487336565,1.1,0.0,0.1,True,90.0,0.15000000000000002
110,0.757,2025-05-19 18:43:53.173860,2025-05-19 18:44:15.888685,0 days 00:00:22.714825,True,2.0,COMPLETE,0.5,0.9,0.9,3.5051314672987164e-05,0.009286630155410354,1.25,0.25,0.1,True,120.0,0.25
63,0.757,2025-05-19 18:26:49.516142,2025-05-19 18:27:13.628850,0 days 00:00:24.112708,True,1.75,COMPLETE,0.5,0.9,0.9,6.750073023883842e-05,0.023475413499706558,1.4500000000000002,0.2,0.1,True,120.0,0.15000000000000002
91,0.757,2025-05-19 18:36:41.405536,2025-05-19 18:37:04.314495,0 days 00:00:22.908959,True,2.25,COMPLETE,0.5,0.9,0.9,4.2579912854198e-05,0.024540556163115256,1.55,0.2,0.1,True,120.0,0.15000000000000002
108,0.757,2025-05-19 18:43:06.546938,2025-05-19 18:43:30.320960,0 days 00:00:23.774022,True,2.25,COMPLETE,0.5,0.9,0.9,3.212090795877812e-05,0.013210716332556717,1.35,0.2,0.1,True,120.0,0.2
122,0.757,2025-05-19 18:48:30.568241,2025-05-19 18:48:53.634754,0 days 00:00:23.066513,True,1.75,COMPLETE,0.5,0.9,0.9,6.6580759491957e-05,0.018549306807891908,1.15,0.15000000000000002,0.1,True,120.0,0.15000000000000002
52,0.7566666666666667,2025-05-19 18:22:59.296270,2025-05-19 18:23:15.093231,0 days 00:00:15.796961,True,3.0,COMPLETE,0.5,0.8,0.8,0.00040641412369246216,0.008505826728517994,1.2000000000000002,0.0,0.1,True,90.0,0.15000000000000002
104,0.7566666666666667,2025-05-19 18:41:34.257609,2025-05-19 18:41:57.254720,0 days 00:00:22.997111,True,2.25,COMPLETE,0.5,0.9,0.9,4.102513564326252e-05,0.02366679492017949,1.4,0.2,0.1,True,120.0,0.1
65,0.7566666666666667,2025-05-19 18:27:37.193858,2025-05-19 18:28:01.434560,0 days 00:00:24.240702,True,2.25,COMPLETE,0.5,0.9,0.9,3.995213110923207e-05,0.022358768420482518,1.55,0.2,0.1,True,120.0,0.15000000000000002
21,0.7566666666666667,2025-05-19 18:14:20.400846,2025-05-19 18:14:34.629327,0 days 00:00:14.228481,True,1.0,COMPLETE,0.5,0.8,0.8,0.0007180154930929978,0.019740098654484495,1.4,0.0,0.1,True,60.0,0.15000000000000002
92,0.7563333333333334,2025-05-19 18:37:04.353262,2025-05-19 18:37:27.635426,0 days 00:00:23.282164,True,2.25,COMPLETE,0.5,0.9,0.9,3.630605745468024e-05,0.018188045612238576,0.75,0.2,0.1,True,120.0,0.15000000000000002
11,0.7563333333333334,2025-05-19 18:10:59.402670,2025-05-19 18:11:13.574507,0 days 00:00:14.171837,True,0.25,COMPLETE,0.5,0.8,0.8,0.0007002502053864188,0.007963610946098335,1.25,0.15000000000000002,0.15,True,90.0,0.15000000000000002
101,0.7563333333333334,2025-05-19 18:40:27.668837,2025-05-19 18:40:51.165575,0 days 00:00:23.496738,True,1.0,COMPLETE,0.5,0.9,0.9,4.36218460758429e-05,0.020206900318144615,1.4500000000000002,0.2,0.1,True,120.0,0.15000000000000002
82,0.7563333333333334,2025-05-19 18:33:50.198456,2025-05-19 18:34:13.075503,0 days 00:00:22.877047,True,2.75,COMPLETE,0.5,0.99,0.99,5.256789685206756e-05,0.02671153766140828,1.6,0.05,0.1,True,90.0,0.15000000000000002
26,0.7560000000000001,2025-05-19 18:15:38.765254,2025-05-19 18:15:55.802560,0 days 00:00:17.037306,True,2.0,COMPLETE,0.5,0.8,0.8,0.00037573777607552834,0.020502589356241274,2.0,0.0,0.15,True,90.0,0.15000000000000002
79,0.7560000000000001,2025-05-19 18:32:55.432164,2025-05-19 18:33:12.804247,0 days 00:00:17.372083,False,1.75,COMPLETE,0.5,0.99,0.99,0.00011861375161457128,0.04079193013659898,1.75,0.15000000000000002,0.0,True,60.0,0.1
85,0.7559999999999999,2025-05-19 18:34:57.589874,2025-05-19 18:35:11.071435,0 days 00:00:13.481561,True,3.75,COMPLETE,0.5,0.8,0.8,0.000865868355511555,0.016390563524643808,1.7000000000000002,0.2,0.1,True,120.0,0.2
55,0.7559999999999999,2025-05-19 18:23:51.146067,2025-05-19 18:24:08.010387,0 days 00:00:16.864320,True,3.0,COMPLETE,0.5,0.8,0.8,0.00024236426715430745,0.004014049415050507,1.0,0.0,0.1,True,120.0,0.15000000000000002
103,0.7559999999999999,2025-05-19 18:41:11.124761,2025-05-19 18:41:34.216734,0 days 00:00:23.091973,True,1.5,COMPLETE,0.5,0.9,0.9,6.748165615179573e-05,0.035814764909401976,1.35,0.25,0.1,True,120.0,0.15000000000000002
120,0.7559999999999999,2025-05-19 18:47:44.007686,2025-05-19 18:48:07.278479,0 days 00:00:23.270793,True,2.0,COMPLETE,0.5,0.995,0.995,3.6188177604283046e-05,0.0035356809606557566,1.2000000000000002,0.15000000000000002,0.1,True,90.0,0.1
115,0.7556666666666668,2025-05-19 18:45:47.948833,2025-05-19 18:46:11.380264,0 days 00:00:23.431431,True,2.0,COMPLETE,0.5,0.9,0.9,5.9572451143153635e-05,0.026753862893382153,1.4500000000000002,0.15000000000000002,0.1,True,120.0,0.2
121,0.7556666666666666,2025-05-19 18:48:07.320130,2025-05-19 18:48:30.525374,0 days 00:00:23.205244,True,2.0,COMPLETE,0.5,0.9,0.9,4.720506835100399e-05,0.009318091104321228,1.3,0.15000000000000002,0.1,True,120.0,0.15000000000000002
29,0.7556666666666666,2025-05-19 18:16:26.561276,2025-05-19 18:16:41.939519,0 days 00:00:15.378243,True,0.5,COMPLETE,0.5,0.8,0.8,0.0006067219597902514,0.005955060241694744,1.1,0.0,0.1,True,60.0,0.2
75,0.7556666666666666,2025-05-19 18:31:31.271984,2025-05-19 18:31:54.371799,0 days 00:00:23.099815,True,3.0,COMPLETE,0.5,0.9,0.9,4.37385970688293e-05,0.006591336463872057,1.55,0.25,0.1,True,120.0,0.2
94,0.7553333333333333,2025-05-19 18:37:50.687606,2025-05-19 18:38:13.418903,0 days 00:00:22.731297,True,1.25,COMPLETE,0.5,0.9,0.9,5.3347302129281956e-05,0.03797040417746748,1.6500000000000001,0.15000000000000002,0.1,True,120.0,0.15000000000000002
70,0.7553333333333333,2025-05-19 18:29:35.339512,2025-05-19 18:29:58.879842,0 days 00:00:23.540330,True,2.75,COMPLETE,0.5,0.995,0.995,7.011960240806862e-05,0.005296413356331716,1.2000000000000002,0.0,0.1,True,120.0,0.1
87,0.7553333333333333,2025-05-19 18:35:33.706941,2025-05-19 18:35:50.979786,0 days 00:00:17.272845,True,2.75,COMPLETE,0.5,0.9,0.9,0.00018412748146416608,0.011685722905157117,1.4,0.05,0.05,True,60.0,0.1
35,0.7553333333333333,2025-05-19 18:18:10.399501,2025-05-19 18:18:23.792208,0 days 00:00:13.392707,False,1.0,COMPLETE,0.5,0.8,0.8,0.0004839459613279859,0.00479036833446431,1.8,0.05,0.1,True,30.0,0.2
17,0.7553333333333333,2025-05-19 18:12:46.877695,2025-05-19 18:13:10.809368,0 days 00:00:23.931673,True,2.0,COMPLETE,0.5,0.9,0.9,6.0626964751595484e-05,0.015632212783515818,0.7,0.05,0.0,True,120.0,0.1
112,0.7553333333333333,2025-05-19 18:44:38.743027,2025-05-19 18:45:01.654357,0 days 00:00:22.911330,True,2.25,COMPLETE,0.5,0.9,0.9,5.004105147014344e-05,0.004656059382502409,1.35,0.2,0.1,True,120.0,0.2
58,0.7553333333333333,2025-05-19 18:25:00.404867,2025-05-19 18:25:18.109029,0 days 00:00:17.704162,True,3.5,COMPLETE,0.5,0.8,0.8,0.0002863187547558265,0.013022349773396976,0.8500000000000001,0.0,0.05,True,90.0,0.05
67,0.755,2025-05-19 18:28:25.538342,2025-05-19 18:28:49.529022,0 days 00:00:23.990680,True,2.0,COMPLETE,0.5,0.9,0.9,3.0951668861451064e-05,0.0017016193900887516,1.35,0.2,0.1,True,150.0,0.15000000000000002
