number,value,datetime_start,datetime_complete,duration,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
78,0.7353333333333333,2025-05-19 17:46:48.715965,2025-05-19 17:47:16.094455,0 days 00:00:27.378490,True,0.5,COMPLETE,0.7,0.995,0.995,1.6547494205953893e-05,0.0014541030214070237,1.35,0.05,0.0,True,120.0,0.05
86,0.7343333333333334,2025-05-19 17:50:25.045835,2025-05-19 17:50:52.330005,0 days 00:00:27.284170,True,0.25,COMPLETE,0.7,0.995,0.995,1.4065473840857839e-05,0.000855215398909122,1.3,0.05,0.0,True,90.0,0.05
84,0.734,2025-05-19 17:49:32.228641,2025-05-19 17:49:59.892716,0 days 00:00:27.664075,True,0.75,COMPLETE,0.7,0.995,0.995,2.6447718589150538e-05,0.0008854653442972563,1.4,0.15000000000000002,0.0,True,90.0,0.05
120,0.7333333333333334,2025-05-19 18:05:49.233297,2025-05-19 18:06:16.374004,0 days 00:00:27.140707,True,0.5,COMPLETE,0.7,0.995,0.995,2.101084704732482e-05,0.0007732265292617741,1.35,0.05,0.0,True,120.0,0.0
121,0.7333333333333334,2025-05-19 18:06:16.413912,2025-05-19 18:06:43.601418,0 days 00:00:27.187506,True,0.5,COMPLETE,0.7,0.995,0.995,2.1934083151444244e-05,0.0007687663512298576,1.35,0.05,0.0,True,120.0,0.0
108,0.7333333333333333,2025-05-19 18:00:13.034353,2025-05-19 18:00:41.143352,0 days 00:00:28.108999,True,0.75,COMPLETE,0.7,0.995,0.995,2.61522346876407e-05,0.0020971363030998897,1.15,0.0,0.0,True,90.0,0.05
83,0.733,2025-05-19 17:49:05.178450,2025-05-19 17:49:32.188506,0 days 00:00:27.010056,True,0.75,COMPLETE,0.7,0.995,0.995,1.929317974052398e-05,0.0009845439897057133,1.4,0.1,0.0,True,90.0,0.05
68,0.733,2025-05-19 17:42:08.104382,2025-05-19 17:42:34.665624,0 days 00:00:26.561242,True,1.25,COMPLETE,0.7,0.995,0.995,2.201135423453987e-05,0.0010831202979148082,1.4,0.2,0.05,True,120.0,0.0
101,0.733,2025-05-19 17:56:53.539890,2025-05-19 17:57:21.008112,0 days 00:00:27.468222,True,1.25,COMPLETE,0.7,0.995,0.995,1.1730124182130822e-05,0.0005720396909228258,1.25,0.05,0.0,True,90.0,0.05
113,0.733,2025-05-19 18:02:33.387202,2025-05-19 18:03:01.791821,0 days 00:00:28.404619,True,0.5,COMPLETE,0.7,0.995,0.995,3.0312737800527633e-05,0.0013094606259016611,1.35,0.1,0.0,True,120.0,0.05
73,0.733,2025-05-19 17:44:27.988150,2025-05-19 17:44:56.497454,0 days 00:00:28.509304,True,0.5,COMPLETE,0.7,0.995,0.995,1.982378645773971e-05,0.0010823502110806605,1.3,0.1,0.0,True,120.0,0.05
71,0.733,2025-05-19 17:43:32.427588,2025-05-19 17:44:00.390200,0 days 00:00:27.962612,True,0.75,COMPLETE,0.7,0.995,0.995,2.1079695569820453e-05,0.0012550093946471534,1.4,0.15000000000000002,0.0,True,120.0,0.05
70,0.7326666666666667,2025-05-19 17:43:03.247861,2025-05-19 17:43:32.387451,0 days 00:00:29.139590,True,0.5,COMPLETE,0.7,0.995,0.995,2.1715699768196277e-05,0.0010551857374444596,1.4,0.15000000000000002,0.0,True,120.0,0.05
67,0.7326666666666667,2025-05-19 17:41:41.472928,2025-05-19 17:42:08.060635,0 days 00:00:26.587707,True,1.5,COMPLETE,0.7,0.995,0.995,2.0518179326023566e-05,0.0011812938048489396,1.4,0.2,0.05,True,120.0,0.0
82,0.7326666666666667,2025-05-19 17:48:38.692603,2025-05-19 17:49:05.138104,0 days 00:00:26.445501,True,0.75,COMPLETE,0.7,0.995,0.995,2.6523012539779446e-05,0.000965810733756528,1.4,0.1,0.0,True,90.0,0.05
88,0.7326666666666667,2025-05-19 17:51:18.775809,2025-05-19 17:51:46.237057,0 days 00:00:27.461248,True,1.25,COMPLETE,0.7,0.995,0.995,1.2208567269597663e-05,0.0005776966448580501,1.25,0.05,0.0,True,90.0,0.05
119,0.7326666666666667,2025-05-19 18:05:21.276628,2025-05-19 18:05:49.191331,0 days 00:00:27.914703,True,0.75,COMPLETE,0.7,0.995,0.995,3.20975195564432e-05,0.002805489299647533,1.3,0.0,0.0,True,30.0,0.05
94,0.7326666666666667,2025-05-19 17:53:55.870688,2025-05-19 17:54:23.152080,0 days 00:00:27.281392,True,1.25,COMPLETE,0.7,0.995,0.995,1.3044121902547519e-05,0.0016834467177675406,1.4,0.05,0.0,True,90.0,0.05
112,0.7326666666666667,2025-05-19 18:02:04.950270,2025-05-19 18:02:33.342533,0 days 00:00:28.392263,True,1.0,COMPLETE,0.7,0.995,0.995,1.3803173521027159e-05,0.0023311866233155037,1.15,0.0,0.0,True,90.0,0.05
92,0.7323333333333334,2025-05-19 17:53:05.792318,2025-05-19 17:53:31.259022,0 days 00:00:25.466704,True,0.5,COMPLETE,0.7,0.995,0.995,2.731347670059175e-05,0.0007603690697575939,1.25,0.1,0.0,True,90.0,0.05
124,0.7323333333333334,2025-05-19 18:07:38.009444,2025-05-19 18:08:05.069054,0 days 00:00:27.059610,True,0.5,COMPLETE,0.7,0.995,0.995,1.5429018730661262e-05,0.000653360209672734,1.3,0.05,0.0,True,120.0,0.0
117,0.7323333333333334,2025-05-19 18:04:24.617905,2025-05-19 18:04:53.407336,0 days 00:00:28.789431,True,0.25,COMPLETE,0.7,0.995,0.995,1.535064022189463e-05,0.0012319555563539302,1.2000000000000002,0.1,0.0,True,120.0,0.05
111,0.7323333333333334,2025-05-19 18:01:37.770574,2025-05-19 18:02:04.908335,0 days 00:00:27.137761,True,0.75,COMPLETE,0.7,0.995,0.995,2.5612856041691988e-05,0.0010222746823039973,1.3,0.1,0.0,True,90.0,0.05
118,0.7323333333333334,2025-05-19 18:04:53.447703,2025-05-19 18:05:21.233465,0 days 00:00:27.785762,True,1.0,COMPLETE,0.7,0.995,0.995,1.131620046230814e-05,0.001363369750244514,1.4500000000000002,0.15000000000000002,0.0,True,120.0,0.1
91,0.7323333333333334,2025-05-19 17:52:40.294849,2025-05-19 17:53:05.751383,0 days 00:00:25.456534,True,0.75,COMPLETE,0.7,0.995,0.995,2.736194146133085e-05,0.0008945896786029713,1.4,0.1,0.0,True,90.0,0.05
