number,value,datetime_start,datetime_complete,duration,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
67,0.8756815703380588,2025-05-20 04:32:28.049246,2025-05-20 04:33:25.970053,0 days 00:00:57.920807,False,1.0,COMPLETE,0.5,0.9,0.0023467851280651623,2.2416039073514552e-05,1.9500000000000002,0.35,0.15,False,,0.05
117,0.8749545619774627,2025-05-20 05:17:22.227831,2025-05-20 05:18:18.960702,0 days 00:00:56.732871,False,0.25,COMPLETE,0.5,0.99,0.0018702818406097735,1.7225968699566347e-05,1.9500000000000002,0.35,0.15,False,,0.0
121,0.8749545619774627,2025-05-20 05:20:29.731626,2025-05-20 05:21:26.579750,0 days 00:00:56.848124,False,0.75,COMPLETE,0.5,0.99,0.0020750004281577567,2.0556505645791582e-05,1.9000000000000001,0.35,0.15,False,,0.0
77,0.8745910577971646,2025-05-20 04:41:44.263326,2025-05-20 04:42:41.145513,0 days 00:00:56.882187,False,0.25,COMPLETE,0.5,0.99,0.0012668283143124942,1.3775342883604686e-05,1.9500000000000002,0.35,0.15,False,,0.0
111,0.8737428813764692,2025-05-20 05:11:50.442015,2025-05-20 05:12:48.780562,0 days 00:00:58.338547,False,0.5,COMPLETE,0.5,0.99,0.0029425794092728863,1.4951558047204253e-05,1.85,0.35,0.15,False,,0.05
68,0.8735005452562704,2025-05-20 04:33:26.009352,2025-05-20 04:34:24.143299,0 days 00:00:58.133947,False,1.0,COMPLETE,0.5,0.9,0.004181482816472326,1.8009611100863197e-05,1.9500000000000002,0.35,0.15,False,,0.05
91,0.8731370410759723,2025-05-20 04:53:42.576732,2025-05-20 04:54:39.212949,0 days 00:00:56.636217,True,0.75,COMPLETE,0.5,0.99,0.0020685179279131554,2.2964788304096783e-05,1.75,0.35,0.15,False,,0.0
82,0.8722888646552769,2025-05-20 04:46:08.867869,2025-05-20 04:47:06.797568,0 days 00:00:57.929699,False,0.25,COMPLETE,0.5,0.99,0.0014576725714181551,2.0256447511369576e-05,1.8,0.35,0.15,False,,0.05
75,0.8721676965951776,2025-05-20 04:39:48.114315,2025-05-20 04:40:45.938662,0 days 00:00:57.824347,False,0.25,COMPLETE,0.5,0.9,0.001271544201970714,1.4422738292381878e-05,1.9500000000000002,0.35,0.15,False,,0.05
124,0.8720465285350781,2025-05-20 05:23:11.979225,2025-05-20 05:24:09.130137,0 days 00:00:57.150912,False,0.75,COMPLETE,0.5,0.99,0.0019214811170705007,1.737187036812742e-05,2.0,0.35,0.15,False,,0.0
80,0.8718041924148795,2025-05-20 04:44:27.665905,2025-05-20 04:45:19.665493,0 days 00:00:51.999588,False,0.5,COMPLETE,0.5,0.99,0.0020138456093836536,3.082553941498973e-05,1.9000000000000001,0.35,0.15,False,,0.0
84,0.8714406882345814,2025-05-20 04:47:57.137576,2025-05-20 04:48:55.380136,0 days 00:00:58.242560,False,0.5,COMPLETE,0.5,0.99,0.001132954952582744,1.0263347208144197e-05,1.9500000000000002,0.35,0.15,False,,0.05
76,0.871319520174482,2025-05-20 04:40:45.980736,2025-05-20 04:41:44.224221,0 days 00:00:58.243485,False,0.25,COMPLETE,0.5,0.99,0.0013714927223727866,1.2952915445175977e-05,1.9500000000000002,0.35,0.15,False,,0.05
72,0.8707136798739853,2025-05-20 04:37:07.960378,2025-05-20 04:38:05.942291,0 days 00:00:57.981913,False,0.5,COMPLETE,0.5,0.9,0.003382388648540974,2.976110109666425e-05,1.8,0.35,0.15,False,,0.05
88,0.8707136798739853,2025-05-20 04:51:31.245328,2025-05-20 04:52:28.175324,0 days 00:00:56.929996,True,0.75,COMPLETE,0.5,0.99,0.0020461678054928757,2.2237340805521222e-05,1.75,0.35,0.15,False,,0.0
73,0.8705925118138859,2025-05-20 04:38:05.983783,2025-05-20 04:38:58.764795,0 days 00:00:52.781012,False,0.5,COMPLETE,0.5,0.9,0.0029480957195929325,1.3960520824443798e-05,1.85,0.35,0.15,False,,0.05
113,0.8703501756936872,2025-05-20 05:13:47.070463,2025-05-20 05:14:45.318434,0 days 00:00:58.247971,False,1.0,COMPLETE,0.5,0.99,0.0029211284466811745,2.8585987958131576e-05,1.85,0.35,0.15,False,,0.05
71,0.8701078395734885,2025-05-20 04:36:09.923017,2025-05-20 04:37:07.917820,0 days 00:00:57.994803,False,0.75,COMPLETE,0.5,0.9,0.0037291843977959502,2.8985128802776575e-05,1.85,0.35,0.15,False,,0.05
65,0.8698655034532897,2025-05-20 04:31:13.536269,2025-05-20 04:32:11.416107,0 days 00:00:57.879838,False,1.0,COMPLETE,0.5,0.9,0.003669370750121251,1.7192415725171096e-05,2.0,0.30000000000000004,0.15,False,,0.1
86,0.8696231673330911,2025-05-20 04:49:48.846287,2025-05-20 04:50:40.304644,0 days 00:00:51.458357,False,0.5,COMPLETE,0.5,0.99,0.001125524561021428,1.0092569157602168e-05,1.9500000000000002,0.35,0.15,False,,0.0
64,0.8695019992729917,2025-05-20 04:30:17.938648,2025-05-20 04:31:13.497331,0 days 00:00:55.558683,False,1.0,COMPLETE,0.5,0.9,0.003688644839225165,1.4583554118631079e-05,2.0,0.25,0.15,False,,0.1
78,0.869259663152793,2025-05-20 04:42:41.187747,2025-05-20 04:43:32.517940,0 days 00:00:51.330193,False,0.25,COMPLETE,0.5,0.99,0.0012829104741378643,1.2907874462680129e-05,1.85,0.35,0.15,False,,0.0
27,0.868896158972495,2025-05-20 04:01:03.993421,2025-05-20 04:01:56.412810,0 days 00:00:52.419389,False,3.0,COMPLETE,0.5,0.9,0.006331422616533113,3.396433887372072e-05,1.6500000000000001,0.15000000000000002,0.05,True,90.0,0.15000000000000002
120,0.8684114867320973,2025-05-20 05:19:29.076937,2025-05-20 05:20:29.691725,0 days 00:01:00.614788,False,0.5,COMPLETE,0.5,0.8,0.0014974149246726569,3.26902314191322e-05,1.85,0.35,0.15,False,,0.1
110,0.8681691506118986,2025-05-20 05:10:54.949340,2025-05-20 05:11:50.401898,0 days 00:00:55.452558,False,1.25,COMPLETE,0.5,0.995,0.0016824341283678732,1.2969856355277748e-05,1.6,0.30000000000000004,0.15,False,,0.0
116,0.8681691506118986,2025-05-20 05:16:23.990231,2025-05-20 05:17:22.186785,0 days 00:00:58.196554,False,0.5,COMPLETE,0.5,0.99,0.001284683090673136,1.2812322812795863e-05,1.7000000000000002,0.35,0.15,False,,0.05
83,0.8676844783715012,2025-05-20 04:47:06.839079,2025-05-20 04:47:57.098634,0 days 00:00:50.259555,False,0.25,COMPLETE,0.5,0.99,0.0013363340635195447,1.2955838529629618e-05,1.8,0.35,0.15,False,,0.0
122,0.8671998061311038,2025-05-20 05:21:26.621171,2025-05-20 05:22:23.674869,0 days 00:00:57.053698,False,0.5,COMPLETE,0.5,0.99,0.0026146948312525346,1.86377058113754e-05,1.9000000000000001,0.35,0.15,False,,0.0
81,0.8670786380710044,2025-05-20 04:45:19.706666,2025-05-20 04:46:08.829450,0 days 00:00:49.122784,False,0.5,COMPLETE,0.5,0.99,0.0019898504697661353,3.155616003703986e-05,1.9000000000000001,0.35,0.15,False,,0.0
32,0.8669574700109051,2025-05-20 04:04:58.594627,2025-05-20 04:05:52.660436,0 days 00:00:54.065809,False,3.0,COMPLETE,0.5,0.9,0.006064074280229955,4.591103743125242e-05,1.25,0.1,0.05,True,90.0,0.15000000000000002
