number,value,datetime_start,datetime_complete,duration,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
106,0.8546666666666667,2025-05-19 17:10:00.414418,2025-05-19 17:10:21.697392,0 days 00:00:21.282974,False,0.25,COMPLETE,0.6,0.9,0.9,0.000133517805311226,0.052364064271343456,0.8,0.1,0.05,True,30.0,0.3
88,0.8540000000000001,2025-05-19 17:04:16.284531,2025-05-19 17:04:34.767208,0 days 00:00:18.482677,True,1.75,COMPLETE,0.6,0.99,0.99,0.000255655583096095,0.01316752914432066,0.8500000000000001,0.05,0.05,False,,0.0
112,0.854,2025-05-19 17:12:04.407075,2025-05-19 17:12:28.584086,0 days 00:00:24.177011,False,2.0,COMPLETE,0.6,0.9,0.9,0.00031668243318008603,0.13446047866859295,1.2000000000000002,0.1,0.05,True,30.0,0.25
51,0.854,2025-05-19 16:52:34.425691,2025-05-19 16:52:49.374492,0 days 00:00:14.948801,False,2.25,COMPLETE,0.6,0.8,0.8,0.0025690365225443513,0.004907893964402798,0.9,0.1,0.05,True,30.0,0.25
52,0.854,2025-05-19 16:52:49.418607,2025-05-19 16:53:04.907271,0 days 00:00:15.488664,False,2.25,COMPLETE,0.6,0.8,0.8,0.002885026121571289,0.006000107770343606,0.9,0.15000000000000002,0.05,True,30.0,0.25
69,0.8536666666666667,2025-05-19 16:57:57.702336,2025-05-19 16:58:14.964450,0 days 00:00:17.262114,False,2.25,COMPLETE,0.6,0.8,0.8,0.00020207706718770228,0.010908494842673616,0.7,0.1,0.1,False,,0.3
1,0.8533333333333334,2025-05-19 16:34:59.160168,2025-05-19 16:35:23.089172,0 days 00:00:23.929004,True,1.75,COMPLETE,0.6,0.9,0.9,0.00022181772605637227,4.01139015505827e-05,1.35,0.05,0.05,True,150.0,0.0
47,0.8533333333333332,2025-05-19 16:51:35.281772,2025-05-19 16:51:48.400257,0 days 00:00:13.118485,False,1.75,COMPLETE,0.6,0.8,0.8,0.001596781936243508,0.005869876860239033,1.2000000000000002,0.1,0.05,True,30.0,0.25
45,0.8530000000000001,2025-05-19 16:50:51.145523,2025-05-19 16:51:10.558501,0 days 00:00:19.412978,True,2.0,COMPLETE,0.6,0.9,0.9,0.0003802779765456501,0.0007874364218412189,1.4,0.05,0.05,True,150.0,0.25
31,0.8530000000000001,2025-05-19 16:45:33.619459,2025-05-19 16:45:58.150998,0 days 00:00:24.531539,True,2.75,COMPLETE,0.6,0.9,0.9,0.00012997062725342878,0.008147167869497733,0.95,0.1,0.1,True,90.0,0.2
22,0.8530000000000001,2025-05-19 16:42:15.040998,2025-05-19 16:42:39.456565,0 days 00:00:24.415567,True,2.5,COMPLETE,0.6,0.9,0.9,8.803054157040664e-05,0.011416271142595824,0.8500000000000001,0.05,0.1,True,90.0,0.2
44,0.8530000000000001,2025-05-19 16:50:29.911070,2025-05-19 16:50:51.107158,0 days 00:00:21.196088,True,2.0,COMPLETE,0.6,0.9,0.9,0.0003503674399762718,0.0056973316723482855,1.05,0.1,0.05,True,60.0,0.25
0,0.8530000000000001,2025-05-19 16:34:40.044520,2025-05-19 16:34:59.118792,0 days 00:00:19.074272,False,2.25,COMPLETE,0.6,0.8,0.8,0.00015778490623457868,0.03816804482198394,1.55,0.35,0.15,False,,0.2
95,0.8530000000000001,2025-05-19 17:06:15.534565,2025-05-19 17:06:31.128976,0 days 00:00:15.594411,True,1.5,COMPLETE,0.6,0.99,0.99,0.0010108497724747032,0.014096878230187211,0.95,0.0,0.05,True,30.0,0.05
81,0.8530000000000001,2025-05-19 17:01:58.372088,2025-05-19 17:02:17.506998,0 days 00:00:19.134910,True,2.0,COMPLETE,0.6,0.9,0.9,0.0003597095376250761,0.005410668705335361,0.95,0.1,0.05,True,60.0,0.25
101,0.8529999999999999,2025-05-19 17:08:14.141132,2025-05-19 17:08:34.097907,0 days 00:00:19.956775,True,2.0,COMPLETE,0.6,0.9,0.9,0.00036506233828271253,0.0001226227508429961,1.4,0.05,0.05,True,150.0,0.25
79,0.8526666666666666,2025-05-19 17:01:19.569259,2025-05-19 17:01:33.897107,0 days 00:00:14.327848,False,2.5,COMPLETE,0.6,0.9,0.9,0.000760298195573252,0.006277008638739349,1.9000000000000001,0.1,0.1,False,,0.2
21,0.8526666666666666,2025-05-19 16:41:48.681851,2025-05-19 16:42:15.000539,0 days 00:00:26.318688,True,2.75,COMPLETE,0.6,0.9,0.9,0.00014237653491153715,0.007916184792315414,1.0,0.1,0.1,True,90.0,0.2
100,0.8526666666666666,2025-05-19 17:08:01.127640,2025-05-19 17:08:14.100788,0 days 00:00:12.973148,False,2.25,COMPLETE,0.6,0.9,0.9,0.004275896458988562,0.001083368933031317,1.3,0.15000000000000002,0.05,True,30.0,0.1
93,0.8523333333333333,2025-05-19 17:05:41.247066,2025-05-19 17:06:00.385748,0 days 00:00:19.138682,True,2.25,COMPLETE,0.6,0.99,0.99,0.00024536306708206176,0.01789116152432357,0.8500000000000001,0.05,0.05,False,,0.2
40,0.8523333333333333,2025-05-19 16:48:52.041472,2025-05-19 16:49:17.316333,0 days 00:00:25.274861,True,2.75,COMPLETE,0.5,0.8,0.8,0.00010179314906757501,0.009651233477377315,1.15,0.0,0.1,True,90.0,0.1
121,0.852,2025-05-19 17:15:15.539837,2025-05-19 17:15:36.393353,0 days 00:00:20.853516,True,1.75,COMPLETE,0.6,0.9,0.9,0.00027289470582163983,0.009175627039586673,1.35,0.05,0.05,True,30.0,0.25
87,0.852,2025-05-19 17:04:00.825620,2025-05-19 17:04:16.243509,0 days 00:00:15.417889,False,2.25,COMPLETE,0.6,0.8,0.8,0.00035193181074357816,0.00456194202143583,1.05,0.2,0.1,True,120.0,0.2
12,0.852,2025-05-19 16:38:42.874016,2025-05-19 16:39:07.525381,0 days 00:00:24.651365,True,3.0,COMPLETE,0.6,0.9,0.9,0.0001551685822938353,0.00550257195564625,1.0,0.1,0.1,True,90.0,0.2
61,0.852,2025-05-19 16:55:17.725717,2025-05-19 16:55:31.696973,0 days 00:00:13.971256,False,2.5,COMPLETE,0.6,0.8,0.8,0.0007293122455499562,0.007973172009663711,0.95,0.1,0.05,True,60.0,0.2
124,0.8516666666666667,2025-05-19 17:16:10.990635,2025-05-19 17:16:26.621734,0 days 00:00:15.631099,False,2.25,COMPLETE,0.6,0.9,0.9,0.000296680128011567,0.014142844514347636,1.5,0.1,0.05,True,150.0,0.25
84,0.8516666666666667,2025-05-19 17:02:56.085676,2025-05-19 17:03:21.234708,0 days 00:00:25.149032,True,2.25,COMPLETE,0.6,0.9,0.9,0.0001393418973939333,0.0017140806249170445,1.0,0.05,0.05,True,30.0,0.1
41,0.8513333333333334,2025-05-19 16:49:17.356003,2025-05-19 16:49:41.591199,0 days 00:00:24.235196,True,3.0,COMPLETE,0.6,0.9,0.9,0.00015829404678694868,0.008388253313293946,1.0,0.1,0.1,True,90.0,0.2
6,0.8513333333333334,2025-05-19 16:36:33.941214,2025-05-19 16:36:58.531701,0 days 00:00:24.590487,False,4.25,COMPLETE,0.7,0.995,0.995,9.167443362190138e-05,0.00039628502309297747,0.8500000000000001,0.0,0.05,False,,0.05
68,0.8513333333333333,2025-05-19 16:57:33.294999,2025-05-19 16:57:57.662129,0 days 00:00:24.367130,True,2.5,COMPLETE,0.6,0.99,0.99,0.0004965716526765829,0.04501028071479572,1.05,0.15000000000000002,0.05,True,60.0,0.25
86,0.8513333333333333,2025-05-19 17:03:39.489504,2025-05-19 17:04:00.783175,0 days 00:00:21.293671,True,1.5,COMPLETE,0.6,0.8,0.8,0.005936339325469077,0.005897180542186116,1.1,0.30000000000000004,0.05,True,90.0,0.3
62,0.8513333333333333,2025-05-19 16:55:31.741921,2025-05-19 16:55:48.006312,0 days 00:00:16.264391,False,3.0,COMPLETE,0.6,0.99,0.99,0.002648684819975009,0.014855875537089662,0.9,0.1,0.05,True,30.0,0.2
16,0.851,2025-05-19 16:40:06.063422,2025-05-19 16:40:27.257100,0 days 00:00:21.193678,False,5.0,COMPLETE,0.6,0.8,0.8,0.00010499074339338413,0.0020253214021637273,1.4,0.15000000000000002,0.15,False,,0.1
54,0.851,2025-05-19 16:53:20.216066,2025-05-19 16:53:36.779497,0 days 00:00:16.563431,False,2.5,COMPLETE,0.6,0.8,0.8,0.004980282386425757,0.0012482625920244605,0.9,0.15000000000000002,0.05,True,30.0,0.3
82,0.851,2025-05-19 17:02:17.550988,2025-05-19 17:02:41.649566,0 days 00:00:24.098578,True,2.0,COMPLETE,0.6,0.9,0.9,0.00015765534979545089,0.009716297134038815,1.05,0.1,0.05,True,90.0,0.25
74,0.8506666666666667,2025-05-19 16:59:31.950904,2025-05-19 16:59:51.766573,0 days 00:00:19.815669,True,2.75,COMPLETE,0.6,0.995,0.995,0.00027312898394208236,0.02484463108851768,0.7,0.15000000000000002,0.15,False,,0.15000000000000002
