number,value,datetime_start,datetime_complete,duration,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
123,0.965103598691385,2025-05-20 13:50:30.258812,2025-05-20 13:51:17.094079,0 days 00:00:46.835267,True,1.0,COMPLETE,0.7,0.995,0.0005019155326379148,0.00046107773683633457,1.9000000000000001,0.05,0.1,False,,0.3
102,0.9648309705561614,2025-05-20 13:36:28.216455,2025-05-20 13:37:04.391657,0 days 00:00:36.175202,True,0.25,COMPLETE,0.7,0.995,0.00045677219632100186,0.0004011097538334649,1.55,0.0,0.1,False,,0.3
87,0.9644674663758633,2025-05-20 13:27:08.187702,2025-05-20 13:27:45.481117,0 days 00:00:37.293415,True,2.0,COMPLETE,0.7,0.8,0.00031300063209971065,0.0006190615806551711,0.65,0.0,0.1,False,,0.3
124,0.9644674663758633,2025-05-20 13:51:17.133062,2025-05-20 13:52:03.916582,0 days 00:00:46.783520,True,1.0,COMPLETE,0.7,0.995,0.0004993749129110767,0.0004116412382037738,1.85,0.05,0.1,False,,0.3
122,0.9644674663758632,2025-05-20 13:49:43.269111,2025-05-20 13:50:30.216924,0 days 00:00:46.947813,True,0.75,COMPLETE,0.7,0.995,0.00048498851416611745,0.0006081111511632935,1.8,0.05,0.1,False,,0.3
92,0.9644674663758632,2025-05-20 13:30:14.321170,2025-05-20 13:30:50.813959,0 days 00:00:36.492789,True,1.5,COMPLETE,0.7,0.995,0.00040030256060512667,0.0006488054668590977,0.6,0.0,0.1,False,,0.3
91,0.9643765903307888,2025-05-20 13:29:37.807289,2025-05-20 13:30:14.279829,0 days 00:00:36.472540,True,1.5,COMPLETE,0.7,0.995,0.00040294170735775557,0.0006132185302289507,0.6,0.0,0.1,False,,0.3
82,0.9643765903307888,2025-05-20 13:24:02.882629,2025-05-20 13:24:39.161535,0 days 00:00:36.278906,True,2.25,COMPLETE,0.7,0.8,0.0005085041219439333,0.0005318302159070651,0.65,0.0,0.1,False,,0.25
114,0.9643765903307888,2025-05-20 13:43:58.807270,2025-05-20 13:44:39.075172,0 days 00:00:40.267902,True,1.0,COMPLETE,0.7,0.995,0.0005106121820284997,0.00029995941522646094,1.6500000000000001,0.05,0.1,False,,0.3
100,0.9642857142857144,2025-05-20 13:35:11.125711,2025-05-20 13:35:49.453315,0 days 00:00:38.327604,True,1.0,COMPLETE,0.7,0.995,0.00021430304257681512,0.0003937103932171545,1.6,0.05,0.1,False,,0.3
95,0.9642857142857144,2025-05-20 13:32:03.721205,2025-05-20 13:32:41.585030,0 days 00:00:37.863825,True,1.5,COMPLETE,0.7,0.995,0.0002764755258872469,0.0003746506022753874,0.6,0.05,0.1,False,,0.3
80,0.9642857142857144,2025-05-20 13:22:45.807628,2025-05-20 13:23:22.733544,0 days 00:00:36.925916,True,2.25,COMPLETE,0.7,0.8,0.00039039318933607677,0.0003443079056069333,0.65,0.0,0.1,False,,0.25
89,0.9642857142857143,2025-05-20 13:28:24.519383,2025-05-20 13:29:01.534886,0 days 00:00:37.015503,True,1.5,COMPLETE,0.7,0.995,0.0003344100200925265,0.0002504553201495908,0.75,0.0,0.1,False,,0.3
