number,value,datetime_start,datetime_complete,duration,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
117,0.9661032351872046,2025-05-20 12:03:37.776785,2025-05-20 12:04:51.704590,0 days 00:01:13.927805,False,0.25,COMPLETE,0.5,0.99,1.5167559118119874e-05,0.0004993874914755255,1.25,0.05,0.15,True,30.0,0.3
101,0.9661032351872046,2025-05-20 11:42:58.231776,2025-05-20 11:44:04.203569,0 days 00:01:05.971793,False,0.75,COMPLETE,0.5,0.99,1.7577699876133547e-05,0.0001245585827008511,1.4500000000000002,0.05,0.15,True,60.0,0.25
103,0.9660123591421302,2025-05-20 11:44:58.780086,2025-05-20 11:46:06.863005,0 days 00:01:08.082919,False,0.25,COMPLETE,0.5,0.99,1.749240309696133e-05,0.0002530239969115126,1.4500000000000002,0.05,0.15,True,60.0,0.25
122,0.9660123591421302,2025-05-20 12:09:53.856287,2025-05-20 12:11:04.287864,0 days 00:01:10.431577,False,0.25,COMPLETE,0.5,0.99,1.74535111459416e-05,0.0007992343867882896,1.3,0.05,0.15,True,30.0,0.3
121,0.96601235914213,2025-05-20 12:08:40.232193,2025-05-20 12:09:53.817189,0 days 00:01:13.584996,False,0.25,COMPLETE,0.5,0.99,1.4423952838285546e-05,0.0003644364478185307,1.3,0.05,0.15,True,30.0,0.3
107,0.9659214830970556,2025-05-20 11:49:52.394453,2025-05-20 11:51:17.972506,0 days 00:01:25.578053,False,0.25,COMPLETE,0.5,0.99,1.0151920236462554e-05,0.00019402094947419118,1.35,0.05,0.15,True,60.0,0.3
110,0.9659214830970556,2025-05-20 11:53:45.743638,2025-05-20 11:55:09.539847,0 days 00:01:23.796209,False,0.25,COMPLETE,0.5,0.99,1.0189152121693282e-05,0.00038986599881643454,1.25,0.05,0.15,True,30.0,0.3
77,0.9659214830970556,2025-05-20 11:17:21.095244,2025-05-20 11:18:16.951422,0 days 00:00:55.856178,False,0.75,COMPLETE,0.5,0.8,4.176522676837371e-05,0.0002720006175113411,1.4500000000000002,0.05,0.15,True,60.0,0.2
106,0.9659214830970555,2025-05-20 11:48:38.491599,2025-05-20 11:49:52.354466,0 days 00:01:13.862867,False,0.25,COMPLETE,0.5,0.99,1.4218369823309646e-05,0.00016402449712203405,1.35,0.05,0.15,True,60.0,0.25
114,0.9658306070519811,2025-05-20 11:59:16.045296,2025-05-20 12:00:31.880307,0 days 00:01:15.835011,False,0.25,COMPLETE,0.5,0.99,1.2786026142567058e-05,0.0011874533330788405,1.25,0.05,0.15,True,30.0,0.3
119,0.9658306070519811,2025-05-20 12:06:05.085199,2025-05-20 12:07:22.580574,0 days 00:01:17.495375,False,0.25,COMPLETE,0.5,0.99,1.2342531876577144e-05,0.0005383356816168575,1.3,0.05,0.15,True,30.0,0.3
89,0.9657397310069066,2025-05-20 11:30:09.476248,2025-05-20 11:31:14.407819,0 days 00:01:04.931571,False,0.75,COMPLETE,0.5,0.99,2.2470396301838575e-05,0.0003567129093807986,1.55,0.1,0.15,True,60.0,0.25
108,0.9657397310069066,2025-05-20 11:51:18.013261,2025-05-20 11:52:31.926479,0 days 00:01:13.913218,False,0.25,COMPLETE,0.5,0.99,1.4192904102391377e-05,0.0002439283531894994,1.35,0.05,0.15,True,60.0,0.3
109,0.9656488549618322,2025-05-20 11:52:31.965304,2025-05-20 11:53:45.704363,0 days 00:01:13.739059,False,0.25,COMPLETE,0.5,0.99,1.437226880421992e-05,0.000254273268394749,1.25,0.05,0.15,True,60.0,0.3
79,0.9656488549618322,2025-05-20 11:19:16.180194,2025-05-20 11:20:20.084755,0 days 00:01:03.904561,False,0.25,COMPLETE,0.5,0.8,2.161265596848587e-05,0.00023331287822709763,1.4500000000000002,0.05,0.15,True,60.0,0.2
111,0.9656488549618322,2025-05-20 11:55:09.582057,2025-05-20 11:56:33.515962,0 days 00:01:23.933905,False,0.25,COMPLETE,0.5,0.99,1.0447698944238478e-05,0.00040821702793028964,1.25,0.05,0.15,True,30.0,0.3
120,0.9656488549618322,2025-05-20 12:07:22.622150,2025-05-20 12:08:40.190716,0 days 00:01:17.568566,False,0.25,COMPLETE,0.5,0.99,1.216563299324139e-05,0.0005286083670181847,1.35,0.05,0.15,True,30.0,0.3
87,0.9655579789167575,2025-05-20 11:27:47.891834,2025-05-20 11:28:51.664128,0 days 00:01:03.772294,False,0.5,COMPLETE,0.5,0.99,2.2788065535789116e-05,0.00018567062893915523,1.55,0.1,0.15,True,60.0,0.25
105,0.9655579789167575,2025-05-20 11:47:23.029786,2025-05-20 11:48:38.451393,0 days 00:01:15.421607,False,0.5,COMPLETE,0.5,0.99,1.4162371808749326e-05,0.0002592398176191082,1.35,0.05,0.15,True,60.0,0.25
115,0.9655579789167575,2025-05-20 12:00:31.921802,2025-05-20 12:01:48.094958,0 days 00:01:16.173156,False,0.25,COMPLETE,0.5,0.99,1.3299699514481722e-05,0.00123225303085182,1.25,0.05,0.15,True,30.0,0.3
76,0.965467102871683,2025-05-20 11:16:24.340436,2025-05-20 11:17:21.056471,0 days 00:00:56.716035,False,0.75,COMPLETE,0.5,0.8,3.830528555757849e-05,0.00021994580289849263,1.4500000000000002,0.05,0.15,True,60.0,0.2
85,0.965467102871683,2025-05-20 11:25:39.368200,2025-05-20 11:26:43.640349,0 days 00:01:04.272149,False,0.5,COMPLETE,0.5,0.8,2.16837750568013e-05,8.695119800114696e-05,1.5,0.1,0.15,True,60.0,0.25
86,0.965467102871683,2025-05-20 11:26:43.682765,2025-05-20 11:27:47.851049,0 days 00:01:04.168284,False,0.5,COMPLETE,0.5,0.8,2.1772754191174876e-05,8.397914635750298e-05,1.5,0.1,0.15,True,60.0,0.25
84,0.965467102871683,2025-05-20 11:24:36.289703,2025-05-20 11:25:39.328505,0 days 00:01:03.038802,False,0.5,COMPLETE,0.5,0.8,2.4272449801876163e-05,8.826836622655967e-05,1.6,0.05,0.15,True,60.0,0.2
90,0.965467102871683,2025-05-20 11:31:14.446554,2025-05-20 11:32:19.280343,0 days 00:01:04.833789,False,0.5,COMPLETE,0.5,0.99,2.3238276632709442e-05,0.00030530090631417474,1.6,0.1,0.15,True,60.0,0.25
112,0.965467102871683,2025-05-20 11:56:33.555253,2025-05-20 11:57:53.406626,0 days 00:01:19.851373,False,0.25,COMPLETE,0.5,0.99,1.1546836510775e-05,0.0008344981329333065,1.2000000000000002,0.05,0.15,True,30.0,0.3
97,0.9653762268266085,2025-05-20 11:38:49.949855,2025-05-20 11:39:53.791418,0 days 00:01:03.841563,False,0.25,COMPLETE,0.5,0.99,2.6830719263847255e-05,0.00017343607794148634,1.5,0.15000000000000002,0.15,True,60.0,0.25
71,0.9653762268266085,2025-05-20 11:10:46.750856,2025-05-20 11:11:52.114580,0 days 00:01:05.363724,False,0.75,COMPLETE,0.5,0.8,1.994721412832129e-05,0.00013084832751779097,1.4,0.05,0.15,True,90.0,0.2
45,0.9653762268266085,2025-05-20 10:47:26.876977,2025-05-20 10:48:20.877763,0 days 00:00:54.000786,False,0.75,COMPLETE,0.5,0.8,5.144019245399571e-05,3.8722995596258484e-05,1.75,0.0,0.15,True,120.0,0.15000000000000002
113,0.9653762268266085,2025-05-20 11:57:53.446168,2025-05-20 11:59:16.004828,0 days 00:01:22.558660,False,0.25,COMPLETE,0.5,0.99,1.00309233366665e-05,0.00040847105736068845,1.2000000000000002,0.05,0.15,True,30.0,0.3
44,0.9652853507815341,2025-05-20 10:46:32.341026,2025-05-20 10:47:26.836913,0 days 00:00:54.495887,False,1.5,COMPLETE,0.5,0.8,4.785350591050873e-05,2.7251633447302787e-05,1.75,0.0,0.15,True,120.0,0.15000000000000002
123,0.9652853507815341,2025-05-20 12:11:04.329563,2025-05-20 12:12:13.543195,0 days 00:01:09.213632,False,0.25,COMPLETE,0.5,0.99,1.7973570589702645e-05,0.0008578870394205404,1.1,0.05,0.15,True,30.0,0.3
72,0.9652853507815341,2025-05-20 11:11:52.156280,2025-05-20 11:12:59.772158,0 days 00:01:07.615878,False,0.25,COMPLETE,0.5,0.8,1.8804524647917838e-05,7.694689691450502e-05,1.3,0.05,0.15,True,90.0,0.2
91,0.9652853507815339,2025-05-20 11:32:19.319720,2025-05-20 11:33:23.967614,0 days 00:01:04.647894,False,0.5,COMPLETE,0.5,0.99,2.338575281177966e-05,0.0003848362834557976,1.55,0.1,0.15,True,60.0,0.25
41,0.9652853507815339,2025-05-20 10:43:31.664078,2025-05-20 10:44:34.549204,0 days 00:01:02.885126,False,1.75,COMPLETE,0.5,0.8,2.5132724135777294e-05,0.00012180631330864691,1.85,0.05,0.15,True,120.0,0.2
118,0.9652853507815339,2025-05-20 12:04:51.744623,2025-05-20 12:06:05.046249,0 days 00:01:13.301626,False,0.25,COMPLETE,0.5,0.99,1.5912576141387443e-05,0.0010515435072460777,1.2000000000000002,0.05,0.15,True,30.0,0.3
102,0.9652853507815339,2025-05-20 11:44:04.244039,2025-05-20 11:44:58.743699,0 days 00:00:54.499660,False,0.5,COMPLETE,0.5,0.99,5.639079919133411e-05,9.030125513561781e-05,1.6,0.1,0.15,True,60.0,0.25
48,0.9651944747364595,2025-05-20 10:49:59.075556,2025-05-20 10:50:46.054498,0 days 00:00:46.978942,False,1.25,COMPLETE,0.5,0.8,0.00022145490820509384,3.251560447639967e-05,1.6,0.0,0.15,True,90.0,0.15000000000000002
80,0.9651944747364595,2025-05-20 11:20:20.124822,2025-05-20 11:21:26.629163,0 days 00:01:06.504341,False,0.25,COMPLETE,0.5,0.8,2.03772250575205e-05,0.00023342380160142328,1.4500000000000002,0.1,0.15,True,60.0,0.2
59,0.9651944747364595,2025-05-20 10:58:55.033827,2025-05-20 10:59:47.937068,0 days 00:00:52.903241,False,1.5,COMPLETE,0.5,0.8,6.4052685068441e-05,5.02088303535023e-05,1.05,0.0,0.15,True,90.0,0.15000000000000002
52,0.965103598691385,2025-05-20 10:53:12.825380,2025-05-20 10:54:03.266039,0 days 00:00:50.440659,False,2.0,COMPLETE,0.5,0.8,8.88951849129787e-05,2.6148499266955043e-05,1.7000000000000002,0.05,0.15,True,120.0,0.15000000000000002
