number,value,datetime_start,datetime_complete,duration,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
91,0.9623093681917211,2025-05-20 03:05:39.385225,2025-05-20 03:06:50.754698,0 days 00:01:11.369473,False,3.0,COMPLETE,0.5,0.9,0.00040748299260799317,5.251455831956095e-05,1.3,0.30000000000000004,0.1,False,,0.1
94,0.9610021786492374,2025-05-20 03:09:10.799826,2025-05-20 03:10:16.109220,0 days 00:01:05.309394,False,4.0,COMPLETE,0.5,0.9,0.0009146041284958824,3.3927425116607236e-05,1.2000000000000002,0.35,0.1,False,,0.1
124,0.9603485838779956,2025-05-20 03:40:40.792870,2025-05-20 03:41:49.692059,0 days 00:01:08.899189,False,4.0,COMPLETE,0.5,0.9,0.0003984155654259694,1.1261696766183957e-05,1.0,0.35,0.1,False,,0.0
118,0.9603485838779956,2025-05-20 03:33:47.741006,2025-05-20 03:34:55.442283,0 days 00:01:07.701277,False,4.25,COMPLETE,0.5,0.9,0.00041993417155465694,0.00015164266531955182,1.2000000000000002,0.35,0.1,False,,0.0
65,0.9601307189542484,2025-05-20 02:37:42.505040,2025-05-20 02:38:53.220180,0 days 00:01:10.715140,False,4.0,COMPLETE,0.5,0.9,0.0003050948025812715,8.428382714781642e-05,1.2000000000000002,0.35,0.1,False,,0.05
104,0.9599128540305011,2025-05-20 03:20:30.127674,2025-05-20 03:21:34.430389,0 days 00:01:04.302715,False,4.5,COMPLETE,0.5,0.9,0.0013110466421035105,4.905986653511753e-05,1.2000000000000002,0.30000000000000004,0.1,False,,0.0
73,0.9599128540305011,2025-05-20 02:46:56.080544,2025-05-20 02:48:05.419298,0 days 00:01:09.338754,False,3.5,COMPLETE,0.5,0.9,0.00036060333747881885,5.31740457967594e-05,1.25,0.35,0.1,False,,0.0
106,0.9596949891067538,2025-05-20 03:22:38.559897,2025-05-20 03:23:47.518505,0 days 00:01:08.958608,False,4.25,COMPLETE,0.5,0.9,0.0005185510132617849,6.567171981648784e-05,1.1,0.0,0.1,False,,0.0
59,0.9596949891067538,2025-05-20 02:30:40.022825,2025-05-20 02:31:50.609211,0 days 00:01:10.586386,False,3.25,COMPLETE,0.5,0.9,0.00030699046609857064,0.00021675881030726454,1.1,0.30000000000000004,0.1,False,,0.1
122,0.9596949891067538,2025-05-20 03:38:22.578203,2025-05-20 03:39:31.746940,0 days 00:01:09.168737,False,4.0,COMPLETE,0.5,0.9,0.00039345451418624914,3.399331055869473e-05,1.1,0.35,0.1,False,,0.0
60,0.9594771241830066,2025-05-20 02:31:50.649216,2025-05-20 02:33:01.257369,0 days 00:01:10.608153,False,3.5,COMPLETE,0.5,0.9,0.00034518941138476266,0.0002496420889951969,1.15,0.30000000000000004,0.1,False,,0.1
121,0.9594771241830066,2025-05-20 03:37:13.707868,2025-05-20 03:38:22.537875,0 days 00:01:08.830007,False,4.0,COMPLETE,0.5,0.9,0.000406840904925212,2.83176574375235e-05,1.35,0.35,0.1,False,,0.0
67,0.9592592592592593,2025-05-20 02:40:04.091407,2025-05-20 02:41:13.457558,0 days 00:01:09.366151,False,4.0,COMPLETE,0.5,0.9,0.00031659848640979826,0.0002173247417659915,1.15,0.35,0.1,False,,0.0
103,0.9590413943355119,2025-05-20 03:19:19.367675,2025-05-20 03:20:30.085386,0 days 00:01:10.717711,False,3.75,COMPLETE,0.5,0.9,0.00027852466469277087,1.5664552097335112e-05,1.25,0.35,0.1,False,,0.1
62,0.9590413943355119,2025-05-20 02:34:11.139025,2025-05-20 02:35:24.134951,0 days 00:01:12.995926,False,3.0,COMPLETE,0.5,0.9,0.000252291132854818,0.0005615821981326233,1.1,0.35,0.1,False,,0.1
82,0.9590413943355119,2025-05-20 02:55:30.328026,2025-05-20 02:56:35.197203,0 days 00:01:04.869177,False,3.25,COMPLETE,0.5,0.9,0.0004909620963374191,5.5424139014335054e-05,1.3,0.30000000000000004,0.1,False,,0.05
78,0.9590413943355119,2025-05-20 02:51:06.065872,2025-05-20 02:52:15.529137,0 days 00:01:09.463265,False,3.75,COMPLETE,0.5,0.9,0.00018137752399858612,0.00017856127437392436,1.35,0.30000000000000004,0.1,False,,0.0
96,0.9590413943355119,2025-05-20 03:11:25.153246,2025-05-20 03:12:30.606395,0 days 00:01:05.453149,False,4.0,COMPLETE,0.5,0.9,0.0008363502011364917,3.091727324823765e-05,1.25,0.35,0.1,False,,0.05
114,0.9590413943355119,2025-05-20 03:30:13.897918,2025-05-20 03:31:22.082379,0 days 00:01:08.184461,False,3.5,COMPLETE,0.5,0.9,0.0003561185004168241,2.0984390352140298e-05,1.25,0.25,0.1,False,,0.0
11,0.9586056644880174,2025-05-20 01:40:28.625814,2025-05-20 01:41:38.926813,0 days 00:01:10.300999,False,2.75,COMPLETE,0.5,0.8,0.00012018340073092049,0.0007391549183926789,1.0,0.25,0.1,False,,0.15000000000000002
55,0.9586056644880174,2025-05-20 02:26:21.251545,2025-05-20 02:27:26.541485,0 days 00:01:05.289940,False,3.0,COMPLETE,0.5,0.99,0.00040831262833496314,7.454378663876068e-05,1.35,0.30000000000000004,0.1,False,,0.15000000000000002
111,0.9586056644880174,2025-05-20 03:26:42.882397,2025-05-20 03:27:51.984841,0 days 00:01:09.102444,False,4.5,COMPLETE,0.5,0.9,0.0005079993091126911,5.955465639381899e-05,1.15,0.30000000000000004,0.1,False,,0.0
102,0.9586056644880174,2025-05-20 03:18:13.993004,2025-05-20 03:19:19.328724,0 days 00:01:05.335720,False,4.0,COMPLETE,0.5,0.9,0.0007758178700881015,2.281425958285208e-05,1.25,0.35,0.1,False,,0.05
74,0.9583877995642701,2025-05-20 02:48:05.459578,2025-05-20 02:49:14.608439,0 days 00:01:09.148861,False,3.75,COMPLETE,0.5,0.9,0.0002445939101780567,0.00013237406696508416,1.3,0.35,0.1,False,,0.0
