number,value,datetime_start,datetime_complete,duration,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
120,0.9620915032679739,2025-05-20 01:02:20.635395,2025-05-20 01:03:17.417484,0 days 00:00:56.782089,True,1.25,COMPLETE,0.5,0.9,0.0017754757998553771,3.924087594669347e-05,1.35,0.30000000000000004,0.1,False,,0.3
141,0.9601307189542484,2025-05-20 01:24:28.442203,2025-05-20 01:25:22.651507,0 days 00:00:54.209304,True,1.5,COMPLETE,0.5,0.9,0.0027569307645518818,2.3655619929710173e-05,1.35,0.25,0.1,False,,0.3
121,0.9599128540305011,2025-05-20 01:03:17.467811,2025-05-20 01:04:25.674295,0 days 00:01:08.206484,True,1.5,COMPLETE,0.5,0.9,0.0018191219341898214,3.617258422564499e-05,1.35,0.30000000000000004,0.1,False,,0.3
72,0.9599128540305011,2025-05-20 00:08:27.793565,2025-05-20 00:09:33.210802,0 days 00:01:05.417237,True,0.25,COMPLETE,0.5,0.8,0.001345077310255352,7.624895994217732e-05,1.35,0.30000000000000004,0.1,False,,0.25
149,0.9596949891067538,2025-05-20 01:33:01.273549,2025-05-20 01:34:09.804596,0 days 00:01:08.531047,True,0.25,COMPLETE,0.5,0.9,0.0012632548980380702,3.0847264641571425e-05,1.35,0.35,0.1,False,,0.3
118,0.9594771241830066,2025-05-20 01:00:03.722030,2025-05-20 01:01:08.275690,0 days 00:01:04.553660,True,0.75,COMPLETE,0.5,0.9,0.0013783711642160728,1.8231874371975426e-05,1.35,0.35,0.1,False,,0.3
147,0.9592592592592593,2025-05-20 01:30:39.141292,2025-05-20 01:31:51.045837,0 days 00:01:11.904545,True,0.75,COMPLETE,0.5,0.9,0.0010595794476820778,1.618095695987536e-05,1.4500000000000002,0.35,0.1,False,,0.3
95,0.9592592592592593,2025-05-20 00:33:23.419296,2025-05-20 00:34:35.862122,0 days 00:01:12.442826,True,0.75,COMPLETE,0.5,0.8,0.0007387417044702861,2.3813304789326804e-05,1.25,0.35,0.1,False,,0.3
119,0.9590413943355119,2025-05-20 01:01:08.315880,2025-05-20 01:02:20.593807,0 days 00:01:12.277927,True,1.25,COMPLETE,0.5,0.9,0.0013940182090010432,3.869596876027094e-05,1.35,0.30000000000000004,0.1,False,,0.3
127,0.9590413943355119,2025-05-20 01:09:39.902709,2025-05-20 01:10:40.504351,0 days 00:01:00.601642,True,1.5,COMPLETE,0.5,0.9,0.0014626761226693868,3.0029280794860823e-05,1.35,0.30000000000000004,0.1,False,,0.3
81,0.9590413943355119,2025-05-20 00:17:11.826882,2025-05-20 00:18:24.614225,0 days 00:01:12.787343,True,0.5,COMPLETE,0.5,0.8,0.0006096228273714336,3.399164810361975e-05,1.25,0.35,0.1,False,,0.3
104,0.9590413943355119,2025-05-20 00:43:39.232949,2025-05-20 00:44:49.225766,0 days 00:01:09.992817,True,0.5,COMPLETE,0.5,0.8,0.000766128923335984,2.565777597684232e-05,1.35,0.35,0.1,False,,0.3
107,0.9590413943355119,2025-05-20 00:47:08.902396,2025-05-20 00:48:21.165118,0 days 00:01:12.262722,True,0.75,COMPLETE,0.5,0.8,0.0007759349836304127,1.5930924217431073e-05,1.4,0.35,0.1,False,,0.3
101,0.9588235294117647,2025-05-20 00:40:16.784410,2025-05-20 00:41:26.902214,0 days 00:01:10.117804,True,0.5,COMPLETE,0.5,0.8,0.0007774190264808921,2.69977190330848e-05,1.4,0.35,0.1,False,,0.3
131,0.9588235294117647,2025-05-20 01:13:59.290013,2025-05-20 01:15:01.771160,0 days 00:01:02.481147,True,1.5,COMPLETE,0.5,0.9,0.001261423774640547,2.3547269481609296e-05,0.5,0.25,0.1,False,,0.3
99,0.9586056644880174,2025-05-20 00:38:05.337588,2025-05-20 00:39:17.497087,0 days 00:01:12.159499,True,0.5,COMPLETE,0.5,0.8,0.0007329861505038933,2.6352638968956153e-05,1.15,0.35,0.1,False,,0.3
124,0.9586056644880174,2025-05-20 01:06:30.492166,2025-05-20 01:07:35.066586,0 days 00:01:04.574420,True,1.25,COMPLETE,0.5,0.9,0.0013805354581186125,2.0487433798213024e-05,1.35,0.30000000000000004,0.1,False,,0.3
122,0.9586056644880174,2025-05-20 01:04:25.718718,2025-05-20 01:05:30.555492,0 days 00:01:04.836774,True,1.5,COMPLETE,0.5,0.9,0.0015494888298867922,1.9242230184120862e-05,1.3,0.30000000000000004,0.1,False,,0.3
148,0.9586056644880174,2025-05-20 01:31:51.085072,2025-05-20 01:33:01.232385,0 days 00:01:10.147313,True,2.0,COMPLETE,0.5,0.9,0.001792820070196315,5.862751558936098e-05,1.4500000000000002,0.30000000000000004,0.1,False,,0.3
110,0.9586056644880174,2025-05-20 00:50:44.529129,2025-05-20 00:51:53.455529,0 days 00:01:08.926400,True,1.0,COMPLETE,0.5,0.8,0.000910309805975143,1.425420957333669e-05,1.5,0.35,0.1,False,,0.3
113,0.9583877995642701,2025-05-20 00:54:13.463952,2025-05-20 00:55:18.978204,0 days 00:01:05.514252,True,0.75,COMPLETE,0.5,0.8,0.00081989787339888,1.3949094953990632e-05,1.4,0.35,0.1,False,,0.3
108,0.9583877995642701,2025-05-20 00:48:21.207156,2025-05-20 00:49:31.507842,0 days 00:01:10.300686,True,0.75,COMPLETE,0.5,0.8,0.0007902684201016905,1.3924635895200363e-05,1.5,0.35,0.1,False,,0.3
136,0.9583877995642701,2025-05-20 01:19:16.021401,2025-05-20 01:20:18.563260,0 days 00:01:02.541859,True,1.25,COMPLETE,0.5,0.9,0.0014491752770173592,2.365592517635297e-05,1.4,0.30000000000000004,0.1,False,,0.3
103,0.9583877995642701,2025-05-20 00:42:27.462527,2025-05-20 00:43:39.193280,0 days 00:01:11.730753,True,0.5,COMPLETE,0.5,0.8,0.0008052624655005096,2.7562758266118824e-05,1.4,0.35,0.1,False,,0.3
128,0.9583877995642701,2025-05-20 01:10:40.782368,2025-05-20 01:11:48.623945,0 days 00:01:07.841577,True,1.25,COMPLETE,0.5,0.9,0.0010748998015276572,6.822070672234431e-05,1.4500000000000002,0.30000000000000004,0.1,False,,0.3
125,0.9583877995642701,2025-05-20 01:07:35.105774,2025-05-20 01:08:36.299293,0 days 00:01:01.193519,True,1.25,COMPLETE,0.5,0.9,0.0018484487581370223,3.5893416132620024e-05,1.35,0.30000000000000004,0.1,False,,0.3
65,0.9583877995642701,2025-05-20 00:01:16.897598,2025-05-20 00:02:18.273865,0 days 00:01:01.376267,True,0.75,COMPLETE,0.5,0.8,0.0018174921104681322,0.00013339441386701198,1.35,0.35,0.1,True,150.0,0.2
68,0.9581699346405229,2025-05-20 00:04:19.337234,2025-05-20 00:05:08.574711,0 days 00:00:49.237477,True,0.75,COMPLETE,0.5,0.8,0.0031461841198332204,0.00018333312193298868,1.4,0.35,0.1,True,150.0,0.25
114,0.9581699346405229,2025-05-20 00:55:19.019469,2025-05-20 00:56:30.636977,0 days 00:01:11.617508,True,1.0,COMPLETE,0.5,0.8,0.0008003016182658574,1.3714200087953479e-05,1.6,0.35,0.1,False,,0.3
137,0.9581699346405229,2025-05-20 01:20:18.602376,2025-05-20 01:21:19.060200,0 days 00:01:00.457824,True,1.0,COMPLETE,0.5,0.9,0.0012318475549039955,3.077984593952579e-05,0.6,0.25,0.1,False,,0.3
132,0.9581699346405229,2025-05-20 01:15:01.810395,2025-05-20 01:16:07.214450,0 days 00:01:05.404055,True,1.5,COMPLETE,0.5,0.9,0.0012610165806455462,3.5777069629006337e-05,1.4,0.25,0.1,False,,0.3
51,0.9579520697167756,2025-05-19 23:47:14.931901,2025-05-19 23:48:25.295591,0 days 00:01:10.363690,True,2.25,COMPLETE,0.5,0.8,0.0022231105231499096,0.00022379603455107612,1.4500000000000002,0.30000000000000004,0.05,True,90.0,0.1
93,0.9579520697167756,2025-05-20 00:30:58.632577,2025-05-20 00:32:10.918699,0 days 00:01:12.286122,True,0.5,COMPLETE,0.5,0.995,0.0006844050862422285,3.446838653278755e-05,1.1,0.35,0.1,False,,0.3
77,0.9579520697167756,2025-05-20 00:13:11.232069,2025-05-20 00:14:23.505249,0 days 00:01:12.273180,True,0.5,COMPLETE,0.5,0.8,0.0007313151735222995,0.00019190719797549424,1.25,0.35,0.1,False,,0.3
126,0.9577342047930283,2025-05-20 01:08:36.338910,2025-05-20 01:09:39.861199,0 days 00:01:03.522289,True,1.5,COMPLETE,0.5,0.9,0.0011899734387806954,1.9230802826793323e-05,1.3,0.30000000000000004,0.1,False,,0.3
123,0.9577342047930283,2025-05-20 01:05:30.598235,2025-05-20 01:06:30.451042,0 days 00:00:59.852807,True,1.5,COMPLETE,0.5,0.9,0.0015669124673685201,3.9940243531597686e-05,1.3,0.30000000000000004,0.1,False,,0.3
80,0.9577342047930283,2025-05-20 00:15:59.208072,2025-05-20 00:17:11.788125,0 days 00:01:12.580053,True,0.5,COMPLETE,0.5,0.8,0.0006556051091189399,5.0482798435281624e-05,1.25,0.35,0.1,False,,0.25
86,0.9577342047930283,2025-05-20 00:23:16.275932,2025-05-20 00:24:27.043734,0 days 00:01:10.767802,True,0.75,COMPLETE,0.5,0.8,0.0006512545019280051,5.197383536335456e-05,1.2000000000000002,0.35,0.1,False,,0.3
139,0.9575163398692811,2025-05-20 01:22:27.875531,2025-05-20 01:23:37.493925,0 days 00:01:09.618394,True,0.5,COMPLETE,0.5,0.9,0.0011160505224444457,1.7766799663528285e-05,0.9,0.30000000000000004,0.1,False,,0.3
50,0.9575163398692811,2025-05-19 23:46:17.022866,2025-05-19 23:47:14.890046,0 days 00:00:57.867180,True,1.75,COMPLETE,0.5,0.8,0.002196296408661194,0.00021257462199675552,1.25,0.25,0.1,True,120.0,0.1
82,0.9575163398692811,2025-05-20 00:18:24.654442,2025-05-20 00:19:37.626756,0 days 00:01:12.972314,True,0.5,COMPLETE,0.5,0.995,0.0006418967097631278,3.298063915956719e-05,1.1,0.35,0.1,False,,0.3
87,0.9575163398692811,2025-05-20 00:24:27.083864,2025-05-20 00:25:40.029059,0 days 00:01:12.945195,True,0.75,COMPLETE,0.5,0.8,0.0006970870268594171,5.360600150635561e-05,1.2000000000000002,0.30000000000000004,0.1,False,,0.3
115,0.9575163398692811,2025-05-20 00:56:30.678738,2025-05-20 00:57:39.428974,0 days 00:01:08.750236,True,0.5,COMPLETE,0.5,0.8,0.0009374120974175391,1.1989285573634452e-05,1.4,0.35,0.1,False,,0.3
62,0.9572984749455338,2025-05-19 23:58:10.452082,2025-05-19 23:59:09.814090,0 days 00:00:59.362008,True,1.0,COMPLETE,0.5,0.8,0.002322379080673352,0.0001383850465522515,1.3,0.35,0.1,True,150.0,0.2
135,0.9572984749455338,2025-05-20 01:18:22.925792,2025-05-20 01:19:15.982364,0 days 00:00:53.056572,True,1.75,COMPLETE,0.5,0.9,0.0020505510845211295,4.44517269198332e-05,1.4500000000000002,0.30000000000000004,0.1,False,,0.3
129,0.9570806100217865,2025-05-20 01:11:48.663516,2025-05-20 01:12:47.438428,0 days 00:00:58.774912,True,1.0,COMPLETE,0.5,0.9,0.0013962379872492733,2.9672336688953803e-05,1.35,0.30000000000000004,0.1,False,,0.3
73,0.9568627450980393,2025-05-20 00:09:33.250099,2025-05-20 00:10:43.839963,0 days 00:01:10.589864,True,0.25,COMPLETE,0.5,0.8,0.0013511473515264926,7.139449907872479e-05,1.35,0.30000000000000004,0.1,False,,0.25
88,0.9568627450980393,2025-05-20 00:25:40.069803,2025-05-20 00:26:52.967954,0 days 00:01:12.898151,True,1.0,COMPLETE,0.5,0.8,0.0003820590409977998,8.582167842726898e-05,1.25,0.35,0.1,False,,0.25
94,0.9568627450980393,2025-05-20 00:32:10.959124,2025-05-20 00:33:23.378846,0 days 00:01:12.419722,True,0.5,COMPLETE,0.5,0.8,0.0009000380545469068,3.841296176518143e-05,1.2000000000000002,0.35,0.1,False,,0.3
106,0.9568627450980393,2025-05-20 00:46:01.956737,2025-05-20 00:47:08.862577,0 days 00:01:06.905840,True,0.25,COMPLETE,0.5,0.8,0.0011687481014450531,2.312629166004549e-05,1.35,0.35,0.1,False,,0.3
133,0.956644880174292,2025-05-20 01:16:07.254233,2025-05-20 01:17:10.127952,0 days 00:01:02.873719,True,1.5,COMPLETE,0.5,0.9,0.0009911785514421113,2.53987603386511e-05,0.55,0.25,0.1,False,,0.3
63,0.956644880174292,2025-05-19 23:59:09.855433,2025-05-20 00:00:17.325016,0 days 00:01:07.469583,True,0.75,COMPLETE,0.5,0.8,0.0023980591263787526,0.00011613828858580326,1.3,0.35,0.1,True,150.0,0.2
64,0.956644880174292,2025-05-20 00:00:17.365003,2025-05-20 00:01:16.858377,0 days 00:00:59.493374,True,0.75,COMPLETE,0.5,0.8,0.002196189267640877,0.00012627517382232182,1.4,0.35,0.1,True,150.0,0.2
112,0.956644880174292,2025-05-20 00:53:02.051490,2025-05-20 00:54:13.427283,0 days 00:01:11.375793,True,1.0,COMPLETE,0.5,0.8,0.000791000834758461,1.6468968260122168e-05,1.55,0.35,0.1,False,,0.3
91,0.956644880174292,2025-05-20 00:28:45.634371,2025-05-20 00:29:51.178055,0 days 00:01:05.543684,True,1.25,COMPLETE,0.5,0.8,0.0008503369957921723,0.0001081608402152063,1.35,0.35,0.1,False,,0.3
143,0.9564270152505446,2025-05-20 01:26:19.466645,2025-05-20 01:27:22.196198,0 days 00:01:02.729553,True,1.75,COMPLETE,0.5,0.9,0.0019726394074981624,2.936902003609072e-05,1.85,0.2,0.1,False,,0.3
61,0.9562091503267974,2025-05-19 23:57:19.374472,2025-05-19 23:58:10.409567,0 days 00:00:51.035095,True,1.25,COMPLETE,0.5,0.8,0.0023853704183640217,0.000132430160493367,1.3,0.30000000000000004,0.1,True,120.0,0.2
79,0.9562091503267974,2025-05-20 00:14:46.789315,2025-05-20 00:15:59.167339,0 days 00:01:12.378024,True,1.0,COMPLETE,0.5,0.8,0.0013427374409935874,0.00019838443555151818,1.55,0.30000000000000004,0.1,False,,0.25
69,0.9562091503267974,2025-05-20 00:05:08.613261,2025-05-20 00:06:12.723747,0 days 00:01:04.110486,True,0.75,COMPLETE,0.5,0.8,0.0030813840694685624,0.00038402774695370657,1.4,0.35,0.1,True,150.0,0.25
98,0.9559912854030501,2025-05-20 00:36:52.768665,2025-05-20 00:38:05.298253,0 days 00:01:12.529588,True,0.25,COMPLETE,0.5,0.8,0.0005547193527288781,5.47895719320928e-05,1.05,0.35,0.1,False,,0.3
105,0.9557734204793028,2025-05-20 00:44:49.265028,2025-05-20 00:46:01.917455,0 days 00:01:12.652427,True,0.75,COMPLETE,0.5,0.8,0.00047699383092083555,2.7792300437441192e-05,1.4,0.35,0.1,False,,0.3
100,0.9557734204793028,2025-05-20 00:39:17.539535,2025-05-20 00:40:16.744294,0 days 00:00:59.204759,True,0.5,COMPLETE,0.5,0.8,0.0011459131712057817,1.924084311514892e-05,1.15,0.35,0.1,False,,0.25
109,0.9557734204793028,2025-05-20 00:49:31.549790,2025-05-20 00:50:44.487139,0 days 00:01:12.937349,True,0.75,COMPLETE,0.5,0.8,0.0005523233670858792,2.0557464009243094e-05,1.6,0.35,0.1,False,,0.3
145,0.9557734204793028,2025-05-20 01:28:28.945477,2025-05-20 01:29:40.823712,0 days 00:01:11.878235,True,1.25,COMPLETE,0.5,0.9,0.0006127114662327932,3.625217323571702e-05,1.35,0.35,0.1,False,,0.3
96,0.9555555555555556,2025-05-20 00:34:35.899084,2025-05-20 00:35:41.116163,0 days 00:01:05.217079,True,1.0,COMPLETE,0.5,0.995,0.0007009633871610961,2.456100831872344e-05,1.3,0.35,0.1,False,,0.3
140,0.9553376906318083,2025-05-20 01:23:37.533836,2025-05-20 01:24:28.403520,0 days 00:00:50.869684,False,4.0,COMPLETE,0.5,0.9,0.0016231130762858188,4.455722345690776e-05,1.3,0.35,0.1,False,,0.3
144,0.9553376906318083,2025-05-20 01:27:22.236501,2025-05-20 01:28:28.905558,0 days 00:01:06.669057,True,1.5,COMPLETE,0.5,0.9,0.0009174192198291468,2.1648128494621095e-05,1.35,0.30000000000000004,0.1,False,,0.3
55,0.9553376906318083,2025-05-19 23:51:55.195631,2025-05-19 23:52:59.571754,0 days 00:01:04.376123,True,3.0,COMPLETE,0.5,0.8,0.0025234529351069253,0.00026404808446017157,1.5,0.25,0.0,True,120.0,0.1
83,0.955119825708061,2025-05-20 00:19:37.666545,2025-05-20 00:20:50.292017,0 days 00:01:12.625472,True,0.5,COMPLETE,0.5,0.995,0.00047198058411493767,3.2390314002797396e-05,1.15,0.35,0.1,False,,0.3
43,0.955119825708061,2025-05-19 23:38:37.384084,2025-05-19 23:39:40.406914,0 days 00:01:03.022830,True,2.75,COMPLETE,0.5,0.99,0.002350449429777549,9.072582845667872e-05,1.0,0.2,0.15,True,90.0,0.05
66,0.955119825708061,2025-05-20 00:02:18.314483,2025-05-20 00:03:18.949191,0 days 00:01:00.634708,True,0.75,COMPLETE,0.5,0.8,0.0015737389415136623,0.00014328049465914464,1.35,0.35,0.1,True,150.0,0.2
111,0.955119825708061,2025-05-20 00:51:53.495066,2025-05-20 00:53:02.011374,0 days 00:01:08.516308,True,1.0,COMPLETE,0.5,0.8,0.0010094249510524146,1.3813413638330212e-05,1.5,0.35,0.1,False,,0.3
142,0.9549019607843138,2025-05-20 01:25:22.690883,2025-05-20 01:26:19.422675,0 days 00:00:56.731792,True,1.5,COMPLETE,0.5,0.9,0.0026998702118308264,7.854844878286271e-05,0.5,0.25,0.1,False,,0.25
25,0.9549019607843138,2025-05-19 23:20:56.114814,2025-05-19 23:22:06.201560,0 days 00:01:10.086746,False,1.75,COMPLETE,0.5,0.99,0.001248763355005792,4.251932450116003e-05,1.3,0.1,0.15,True,120.0,0.0
97,0.9544662309368191,2025-05-20 00:35:41.155656,2025-05-20 00:36:52.729244,0 days 00:01:11.573588,True,0.75,COMPLETE,0.5,0.8,0.00040376025276226974,1.5939878918678266e-05,1.25,0.35,0.1,False,,0.3
37,0.954248366013072,2025-05-19 23:32:49.625650,2025-05-19 23:34:01.402832,0 days 00:01:11.777182,True,2.25,COMPLETE,0.5,0.99,0.0016222614060650337,6.099652832276864e-05,1.2000000000000002,0.15000000000000002,0.15,True,120.0,0.05
