number,value,datetime_start,datetime_complete,duration,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
98,0.9733333333333333,2025-05-20 19:29:15.474688,2025-05-20 19:30:30.726839,0 days 00:01:15.252151,False,2.25,COMPLETE,0.5,0.995,0.004003199288497583,0.002670933316282357,1.5,0.1,0.0,False,,0.3
103,0.9731400966183575,2025-05-20 19:36:08.978973,2025-05-20 19:37:37.480282,0 days 00:01:28.501309,False,2.0,COMPLETE,0.5,0.8,0.004699325660741552,0.0028395305101932217,1.6500000000000001,0.1,0.0,False,,0.3
112,0.9729468599033817,2025-05-20 19:48:39.575028,2025-05-20 19:49:40.162480,0 days 00:01:00.587452,False,2.0,COMPLETE,0.5,0.995,0.004198723215683659,0.0018823473839662905,1.7000000000000002,0.05,0.0,False,,0.3
118,0.9727536231884057,2025-05-20 19:58:04.633366,2025-05-20 19:59:11.161648,0 days 00:01:06.528282,False,1.75,COMPLETE,0.5,0.995,0.004689110616465226,0.0013692058506774903,1.6500000000000001,0.1,0.0,False,,0.3
124,0.9727053140096619,2025-05-20 20:05:30.164294,2025-05-20 20:06:58.117636,0 days 00:01:27.953342,False,1.75,COMPLETE,0.5,0.8,0.005943426577311118,0.0025852038281761994,1.5,0.15000000000000002,0.0,False,,0.3
42,0.9725603864734299,2025-05-20 18:22:33.418678,2025-05-20 18:23:35.980963,0 days 00:01:02.562285,False,2.75,COMPLETE,0.5,0.99,0.009476268547240197,0.00027168611872755864,0.8,0.05,0.1,False,,0.3
88,0.9725120772946859,2025-05-20 19:18:28.289583,2025-05-20 19:19:25.726669,0 days 00:00:57.437086,True,2.0,COMPLETE,0.5,0.99,0.0062499672262588575,0.0007711872410293694,0.9,0.15000000000000002,0.0,False,,0.3
94,0.9725120772946859,2025-05-20 19:24:28.968399,2025-05-20 19:25:27.575991,0 days 00:00:58.607592,False,2.25,COMPLETE,0.5,0.99,0.005631760103895217,0.0008055938978767546,1.4,0.15000000000000002,0.0,False,,0.3
100,0.9724637681159422,2025-05-20 19:32:16.569617,2025-05-20 19:33:18.568770,0 days 00:01:01.999153,False,2.25,COMPLETE,0.5,0.8,0.002379670405550737,0.0026611992611869743,1.55,0.1,0.0,False,,0.3
123,0.9723671497584542,2025-05-20 20:04:20.339996,2025-05-20 20:05:30.122164,0 days 00:01:09.782168,False,1.75,COMPLETE,0.5,0.8,0.006934058218892705,0.0014981229439567972,1.5,0.15000000000000002,0.0,False,,0.3
97,0.9722705314009662,2025-05-20 19:27:46.749879,2025-05-20 19:29:15.434803,0 days 00:01:28.684924,False,2.25,COMPLETE,0.5,0.99,0.004047543707777062,0.002524448235415039,1.55,0.1,0.0,False,,0.3
96,0.9722222222222223,2025-05-20 19:26:45.459963,2025-05-20 19:27:46.708718,0 days 00:01:01.248755,False,2.25,COMPLETE,0.5,0.99,0.003995172465833937,0.0012019808056545486,1.55,0.1,0.0,False,,0.3
108,0.9722222222222222,2025-05-20 19:43:54.479961,2025-05-20 19:44:53.082688,0 days 00:00:58.602727,False,2.0,COMPLETE,0.5,0.995,0.0034109859266615466,0.001829242622607938,1.4,0.1,0.0,False,,0.3
56,0.9721739130434783,2025-05-20 18:37:25.570283,2025-05-20 18:38:18.422071,0 days 00:00:52.851788,False,1.5,COMPLETE,0.5,0.99,0.009939672404706265,0.0002419318778073154,1.5,0.05,0.15,False,,0.3
