number,value,datetime_start,datetime_complete,duration,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
113,0.9686956521739131,2025-05-20 16:59:15.441015,2025-05-20 17:00:45.214201,0 days 00:01:29.773186,False,3.25,COMPLETE,0.5,0.99,0.00038628961745634886,0.007042012436491471,1.0,0.0,0.15,True,30.0,0.15000000000000002
100,0.9684541062801933,2025-05-20 16:33:14.170051,2025-05-20 16:35:05.621929,0 days 00:01:51.451878,False,3.5,COMPLETE,0.5,0.99,0.000281770882802286,0.0032903353261073266,1.1,0.0,0.15,True,30.0,0.15000000000000002
101,0.9684541062801933,2025-05-20 16:35:05.661078,2025-05-20 16:37:18.436961,0 days 00:02:12.775883,False,3.5,COMPLETE,0.5,0.99,0.00027542542016149234,0.0034635641235732356,1.1,0.0,0.15,True,30.0,0.15000000000000002
93,0.9684057971014494,2025-05-20 16:23:17.192490,2025-05-20 16:24:35.916478,0 days 00:01:18.723988,False,4.0,COMPLETE,0.5,0.99,0.0005494250464861725,0.0023486894301153615,1.15,0.0,0.15,True,30.0,0.15000000000000002
69,0.9680676328502416,2025-05-20 15:46:16.166049,2025-05-20 15:47:35.390377,0 days 00:01:19.224328,False,3.75,COMPLETE,0.5,0.995,0.0006046562890471643,0.001705003874313914,1.4,0.0,0.1,True,90.0,0.05
105,0.9680193236714976,2025-05-20 16:43:45.836763,2025-05-20 16:45:43.381388,0 days 00:01:57.544625,False,3.25,COMPLETE,0.5,0.99,0.0002764550601541638,0.005135923026111922,0.95,0.0,0.15,True,30.0,0.15000000000000002
95,0.9679710144927537,2025-05-20 16:26:23.696004,2025-05-20 16:27:45.943896,0 days 00:01:22.247892,False,3.75,COMPLETE,0.5,0.99,0.0004757067993088984,0.004134293434123602,1.05,0.0,0.15,True,30.0,0.15000000000000002
102,0.9679227053140096,2025-05-20 16:37:18.475004,2025-05-20 16:39:20.179721,0 days 00:02:01.704717,False,3.0,COMPLETE,0.5,0.99,0.0002587694535793997,0.003554468511473657,0.95,0.0,0.15,True,30.0,0.15000000000000002
117,0.9677777777777777,2025-05-20 17:05:59.801930,2025-05-20 17:08:18.721543,0 days 00:02:18.919613,False,3.0,COMPLETE,0.5,0.99,0.0002492827492317684,0.042160399340419166,1.0,0.0,0.15,True,30.0,0.2
89,0.9677294685990337,2025-05-20 16:18:40.052943,2025-05-20 16:19:49.620920,0 days 00:01:09.567977,False,4.0,COMPLETE,0.5,0.99,0.0007760444935790747,8.09335707007505e-05,1.05,0.0,0.15,True,30.0,0.15000000000000002
