number,value,datetime_start,datetime_complete,duration,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
113,0.8396666666666667,2025-05-19 20:39:22.177208,2025-05-19 20:39:44.878856,0 days 00:00:22.701648,True,3.75,COMPLETE,0.6,0.995,0.995,0.00020597411946978082,0.011318353555164293,2.0,0.30000000000000004,0.05,True,90.0,0.3
112,0.8383333333333333,2025-05-19 20:38:59.285306,2025-05-19 20:39:22.135662,0 days 00:00:22.850356,True,3.75,COMPLETE,0.6,0.995,0.995,0.0002638564948920609,0.012055908022696933,1.85,0.25,0.05,True,90.0,0.3
92,0.838,2025-05-19 20:31:48.523833,2025-05-19 20:32:09.266329,0 days 00:00:20.742496,True,4.75,COMPLETE,0.6,0.9,0.9,0.0007413760300793627,0.004127055486657371,1.9500000000000002,0.2,0.05,True,90.0,0.05
80,0.8376666666666667,2025-05-19 20:27:49.291386,2025-05-19 20:28:11.094865,0 days 00:00:21.803479,True,4.25,COMPLETE,0.6,0.8,0.8,0.0016913788798070492,0.002849328663629078,1.4500000000000002,0.30000000000000004,0.1,False,,0.25
115,0.8376666666666667,2025-05-19 20:40:07.934127,2025-05-19 20:40:30.834544,0 days 00:00:22.900417,True,3.75,COMPLETE,0.6,0.995,0.995,0.00022141287498135098,0.013943984429697293,2.0,0.25,0.05,True,90.0,0.3
114,0.8373333333333332,2025-05-19 20:39:44.918834,2025-05-19 20:40:07.894117,0 days 00:00:22.975283,True,3.75,COMPLETE,0.6,0.995,0.995,0.00025731440532570597,0.014029119659690866,2.0,0.25,0.05,True,90.0,0.3
108,0.8370000000000001,2025-05-19 20:37:31.051582,2025-05-19 20:37:52.215621,0 days 00:00:21.164039,True,4.0,COMPLETE,0.6,0.995,0.995,0.000533471356655646,0.00536502313778561,1.9000000000000001,0.25,0.05,True,60.0,0.3
107,0.8366666666666666,2025-05-19 20:37:10.062369,2025-05-19 20:37:31.011727,0 days 00:00:20.949358,True,4.0,COMPLETE,0.6,0.995,0.995,0.0005643385387511678,0.005437342300897806,1.9500000000000002,0.25,0.05,True,60.0,0.3
59,0.8366666666666666,2025-05-19 20:20:31.234509,2025-05-19 20:20:50.863889,0 days 00:00:19.629380,False,4.0,COMPLETE,0.6,0.8,0.8,0.002617979494004487,0.001981501848951685,1.6500000000000001,0.30000000000000004,0.0,True,120.0,0.3
42,0.8363333333333333,2025-05-19 20:15:03.653514,2025-05-19 20:15:25.543725,0 days 00:00:21.890211,True,4.25,COMPLETE,0.6,0.99,0.99,0.00029144628761304915,0.004053864823658801,1.7000000000000002,0.30000000000000004,0.05,False,,0.1
