number,value,datetime_start,datetime_complete,duration,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
81,0.8233333333333334,2025-05-19 19:33:47.241824,2025-05-19 19:34:27.050942,0 days 00:00:39.809118,False,0.5,COMPLETE,0.6,0.9,0.9,0.0005622344481949562,0.006642558349883061,1.75,0.2,0.0,False,,0.2
84,0.818,2025-05-19 19:35:45.583463,2025-05-19 19:36:22.912421,0 days 00:00:37.328958,False,0.75,COMPLETE,0.6,0.9,0.9,0.0005643258373183402,0.005344825478293132,1.75,0.35,0.0,False,,0.25
77,0.8173333333333334,2025-05-19 19:31:03.881822,2025-05-19 19:31:43.235304,0 days 00:00:39.353482,False,0.5,COMPLETE,0.6,0.9,0.9,0.00030841076852226797,0.0078246558269867,1.9000000000000001,0.15000000000000002,0.0,False,,0.0
111,0.8170000000000001,2025-05-19 19:51:52.821975,2025-05-19 19:52:30.919665,0 days 00:00:38.097690,False,0.75,COMPLETE,0.6,0.9,0.9,0.00048375848223907684,0.0057566894335979515,1.2000000000000002,0.35,0.0,False,,0.25
107,0.816,2025-05-19 19:49:26.638170,2025-05-19 19:50:04.503529,0 days 00:00:37.865359,False,1.0,COMPLETE,0.6,0.9,0.9,0.0006707346077412182,0.0022543421891944933,1.2000000000000002,0.35,0.0,False,,0.3
83,0.8156666666666667,2025-05-19 19:35:06.967465,2025-05-19 19:35:45.541659,0 days 00:00:38.574194,False,0.75,COMPLETE,0.6,0.9,0.9,0.0005748189717245975,0.004711520165725547,1.75,0.35,0.0,False,,0.25
78,0.8153333333333332,2025-05-19 19:31:43.276689,2025-05-19 19:32:20.270823,0 days 00:00:36.994134,False,0.5,COMPLETE,0.6,0.9,0.9,0.0005588851666884113,0.004123185530035386,1.8,0.2,0.0,False,,0.25
82,0.8146666666666667,2025-05-19 19:34:27.096631,2025-05-19 19:35:06.925635,0 days 00:00:39.829004,False,0.75,COMPLETE,0.6,0.9,0.9,0.0005978351592279417,0.0048371954895121,1.75,0.25,0.0,False,,0.25
113,0.8146666666666667,2025-05-19 19:53:08.951148,2025-05-19 19:53:47.705594,0 days 00:00:38.754446,False,0.5,COMPLETE,0.6,0.9,0.9,0.0003253062385638627,0.004820371444133192,1.15,0.35,0.0,False,,0.25
118,0.8143333333333334,2025-05-19 19:56:22.761977,2025-05-19 19:57:01.107892,0 days 00:00:38.345915,False,0.25,COMPLETE,0.6,0.995,0.995,0.0006239719582013917,0.005321629836500515,1.3,0.35,0.0,False,,0.25
96,0.8133333333333334,2025-05-19 19:43:13.375023,2025-05-19 19:43:49.350144,0 days 00:00:35.975121,False,1.25,COMPLETE,0.6,0.995,0.995,0.0005627187012730855,0.004860048357425782,1.6,0.30000000000000004,0.0,True,30.0,0.25
121,0.8133333333333334,2025-05-19 19:58:11.866985,2025-05-19 19:58:46.871722,0 days 00:00:35.004737,False,0.5,COMPLETE,0.6,0.995,0.995,0.0013390667980120805,0.0027206745314099848,1.2000000000000002,0.35,0.0,False,,0.25
54,0.8133333333333334,2025-05-19 19:18:07.493408,2025-05-19 19:18:45.810346,0 days 00:00:38.316938,True,2.75,COMPLETE,0.6,0.9,0.9,0.0006713201025124202,0.005104922452740935,1.7000000000000002,0.15000000000000002,0.0,False,,0.05
87,0.8133333333333334,2025-05-19 19:37:42.315823,2025-05-19 19:38:20.624685,0 days 00:00:38.308862,False,0.5,COMPLETE,0.6,0.9,0.9,0.0005469237972546884,0.01814789667189306,1.6500000000000001,0.30000000000000004,0.0,False,,0.25
73,0.8130000000000001,2025-05-19 19:28:59.165090,2025-05-19 19:29:37.852875,0 days 00:00:38.687785,True,4.0,COMPLETE,0.6,0.9,0.9,0.0004151281259809525,0.01519149741222396,1.8,0.15000000000000002,0.0,False,,0.0
94,0.8123333333333335,2025-05-19 19:41:59.016018,2025-05-19 19:42:35.152778,0 days 00:00:36.136760,False,1.25,COMPLETE,0.6,0.9,0.9,0.0005595794225915397,0.005860143798445439,1.6500000000000001,0.30000000000000004,0.0,False,,0.25
