number,value,datetime_start,datetime_complete,duration,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
108,0.8075936377629555,2025-05-20 09:41:11.679135,2025-05-20 09:41:59.301634,0 days 00:00:47.622499,True,1.75,COMPLETE,0.5,0.99,0.001454888875546019,0.0006610241139448319,2.0,0.25,0.15,False,,0.3
81,0.8073656005928966,2025-05-20 09:19:15.597557,2025-05-20 09:20:05.715197,0 days 00:00:50.117640,False,0.5,COMPLETE,0.5,0.99,0.0006451761901048476,0.00010778999208567477,2.0,0.0,0.15,False,,0.3
107,0.8071945727153526,2025-05-20 09:40:21.372295,2025-05-20 09:41:11.638037,0 days 00:00:50.265742,True,1.75,COMPLETE,0.5,0.99,0.0014813551324997175,0.0007026739401341678,2.0,0.25,0.15,False,,0.3
87,0.8070805541303233,2025-05-20 09:23:58.905280,2025-05-20 09:24:45.518636,0 days 00:00:46.613356,False,1.25,COMPLETE,0.5,0.99,0.000951550194549505,0.00030220842955663683,2.0,0.2,0.15,False,,0.3
93,0.8068525169602646,2025-05-20 09:28:54.085176,2025-05-20 09:29:43.806990,0 days 00:00:49.721814,False,1.25,COMPLETE,0.5,0.99,0.0010946639092519728,0.00021285197819195198,1.85,0.2,0.15,False,,0.3
105,0.8067384983752351,2025-05-20 09:38:50.922948,2025-05-20 09:39:35.592043,0 days 00:00:44.669095,True,1.25,COMPLETE,0.5,0.99,0.0012037247898679872,0.0007540296277985104,2.0,0.25,0.15,False,,0.3
109,0.8065104612051764,2025-05-20 09:41:59.339937,2025-05-20 09:42:46.497224,0 days 00:00:47.157287,True,1.25,COMPLETE,0.5,0.99,0.00150182241205058,0.0006753727684583924,1.9500000000000002,0.25,0.15,False,,0.3
80,0.8064534519126617,2025-05-20 09:18:31.059282,2025-05-20 09:19:15.557645,0 days 00:00:44.498363,False,0.5,COMPLETE,0.5,0.99,0.0010398294109693835,0.00010844966903879663,2.0,0.0,0.15,False,,0.3
124,0.8063964426201471,2025-05-20 09:54:06.507026,2025-05-20 09:54:56.514701,0 days 00:00:50.007675,True,2.0,COMPLETE,0.5,0.99,0.0007091619470252608,0.00023817022582461536,1.9000000000000001,0.2,0.15,False,,0.3
119,0.8062824240351177,2025-05-20 09:50:01.920129,2025-05-20 09:50:53.236439,0 days 00:00:51.316310,True,2.0,COMPLETE,0.5,0.99,0.0012130961331466765,0.0005807432441109874,1.85,0.2,0.15,False,,0.25
103,0.806225414742603,2025-05-20 09:37:15.237598,2025-05-20 09:38:05.242035,0 days 00:00:50.004437,True,1.25,COMPLETE,0.5,0.99,0.0011106287955765116,0.000777408244188309,2.0,0.25,0.15,False,,0.3
115,0.806054386865059,2025-05-20 09:46:45.003219,2025-05-20 09:47:33.703809,0 days 00:00:48.700590,True,1.75,COMPLETE,0.5,0.99,0.000841389461333525,0.0002953809833373866,2.0,0.25,0.15,False,,0.3
122,0.806054386865059,2025-05-20 09:52:28.953716,2025-05-20 09:53:18.770433,0 days 00:00:49.816717,True,1.75,COMPLETE,0.5,0.99,0.0014496841244995482,0.00042892235258908687,1.9500000000000002,0.25,0.15,False,,0.3
94,0.8059403682800296,2025-05-20 09:29:43.845027,2025-05-20 09:30:33.605138,0 days 00:00:49.760111,False,1.25,COMPLETE,0.5,0.99,0.0009388540173544804,0.0008601671756553422,1.85,0.25,0.15,False,,0.3
104,0.8058263496950003,2025-05-20 09:38:05.280658,2025-05-20 09:38:50.884202,0 days 00:00:45.603544,True,1.25,COMPLETE,0.5,0.99,0.0014852345754329185,0.0006541029014792123,2.0,0.25,0.15,False,,0.3
77,0.8057693404024856,2025-05-20 09:16:06.778177,2025-05-20 09:16:56.733546,0 days 00:00:49.955369,False,1.25,COMPLETE,0.5,0.99,0.001048156459560606,0.0001374773153598808,1.55,0.0,0.15,False,,0.3
101,0.8057693404024855,2025-05-20 09:35:28.812278,2025-05-20 09:36:24.617038,0 days 00:00:55.804760,True,1.75,COMPLETE,0.5,0.99,0.0012419352866718672,0.0009159967232892132,2.0,0.25,0.15,False,,0.3
34,0.8055983125249416,2025-05-20 08:46:09.842342,2025-05-20 08:46:57.660984,0 days 00:00:47.818642,True,4.75,COMPLETE,0.5,0.995,0.0018591529025394325,2.3283361268679272e-05,1.9000000000000001,0.0,0.15,False,,0.1
96,0.8054272846473975,2025-05-20 09:31:10.740604,2025-05-20 09:32:00.467671,0 days 00:00:49.727067,True,1.5,COMPLETE,0.5,0.99,0.00071962647690569,0.0008488083443057982,2.0,0.30000000000000004,0.15,False,,0.3
85,0.8053702753548828,2025-05-20 09:22:28.129370,2025-05-20 09:23:12.308027,0 days 00:00:44.178657,False,0.75,COMPLETE,0.5,0.99,0.0010129708116416187,7.642449810273625e-05,2.0,0.0,0.15,False,,0.3
88,0.8053132660623682,2025-05-20 09:24:45.559194,2025-05-20 09:25:35.084376,0 days 00:00:49.525182,False,1.25,COMPLETE,0.5,0.99,0.000562222406367084,0.00034676454490712073,1.9000000000000001,0.2,0.15,False,,0.3
