number,value,datetime_start,datetime_complete,duration,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
112,0.7955646770423579,2025-05-20 08:14:15.214886,2025-05-20 08:14:57.068019,0 days 00:00:41.853133,False,4.25,COMPLETE,0.5,0.99,0.0015501671604288918,5.5016638463876084e-05,2.0,0.15000000000000002,0.0,False,,0.3
73,0.7954506584573285,2025-05-20 07:49:46.119097,2025-05-20 07:50:24.291333,0 days 00:00:38.172236,False,5.0,COMPLETE,0.5,0.995,0.002962213130575855,4.092714897507817e-05,2.0,0.2,0.0,False,,0.3
66,0.7948235562396669,2025-05-20 07:45:17.160263,2025-05-20 07:45:53.795492,0 days 00:00:36.635229,False,3.75,COMPLETE,0.5,0.995,0.001585140948251036,9.394564702899074e-05,2.0,0.2,0.0,False,,0.3
65,0.7947095376546377,2025-05-20 07:44:43.720308,2025-05-20 07:45:17.119630,0 days 00:00:33.399322,False,3.75,COMPLETE,0.5,0.995,0.0015531659881697006,7.250403964435388e-05,2.0,0.2,0.0,False,,0.3
74,0.794310472607035,2025-05-20 07:50:24.331851,2025-05-20 07:51:02.605940,0 days 00:00:38.274089,False,4.75,COMPLETE,0.5,0.995,0.0028439233208238054,0.00011568888355263903,2.0,0.15000000000000002,0.0,False,,0.3
98,0.7942534633145203,2025-05-20 08:05:56.260887,2025-05-20 08:06:31.808292,0 days 00:00:35.547405,False,4.0,COMPLETE,0.5,0.99,0.0019161679886147177,4.2538114913467134e-05,1.9500000000000002,0.15000000000000002,0.0,False,,0.3
62,0.7941964540220056,2025-05-20 07:43:05.179971,2025-05-20 07:43:41.498038,0 days 00:00:36.318067,False,3.75,COMPLETE,0.5,0.995,0.003713557055744039,1.4149287204087855e-05,1.9500000000000002,0.25,0.0,False,,0.3
101,0.7941964540220056,2025-05-20 08:08:01.666438,2025-05-20 08:08:41.606421,0 days 00:00:39.939983,False,4.0,COMPLETE,0.5,0.99,0.0023838324455916103,6.287121257937808e-05,2.0,0.15000000000000002,0.0,False,,0.3
77,0.7940824354369763,2025-05-20 07:52:16.596881,2025-05-20 07:52:56.499443,0 days 00:00:39.902562,False,5.0,COMPLETE,0.5,0.995,0.002468327082456409,9.435147538847811e-05,2.0,0.15000000000000002,0.0,False,,0.3
80,0.7939114075594321,2025-05-20 07:54:19.282480,2025-05-20 07:55:04.051207,0 days 00:00:44.768727,False,5.0,COMPLETE,0.5,0.995,0.0006254968871684741,7.699035262868093e-05,1.9500000000000002,0.2,0.0,False,,0.25
120,0.7938543982669176,2025-05-20 08:19:15.836160,2025-05-20 08:19:48.429373,0 days 00:00:32.593213,False,5.0,COMPLETE,0.5,0.995,0.0024186684999537578,0.0002055058004150681,2.0,0.15000000000000002,0.0,False,,0.25
