number,values_0,values_1,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
39,0.7560000000000001,0.5,2025-05-17 03:31:13.603485,2025-05-17 03:31:34.402480,0 days 00:00:20.798995,cwd,True,0.75,0,COMPLETE,0.5,0.8,0.8,2.394874433970995e-05,0.000551365942659825,3.75,0.75,0.05,False,,0.0
96,0.7560000000000001,0.5,2025-05-17 03:51:12.762634,2025-05-17 03:51:34.453413,0 days 00:00:21.690779,cwd,True,2.0,1,COMPLETE,0.5,0.99,0.99,3.553745241226197e-05,0.002487618187152226,0.75,1.0,0.15,False,,0.3
67,0.7560000000000001,0.5,2025-05-17 03:40:59.292874,2025-05-17 03:41:18.801757,0 days 00:00:19.508883,mse,False,,1,COMPLETE,0.5,0.995,0.995,4.197499521762647e-05,0.0007024291303564287,3.5,1.0,0.15,True,30.0,0.0
75,0.7553333333333333,0.5,2025-05-17 03:43:47.309521,2025-05-17 03:44:07.738750,0 days 00:00:20.429229,mse,False,,1,COMPLETE,0.5,0.8,0.8,4.0758479505313946e-05,0.010750327331131565,3.5,1.0,0.15,True,90.0,0.25
41,0.7546666666666667,0.5,2025-05-17 03:31:55.526622,2025-05-17 03:32:16.144245,0 days 00:00:20.617623,cwd,False,1.5,0,COMPLETE,0.5,0.995,0.995,4.197499521762647e-05,0.00014174449176952846,4.5,3.75,0.1,True,150.0,0.0
93,0.7546666666666667,0.5,2025-05-17 03:50:08.327802,2025-05-17 03:50:31.276698,0 days 00:00:22.948896,mse,False,,1,COMPLETE,0.5,0.99,0.99,1.725121217949132e-05,0.018668498046552916,4.5,3.25,0.1,True,30.0,0.25
115,0.7546666666666667,0.5,2025-05-17 03:57:56.347847,2025-05-17 03:58:18.147132,0 days 00:00:21.799285,cwd,False,0.75,2,COMPLETE,0.5,0.9,0.9,1.4346419267283812e-05,0.00014174449176952846,5.0,4.25,0.1,True,60.0,0.05
27,0.7546666666666666,0.5,2025-05-17 03:27:00.943627,2025-05-17 03:27:22.429225,0 days 00:00:21.485598,cwd,True,4.5,0,COMPLETE,0.5,0.99,0.99,5.0187330173266595e-05,0.002487618187152226,3.0,1.5,0.0,True,30.0,0.05
15,0.7543333333333333,0.5,2025-05-17 03:22:47.681417,2025-05-17 03:23:08.274462,0 days 00:00:20.593045,mse,False,,0,COMPLETE,0.5,0.8,0.8,0.00045413553558179646,1.7239712054782554e-05,3.25,5.0,0.0,False,,0.3
52,0.7543333333333333,0.5,2025-05-17 03:35:46.356150,2025-05-17 03:36:07.861404,0 days 00:00:21.505254,cwd,True,2.25,1,COMPLETE,0.5,0.8,0.8,0.00019462497977745796,0.000551365942659825,3.75,3.25,0.05,True,90.0,0.05
